Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503981173,2017-08-29T04:32:53Z,VDA7089,"31.722137,35.999905",0,2,289
1503981152,2017-08-29T04:32:32Z,VDA7089,"31.721912,35.99995",0,14,289
1503981118,2017-08-29T04:31:58Z,VDA7089,"31.721323,36.000053",0,9,289
1503981100,2017-08-29T04:31:40Z,VDA7089,"31.721077,36.000069",0,11,289
1503980949,2017-08-29T04:29:09Z,VDA7089,"31.72086,36.000042",0,0,290
1503980760,2017-08-29T04:26:00Z,VDA7089,"31.720671,36.000069",0,2,289
1503980657,2017-08-29T04:24:17Z,VDA7089,"31.720543,36.000095",0,20,289
1503980651,2017-08-29T04:24:11Z,VDA7089,"31.720333,36.000122",0,19,289
1503980642,2017-08-29T04:24:02Z,VDA7089,"31.720047,35.999924",0,23,289
1503980635,2017-08-29T04:23:55Z,VDA7089,"31.719938,35.99963",0,25,289
1503980629,2017-08-29T04:23:49Z,VDA7089,"31.719887,35.999237",0,30,289
1503980623,2017-08-29T04:23:43Z,VDA7089,"31.719818,35.998764",0,32,289
1503980617,2017-08-29T04:23:37Z,VDA7089,"31.719772,35.998413",0,30,289
1503980606,2017-08-29T04:23:26Z,VDA7089,"31.719648,35.997581",0,27,289
1503980596,2017-08-29T04:23:16Z,VDA7089,"31.719578,35.997066",0,23,289
1503980590,2017-08-29T04:23:10Z,VDA7089,"31.719532,35.996826",0,22,289
1503980572,2017-08-29T04:22:52Z,VDA7089,"31.719391,35.996059",0,15,289
1503980553,2017-08-29T04:22:33Z,VDA7089,"31.71903,35.995743",0,19,289
1503980539,2017-08-29T04:22:19Z,VDA7089,"31.718542,35.995934",0,23,289
1503980533,2017-08-29T04:22:13Z,VDA7089,"31.718414,35.996181",0,25,289
1503980524,2017-08-29T04:22:04Z,VDA7089,"31.718239,35.996773",0,34,289
1503980515,2017-08-29T04:21:55Z,VDA7089,"31.717995,35.997597",0,17,289
1503980509,2017-08-29T04:21:49Z,VDA7089,"31.717815,35.998184",0,19,289
1503980503,2017-08-29T04:21:43Z,VDA7089,"31.717646,35.998695",0,18,289
1503980496,2017-08-29T04:21:36Z,VDA7089,"31.717484,35.99926",0,17,284
1503980487,2017-08-29T04:21:27Z,VDA7089,"31.717335,36.000488",0,22,267
1503980481,2017-08-29T04:21:21Z,VDA7089,"31.717358,36.000893",0,23,267
1503980475,2017-08-29T04:21:15Z,VDA7089,"31.717459,36.001881",0,29,258
1503980425,2017-08-29T04:20:25Z,VDA7089,"31.7211,36.027401",2625,125,259
1503980419,2017-08-29T04:20:19Z,VDA7089,"31.721626,36.031036",2700,125,259
1503980413,2017-08-29T04:20:13Z,VDA7089,"31.72229,36.035263",2800,124,259
1503980400,2017-08-29T04:20:00Z,VDA7089,"31.727165,36.067841",2900,125,260
1503980359,2017-08-29T04:19:19Z,VDA7089,"31.727352,36.069267",3300,122,260
1503980353,2017-08-29T04:19:13Z,VDA7089,"31.727957,36.073498",3375,123,260
