Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505384827,2017-09-14T10:27:07Z,VDA9119,"41.669815,-1.038943",0,19,298
1505384818,2017-09-14T10:26:58Z,VDA9119,"41.669586,-1.039098",0,18,298
1505384807,2017-09-14T10:26:47Z,VDA9119,"41.669334,-1.039332",0,20,298
1505384797,2017-09-14T10:26:37Z,VDA9119,"41.668991,-1.039374",0,20,298
1505384787,2017-09-14T10:26:27Z,VDA9119,"41.668728,-1.038988",0,29,298
1505384777,2017-09-14T10:26:17Z,VDA9119,"41.668362,-1.038099",0,20,298
1505384767,2017-09-14T10:26:07Z,VDA9119,"41.667732,-1.036585",0,29,298
1505384757,2017-09-14T10:25:57Z,VDA9119,"41.667023,-1.034935",0,31,300
1505384732,2017-09-14T10:25:32Z,VDA9119,"41.665157,-1.030639",0,30,300
1505384722,2017-09-14T10:25:22Z,VDA9119,"41.664539,-1.029204",0,33,298
1505384712,2017-09-14T10:25:12Z,VDA9119,"41.663715,-1.027269",0,36,300
1505384702,2017-09-14T10:25:02Z,VDA9119,"41.662762,-1.025098",0,44,300
1505384692,2017-09-14T10:24:52Z,VDA9119,"41.661671,-1.022543",0,57,300
1505384677,2017-09-14T10:24:37Z,VDA9119,"41.658863,-1.016092",0,105,300
1505384667,2017-09-14T10:24:27Z,VDA9119,"41.656292,-1.010167",675,115,299
1505384657,2017-09-14T10:24:17Z,VDA9119,"41.653641,-1.004035",800,119,299
1505384647,2017-09-14T10:24:07Z,VDA9119,"41.650894,-0.997393",900,112,299
1505384636,2017-09-14T10:23:56Z,VDA9119,"41.648346,-0.991516",1000,112,299
1505384626,2017-09-14T10:23:46Z,VDA9119,"41.645645,-0.985149",1075,113,299
1505384617,2017-09-14T10:23:37Z,VDA9119,"41.64307,-0.979188",1200,112,300
1505384606,2017-09-14T10:23:26Z,VDA9119,"41.640465,-0.97312",1300,115,298
1505384597,2017-09-14T10:23:17Z,VDA9119,"41.637718,-0.966733",1375,115,300
1505384591,2017-09-14T10:23:11Z,VDA9119,"41.636398,-0.963801",1425,115,300
1505384581,2017-09-14T10:23:01Z,VDA9119,"41.633667,-0.957344",1525,118,298
1505384572,2017-09-14T10:22:52Z,VDA9119,"41.631016,-0.950892",1625,116,300
1505384566,2017-09-14T10:22:46Z,VDA9119,"41.629623,-0.94782",1700,116,301
1505384556,2017-09-14T10:22:36Z,VDA9119,"41.626968,-0.941703",1825,114,298
1505384546,2017-09-14T10:22:26Z,VDA9119,"41.624218,-0.935307",1925,115,300
1505384536,2017-09-14T10:22:16Z,VDA9119,"41.621471,-0.928983",2025,119,298
1505384526,2017-09-14T10:22:06Z,VDA9119,"41.618725,-0.922404",2100,124,299
1505384516,2017-09-14T10:21:56Z,VDA9119,"41.615837,-0.915634",2200,121,300
1505384506,2017-09-14T10:21:46Z,VDA9119,"41.612907,-0.908991",2300,118,299
1505384277,2017-09-14T10:17:57Z,VDA9119,"41.532074,-0.724848",3525,179,303
1505384271,2017-09-14T10:17:51Z,VDA9119,"41.529343,-0.719477",3650,179,304
1505384262,2017-09-14T10:17:42Z,VDA9119,"41.5252,-0.711301",3800,183,303
1505384256,2017-09-14T10:17:36Z,VDA9119,"41.522408,-0.705552",3900,187,301
1505384248,2017-09-14T10:17:28Z,VDA9119,"41.518433,-0.696571",4000,190,298
1505384241,2017-09-14T10:17:21Z,VDA9119,"41.515892,-0.690031",4050,192,295
1505384235,2017-09-14T10:17:15Z,VDA9119,"41.513718,-0.683649",4075,195,293
1505384229,2017-09-14T10:17:09Z,VDA9119,"41.511517,-0.67649",4100,198,290
1505384223,2017-09-14T10:17:03Z,VDA9119,"41.509827,-0.669916",4100,201,287
1505384214,2017-09-14T10:16:54Z,VDA9119,"41.507603,-0.65886",4100,206,280
1505384208,2017-09-14T10:16:48Z,VDA9119,"41.506805,-0.651502",4100,207,270
1505384202,2017-09-14T10:16:42Z,VDA9119,"41.507,-0.643211",4150,205,262
1505384196,2017-09-14T10:16:36Z,VDA9119,"41.507996,-0.635584",4250,200,257
1505384190,2017-09-14T10:16:30Z,VDA9119,"41.509281,-0.628903",4350,199,253
1505384184,2017-09-14T10:16:24Z,VDA9119,"41.510971,-0.621851",4500,200,251
1505384178,2017-09-14T10:16:18Z,VDA9119,"41.512726,-0.614915",4625,201,251
1505384172,2017-09-14T10:16:12Z,VDA9119,"41.514771,-0.607057",4700,206,251
1505384166,2017-09-14T10:16:06Z,VDA9119,"41.516464,-0.600253",4700,212,251
1505384160,2017-09-14T10:16:00Z,VDA9119,"41.518478,-0.592138",4750,220,252
1505384154,2017-09-14T10:15:54Z,VDA9119,"41.520218,-0.58496",4850,220,252
1505384142,2017-09-14T10:15:42Z,VDA9119,"41.524223,-0.568479",5025,225,251
1505384130,2017-09-14T10:15:30Z,VDA9119,"41.528412,-0.552188",5175,229,251
1505384118,2017-09-14T10:15:18Z,VDA9119,"41.532322,-0.536605",5200,235,251
1505384106,2017-09-14T10:15:06Z,VDA9119,"41.536606,-0.519232",5225,241,252
1505384094,2017-09-14T10:14:54Z,VDA9119,"41.540703,-0.502177",5300,246,252
1505384082,2017-09-14T10:14:42Z,VDA9119,"41.545685,-0.482568",5525,245,250
1505384070,2017-09-14T10:14:30Z,VDA9119,"41.549362,-0.46826",5700,244,251
1505384058,2017-09-14T10:14:18Z,VDA9119,"41.553589,-0.450564",5825,247,252
1505384046,2017-09-14T10:14:06Z,VDA9119,"41.557743,-0.433321",5900,251,251
1505384034,2017-09-14T10:13:54Z,VDA9119,"41.562397,-0.415181",6075,250,251
1505384022,2017-09-14T10:13:42Z,VDA9119,"41.566589,-0.398317",6225,252,251
1505384010,2017-09-14T10:13:30Z,VDA9119,"41.570984,-0.380526",6350,255,251
1505383998,2017-09-14T10:13:18Z,VDA9119,"41.575619,-0.362293",6575,252,251
1505383985,2017-09-14T10:13:05Z,VDA9119,"41.580048,-0.344446",6850,249,252
1505383974,2017-09-14T10:12:54Z,VDA9119,"41.584415,-0.32646",7050,248,251
1505383962,2017-09-14T10:12:42Z,VDA9119,"41.588654,-0.309661",7225,249,251
1505383949,2017-09-14T10:12:29Z,VDA9119,"41.592911,-0.292136",7400,249,252
1505383937,2017-09-14T10:12:17Z,VDA9119,"41.597076,-0.274471",7575,249,251
1505383925,2017-09-14T10:12:05Z,VDA9119,"41.601746,-0.256493",7825,247,250
1505383914,2017-09-14T10:11:54Z,VDA9119,"41.606014,-0.2394",8100,246,252
1505383902,2017-09-14T10:11:42Z,VDA9119,"41.610123,-0.221724",8225,250,252
1505383890,2017-09-14T10:11:30Z,VDA9119,"41.614349,-0.20395",8325,255,251
1505383853,2017-09-14T10:10:53Z,VDA9119,"41.628082,-0.147038",8850,267,252
1505383841,2017-09-14T10:10:41Z,VDA9119,"41.632965,-0.127092",9050,268,251
1505383829,2017-09-14T10:10:29Z,VDA9119,"41.637299,-0.109672",9250,270,252
1505383817,2017-09-14T10:10:17Z,VDA9119,"41.641708,-0.090824",9450,271,253
1505383806,2017-09-14T10:10:06Z,VDA9119,"41.646889,-0.068665",9700,273,252
1505383793,2017-09-14T10:09:53Z,VDA9119,"41.651127,-0.051738",9900,274,251
1505383781,2017-09-14T10:09:41Z,VDA9119,"41.655716,-0.032147",10200,274,253
1505383766,2017-09-14T10:09:26Z,VDA9119,"41.661274,-0.008304",10600,274,250
1505383760,2017-09-14T10:09:20Z,VDA9119,"41.663975,0.001788",10750,275,251
1505383733,2017-09-14T10:08:53Z,VDA9119,"41.668442,0.047522",11300,275,272
1505383701,2017-09-14T10:08:21Z,VDA9119,"41.666954,0.101879",12050,276,272
1505383668,2017-09-14T10:07:48Z,VDA9119,"41.66523,0.158088",12725,279,271
1505383635,2017-09-14T10:07:15Z,VDA9119,"41.663818,0.215856",13225,290,271
1505383602,2017-09-14T10:06:42Z,VDA9119,"41.662262,0.27703",13675,307,272
1505383569,2017-09-14T10:06:09Z,VDA9119,"41.660389,0.341279",14300,322,271
1505383536,2017-09-14T10:05:36Z,VDA9119,"41.6586,0.40743",15325,325,272
1505383503,2017-09-14T10:05:03Z,VDA9119,"41.656815,0.474285",16300,331,272
1505383471,2017-09-14T10:04:31Z,VDA9119,"41.655128,0.539288",17200,339,271
1505383409,2017-09-14T10:03:29Z,VDA9119,"41.650497,0.672101",19350,345,269
1505383396,2017-09-14T10:03:16Z,VDA9119,"41.65036,0.70119",19775,347,273
1505383363,2017-09-14T10:02:43Z,VDA9119,"41.637951,0.768532",20900,354,288
1505383299,2017-09-14T10:01:39Z,VDA9119,"41.603806,0.904624",23200,365,288
1505383236,2017-09-14T10:00:36Z,VDA9119,"41.569748,1.039519",25400,378,288
