Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503181307,2017-08-19T22:21:47Z,VDA7101,"51.409058,12.201802",0,18,244
1503181298,2017-08-19T22:21:38Z,VDA7101,"51.409195,12.202248",0,24,227
1503181217,2017-08-19T22:20:17Z,VDA7101,"51.411709,12.206554",0,27,272
1503181099,2017-08-19T22:18:19Z,VDA7101,"51.413212,12.23927",0,105,264
1503181071,2017-08-19T22:17:51Z,VDA7101,"51.414246,12.261963",425,118,266
1503181059,2017-08-19T22:17:39Z,VDA7101,"51.41478,12.272545",550,124,265
1503181053,2017-08-19T22:17:33Z,VDA7101,"51.415054,12.277964",625,121,265
1503181047,2017-08-19T22:17:27Z,VDA7101,"51.415272,12.283554",700,116,267
1503181041,2017-08-19T22:17:21Z,VDA7101,"51.415459,12.288895",750,113,266
1503181035,2017-08-19T22:17:15Z,VDA7101,"51.415642,12.293777",825,116,265
1503181029,2017-08-19T22:17:09Z,VDA7101,"51.415924,12.299417",900,115,264
1503181023,2017-08-19T22:17:03Z,VDA7101,"51.416199,12.303797",925,115,265
1503181017,2017-08-19T22:16:57Z,VDA7101,"51.416481,12.309189",1000,114,265
1503181011,2017-08-19T22:16:51Z,VDA7101,"51.416748,12.314263",1050,111,266
1503181005,2017-08-19T22:16:45Z,VDA7101,"51.416946,12.319107",1100,112,266
1503180999,2017-08-19T22:16:39Z,VDA7101,"51.417133,12.324142",1150,113,266
1503180990,2017-08-19T22:16:30Z,VDA7101,"51.417458,12.331924",1250,112,265
1503180984,2017-08-19T22:16:24Z,VDA7101,"51.41774,12.337418",1325,113,265
1503180978,2017-08-19T22:16:18Z,VDA7101,"51.417938,12.342026",1400,115,266
1503180972,2017-08-19T22:16:12Z,VDA7101,"51.418167,12.347148",1450,117,266
1503180966,2017-08-19T22:16:06Z,VDA7101,"51.418396,12.352419",1525,118,266
1503180960,2017-08-19T22:16:00Z,VDA7101,"51.418621,12.358322",1600,117,266
1503180954,2017-08-19T22:15:54Z,VDA7101,"51.418854,12.362811",1650,117,266
1503180947,2017-08-19T22:15:47Z,VDA7101,"51.419086,12.36824",1700,118,266
1503180941,2017-08-19T22:15:41Z,VDA7101,"51.419357,12.373352",1750,117,265
1503180935,2017-08-19T22:15:35Z,VDA7101,"51.419647,12.379074",1825,117,265
1503180929,2017-08-19T22:15:29Z,VDA7101,"51.41988,12.383957",1875,118,265
1503180923,2017-08-19T22:15:23Z,VDA7101,"51.420181,12.389312",1950,116,265
1503180917,2017-08-19T22:15:17Z,VDA7101,"51.420437,12.394791",2000,117,266
1503180911,2017-08-19T22:15:11Z,VDA7101,"51.420639,12.399778",2075,118,266
1503180905,2017-08-19T22:15:05Z,VDA7101,"51.420868,12.404975",2125,117,266
1503180899,2017-08-19T22:14:59Z,VDA7101,"51.421051,12.410468",2200,117,267
1503180893,2017-08-19T22:14:53Z,VDA7101,"51.42128,12.415738",2250,119,266
1503180887,2017-08-19T22:14:47Z,VDA7101,"51.421509,12.421083",2325,119,265
1503180881,2017-08-19T22:14:41Z,VDA7101,"51.421783,12.426799",2400,117,265
1503180875,2017-08-19T22:14:35Z,VDA7101,"51.42202,12.431488",2475,119,265
1503180869,2017-08-19T22:14:29Z,VDA7101,"51.422287,12.43682",2550,120,265
1503180863,2017-08-19T22:14:23Z,VDA7101,"51.422581,12.442551",2650,122,265
1503180857,2017-08-19T22:14:17Z,VDA7101,"51.422859,12.448273",2725,124,265
1503180851,2017-08-19T22:14:11Z,VDA7101,"51.423138,12.453842",2800,124,265
1503180845,2017-08-19T22:14:05Z,VDA7101,"51.423466,12.459793",2850,126,265
1503180839,2017-08-19T22:13:59Z,VDA7101,"51.42366,12.464509",2900,125,265
1503180833,2017-08-19T22:13:53Z,VDA7101,"51.423935,12.470224",2950,121,265
1503180827,2017-08-19T22:13:47Z,VDA7101,"51.42421,12.475433",3000,119,266
1503180821,2017-08-19T22:13:41Z,VDA7101,"51.424397,12.48085",3050,122,267
1503180814,2017-08-19T22:13:34Z,VDA7101,"51.42458,12.486725",3125,124,267
1503180806,2017-08-19T22:13:26Z,VDA7101,"51.42485,12.494944",3200,122,267
1503180799,2017-08-19T22:13:19Z,VDA7101,"51.424999,12.500229",3250,124,267
1503180793,2017-08-19T22:13:13Z,VDA7101,"51.425217,12.506004",3300,128,266
1503180787,2017-08-19T22:13:07Z,VDA7101,"51.425446,12.512017",3375,129,265
1503180781,2017-08-19T22:13:01Z,VDA7101,"51.425697,12.517853",3450,124,265
1503180775,2017-08-19T22:12:55Z,VDA7101,"51.425995,12.523227",3500,123,265
1503180769,2017-08-19T22:12:49Z,VDA7101,"51.426258,12.529068",3600,126,266
1503180763,2017-08-19T22:12:43Z,VDA7101,"51.426445,12.534714",3650,128,266
1503180757,2017-08-19T22:12:37Z,VDA7101,"51.426636,12.540523",3725,130,267
1503180751,2017-08-19T22:12:31Z,VDA7101,"51.426819,12.546312",3800,132,267
1503180745,2017-08-19T22:12:25Z,VDA7101,"51.426956,12.552109",3875,135,267
