Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503637401,2017-08-25T05:03:21Z,VDA8268,"30.106682,31.391008",0,20,255
1503637393,2017-08-25T05:03:13Z,VDA8268,"30.106476,31.391077",0,20,255
1503637387,2017-08-25T05:03:07Z,VDA8268,"30.10627,31.391144",0,20,255
1503637378,2017-08-25T05:02:58Z,VDA8268,"30.105949,31.391235",0,20,255
1503637372,2017-08-25T05:02:52Z,VDA8268,"30.10574,31.391262",0,21,255
1503637360,2017-08-25T05:02:40Z,VDA8268,"30.10532,31.391521",0,25,255
1503637354,2017-08-25T05:02:34Z,VDA8268,"30.105263,31.391853",0,24,255
1503637348,2017-08-25T05:02:28Z,VDA8268,"30.10532,31.392155",0,31,255
1503637342,2017-08-25T05:02:22Z,VDA8268,"30.105436,31.392691",0,16,255
1503637333,2017-08-25T05:02:13Z,VDA8268,"30.105629,31.393446",0,18,253
1503637325,2017-08-25T05:02:05Z,VDA8268,"30.105824,31.394308",0,19,255
1503637318,2017-08-25T05:01:58Z,VDA8268,"30.105961,31.394928",0,17,255
1503637312,2017-08-25T05:01:52Z,VDA8268,"30.106052,31.395426",0,15,230
1503637306,2017-08-25T05:01:46Z,VDA8268,"30.106148,31.395918",0,33,230
1503637297,2017-08-25T05:01:37Z,VDA8268,"30.106281,31.396502",0,27,230
1503637291,2017-08-25T05:01:31Z,VDA8268,"30.106361,31.396799",0,23,230
1503637285,2017-08-25T05:01:25Z,VDA8268,"30.106449,31.397114",0,23,230
1503637279,2017-08-25T05:01:19Z,VDA8268,"30.106508,31.397373",0,27,230
1503637273,2017-08-25T05:01:13Z,VDA8268,"30.106533,31.397741",0,26,230
1503637267,2017-08-25T05:01:07Z,VDA8268,"30.106508,31.398088",0,25,230
1503637261,2017-08-25T05:01:01Z,VDA8268,"30.106293,31.398279",0,26,230
1503637255,2017-08-25T05:00:55Z,VDA8268,"30.105995,31.398363",0,27,230
1503637249,2017-08-25T05:00:49Z,VDA8268,"30.10568,31.398445",0,27,230
1503637243,2017-08-25T05:00:43Z,VDA8268,"30.105368,31.3985",0,31,230
1503637237,2017-08-25T05:00:37Z,VDA8268,"30.105068,31.398737",0,28,230
1503637231,2017-08-25T05:00:31Z,VDA8268,"30.104891,31.399008",0,26,230
1503637216,2017-08-25T05:00:16Z,VDA8268,"30.104988,31.399719",0,29,230
1503637210,2017-08-25T05:00:10Z,VDA8268,"30.10524,31.400084",0,17,230
1503637204,2017-08-25T05:00:04Z,VDA8268,"30.105612,31.40056",0,19,227
1503637198,2017-08-25T04:59:58Z,VDA8268,"30.105915,31.400972",0,17,227
1503637189,2017-08-25T04:59:49Z,VDA8268,"30.106356,31.401562",0,32,227
1503637168,2017-08-25T04:59:28Z,VDA8268,"30.107059,31.402399",0,22,227
1503637152,2017-08-25T04:59:12Z,VDA8268,"30.10709,31.402935",0,18,227
1503637144,2017-08-25T04:59:04Z,VDA8268,"30.106846,31.403225",0,21,227
