Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504323746,2017-09-02T03:42:26Z,VDA9148,"46.046028,51.396927",19400,386,5
1504323108,2017-09-02T03:31:48Z,VDA9148,"44.798676,51.222645",33050,449,5
1504323047,2017-09-02T03:30:47Z,VDA9148,"44.669571,51.20647",33000,449,4
1504322983,2017-09-02T03:29:43Z,VDA9148,"44.53648,51.189655",33000,447,5
1504322920,2017-09-02T03:28:40Z,VDA9148,"44.408367,51.173447",33025,447,5
1504322858,2017-09-02T03:27:38Z,VDA9148,"44.280075,51.157051",33025,447,5
1504322796,2017-09-02T03:26:36Z,VDA9148,"44.152588,51.140656",33000,449,4
1504322735,2017-09-02T03:25:35Z,VDA9148,"44.024872,51.126316",33025,448,4
1504322670,2017-09-02T03:24:30Z,VDA9148,"43.892715,51.110508",33050,455,9
1504322621,2017-09-02T03:23:41Z,VDA9148,"43.790268,51.105076",33025,447,359
1504322558,2017-09-02T03:22:38Z,VDA9148,"43.658707,51.102779",33025,450,1
1504322495,2017-09-02T03:21:35Z,VDA9148,"43.527042,51.09898",33025,451,1
1504322432,2017-09-02T03:20:32Z,VDA9148,"43.396225,51.096264",33000,452,359
1504322367,2017-09-02T03:19:27Z,VDA9148,"43.260529,51.09388",33025,453,359
1504322303,2017-09-02T03:18:23Z,VDA9148,"43.124496,51.091537",33050,456,359
1504322234,2017-09-02T03:17:14Z,VDA9148,"42.981033,51.089172",33075,456,359
1504322170,2017-09-02T03:16:10Z,VDA9148,"42.844208,51.087002",33075,455,359
1504322105,2017-09-02T03:15:05Z,VDA9148,"42.708279,51.085278",33075,454,359
1504322044,2017-09-02T03:14:04Z,VDA9148,"42.578819,51.083103",33025,454,359
1504321981,2017-09-02T03:13:01Z,VDA9148,"42.446098,51.081123",33000,453,359
1504321917,2017-09-02T03:11:57Z,VDA9148,"42.313705,51.079185",33050,453,359
1504321854,2017-09-02T03:10:54Z,VDA9148,"42.180843,51.077099",33025,453,359
1504321791,2017-09-02T03:09:51Z,VDA9148,"42.048634,51.075249",33025,452,359
1504321727,2017-09-02T03:08:47Z,VDA9148,"41.916138,51.073318",33025,451,359
1504321664,2017-09-02T03:07:44Z,VDA9148,"41.783752,51.071224",33025,449,359
1504321601,2017-09-02T03:06:41Z,VDA9148,"41.651775,51.069054",33000,449,359
1504321537,2017-09-02T03:05:37Z,VDA9148,"41.519291,51.066944",33000,447,359
1504321474,2017-09-02T03:04:34Z,VDA9148,"41.390247,51.064899",33000,444,359
1504321411,2017-09-02T03:03:31Z,VDA9148,"41.260178,51.063206",33000,446,359
1504321347,2017-09-02T03:02:27Z,VDA9148,"41.129787,51.061146",33025,447,359
1504321284,2017-09-02T03:01:24Z,VDA9148,"40.997856,51.058899",33025,448,359
1504321221,2017-09-02T03:00:21Z,VDA9148,"40.862671,51.056652",33050,451,359
1504321157,2017-09-02T02:59:17Z,VDA9148,"40.732498,51.054321",33025,454,359
1504321094,2017-09-02T02:58:14Z,VDA9148,"40.599091,51.052032",33075,455,359
1504321030,2017-09-02T02:57:10Z,VDA9148,"40.466171,51.049805",33050,456,359
1504320967,2017-09-02T02:56:07Z,VDA9148,"40.332066,51.047661",33050,457,359
1504320904,2017-09-02T02:55:04Z,VDA9148,"40.197968,51.045471",33050,456,359
1504320841,2017-09-02T02:54:01Z,VDA9148,"40.065903,51.043091",33050,456,359
1504320775,2017-09-02T02:52:55Z,VDA9148,"39.925621,51.041046",33050,456,359
1504320712,2017-09-02T02:51:52Z,VDA9148,"39.792061,51.039185",33050,454,359
1504320648,2017-09-02T02:50:48Z,VDA9148,"39.658596,51.037354",33050,453,359
1504320585,2017-09-02T02:49:45Z,VDA9148,"39.526386,51.035645",33025,452,359
1504320521,2017-09-02T02:48:41Z,VDA9148,"39.393127,51.03418",33025,449,359
1504320458,2017-09-02T02:47:38Z,VDA9148,"39.261887,51.032627",33025,446,359
1504320395,2017-09-02T02:46:35Z,VDA9148,"39.132111,51.031254",33000,444,359
1504320332,2017-09-02T02:45:32Z,VDA9148,"39.002838,51.029644",32975,439,359
1504320268,2017-09-02T02:44:28Z,VDA9148,"38.87439,51.027733",32675,442,359
1504320202,2017-09-02T02:43:22Z,VDA9148,"38.736771,51.02771",32375,445,359
1504320136,2017-09-02T02:42:16Z,VDA9148,"38.59972,51.028137",31975,453,359
1504320073,2017-09-02T02:41:13Z,VDA9148,"38.466904,51.028259",32000,452,359
1504320011,2017-09-02T02:40:11Z,VDA9148,"38.338047,51.027973",32000,452,359
1504319948,2017-09-02T02:39:08Z,VDA9148,"38.207336,51.026936",32025,452,359
1504319866,2017-09-02T02:37:46Z,VDA9148,"38.036499,51.026646",32050,451,359
1504319860,2017-09-02T02:37:40Z,VDA9148,"38.023636,51.026836",32075,451,359
1504319854,2017-09-02T02:37:34Z,VDA9148,"38.010727,51.027168",32050,450,358
1504319848,2017-09-02T02:37:28Z,VDA9148,"37.99823,51.027931",32050,448,355
1504319824,2017-09-02T02:37:04Z,VDA9148,"37.949341,51.040611",32050,440,344
1504319761,2017-09-02T02:36:01Z,VDA9148,"37.824234,51.08321",32050,441,345
1504319700,2017-09-02T02:35:00Z,VDA9148,"37.705265,51.123146",32050,440,345
1504319637,2017-09-02T02:33:57Z,VDA9148,"37.58046,51.164944",32025,440,345
1504319574,2017-09-02T02:32:54Z,VDA9148,"37.454361,51.20599",32000,442,345
1504319513,2017-09-02T02:31:53Z,VDA9148,"37.335873,51.244354",32000,440,345
