Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504447753,2017-09-03T14:09:13Z,VDA8275,"43.647842,1.342098",575,135,143
1504447747,2017-09-03T14:09:07Z,VDA8275,"43.65097,1.338863",650,135,143
1504447739,2017-09-03T14:08:59Z,VDA8275,"43.655384,1.33425",775,133,141
1504447729,2017-09-03T14:08:49Z,VDA8275,"43.660034,1.329282",875,135,143
1504447723,2017-09-03T14:08:43Z,VDA8275,"43.662926,1.326272",950,137,142
1504447717,2017-09-03T14:08:37Z,VDA8275,"43.666,1.323002",1025,139,142
1504447709,2017-09-03T14:08:29Z,VDA8275,"43.670792,1.318104",1125,141,143
1504447703,2017-09-03T14:08:23Z,VDA8275,"43.67424,1.314632",1200,143,143
1504447696,2017-09-03T14:08:16Z,VDA8275,"43.677402,1.311297",1300,144,142
1504447688,2017-09-03T14:08:08Z,VDA8275,"43.682007,1.306479",1375,143,143
1504447681,2017-09-03T14:08:01Z,VDA8275,"43.685211,1.303157",1425,137,141
1504447675,2017-09-03T14:07:55Z,VDA8275,"43.688187,1.2999",1500,136,141
1504447669,2017-09-03T14:07:49Z,VDA8275,"43.691162,1.296706",1575,138,142
1504447663,2017-09-03T14:07:43Z,VDA8275,"43.694256,1.293379",1675,140,142
1504447657,2017-09-03T14:07:37Z,VDA8275,"43.697468,1.290043",1725,141,143
1504447651,2017-09-03T14:07:31Z,VDA8275,"43.700592,1.286933",1800,143,144
1504447645,2017-09-03T14:07:25Z,VDA8275,"43.703938,1.283569",1875,143,143
1504447639,2017-09-03T14:07:19Z,VDA8275,"43.707001,1.280354",1975,142,143
1504447633,2017-09-03T14:07:13Z,VDA8275,"43.710224,1.27703",2025,141,142
1504447627,2017-09-03T14:07:07Z,VDA8275,"43.713455,1.273648",2100,142,142
1504447621,2017-09-03T14:07:01Z,VDA8275,"43.71666,1.270198",2200,145,142
1504447615,2017-09-03T14:06:55Z,VDA8275,"43.719814,1.266959",2300,147,143
1504447607,2017-09-03T14:06:47Z,VDA8275,"43.725082,1.261703",2425,147,144
1504447600,2017-09-03T14:06:40Z,VDA8275,"43.728241,1.258637",2525,147,144
1504447594,2017-09-03T14:06:34Z,VDA8275,"43.731636,1.255319",2625,148,144
1504447588,2017-09-03T14:06:28Z,VDA8275,"43.734924,1.252122",2725,148,145
1504447582,2017-09-03T14:06:22Z,VDA8275,"43.738434,1.248714",2800,149,144
1504447576,2017-09-03T14:06:16Z,VDA8275,"43.741745,1.245351",2925,148,143
1504447570,2017-09-03T14:06:10Z,VDA8275,"43.745316,1.241711",3000,152,142
1504447564,2017-09-03T14:06:04Z,VDA8275,"43.748535,1.238185",3025,156,140
1504447555,2017-09-03T14:05:55Z,VDA8275,"43.753601,1.232129",3050,165,137
1504447549,2017-09-03T14:05:49Z,VDA8275,"43.757195,1.227657",3050,172,136
1504447543,2017-09-03T14:05:43Z,VDA8275,"43.760834,1.222868",3100,179,136
1504447536,2017-09-03T14:05:36Z,VDA8275,"43.764313,1.218333",3050,190,136
1504447528,2017-09-03T14:05:28Z,VDA8275,"43.770416,1.210393",3025,195,136
1504447519,2017-09-03T14:05:19Z,VDA8275,"43.776672,1.2023",3050,193,139
1504447512,2017-09-03T14:05:12Z,VDA8275,"43.780376,1.198229",3050,193,144
1504447491,2017-09-03T14:04:51Z,VDA8275,"43.79837,1.189462",3075,197,182
1504447485,2017-09-03T14:04:45Z,VDA8275,"43.804073,1.190251",3075,197,189
1504447479,2017-09-03T14:04:39Z,VDA8275,"43.809174,1.191697",3075,198,195
1504447473,2017-09-03T14:04:33Z,VDA8275,"43.814713,1.194444",3075,198,207
1504447467,2017-09-03T14:04:27Z,VDA8275,"43.819294,1.198425",3075,199,218
1504447459,2017-09-03T14:04:19Z,VDA8275,"43.824783,1.207027",3075,197,240
1504447452,2017-09-03T14:04:12Z,VDA8275,"43.827118,1.214055",3050,195,253
1504447446,2017-09-03T14:04:06Z,VDA8275,"43.828308,1.221207",3000,195,263
