Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504978387,2017-09-09T17:33:07Z,VDA4916,"40.277134,53.031754",7150,278,144
1504978372,2017-09-09T17:32:52Z,VDA4916,"40.291893,53.017899",7350,282,144
1504978359,2017-09-09T17:32:39Z,VDA4916,"40.304554,53.006039",7625,282,144
1504978347,2017-09-09T17:32:27Z,VDA4916,"40.317719,52.993713",7900,282,144
1504978335,2017-09-09T17:32:15Z,VDA4916,"40.330952,52.981319",8225,282,144
1504978323,2017-09-09T17:32:03Z,VDA4916,"40.343426,52.969521",8400,286,143
1504978311,2017-09-09T17:31:51Z,VDA4916,"40.356537,52.957031",8550,289,143
1504978299,2017-09-09T17:31:39Z,VDA4916,"40.371635,52.942554",8775,292,143
1504978287,2017-09-09T17:31:27Z,VDA4916,"40.383507,52.931316",8900,295,144
1504978275,2017-09-09T17:31:15Z,VDA4916,"40.396355,52.919083",9075,297,144
1504978263,2017-09-09T17:31:03Z,VDA4916,"40.411011,52.905396",9275,299,144
1504978251,2017-09-09T17:30:51Z,VDA4916,"40.42387,52.893238",9475,299,144
1504978239,2017-09-09T17:30:39Z,VDA4916,"40.437508,52.880444",9700,299,144
1504978227,2017-09-09T17:30:27Z,VDA4916,"40.451286,52.867397",9975,300,144
1504978211,2017-09-09T17:30:11Z,VDA4916,"40.468979,52.850605",10400,301,144
1504978199,2017-09-09T17:29:59Z,VDA4916,"40.482513,52.837708",10650,306,144
1504978187,2017-09-09T17:29:47Z,VDA4916,"40.497025,52.823975",10850,315,144
1504978175,2017-09-09T17:29:35Z,VDA4916,"40.510757,52.811096",11025,322,144
1504978169,2017-09-09T17:29:29Z,VDA4916,"40.518677,52.803894",11125,328,145
1504978163,2017-09-09T17:29:23Z,VDA4916,"40.526051,52.797298",11225,333,146
1504978157,2017-09-09T17:29:17Z,VDA4916,"40.533646,52.790771",11300,338,147
1504978151,2017-09-09T17:29:11Z,VDA4916,"40.541924,52.784187",11375,343,150
1504978139,2017-09-09T17:28:59Z,VDA4916,"40.559616,52.774075",11725,349,163
1504978108,2017-09-09T17:28:28Z,VDA4916,"40.607895,52.753296",12525,364,159
1504978075,2017-09-09T17:27:55Z,VDA4916,"40.660774,52.727821",13375,369,159
1504978042,2017-09-09T17:27:22Z,VDA4916,"40.714188,52.702148",14175,375,159
1504977947,2017-09-09T17:25:47Z,VDA4916,"40.873169,52.624695",16825,389,159
