Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505462867,2017-09-15T08:07:47Z,VDA7135,"51.409275,12.204455",0,2,264
1505462855,2017-09-15T08:07:35Z,VDA7135,"51.408302,12.204641",0,11,264
1505462813,2017-09-15T08:06:53Z,VDA7135,"51.409451,12.204399",0,27,264
1505462807,2017-09-15T08:06:47Z,VDA7135,"51.409706,12.204437",0,26,264
1505462801,2017-09-15T08:06:41Z,VDA7135,"51.409966,12.204552",0,26,264
1505462795,2017-09-15T08:06:35Z,VDA7135,"51.410339,12.204734",0,31,264
1505462789,2017-09-15T08:06:29Z,VDA7135,"51.410648,12.204865",0,33,264
1505462783,2017-09-15T08:06:23Z,VDA7135,"51.411209,12.205105",0,32,264
1505462682,2017-09-15T08:04:42Z,VDA7135,"51.412743,12.228544",0,40,264
1505462616,2017-09-15T08:03:36Z,VDA7135,"51.414597,12.268313",675,123,265
1505462610,2017-09-15T08:03:30Z,VDA7135,"51.414944,12.275162",775,125,265
1505462604,2017-09-15T08:03:24Z,VDA7135,"51.415237,12.280859",825,124,265
1505462595,2017-09-15T08:03:15Z,VDA7135,"51.415512,12.287021",925,122,266
1505462589,2017-09-15T08:03:09Z,VDA7135,"51.415787,12.29281",975,120,266
1505462577,2017-09-15T08:02:57Z,VDA7135,"51.41629,12.303055",1100,118,265
1505462571,2017-09-15T08:02:51Z,VDA7135,"51.416519,12.30825",1150,118,266
1505462565,2017-09-15T08:02:45Z,VDA7135,"51.416714,12.313385",1200,117,266
1505462559,2017-09-15T08:02:39Z,VDA7135,"51.416931,12.318866",1275,117,265
1505462553,2017-09-15T08:02:33Z,VDA7135,"51.417206,12.323988",1325,117,265
1505462547,2017-09-15T08:02:27Z,VDA7135,"51.417412,12.329254",1400,117,266
1505462541,2017-09-15T08:02:21Z,VDA7135,"51.417645,12.334518",1450,117,266
1505462534,2017-09-15T08:02:14Z,VDA7135,"51.417847,12.339725",1525,116,266
1505462528,2017-09-15T08:02:08Z,VDA7135,"51.418018,12.344971",1600,118,266
1505462522,2017-09-15T08:02:02Z,VDA7135,"51.418259,12.350043",1675,120,266
1505462513,2017-09-15T08:01:53Z,VDA7135,"51.418625,12.358134",1775,122,265
1505462507,2017-09-15T08:01:47Z,VDA7135,"51.4189,12.363851",1850,123,265
1505462501,2017-09-15T08:01:41Z,VDA7135,"51.419128,12.369046",1875,123,266
1505462495,2017-09-15T08:01:35Z,VDA7135,"51.419403,12.374763",1925,122,265
1505462489,2017-09-15T08:01:29Z,VDA7135,"51.419693,12.380066",1975,122,265
1505462483,2017-09-15T08:01:23Z,VDA7135,"51.419952,12.385674",2025,122,265
1505462477,2017-09-15T08:01:17Z,VDA7135,"51.420227,12.391464",2075,121,266
1505462471,2017-09-15T08:01:11Z,VDA7135,"51.420456,12.396586",2125,120,266
1505462465,2017-09-15T08:01:05Z,VDA7135,"51.42067,12.401962",2200,116,265
1505462459,2017-09-15T08:00:59Z,VDA7135,"51.420902,12.406616",2275,115,265
1505462453,2017-09-15T08:00:53Z,VDA7135,"51.42123,12.412262",2375,117,265
1505462445,2017-09-15T08:00:45Z,VDA7135,"51.4216,12.419747",2475,120,265
1505462438,2017-09-15T08:00:38Z,VDA7135,"51.421875,12.425463",2575,123,266
1505462417,2017-09-15T08:00:17Z,VDA7135,"51.422348,12.444687",2900,125,270
1505462411,2017-09-15T08:00:11Z,VDA7135,"51.422333,12.450331",2975,126,270
1505462405,2017-09-15T08:00:05Z,VDA7135,"51.422253,12.45697",3025,131,271
1505462399,2017-09-15T07:59:59Z,VDA7135,"51.422161,12.461777",3050,133,272
1505462393,2017-09-15T07:59:53Z,VDA7135,"51.421974,12.468033",3100,137,272
1505462387,2017-09-15T07:59:47Z,VDA7135,"51.421829,12.47401",3125,141,270
1505462381,2017-09-15T07:59:41Z,VDA7135,"51.421883,12.480545",3150,146,266
1505462375,2017-09-15T07:59:35Z,VDA7135,"51.422287,12.487521",3150,156,261
1505462369,2017-09-15T07:59:29Z,VDA7135,"51.423019,12.494053",3100,167,256
1505462363,2017-09-15T07:59:23Z,VDA7135,"51.424488,12.501602",3075,176,247
1505462357,2017-09-15T07:59:17Z,VDA7135,"51.427048,12.509419",3075,182,235
1505462351,2017-09-15T07:59:11Z,VDA7135,"51.42984,12.515106",3075,186,227
1505462345,2017-09-15T07:59:05Z,VDA7135,"51.433502,12.521297",3100,185,225
1505462339,2017-09-15T07:58:59Z,VDA7135,"51.437012,12.526932",3100,181,224
1505462333,2017-09-15T07:58:53Z,VDA7135,"51.440826,12.532883",3100,179,222
1505462325,2017-09-15T07:58:45Z,VDA7135,"51.446503,12.539928",3025,182,208
1505462318,2017-09-15T07:58:38Z,VDA7135,"51.451675,12.543417",3025,186,195
1505462312,2017-09-15T07:58:32Z,VDA7135,"51.456299,12.544976",3000,189,186
1505462306,2017-09-15T07:58:26Z,VDA7135,"51.461498,12.545929",3025,190,185
1505462300,2017-09-15T07:58:20Z,VDA7135,"51.467083,12.546768",3025,195,185
1505462279,2017-09-15T07:57:59Z,VDA7135,"51.487198,12.549356",3075,207,177
1505462273,2017-09-15T07:57:53Z,VDA7135,"51.492599,12.548614",3125,205,170
1505462267,2017-09-15T07:57:47Z,VDA7135,"51.498272,12.546768",3175,202,167
1505462261,2017-09-15T07:57:41Z,VDA7135,"51.503632,12.544902",3250,201,167
1505462255,2017-09-15T07:57:35Z,VDA7135,"51.509258,12.542801",3375,199,167
1505462249,2017-09-15T07:57:29Z,VDA7135,"51.514435,12.540894",3450,201,166
1505462243,2017-09-15T07:57:23Z,VDA7135,"51.520527,12.538605",3500,208,166
1505462237,2017-09-15T07:57:17Z,VDA7135,"51.525925,12.536545",3575,212,166
1505462231,2017-09-15T07:57:11Z,VDA7135,"51.531784,12.534286",3650,215,166
1505462225,2017-09-15T07:57:05Z,VDA7135,"51.537888,12.531891",3800,216,165
1505462219,2017-09-15T07:56:59Z,VDA7135,"51.543045,12.529536",3950,217,161
1505462213,2017-09-15T07:56:53Z,VDA7135,"51.549015,12.525787",4075,221,151
1505462207,2017-09-15T07:56:47Z,VDA7135,"51.555084,12.519663",4225,224,141
1505462201,2017-09-15T07:56:41Z,VDA7135,"51.558929,12.513962",4325,228,131
