Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506020135,2017-09-21T18:55:35Z,VDA7034,"31.805573,-106.395821",4000,161,221
1506020069,2017-09-21T18:54:29Z,VDA7034,"31.830355,-106.351921",4400,164,240
1506020051,2017-09-21T18:54:11Z,VDA7034,"31.834412,-106.338036",4600,164,240
1506020002,2017-09-21T18:53:22Z,VDA7034,"31.850443,-106.299896",5200,163,232
1506019992,2017-09-21T18:53:12Z,VDA7034,"31.853819,-106.291313",5400,157,232
1506019915,2017-09-21T18:51:55Z,VDA7034,"31.8813,-106.207001",6950,283,243
1506019882,2017-09-21T18:51:22Z,VDA7034,"31.884586,-106.19883",7025,283,238
1506019873,2017-09-21T18:51:13Z,VDA7034,"31.889273,-106.186714",7174,283,238
1506019860,2017-09-21T18:51:00Z,VDA7034,"31.891054,-106.182594",7262,283,238
1506019848,2017-09-21T18:50:48Z,VDA7034,"31.89864,-106.164658",7774,283,238
1506019836,2017-09-21T18:50:36Z,VDA7034,"31.901962,-106.156029",7914,283,238
1506019818,2017-09-21T18:50:18Z,VDA7034,"31.911514,-106.135262",8375,283,247
1506019805,2017-09-21T18:50:05Z,VDA7034,"31.917269,-106.116402",8825,283,247
1506019780,2017-09-21T18:49:40Z,VDA7034,"31.921307,-106.104988",8994,283,247
1506019768,2017-09-21T18:49:28Z,VDA7034,"31.929193,-106.077354",9623,283,255
1506019743,2017-09-21T18:49:03Z,VDA7034,"31.932962,-106.061913",9750,283,257
1506019731,2017-09-21T18:48:51Z,VDA7034,"31.936996,-106.042061",9825,283,262
1506019719,2017-09-21T18:48:39Z,VDA7034,"31.939203,-106.025711",9900,283,264
1506019703,2017-09-21T18:48:23Z,VDA7034,"31.943827,-105.984421",10275,283,262
1506019685,2017-09-21T18:48:05Z,VDA7034,"31.945717,-105.959229",10375,283,262
1506019649,2017-09-21T18:47:29Z,VDA7034,"31.932713,-105.876114",10875,283,262
1506019621,2017-09-21T18:47:01Z,VDA7034,"31.941557,-105.838409",10875,283,262
1506019594,2017-09-21T18:46:34Z,VDA7034,"31.945354,-105.821686",10875,283,262
1506019582,2017-09-21T18:46:22Z,VDA7034,"31.946049,-105.810547",10900,283,262
1506019570,2017-09-21T18:46:10Z,VDA7034,"31.950876,-105.786644",10925,283,262
1506019558,2017-09-21T18:45:58Z,VDA7034,"31.952341,-105.777115",10925,283,269
1506019541,2017-09-21T18:45:41Z,VDA7034,"31.977253,-105.73555",10975,283,194
1506019493,2017-09-21T18:44:53Z,VDA7034,"32.112446,-105.694542",11700,283,194
1506019430,2017-09-21T18:43:50Z,VDA7034,"32.165039,-105.708588",11850,283,258
1506019380,2017-09-21T18:43:00Z,VDA7034,"32.114666,-105.569931",12100,283,221
1506019325,2017-09-21T18:42:05Z,VDA7034,"32.198116,-105.479378",12600,317,227
1506019259,2017-09-21T18:40:59Z,VDA7034,"32.304359,-105.359451",13300,338,227
1506019179,2017-09-21T18:39:39Z,VDA7034,"32.617931,-105.0214",21375,361,258
1506019133,2017-09-21T18:38:53Z,VDA7034,"32.368797,-105.286446",16000,361,221
1506019065,2017-09-21T18:37:45Z,VDA7034,"32.472656,-105.175186",17200,372,227
1506019000,2017-09-21T18:36:40Z,VDA7034,"32.583649,-105.05085",18900,373,226
1506018929,2017-09-21T18:35:29Z,VDA7034,"32.663605,-104.970543",22250,400,258
1506018893,2017-09-21T18:34:53Z,VDA7034,"32.679989,-104.950722",22650,400,258
1506018823,2017-09-21T18:33:43Z,VDA7034,"32.739967,-104.85878",24000,400,221
1506018694,2017-09-21T18:31:34Z,VDA7034,"32.912403,-104.668182",24000,394,226
1506018620,2017-09-21T18:30:20Z,VDA7034,"33.019356,-104.550179",24000,401,226
1506018553,2017-09-21T18:29:13Z,VDA7034,"33.144089,-104.439056",24450,100,258
1506018451,2017-09-21T18:27:31Z,VDA7034,"33.278088,-104.272621",27029,100,258
1506018428,2017-09-21T18:27:08Z,VDA7034,"33.290348,-104.250313",27300,100,258
1506018422,2017-09-21T18:27:02Z,VDA7034,"33.29377,-104.241798",27475,100,258
1506018413,2017-09-21T18:26:53Z,VDA7034,"33.297382,-104.215157",28000,100,252
1506018374,2017-09-21T18:26:14Z,VDA7034,"33.402889,-104.176895",30475,100,211
1506018334,2017-09-21T18:25:34Z,VDA7034,"33.454258,-104.137711",31174,100,202
1506018271,2017-09-21T18:24:31Z,VDA7034,"33.549053,-104.070595",31925,100,199
1506018265,2017-09-21T18:24:25Z,VDA7034,"33.56385,-104.063652",31975,100,199
1506018250,2017-09-21T18:24:10Z,VDA7034,"33.605606,-104.037407",31925,100,221
1506018235,2017-09-21T18:23:55Z,VDA7034,"33.613304,-104.032616",31925,100,261
1506018229,2017-09-21T18:23:49Z,VDA7034,"33.618252,-104.01503",31964,100,252
1506018216,2017-09-21T18:23:36Z,VDA7034,"33.625626,-103.98571",31975,100,228
1506018197,2017-09-21T18:23:17Z,VDA7034,"33.646255,-103.950981",32024,100,235
1506018136,2017-09-21T18:22:16Z,VDA7034,"33.708042,-103.828606",31925,100,240
1506018073,2017-09-21T18:21:13Z,VDA7034,"33.762794,-103.710274",31949,100,241
1506018011,2017-09-21T18:20:11Z,VDA7034,"33.817097,-103.593018",31975,100,240
1506017948,2017-09-21T18:19:08Z,VDA7034,"33.876038,-103.466721",31949,100,241
1506017883,2017-09-21T18:18:03Z,VDA7034,"33.934284,-103.3386",32000,100,241
1506017820,2017-09-21T18:17:00Z,VDA7034,"33.993423,-103.208801",31974,100,241
1506017759,2017-09-21T18:15:59Z,VDA7034,"34.047966,-103.089676",31900,100,241
1506017696,2017-09-21T18:14:56Z,VDA7034,"34.105804,-102.962921",31949,100,241
1506017634,2017-09-21T18:13:54Z,VDA7034,"34.163517,-102.835274",31925,100,241
1506017572,2017-09-21T18:12:52Z,VDA7034,"34.218208,-102.713295",31950,100,241
1506017508,2017-09-21T18:11:48Z,VDA7034,"34.275738,-102.585915",31934,100,241
1506017446,2017-09-21T18:10:46Z,VDA7034,"34.338543,-102.446358",31975,100,241
1506017381,2017-09-21T18:09:41Z,VDA7034,"34.39257,-102.32502",31950,100,241
1506017316,2017-09-21T18:08:36Z,VDA7034,"34.45092,-102.194321",31975,100,241
1506017254,2017-09-21T18:07:34Z,VDA7034,"34.509659,-102.062622",31979,100,241
1506017189,2017-09-21T18:06:29Z,VDA7034,"34.568512,-101.931519",31949,100,242
1506017128,2017-09-21T18:05:28Z,VDA7034,"34.623661,-101.808044",31999,100,242
1506017067,2017-09-21T18:04:27Z,VDA7034,"34.677742,-101.685524",31975,100,242
1506017005,2017-09-21T18:03:25Z,VDA7034,"34.735222,-101.555229",31974,100,242
1506016940,2017-09-21T18:02:20Z,VDA7034,"34.791962,-101.425911",31900,100,242
1506016879,2017-09-21T18:01:19Z,VDA7034,"34.844296,-101.306366",31875,100,242
1506016816,2017-09-21T18:00:16Z,VDA7034,"34.900299,-101.17749",31949,100,242
1506016753,2017-09-21T17:59:13Z,VDA7034,"34.956944,-101.048302",31909,100,243
1506016689,2017-09-21T17:58:09Z,VDA7034,"35.01218,-100.91864",31925,100,243
1506016628,2017-09-21T17:57:08Z,VDA7034,"35.064491,-100.795624",31916,100,243
1506016567,2017-09-21T17:56:07Z,VDA7034,"35.116261,-100.673256",31925,100,243
1506016500,2017-09-21T17:55:00Z,VDA7034,"35.175087,-100.5345",31950,100,243
1506016438,2017-09-21T17:53:58Z,VDA7034,"35.230534,-100.403069",31925,100,243
1506016372,2017-09-21T17:52:52Z,VDA7034,"35.286144,-100.270592",31966,100,243
1506016309,2017-09-21T17:51:49Z,VDA7034,"35.341259,-100.138611",31925,100,243
1506016248,2017-09-21T17:50:48Z,VDA7034,"35.392693,-100.014748",31974,100,243
1506016185,2017-09-21T17:49:45Z,VDA7034,"35.448513,-99.879951",31975,100,243
1506016119,2017-09-21T17:48:39Z,VDA7034,"35.503529,-99.746414",31949,100,243
1506016058,2017-09-21T17:47:38Z,VDA7034,"35.558807,-99.611237",31949,100,243
1506015991,2017-09-21T17:46:31Z,VDA7034,"35.61351,-99.476471",31975,100,243
1506015928,2017-09-21T17:45:28Z,VDA7034,"35.669136,-99.341354",31958,100,244
1506015865,2017-09-21T17:44:25Z,VDA7034,"35.723518,-99.207672",31950,100,244
1506015801,2017-09-21T17:43:21Z,VDA7034,"35.778919,-99.071121",31949,100,244
1506015736,2017-09-21T17:42:16Z,VDA7034,"35.832684,-98.937622",31949,100,244
1506015675,2017-09-21T17:41:15Z,VDA7034,"35.883888,-98.809914",31952,100,244
1506015611,2017-09-21T17:40:11Z,VDA7034,"35.938416,-98.673843",31931,100,244
1506015549,2017-09-21T17:39:09Z,VDA7034,"35.992908,-98.536819",31925,100,244
1506015488,2017-09-21T17:38:08Z,VDA7034,"36.043423,-98.408607",31949,100,244
1506015425,2017-09-21T17:37:05Z,VDA7034,"36.097908,-98.270607",31950,100,244
1506015359,2017-09-21T17:35:59Z,VDA7034,"36.151031,-98.135635",31924,100,244
1506015298,2017-09-21T17:34:58Z,VDA7034,"36.205166,-97.997597",31974,100,245
1506015237,2017-09-21T17:33:57Z,VDA7034,"36.255032,-97.869835",31950,100,245
1506015176,2017-09-21T17:32:56Z,VDA7034,"36.305676,-97.739838",31950,100,245
1506015115,2017-09-21T17:31:55Z,VDA7034,"36.355675,-97.60965",31949,100,245
1506015052,2017-09-21T17:30:52Z,VDA7034,"36.408535,-97.471878",31925,100,245
1506014990,2017-09-21T17:29:50Z,VDA7034,"36.461178,-97.334068",31949,100,245
1506014925,2017-09-21T17:28:45Z,VDA7034,"36.513531,-97.196663",31949,100,245
1506014861,2017-09-21T17:27:41Z,VDA7034,"36.565632,-97.058914",31936,100,245
1506014798,2017-09-21T17:26:38Z,VDA7034,"36.617828,-96.920189",31950,100,245
1506014736,2017-09-21T17:25:36Z,VDA7034,"36.666039,-96.791039",31924,100,245
1506014674,2017-09-21T17:24:34Z,VDA7034,"36.717911,-96.653801",31971,100,245
1506014612,2017-09-21T17:23:32Z,VDA7034,"36.767155,-96.525291",31924,100,245
1506014551,2017-09-21T17:22:31Z,VDA7034,"36.816608,-96.395432",31950,100,245
1506014488,2017-09-21T17:21:28Z,VDA7034,"36.86903,-96.257835",31900,100,245
1506014426,2017-09-21T17:20:26Z,VDA7034,"36.917629,-96.128502",31975,100,245
1506014361,2017-09-21T17:19:21Z,VDA7034,"36.971756,-95.981529",31940,100,245
1506014299,2017-09-21T17:18:19Z,VDA7034,"37.019814,-95.850578",31970,100,246
1506014238,2017-09-21T17:17:18Z,VDA7034,"37.070564,-95.710953",31982,100,246
1506014177,2017-09-21T17:16:17Z,VDA7034,"37.117172,-95.580627",31925,100,246
1506014114,2017-09-21T17:15:14Z,VDA7034,"37.16724,-95.441269",31950,100,246
1506014051,2017-09-21T17:14:11Z,VDA7034,"37.213589,-95.309151",31950,100,246
1506013988,2017-09-21T17:13:08Z,VDA7034,"37.262947,-95.167618",31924,100,246
1506013925,2017-09-21T17:12:05Z,VDA7034,"37.312229,-95.025009",31954,100,246
1506013863,2017-09-21T17:11:03Z,VDA7034,"37.359314,-94.891495",31975,100,246
1506013801,2017-09-21T17:10:01Z,VDA7034,"37.410789,-94.74839",31936,100,246
1506013740,2017-09-21T17:09:00Z,VDA7034,"37.458248,-94.615005",31975,100,246
1506013679,2017-09-21T17:07:59Z,VDA7034,"37.506275,-94.479134",31955,100,246
1506013616,2017-09-21T17:06:56Z,VDA7034,"37.556774,-94.335281",31993,100,246
1506013555,2017-09-21T17:05:55Z,VDA7034,"37.604546,-94.199455",31974,100,246
1506013491,2017-09-21T17:04:51Z,VDA7034,"37.654858,-94.055946",31950,100,247
1506013429,2017-09-21T17:03:49Z,VDA7034,"37.704819,-93.910721",31928,100,247
1506013367,2017-09-21T17:02:47Z,VDA7034,"37.751465,-93.773621",31974,100,247
1506013306,2017-09-21T17:01:46Z,VDA7034,"37.801647,-93.626114",31950,100,247
1506013240,2017-09-21T17:00:40Z,VDA7034,"37.851707,-93.478561",31972,100,247
1506013176,2017-09-21T16:59:36Z,VDA7034,"37.900875,-93.332329",31974,100,247
1506013115,2017-09-21T16:58:35Z,VDA7034,"37.947556,-93.193192",31949,100,247
1506013052,2017-09-21T16:57:32Z,VDA7034,"37.996407,-93.047287",31975,100,247
1506012990,2017-09-21T16:56:30Z,VDA7034,"38.045834,-92.898537",31696,100,248
1506012928,2017-09-21T16:55:28Z,VDA7034,"38.09161,-92.760124",31349,100,248
1506012867,2017-09-21T16:54:27Z,VDA7034,"38.137253,-92.620522",31075,100,248
1506012805,2017-09-21T16:53:25Z,VDA7034,"38.185997,-92.471909",30600,100,248
1506012740,2017-09-21T16:52:20Z,VDA7034,"38.239994,-92.304855",30325,100,248
1506012668,2017-09-21T16:51:08Z,VDA7034,"38.289032,-92.152954",29900,100,248
1506012605,2017-09-21T16:50:05Z,VDA7034,"38.336491,-92.004578",29625,100,248
1506012542,2017-09-21T16:49:02Z,VDA7034,"38.384972,-91.853073",29218,100,248
1506012477,2017-09-21T16:47:57Z,VDA7034,"38.432892,-91.700668",28821,100,248
1506012416,2017-09-21T16:46:56Z,VDA7034,"38.478779,-91.556999",28544,100,248
1506012351,2017-09-21T16:45:51Z,VDA7034,"38.527328,-91.403091",28000,100,247
1506012288,2017-09-21T16:44:48Z,VDA7034,"38.576107,-91.24929",27949,100,247
1506012227,2017-09-21T16:43:47Z,VDA7034,"38.622005,-91.103828",27975,100,248
1506012166,2017-09-21T16:42:46Z,VDA7034,"38.670616,-90.94841",27975,100,248
1506012104,2017-09-21T16:41:44Z,VDA7034,"38.717037,-90.802002",27950,100,248
1506012043,2017-09-21T16:40:43Z,VDA7034,"38.761353,-90.657425",27970,100,248
1506011980,2017-09-21T16:39:40Z,VDA7034,"38.809361,-90.501076",27975,100,248
1506011917,2017-09-21T16:38:37Z,VDA7034,"38.856541,-90.346527",27975,100,248
1506011852,2017-09-21T16:37:32Z,VDA7034,"38.903599,-90.192162",27954,100,248
1506011785,2017-09-21T16:36:25Z,VDA7034,"38.953938,-90.026199",27950,100,249
1506011720,2017-09-21T16:35:20Z,VDA7034,"39.000736,-89.870018",27975,100,249
1506011658,2017-09-21T16:34:18Z,VDA7034,"39.048595,-89.711098",28004,100,249
1506011595,2017-09-21T16:33:15Z,VDA7034,"39.092609,-89.56263",27974,100,249
1506011530,2017-09-21T16:32:10Z,VDA7034,"39.143425,-89.391197",27950,100,249
1506011463,2017-09-21T16:31:03Z,VDA7034,"39.18964,-89.234802",27974,100,250
1506011401,2017-09-21T16:30:01Z,VDA7034,"39.235271,-89.075157",27925,100,250
1506011340,2017-09-21T16:29:00Z,VDA7034,"39.278416,-88.924629",27975,100,250
1506011277,2017-09-21T16:27:57Z,VDA7034,"39.324238,-88.763519",27950,100,250
1506011215,2017-09-21T16:26:55Z,VDA7034,"39.366585,-88.61393",27974,100,250
1506011152,2017-09-21T16:25:52Z,VDA7034,"39.41222,-88.45256",27974,100,250
1506011091,2017-09-21T16:24:51Z,VDA7034,"39.454998,-88.302788",27950,100,249
1506011028,2017-09-21T16:23:48Z,VDA7034,"39.500713,-88.140709",27952,100,251
1506010967,2017-09-21T16:22:47Z,VDA7034,"39.541012,-87.988754",27975,100,251
1506010906,2017-09-21T16:21:46Z,VDA7034,"39.584934,-87.828133",27975,100,251
1506010839,2017-09-21T16:20:39Z,VDA7034,"39.628689,-87.667542",27950,100,251
1506010776,2017-09-21T16:19:36Z,VDA7034,"39.672729,-87.505531",28000,100,251
1506010713,2017-09-21T16:18:33Z,VDA7034,"39.716213,-87.344872",27975,100,251
1506010651,2017-09-21T16:17:31Z,VDA7034,"39.756351,-87.194252",27975,100,251
1506010563,2017-09-21T16:16:03Z,VDA7034,"39.815285,-86.973083",27949,100,251
1506010545,2017-09-21T16:15:45Z,VDA7034,"39.828968,-86.921669",27950,100,251
1506010482,2017-09-21T16:14:42Z,VDA7034,"39.871742,-86.758965",27949,100,251
1506010417,2017-09-21T16:13:37Z,VDA7034,"39.913651,-86.598763",27974,100,251
1506010355,2017-09-21T16:12:35Z,VDA7034,"39.95306,-86.446449",27949,100,251
1506010293,2017-09-21T16:11:33Z,VDA7034,"39.994839,-86.285271",27950,100,252
1506010228,2017-09-21T16:10:28Z,VDA7034,"40.036518,-86.123657",27975,100,252
1506010165,2017-09-21T16:09:25Z,VDA7034,"40.07777,-85.961082",27950,100,252
1506010102,2017-09-21T16:08:22Z,VDA7034,"40.118923,-85.798088",27974,100,252
1506010040,2017-09-21T16:07:20Z,VDA7034,"40.157173,-85.646843",27950,100,252
1506009979,2017-09-21T16:06:19Z,VDA7034,"40.19595,-85.492538",27975,100,252
1506009917,2017-09-21T16:05:17Z,VDA7034,"40.236397,-85.330132",27975,100,252
1506009853,2017-09-21T16:04:13Z,VDA7034,"40.277,-85.165726",27975,100,252
1506009788,2017-09-21T16:03:08Z,VDA7034,"40.317196,-85.001747",27975,100,252
1506009725,2017-09-21T16:02:05Z,VDA7034,"40.358158,-84.834991",27999,100,252
1506009659,2017-09-21T16:00:59Z,VDA7034,"40.39901,-84.667656",27975,100,253
1506009597,2017-09-21T15:59:57Z,VDA7034,"40.439003,-84.500969",27999,100,253
1506009535,2017-09-21T15:58:55Z,VDA7034,"40.476486,-84.343742",27985,100,253
1506009473,2017-09-21T15:57:53Z,VDA7034,"40.516594,-84.174919",27975,100,253
1506009411,2017-09-21T15:56:51Z,VDA7034,"40.553547,-84.017616",27974,100,253
1506009350,2017-09-21T15:55:50Z,VDA7034,"40.59267,-83.849373",27975,100,254
1506009288,2017-09-21T15:54:48Z,VDA7034,"40.62949,-83.689377",27975,100,254
1506009225,2017-09-21T15:53:45Z,VDA7034,"40.668068,-83.521675",27975,100,254
1506009164,2017-09-21T15:52:44Z,VDA7034,"40.704723,-83.360718",27975,100,254
1506009103,2017-09-21T15:51:43Z,VDA7034,"40.740536,-83.201424",27950,100,254
1506009040,2017-09-21T15:50:40Z,VDA7034,"40.778988,-83.031441",27974,100,254
1506008975,2017-09-21T15:49:35Z,VDA7034,"40.817444,-82.860817",27978,100,254
1506008914,2017-09-21T15:48:34Z,VDA7034,"40.855305,-82.691147",27975,100,254
1506008853,2017-09-21T15:47:33Z,VDA7034,"40.890339,-82.533165",27974,100,254
1506008788,2017-09-21T15:46:28Z,VDA7034,"40.927811,-82.361824",27975,100,254
1506008725,2017-09-21T15:45:25Z,VDA7034,"40.965042,-82.191071",27974,100,254
1506008660,2017-09-21T15:44:20Z,VDA7034,"41.002499,-82.019028",27965,100,254
1506008596,2017-09-21T15:43:16Z,VDA7034,"41.038944,-81.849449",27974,100,254
1506008535,2017-09-21T15:42:15Z,VDA7034,"41.073345,-81.68718",27975,100,254
1506008472,2017-09-21T15:41:12Z,VDA7034,"41.110123,-81.514771",27975,100,254
1506008407,2017-09-21T15:40:07Z,VDA7034,"41.146511,-81.342552",27975,100,254
1506008344,2017-09-21T15:39:04Z,VDA7034,"41.183552,-81.169228",28024,100,255
1506008282,2017-09-21T15:38:02Z,VDA7034,"41.219131,-80.997177",27974,100,255
1506008221,2017-09-21T15:37:01Z,VDA7034,"41.252811,-80.83358",27974,100,255
1506008160,2017-09-21T15:36:00Z,VDA7034,"41.288525,-80.661812",27974,100,255
1506008098,2017-09-21T15:34:58Z,VDA7034,"41.3218,-80.495064",27975,100,256
1506008037,2017-09-21T15:33:57Z,VDA7034,"41.354813,-80.324432",27975,100,256
1506007975,2017-09-21T15:32:55Z,VDA7034,"41.384552,-80.167816",27974,100,255
1506007912,2017-09-21T15:31:52Z,VDA7034,"41.418591,-79.996193",27974,100,254
