Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506033108,2017-09-21T22:31:48Z,VDA7034,"32.91967,-106.064911",5100,166,203
1506033076,2017-09-21T22:31:16Z,VDA7034,"32.937794,-106.047256",6200,193,203
1506033048,2017-09-21T22:30:48Z,VDA7034,"32.944942,-106.022255",6500,169,203
1506033011,2017-09-21T22:30:11Z,VDA7034,"32.95097,-105.988533",7100,210,301
1506032985,2017-09-21T22:29:45Z,VDA7034,"32.943867,-105.957741",7900,185,240
1506032953,2017-09-21T22:29:13Z,VDA7034,"32.938755,-105.919693",8800,225,321
1506032898,2017-09-21T22:28:18Z,VDA7034,"32.921535,-105.852318",10100,226,301
1506032872,2017-09-21T22:27:52Z,VDA7034,"32.914848,-105.817726",10700,222,301
1506032838,2017-09-21T22:27:18Z,VDA7034,"32.909046,-105.771393",11600,229,301
1506032805,2017-09-21T22:26:45Z,VDA7034,"32.899162,-105.727753",12100,227,320
1506032776,2017-09-21T22:26:16Z,VDA7034,"32.892879,-105.684967",12800,229,320
1506032748,2017-09-21T22:25:48Z,VDA7034,"32.883587,-105.639374",13300,226,301
1506032714,2017-09-21T22:25:14Z,VDA7034,"32.884991,-105.57856",14000,258,301
1506032652,2017-09-21T22:24:12Z,VDA7034,"32.868694,-105.465569",14700,302,320
1506032584,2017-09-21T22:23:04Z,VDA7034,"32.837578,-105.343376",15400,312,320
1506032528,2017-09-21T22:22:08Z,VDA7034,"32.805565,-105.247696",15900,326,301
1506032464,2017-09-21T22:21:04Z,VDA7034,"32.749676,-105.188911",15800,332,301
1506032433,2017-09-21T22:20:33Z,VDA7034,"32.713924,-105.175545",16000,338,309
1506032401,2017-09-21T22:20:01Z,VDA7034,"32.667076,-105.179184",16300,361,11
1506032369,2017-09-21T22:19:29Z,VDA7034,"32.614338,-105.211411",16900,359,40
1506032340,2017-09-21T22:19:00Z,VDA7034,"32.573437,-105.248825",16800,355,40
1506032276,2017-09-21T22:17:56Z,VDA7034,"32.490524,-105.314766",17000,355,34
1506032218,2017-09-21T22:16:58Z,VDA7034,"32.404179,-105.374313",16900,356,34
1506032154,2017-09-21T22:15:54Z,VDA7034,"32.31012,-105.436256",16900,357,34
1506032089,2017-09-21T22:14:49Z,VDA7034,"32.21217,-105.499207",16900,354,26
1506032033,2017-09-21T22:13:53Z,VDA7034,"32.1227,-105.553383",16200,349,35
1506031968,2017-09-21T22:12:48Z,VDA7034,"32.027813,-105.624771",15300,343,34
1506031902,2017-09-21T22:11:42Z,VDA7034,"31.94714,-105.693497",14500,341,40
1506031836,2017-09-21T22:10:36Z,VDA7034,"31.878006,-105.769943",13300,330,46
1506031767,2017-09-21T22:09:27Z,VDA7034,"31.813486,-105.862961",12300,324,40
1506031708,2017-09-21T22:08:28Z,VDA7034,"31.760103,-105.951042",11200,320,63
1506031594,2017-09-21T22:06:34Z,VDA7034,"31.720577,-106.146225",8700,295,76
1506031557,2017-09-21T22:05:57Z,VDA7034,"31.715569,-106.194672",8300,305,76
1506031535,2017-09-21T22:05:35Z,VDA7034,"31.705805,-106.24752",7600,288,120
1506031494,2017-09-21T22:04:54Z,VDA7034,"31.708876,-106.292282",7000,290,120
1506031463,2017-09-21T22:04:23Z,VDA7034,"31.717337,-106.339127",6100,226,120
1506031443,2017-09-21T22:04:03Z,VDA7034,"31.733334,-106.366669",5700,214,139
1506031397,2017-09-21T22:03:17Z,VDA7034,"31.766666,-106.400002",5400,168,303
