Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506580314,2017-09-28T06:31:54Z,VDA8188,"44.783333,-68.816666",200,160,144
1506580254,2017-09-28T06:30:54Z,VDA8188,"44.863556,-68.840462",600,164,144
1506580195,2017-09-28T06:29:55Z,VDA8188,"44.902657,-68.895966",1400,172,125
1506580155,2017-09-28T06:29:15Z,VDA8188,"44.928532,-68.936928",2200,186,144
1506580133,2017-09-28T06:28:53Z,VDA8188,"44.948944,-68.962837",2300,174,144
1506580068,2017-09-28T06:27:48Z,VDA8188,"44.961601,-69.039818",2300,239,64
1506580027,2017-09-28T06:27:07Z,VDA8188,"44.943485,-69.090836",2400,246,70
1506580005,2017-09-28T06:26:45Z,VDA8188,"44.935692,-69.120712",2700,238,70
1506579969,2017-09-28T06:26:09Z,VDA8188,"44.909126,-69.158638",3600,232,35
1506579951,2017-09-28T06:25:51Z,VDA8188,"44.894459,-69.168304",4200,224,19
1506579910,2017-09-28T06:25:10Z,VDA8188,"44.855682,-69.192703",5000,237,19
1506579886,2017-09-28T06:24:46Z,VDA8188,"44.831375,-69.20932",5600,237,35
1506579846,2017-09-28T06:24:06Z,VDA8188,"44.792065,-69.240326",6400,257,35
1506579829,2017-09-28T06:23:49Z,VDA8188,"44.775379,-69.251228",6700,249,25
1506579787,2017-09-28T06:23:07Z,VDA8188,"44.727444,-69.28315",7500,282,35
1506579764,2017-09-28T06:22:44Z,VDA8188,"44.702679,-69.298912",7500,274,25
1506579731,2017-09-28T06:22:11Z,VDA8188,"44.660717,-69.325935",8500,309,35
1506579702,2017-09-28T06:21:42Z,VDA8188,"44.627018,-69.348122",8600,307,19
1506579667,2017-09-28T06:21:07Z,VDA8188,"44.577019,-69.382149",9300,315,35
1506579643,2017-09-28T06:20:43Z,VDA8188,"44.549812,-69.404175",9600,311,35
1506579601,2017-09-28T06:20:01Z,VDA8188,"44.492451,-69.452843",10300,320,28
1506579583,2017-09-28T06:19:43Z,VDA8188,"44.462833,-69.468018",10500,308,28
1506579483,2017-09-28T06:18:03Z,VDA8188,"44.290356,-69.64959",13725,354,29
1506579433,2017-09-28T06:17:13Z,VDA8188,"44.283634,-69.65406",13725,354,29
1506579375,2017-09-28T06:16:15Z,VDA8188,"44.199596,-69.74498",16775,354,42
1506579369,2017-09-28T06:16:09Z,VDA8188,"44.184372,-69.763741",17100,354,42
1506579298,2017-09-28T06:14:58Z,VDA8188,"44.090069,-69.889503",19275,354,42
1506579231,2017-09-28T06:13:51Z,VDA8188,"44.005283,-69.999977",21250,354,42
1506579168,2017-09-28T06:12:48Z,VDA8188,"43.911259,-70.123085",22485,354,44
1506579105,2017-09-28T06:11:45Z,VDA8188,"43.816364,-70.248116",23800,354,42
1506579043,2017-09-28T06:10:43Z,VDA8188,"43.725986,-70.365524",24678,354,42
1506578982,2017-09-28T06:09:42Z,VDA8188,"43.627563,-70.492615",26400,354,42
1506578917,2017-09-28T06:08:37Z,VDA8188,"43.528008,-70.6203",28518,354,42
