Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506645133,2017-09-29T00:32:13Z,VDA8188,"34.168106,24.239359",33025,100,134
1506645099,2017-09-29T00:31:39Z,VDA8188,"34.211224,24.185808",33025,100,134
1506645068,2017-09-29T00:31:08Z,VDA8188,"34.223999,24.17189",33025,100,127
1506644991,2017-09-29T00:29:51Z,VDA8188,"34.324642,24.031887",33025,100,131
1506644922,2017-09-29T00:28:42Z,VDA8188,"34.404816,23.921623",33025,100,137
1506644858,2017-09-29T00:27:38Z,VDA8188,"34.484001,23.821447",33025,100,137
1506644771,2017-09-29T00:26:11Z,VDA8188,"34.611172,23.670149",33025,100,126
1506644710,2017-09-29T00:25:10Z,VDA8188,"34.703358,23.55595",33025,100,126
1506644666,2017-09-29T00:24:26Z,VDA8188,"34.751537,23.489857",32975,100,132
1506644636,2017-09-29T00:23:56Z,VDA8188,"34.803688,23.422228",32975,100,133
1506644566,2017-09-29T00:22:46Z,VDA8188,"34.880524,23.314619",32975,100,128
1506644499,2017-09-29T00:21:39Z,VDA8188,"34.962532,23.187069",32975,100,128
1506644493,2017-09-29T00:21:33Z,VDA8188,"34.972549,23.17065",32979,100,135
1506644474,2017-09-29T00:21:14Z,VDA8188,"34.998764,23.137159",33024,100,147
1506644462,2017-09-29T00:21:02Z,VDA8188,"35.025368,23.108896",32994,100,132
1506644441,2017-09-29T00:20:41Z,VDA8188,"35.050674,23.062178",32975,100,195
1506644416,2017-09-29T00:20:16Z,VDA8188,"35.095196,23.078434",32950,100,154
1506644382,2017-09-29T00:19:42Z,VDA8188,"35.17659,22.990406",32975,100,140
1506644326,2017-09-29T00:18:46Z,VDA8188,"35.214611,22.896894",32950,100,42
1506644258,2017-09-29T00:17:38Z,VDA8188,"35.167191,22.717896",32950,100,42
1506644205,2017-09-29T00:16:45Z,VDA8188,"35.108444,22.606134",32975,100,68
1506644175,2017-09-29T00:16:15Z,VDA8188,"35.083927,22.533096",32975,100,68
1506644108,2017-09-29T00:15:08Z,VDA8188,"35.046024,22.401134",32925,100,67
1506644046,2017-09-29T00:14:06Z,VDA8188,"34.990864,22.217443",32900,100,63
1506643965,2017-09-29T00:12:45Z,VDA8188,"34.940113,22.05847",32950,100,63
1506643874,2017-09-29T00:11:14Z,VDA8188,"34.874474,21.861616",32950,100,65
1506643565,2017-09-29T00:06:05Z,VDA8188,"34.894421,21.005671",33000,100,112
1506641268,2017-09-28T23:27:48Z,VDA8188,"35.662342,15.477673",15275,100,102
1506641233,2017-09-28T23:27:13Z,VDA8188,"35.678249,15.372563",14400,100,102
1506641174,2017-09-28T23:26:14Z,VDA8188,"35.691635,15.300189",13675,100,101
1506641143,2017-09-28T23:25:43Z,VDA8188,"35.706142,15.218849",12775,100,101
1506641115,2017-09-28T23:25:15Z,VDA8188,"35.720913,15.141446",12200,100,101
1506641074,2017-09-28T23:24:34Z,VDA8188,"35.730663,15.078551",10725,100,95
1506641047,2017-09-28T23:24:07Z,VDA8188,"35.732086,15.066846",10725,100,95
1506641035,2017-09-28T23:23:55Z,VDA8188,"35.736893,15.035093",10725,100,95
1506641008,2017-09-28T23:23:28Z,VDA8188,"35.740948,15.007558",10050,100,83
1506640983,2017-09-28T23:23:03Z,VDA8188,"35.749157,14.935553",9475,100,83
1506640963,2017-09-28T23:22:43Z,VDA8188,"35.751793,14.891247",8625,100,83
1506640936,2017-09-28T23:22:16Z,VDA8188,"35.756626,14.81509",7725,100,83
1506640891,2017-09-28T23:21:31Z,VDA8188,"35.759609,14.75624",6700,100,83
1506640845,2017-09-28T23:20:45Z,VDA8188,"35.75721,14.738455",6300,100,97
1506640839,2017-09-28T23:20:39Z,VDA8188,"35.758003,14.712707",6125,100,97
1506640821,2017-09-28T23:20:21Z,VDA8188,"35.760956,14.682442",5500,100,97
1506640795,2017-09-28T23:19:55Z,VDA8188,"35.765656,14.652871",5343,100,97
1506640783,2017-09-28T23:19:43Z,VDA8188,"35.773392,14.603567",4350,100,101
1506640755,2017-09-28T23:19:15Z,VDA8188,"35.773338,14.58834",4125,100,106
1506640742,2017-09-28T23:19:02Z,VDA8188,"35.775673,14.574061",3775,100,110
1506640736,2017-09-28T23:18:56Z,VDA8188,"35.777786,14.564336",3637,100,121
1506640726,2017-09-28T23:18:46Z,VDA8188,"35.783974,14.549374",3350,100,134
1506640702,2017-09-28T23:18:22Z,VDA8188,"35.803329,14.511199",2750,100,336
1506640695,2017-09-28T23:18:15Z,VDA8188,"35.79044,14.518593",1975,100,342
1506640654,2017-09-28T23:17:34Z,VDA8188,"35.802334,14.518786",1375,100,176
