Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501779507,2017-08-03T16:58:27Z,VDA2232,"47.921677,-122.282585",0,12,77
1501779497,2017-08-03T16:58:17Z,VDA2232,"47.921665,-122.282791",0,11,71
1501779488,2017-08-03T16:58:08Z,VDA2232,"47.921654,-122.282997",0,13,82
1501779467,2017-08-03T16:57:47Z,VDA2232,"47.921597,-122.283691",0,17,82
1501779459,2017-08-03T16:57:39Z,VDA2232,"47.921574,-122.284203",0,22,84
1501779453,2017-08-03T16:57:33Z,VDA2232,"47.921547,-122.284607",0,23,77
1501779447,2017-08-03T16:57:27Z,VDA2232,"47.921524,-122.284912",0,26,76
1501779440,2017-08-03T16:57:20Z,VDA2232,"47.92141,-122.285347",0,25,51
1501779432,2017-08-03T16:57:12Z,VDA2232,"47.921036,-122.285667",0,28,359
1501779425,2017-08-03T16:57:05Z,VDA2232,"47.920647,-122.285675",0,15,359
1501779419,2017-08-03T16:56:59Z,VDA2232,"47.920326,-122.285683",0,17,359
1501779411,2017-08-03T16:56:51Z,VDA2232,"47.919548,-122.285667",0,18,357
1501779404,2017-08-03T16:56:44Z,VDA2232,"47.919022,-122.285645",0,18,357
1501779396,2017-08-03T16:56:36Z,VDA2232,"47.917812,-122.285614",0,24,359
1501779320,2017-08-03T16:55:20Z,VDA2232,"47.882599,-122.284897",800,139,359
1501779311,2017-08-03T16:55:11Z,VDA2232,"47.876598,-122.284798",925,140,359
1501779302,2017-08-03T16:55:02Z,VDA2232,"47.874527,-122.284698",975,140,358
1501779291,2017-08-03T16:54:51Z,VDA2232,"47.8633,-122.284698",1250,140,359
1501779280,2017-08-03T16:54:40Z,VDA2232,"47.8564,-122.284203",1375,145,355
1501779271,2017-08-03T16:54:31Z,VDA2232,"47.850101,-122.283096",1525,147,351
1501779260,2017-08-03T16:54:20Z,VDA2232,"47.843399,-122.281303",1700,146,350
1501779251,2017-08-03T16:54:11Z,VDA2232,"47.837101,-122.2798",1825,142,352
1501779240,2017-08-03T16:54:00Z,VDA2232,"47.830299,-122.278702",1975,140,358
1501779231,2017-08-03T16:53:51Z,VDA2232,"47.8237,-122.278503",2100,138,359
1501779225,2017-08-03T16:53:45Z,VDA2232,"47.821098,-122.278397",2150,139,359
1501779215,2017-08-03T16:53:35Z,VDA2232,"47.8139,-122.278",2300,142,358
1501779205,2017-08-03T16:53:25Z,VDA2232,"47.806702,-122.277802",2475,144,359
1501779190,2017-08-03T16:53:10Z,VDA2232,"47.797501,-122.277603",2650,149,358
1501779180,2017-08-03T16:53:00Z,VDA2232,"47.790501,-122.2771",2775,153,356
1501779170,2017-08-03T16:52:50Z,VDA2232,"47.782101,-122.275597",2925,152,350
1501779160,2017-08-03T16:52:40Z,VDA2232,"47.775902,-122.273804",2925,152,347
1501779151,2017-08-03T16:52:31Z,VDA2232,"47.769798,-122.271103",2900,154,338
1501779140,2017-08-03T16:52:20Z,VDA2232,"47.7635,-122.266403",2900,150,328
1501779131,2017-08-03T16:52:11Z,VDA2232,"47.757801,-122.260498",2925,147,319
1501779120,2017-08-03T16:52:00Z,VDA2232,"47.752499,-122.250801",2900,153,290
1501779111,2017-08-03T16:51:51Z,VDA2232,"47.751202,-122.242699",2925,158,274
1501779105,2017-08-03T16:51:45Z,VDA2232,"47.751099,-122.237701",2925,162,272
1501779095,2017-08-03T16:51:35Z,VDA2232,"47.750801,-122.224998",2925,167,270
1501779085,2017-08-03T16:51:25Z,VDA2232,"47.750801,-122.213997",2950,173,270
1501779076,2017-08-03T16:51:16Z,VDA2232,"47.750702,-122.202103",3075,175,270
1501779065,2017-08-03T16:51:05Z,VDA2232,"47.750702,-122.189003",3125,186,270
1501779056,2017-08-03T16:50:56Z,VDA2232,"47.750801,-122.176201",3125,203,269
1501779050,2017-08-03T16:50:50Z,VDA2232,"47.7509,-122.169296",3175,209,268
1501779040,2017-08-03T16:50:40Z,VDA2232,"47.751598,-122.152298",3300,210,265
1501779030,2017-08-03T16:50:30Z,VDA2232,"47.752602,-122.140099",3500,205,262
1501779020,2017-08-03T16:50:20Z,VDA2232,"47.754299,-122.126099",3700,207,256
1501779011,2017-08-03T16:50:11Z,VDA2232,"47.757301,-122.112198",3925,208,243
1501779000,2017-08-03T16:50:00Z,VDA2232,"47.762699,-122.100403",4150,209,227
1501778992,2017-08-03T16:49:52Z,VDA2232,"47.764645,-122.097404",4200,209,222
1501778982,2017-08-03T16:49:42Z,VDA2232,"47.770973,-122.089096",4400,211,221
1501778972,2017-08-03T16:49:32Z,VDA2232,"47.778534,-122.079254",4750,206,221
1501778962,2017-08-03T16:49:22Z,VDA2232,"47.785778,-122.069862",4950,210,221
1501778952,2017-08-03T16:49:12Z,VDA2232,"47.793133,-122.060356",4950,221,221
1501778937,2017-08-03T16:48:57Z,VDA2232,"47.80513,-122.044647",5000,238,221
1501778922,2017-08-03T16:48:42Z,VDA2232,"47.818039,-122.02803",5175,246,221
1501778907,2017-08-03T16:48:27Z,VDA2232,"47.830948,-122.011208",5250,255,221
1501778892,2017-08-03T16:48:12Z,VDA2232,"47.844635,-121.993355",5225,266,221
1501778875,2017-08-03T16:47:55Z,VDA2232,"47.868599,-121.962502",5450,276,221
1501778860,2017-08-03T16:47:40Z,VDA2232,"47.884998,-121.941002",5700,279,221
1501778845,2017-08-03T16:47:25Z,VDA2232,"47.898899,-121.922798",5975,279,222
1501778830,2017-08-03T16:47:10Z,VDA2232,"47.9133,-121.9039",6250,279,222
1501778815,2017-08-03T16:46:55Z,VDA2232,"47.927502,-121.884903",6525,279,222
1501778800,2017-08-03T16:46:40Z,VDA2232,"47.9412,-121.865799",6825,278,225
