Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501885250,2017-08-04T22:20:50Z,VDA2208,"4.849548,-52.705887",4100,210,126
1501885243,2017-08-04T22:20:43Z,VDA2208,"4.85363,-52.711361",4225,210,126
1501885237,2017-08-04T22:20:37Z,VDA2208,"4.85701,-52.715847",4325,212,126
1501885203,2017-08-04T22:20:03Z,VDA2208,"4.877185,-52.742947",5150,207,126
1501885190,2017-08-04T22:19:50Z,VDA2208,"4.885025,-52.75346",5300,217,127
1501885177,2017-08-04T22:19:37Z,VDA2208,"4.901047,-52.774551",5425,234,126
1501885156,2017-08-04T22:19:16Z,VDA2208,"4.90654,-52.781952",5525,238,126
1501885143,2017-08-04T22:19:03Z,VDA2208,"4.915218,-52.793472",5600,245,127
1501885130,2017-08-04T22:18:50Z,VDA2208,"4.924347,-52.805553",5600,255,126
1501885117,2017-08-04T22:18:37Z,VDA2208,"4.933777,-52.818077",5575,266,127
1501885105,2017-08-04T22:18:25Z,VDA2208,"4.943161,-52.830364",5700,269,126
1501885088,2017-08-04T22:18:08Z,VDA2208,"4.956929,-52.848454",6125,269,128
1501885075,2017-08-04T22:17:55Z,VDA2208,"4.965958,-52.859787",6425,271,127
1501884818,2017-08-04T22:13:38Z,VDA2208,"5.174654,-53.137032",11775,315,126
1501884800,2017-08-04T22:13:20Z,VDA2208,"5.190536,-53.158279",12200,316,126
1501884768,2017-08-04T22:12:48Z,VDA2208,"5.218832,-53.195801",12925,319,126
1501884734,2017-08-04T22:12:14Z,VDA2208,"5.24913,-53.235882",13650,322,126
1501884703,2017-08-04T22:11:43Z,VDA2208,"5.277512,-53.273495",14350,326,127
1501884667,2017-08-04T22:11:07Z,VDA2208,"5.312119,-53.31744",15225,327,127
1501884634,2017-08-04T22:10:34Z,VDA2208,"5.341543,-53.356712",16100,326,126
1501884602,2017-08-04T22:10:02Z,VDA2208,"5.371445,-53.396675",16700,334,126
1501884540,2017-08-04T22:09:00Z,VDA2208,"5.428456,-53.472923",18150,336,126
1501884479,2017-08-04T22:07:59Z,VDA2208,"5.486572,-53.550484",19475,348,126
1501884416,2017-08-04T22:06:56Z,VDA2208,"5.548235,-53.632935",20975,355,126
1501884355,2017-08-04T22:05:55Z,VDA2208,"5.608429,-53.713413",22650,359,126
1501884292,2017-08-04T22:04:52Z,VDA2208,"5.673228,-53.799858",23850,377,126
1501884229,2017-08-04T22:03:49Z,VDA2208,"5.740729,-53.889927",25175,387,126
1501884163,2017-08-04T22:02:43Z,VDA2208,"5.813257,-53.98658",26850,394,125
1501884156,2017-08-04T22:02:36Z,VDA2208,"5.819824,-53.995754",26975,396,125
1501884150,2017-08-04T22:02:30Z,VDA2208,"5.827744,-54.006367",27150,398,129
1501884103,2017-08-04T22:01:43Z,VDA2208,"5.893373,-54.064857",28075,408,139
1501884040,2017-08-04T22:00:40Z,VDA2208,"5.984709,-54.141716",28925,411,140
1501883977,2017-08-04T21:59:37Z,VDA2208,"6.077302,-54.219517",28975,411,139
1501883916,2017-08-04T21:58:36Z,VDA2208,"6.164913,-54.293251",28975,409,139
1501883854,2017-08-04T21:57:34Z,VDA2208,"6.256302,-54.371151",28950,409,139
1501883790,2017-08-04T21:56:30Z,VDA2208,"6.348655,-54.448856",28950,410,139
1501883727,2017-08-04T21:55:27Z,VDA2208,"6.441992,-54.527561",28975,410,139
1501883666,2017-08-04T21:54:26Z,VDA2208,"6.530581,-54.602097",28950,410,139
1501883602,2017-08-04T21:53:22Z,VDA2208,"6.622801,-54.679901",28950,411,139
1501883539,2017-08-04T21:52:19Z,VDA2208,"6.71544,-54.758038",28950,412,139
1501883477,2017-08-04T21:51:17Z,VDA2208,"6.808218,-54.836269",28975,414,139
1501883413,2017-08-04T21:50:13Z,VDA2208,"6.900811,-54.914452",29000,415,139
