Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502180392,2017-08-08T08:19:52Z,VDA4992,"45.73645,16.064106",0,0,281
1502180378,2017-08-08T08:19:38Z,VDA4992,"45.736408,16.064329",0,12,227
1502180365,2017-08-08T08:19:25Z,VDA4992,"45.736382,16.064625",0,12,227
1502180348,2017-08-08T08:19:08Z,VDA4992,"45.736607,16.06493",0,14,227
1502180335,2017-08-08T08:18:55Z,VDA4992,"45.736851,16.064724",0,16,227
1502180325,2017-08-08T08:18:45Z,VDA4992,"45.737003,16.064449",0,14,227
1502180312,2017-08-08T08:18:32Z,VDA4992,"45.73727,16.064226",0,15,227
1502180298,2017-08-08T08:18:18Z,VDA4992,"45.737514,16.064474",0,18,227
1502180292,2017-08-08T08:18:12Z,VDA4992,"45.73769,16.064724",0,22,227
1502180285,2017-08-08T08:18:05Z,VDA4992,"45.737888,16.065033",0,24,227
1502180279,2017-08-08T08:17:59Z,VDA4992,"45.738075,16.065329",0,24,227
1502180272,2017-08-08T08:17:52Z,VDA4992,"45.738293,16.065645",0,27,227
1502180265,2017-08-08T08:17:45Z,VDA4992,"45.738552,16.066063",0,15,227
1502180259,2017-08-08T08:17:39Z,VDA4992,"45.738876,16.066551",0,16,225
1502180245,2017-08-08T08:17:25Z,VDA4992,"45.739574,16.067606",0,16,225
1502180239,2017-08-08T08:17:19Z,VDA4992,"45.73996,16.068192",0,20,227
1502180232,2017-08-08T08:17:12Z,VDA4992,"45.740376,16.068829",0,20,225
1502180225,2017-08-08T08:17:05Z,VDA4992,"45.740845,16.069548",0,20,227
1502180219,2017-08-08T08:16:59Z,VDA4992,"45.741257,16.070168",0,20,227
1502180212,2017-08-08T08:16:52Z,VDA4992,"45.74176,16.070938",0,19,227
1502180206,2017-08-08T08:16:46Z,VDA4992,"45.742123,16.071505",0,19,227
1502180199,2017-08-08T08:16:39Z,VDA4992,"45.742527,16.072111",0,18,225
1502180185,2017-08-08T08:16:25Z,VDA4992,"45.743313,16.07329",0,17,227
1502180179,2017-08-08T08:16:19Z,VDA4992,"45.743683,16.073874",0,17,227
1502180172,2017-08-08T08:16:12Z,VDA4992,"45.744057,16.07444",0,16,225
1502180166,2017-08-08T08:16:06Z,VDA4992,"45.744358,16.074903",0,16,225
1502180156,2017-08-08T08:15:56Z,VDA4992,"45.744873,16.075678",0,15,227
1502180145,2017-08-08T08:15:45Z,VDA4992,"45.745346,16.076397",0,33,224
1502180139,2017-08-08T08:15:39Z,VDA4992,"45.745651,16.07686",0,32,227
1502180132,2017-08-08T08:15:32Z,VDA4992,"45.74593,16.077272",0,31,227
1502180119,2017-08-08T08:15:19Z,VDA4992,"45.746475,16.078106",0,29,227
1502180109,2017-08-08T08:15:09Z,VDA4992,"45.746841,16.078659",0,27,225
1502180102,2017-08-08T08:15:02Z,VDA4992,"45.747047,16.078972",0,26,229
1502180093,2017-08-08T08:14:53Z,VDA4992,"45.747379,16.079496",0,24,226
1502180086,2017-08-08T08:14:46Z,VDA4992,"45.747581,16.079796",0,22,225
1502180079,2017-08-08T08:14:39Z,VDA4992,"45.747768,16.08007",0,21,229
1502180073,2017-08-08T08:14:33Z,VDA4992,"45.74794,16.080334",0,19,228
1502180063,2017-08-08T08:14:23Z,VDA4992,"45.748165,16.080637",0,18,212
1502180053,2017-08-08T08:14:13Z,VDA4992,"45.748432,16.080757",0,17,163
1502180042,2017-08-08T08:14:02Z,VDA4992,"45.748676,16.080551",0,17,137
1502180036,2017-08-08T08:13:56Z,VDA4992,"45.748852,16.080311",0,22,136
1502180029,2017-08-08T08:13:49Z,VDA4992,"45.749073,16.080019",0,20,133
1502180022,2017-08-08T08:13:42Z,VDA4992,"45.749233,16.079815",0,19,134
1502180012,2017-08-08T08:13:32Z,VDA4992,"45.749451,16.079496",0,20,121
1502180006,2017-08-08T08:13:26Z,VDA4992,"45.74955,16.079195",0,21,86
1502179999,2017-08-08T08:13:19Z,VDA4992,"45.749508,16.078859",0,21,57
1502179992,2017-08-08T08:13:12Z,VDA4992,"45.749313,16.078508",0,26,48
1502179986,2017-08-08T08:13:06Z,VDA4992,"45.749073,16.078106",0,30,45
1502179979,2017-08-08T08:12:59Z,VDA4992,"45.748745,16.077616",0,18,46
1502179962,2017-08-08T08:12:42Z,VDA4992,"45.747536,16.075779",0,23,47
1502179952,2017-08-08T08:12:32Z,VDA4992,"45.746876,16.074774",0,23,47
