Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502260012,2017-08-09T06:26:52Z,VDA4993,"51.425823,12.234056",0,11,236
1502260000,2017-08-09T06:26:40Z,VDA4993,"51.426025,12.23402",0,13,236
1502259988,2017-08-09T06:26:28Z,VDA4993,"51.42627,12.233982",0,17,236
1502259973,2017-08-09T06:26:13Z,VDA4993,"51.426716,12.234056",0,18,236
1502259961,2017-08-09T06:26:01Z,VDA4993,"51.426968,12.234557",0,20,236
1502259955,2017-08-09T06:25:55Z,VDA4993,"51.427185,12.234668",0,21,236
1502259949,2017-08-09T06:25:49Z,VDA4993,"51.427422,12.23465",0,24,236
1502259943,2017-08-09T06:25:43Z,VDA4993,"51.4277,12.234631",0,26,236
1502259937,2017-08-09T06:25:37Z,VDA4993,"51.42812,12.234573",0,33,236
1502259928,2017-08-09T06:25:28Z,VDA4993,"51.428631,12.234516",0,34,236
1502259922,2017-08-09T06:25:22Z,VDA4993,"51.429085,12.234464",0,28,236
1502259916,2017-08-09T06:25:16Z,VDA4993,"51.429325,12.234426",0,24,236
1502259910,2017-08-09T06:25:10Z,VDA4993,"51.429554,12.23439",0,20,236
1502259895,2017-08-09T06:24:55Z,VDA4993,"51.430122,12.234325",0,22,267
1502259877,2017-08-09T06:24:37Z,VDA4993,"51.430698,12.234965",0,26,267
1502259832,2017-08-09T06:23:52Z,VDA4993,"51.432495,12.242699",0,59,267
1502259820,2017-08-09T06:23:40Z,VDA4993,"51.432774,12.24865",0,82,264
1502259814,2017-08-09T06:23:34Z,VDA4993,"51.433006,12.253418",0,105,267
1502259808,2017-08-09T06:23:28Z,VDA4993,"51.43317,12.257197",0,120,267
1502259793,2017-08-09T06:23:13Z,VDA4993,"51.433823,12.270763",475,129,265
1502259787,2017-08-09T06:23:07Z,VDA4993,"51.434124,12.276688",550,127,265
1502259781,2017-08-09T06:23:01Z,VDA4993,"51.434418,12.283383",625,127,266
1502259775,2017-08-09T06:22:55Z,VDA4993,"51.434647,12.288208",700,127,266
1502259769,2017-08-09T06:22:49Z,VDA4993,"51.434875,12.293478",750,127,265
1502259763,2017-08-09T06:22:43Z,VDA4993,"51.435196,12.299347",825,127,265
1502259757,2017-08-09T06:22:37Z,VDA4993,"51.435474,12.305298",900,125,266
1502259751,2017-08-09T06:22:31Z,VDA4993,"51.435699,12.310181",975,125,266
1502259743,2017-08-09T06:22:23Z,VDA4993,"51.435986,12.319031",1075,126,266
1502259736,2017-08-09T06:22:16Z,VDA4993,"51.436249,12.325621",1150,125,265
1502259730,2017-08-09T06:22:10Z,VDA4993,"51.436451,12.329865",1200,125,265
1502259722,2017-08-09T06:22:02Z,VDA4993,"51.43689,12.338537",1300,123,265
1502259715,2017-08-09T06:21:55Z,VDA4993,"51.437164,12.34403",1350,122,265
1502259709,2017-08-09T06:21:49Z,VDA4993,"51.437439,12.349375",1425,122,264
1502259703,2017-08-09T06:21:43Z,VDA4993,"51.437714,12.354497",1500,122,265
1502259697,2017-08-09T06:21:37Z,VDA4993,"51.437988,12.360077",1550,122,265
1502259691,2017-08-09T06:21:31Z,VDA4993,"51.438309,12.366226",1625,122,265
1502259685,2017-08-09T06:21:25Z,VDA4993,"51.438538,12.370902",1675,122,264
1502259679,2017-08-09T06:21:19Z,VDA4993,"51.438873,12.37648",1725,122,264
1502259673,2017-08-09T06:21:13Z,VDA4993,"51.439152,12.381897",1800,122,265
1502259667,2017-08-09T06:21:07Z,VDA4993,"51.43943,12.38739",1850,121,266
1502259661,2017-08-09T06:21:01Z,VDA4993,"51.439617,12.392731",1900,121,267
1502259655,2017-08-09T06:20:55Z,VDA4993,"51.439774,12.398665",1975,121,267
1502259649,2017-08-09T06:20:49Z,VDA4993,"51.439896,12.403793",2025,121,268
1502259640,2017-08-09T06:20:40Z,VDA4993,"51.440128,12.411804",2100,120,267
1502259634,2017-08-09T06:20:34Z,VDA4993,"51.440269,12.416992",2150,119,266
1502259628,2017-08-09T06:20:28Z,VDA4993,"51.440502,12.422409",2225,119,266
1502259622,2017-08-09T06:20:22Z,VDA4993,"51.440781,12.427673",2300,120,265
1502259616,2017-08-09T06:20:16Z,VDA4993,"51.441013,12.433014",2375,122,265
1502259610,2017-08-09T06:20:10Z,VDA4993,"51.441246,12.438431",2475,122,265
1502259604,2017-08-09T06:20:04Z,VDA4993,"51.441525,12.443924",2550,124,265
1502259598,2017-08-09T06:19:58Z,VDA4993,"51.441807,12.449417",2650,124,265
1502259592,2017-08-09T06:19:52Z,VDA4993,"51.442062,12.454859",2725,124,265
1502259586,2017-08-09T06:19:46Z,VDA4993,"51.442364,12.46048",2825,125,265
1502259580,2017-08-09T06:19:40Z,VDA4993,"51.442657,12.465994",2900,126,265
1502259574,2017-08-09T06:19:34Z,VDA4993,"51.442924,12.471848",2975,127,265
1502259568,2017-08-09T06:19:28Z,VDA4993,"51.443203,12.478485",3075,126,267
1502259562,2017-08-09T06:19:22Z,VDA4993,"51.44334,12.48291",3050,126,268
1502259556,2017-08-09T06:19:16Z,VDA4993,"51.443436,12.488708",3050,126,269
1502259550,2017-08-09T06:19:10Z,VDA4993,"51.443481,12.494507",3050,124,270
1502259544,2017-08-09T06:19:04Z,VDA4993,"51.443481,12.499918",3025,124,270
1502259538,2017-08-09T06:18:58Z,VDA4993,"51.443481,12.505114",3025,123,270
1502259532,2017-08-09T06:18:52Z,VDA4993,"51.443481,12.51083",3025,123,270
1502259526,2017-08-09T06:18:46Z,VDA4993,"51.443436,12.516861",3025,124,270
1502259517,2017-08-09T06:18:37Z,VDA4993,"51.443344,12.524934",3025,126,271
1502259511,2017-08-09T06:18:31Z,VDA4993,"51.443207,12.530204",3025,128,272
1502259505,2017-08-09T06:18:25Z,VDA4993,"51.442978,12.535846",3025,131,274
1502259499,2017-08-09T06:18:19Z,VDA4993,"51.442612,12.541784",3025,132,277
1502259493,2017-08-09T06:18:13Z,VDA4993,"51.442017,12.547946",3025,133,283
1502259487,2017-08-09T06:18:07Z,VDA4993,"51.440968,12.553558",3000,134,291
1502259481,2017-08-09T06:18:01Z,VDA4993,"51.439499,12.559155",3000,133,292
1502259475,2017-08-09T06:17:55Z,VDA4993,"51.43808,12.564722",3000,135,292
1502259469,2017-08-09T06:17:49Z,VDA4993,"51.436615,12.570437",3000,139,292
1502259463,2017-08-09T06:17:43Z,VDA4993,"51.435104,12.576079",3025,145,295
1502259457,2017-08-09T06:17:37Z,VDA4993,"51.432953,12.581869",3125,153,310
1502259451,2017-08-09T06:17:31Z,VDA4993,"51.429981,12.586517",3225,160,326
1502259445,2017-08-09T06:17:25Z,VDA4993,"51.425652,12.590027",3325,168,341
1502259439,2017-08-09T06:17:19Z,VDA4993,"51.421322,12.591705",3350,182,355
1502259433,2017-08-09T06:17:13Z,VDA4993,"51.415878,12.592262",3350,194,358
1502259427,2017-08-09T06:17:07Z,VDA4993,"51.410751,12.592484",3300,204,358
1502259421,2017-08-09T06:17:01Z,VDA4993,"51.404842,12.59285",3300,210,357
1502259415,2017-08-09T06:16:55Z,VDA4993,"51.399071,12.593231",3325,212,357
1502259409,2017-08-09T06:16:49Z,VDA4993,"51.393066,12.593765",3325,211,357
1502259403,2017-08-09T06:16:43Z,VDA4993,"51.387341,12.594223",3325,209,357
1502259397,2017-08-09T06:16:37Z,VDA4993,"51.381519,12.594681",3375,205,357
1502259391,2017-08-09T06:16:31Z,VDA4993,"51.375687,12.595083",3425,209,357
1502259385,2017-08-09T06:16:25Z,VDA4993,"51.369736,12.595529",3450,215,357
1502259379,2017-08-09T06:16:19Z,VDA4993,"51.363922,12.595978",3450,220,357
1502259372,2017-08-09T06:16:12Z,VDA4993,"51.357407,12.596436",3550,218,357
1502259366,2017-08-09T06:16:06Z,VDA4993,"51.351635,12.596893",3650,217,357
1502259345,2017-08-09T06:15:45Z,VDA4993,"51.330639,12.598953",4100,218,6
1502259314,2017-08-09T06:15:14Z,VDA4993,"51.296749,12.590332",4825,226,10
1502259302,2017-08-09T06:15:02Z,VDA4993,"51.285416,12.586917",5050,228,10
1502259287,2017-08-09T06:14:47Z,VDA4993,"51.270073,12.582474",5325,232,10
1502259275,2017-08-09T06:14:35Z,VDA4993,"51.255798,12.578158",5600,235,10
1502259263,2017-08-09T06:14:23Z,VDA4993,"51.244629,12.574743",5825,236,10
1502259248,2017-08-09T06:14:08Z,VDA4993,"51.228149,12.569621",6150,238,10
1502259236,2017-08-09T06:13:56Z,VDA4993,"51.215012,12.565836",6425,239,10
1502259224,2017-08-09T06:13:44Z,VDA4993,"51.201462,12.561975",6700,239,10
1502259212,2017-08-09T06:13:32Z,VDA4993,"51.188141,12.55806",6975,241,10
1502259200,2017-08-09T06:13:20Z,VDA4993,"51.175014,12.554016",7275,240,11
1502259188,2017-08-09T06:13:08Z,VDA4993,"51.162258,12.550049",7425,246,10
1502259173,2017-08-09T06:12:53Z,VDA4993,"51.144974,12.54468",7475,261,10
1502259161,2017-08-09T06:12:41Z,VDA4993,"51.129765,12.540131",7625,270,9
1502259149,2017-08-09T06:12:29Z,VDA4993,"51.116032,12.53624",7750,274,10
1502259137,2017-08-09T06:12:17Z,VDA4993,"51.100342,12.531763",7800,282,10
1502259124,2017-08-09T06:12:04Z,VDA4993,"51.082718,12.526715",7775,292,10
1502259111,2017-08-09T06:11:51Z,VDA4993,"51.064175,12.521133",7825,301,10
1502259097,2017-08-09T06:11:37Z,VDA4993,"51.044388,12.515335",8050,303,9
1502259085,2017-08-09T06:11:25Z,VDA4993,"51.031677,12.511868",8225,304,9
1502259073,2017-08-09T06:11:13Z,VDA4993,"51.01371,12.507172",8500,302,8
1502259061,2017-08-09T06:11:01Z,VDA4993,"50.996887,12.503036",8725,303,8
1502259049,2017-08-09T06:10:49Z,VDA4993,"50.981094,12.499026",8950,305,9
1502259037,2017-08-09T06:10:37Z,VDA4993,"50.964432,12.494721",9200,308,8
1502259025,2017-08-09T06:10:25Z,VDA4993,"50.947449,12.490564",9450,311,9
1502259013,2017-08-09T06:10:13Z,VDA4993,"50.930283,12.486111",9675,317,9
1502259001,2017-08-09T06:10:01Z,VDA4993,"50.911667,12.481461",9875,322,8
1502258989,2017-08-09T06:09:49Z,VDA4993,"50.892334,12.476535",10175,325,9
1502258977,2017-08-09T06:09:37Z,VDA4993,"50.873962,12.471695",10550,323,9
1502258963,2017-08-09T06:09:23Z,VDA4993,"50.854782,12.466888",10900,324,9
1502258950,2017-08-09T06:09:10Z,VDA4993,"50.836906,12.462311",10950,334,9
1502258938,2017-08-09T06:08:58Z,VDA4993,"50.818237,12.457504",10975,348,9
1502258926,2017-08-09T06:08:46Z,VDA4993,"50.798222,12.452469",11100,360,8
1502258914,2017-08-09T06:08:34Z,VDA4993,"50.774246,12.446365",11475,364,9
1502258881,2017-08-09T06:08:01Z,VDA4993,"50.722641,12.433257",12475,363,9
1502258848,2017-08-09T06:07:28Z,VDA4993,"50.665642,12.418857",13450,367,9
1502258815,2017-08-09T06:06:55Z,VDA4993,"50.612823,12.405516",14550,365,9
1502258783,2017-08-09T06:06:23Z,VDA4993,"50.557709,12.391494",15225,377,8
1502258752,2017-08-09T06:05:52Z,VDA4993,"50.505753,12.378556",16300,375,9
1502258689,2017-08-09T06:04:49Z,VDA4993,"50.398087,12.351452",18300,372,8
1502258626,2017-08-09T06:03:46Z,VDA4993,"50.289639,12.324879",20025,375,8
1502258565,2017-08-09T06:02:45Z,VDA4993,"50.184757,12.299194",21075,397,8
1502258503,2017-08-09T06:01:43Z,VDA4993,"50.064514,12.269632",22350,424,9
1502258439,2017-08-09T06:00:39Z,VDA4993,"49.940823,12.239141",24200,438,8
1502258376,2017-08-09T05:59:36Z,VDA4993,"49.811874,12.207473",26275,445,8
1502258313,2017-08-09T05:58:33Z,VDA4993,"49.685165,12.177911",28600,440,7
1502258247,2017-08-09T05:57:27Z,VDA4993,"49.552624,12.128757",30025,437,10
1502258241,2017-08-09T05:57:21Z,VDA4993,"49.541355,12.125863",30050,435,8
1502258218,2017-08-09T05:56:58Z,VDA4993,"49.497025,12.120739",29975,424,356
1502258212,2017-08-09T05:56:52Z,VDA4993,"49.485027,12.122745",29975,420,350
