Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502441060,2017-08-11T08:44:20Z,VDA7029,"31.722176,35.999924",0,2,81
1502441021,2017-08-11T08:43:41Z,VDA7029,"31.721811,35.999985",0,13,81
1502441006,2017-08-11T08:43:26Z,VDA7029,"31.721439,36.000053",0,18,81
1502440991,2017-08-11T08:43:11Z,VDA7029,"31.720951,36.000095",0,21,81
1502440985,2017-08-11T08:43:05Z,VDA7029,"31.720718,36.000122",0,22,81
1502440977,2017-08-11T08:42:57Z,VDA7029,"31.720356,36.000179",0,21,81
1502440970,2017-08-11T08:42:50Z,VDA7029,"31.720139,36.000111",0,23,81
1502440964,2017-08-11T08:42:44Z,VDA7029,"31.719961,35.999878",0,26,81
1502440958,2017-08-11T08:42:38Z,VDA7029,"31.719904,35.999493",0,30,81
1502440952,2017-08-11T08:42:32Z,VDA7029,"31.719852,35.999046",0,15,81
1502440946,2017-08-11T08:42:26Z,VDA7029,"31.719749,35.998306",0,19,81
1502440937,2017-08-11T08:42:17Z,VDA7029,"31.719648,35.997597",0,18,81
1502440931,2017-08-11T08:42:11Z,VDA7029,"31.719532,35.996826",0,17,81
1502440913,2017-08-11T08:41:53Z,VDA7029,"31.719322,35.995304",0,15,289
1502440901,2017-08-11T08:41:41Z,VDA7029,"31.719181,35.99437",0,33,289
1502440895,2017-08-11T08:41:35Z,VDA7029,"31.719124,35.993958",0,32,289
1502440877,2017-08-11T08:41:17Z,VDA7029,"31.718948,35.992691",0,27,289
1502440867,2017-08-11T08:41:07Z,VDA7029,"31.718868,35.992233",0,25,289
1502440861,2017-08-11T08:41:01Z,VDA7029,"31.718822,35.991856",0,23,289
1502440855,2017-08-11T08:40:55Z,VDA7029,"31.718788,35.9916",0,22,289
1502440846,2017-08-11T08:40:46Z,VDA7029,"31.718731,35.991184",0,20,289
1502440840,2017-08-11T08:40:40Z,VDA7029,"31.718719,35.990982",0,19,289
1502440826,2017-08-11T08:40:26Z,VDA7029,"31.718422,35.990524",0,18,289
1502440813,2017-08-11T08:40:13Z,VDA7029,"31.718079,35.990498",0,17,289
1502440801,2017-08-11T08:40:01Z,VDA7029,"31.717781,35.990753",0,19,289
1502440793,2017-08-11T08:39:53Z,VDA7029,"31.717657,35.991089",0,19,289
1502440786,2017-08-11T08:39:46Z,VDA7029,"31.717564,35.991375",0,20,289
1502440780,2017-08-11T08:39:40Z,VDA7029,"31.717472,35.991669",0,24,289
1502440774,2017-08-11T08:39:34Z,VDA7029,"31.71739,35.991924",0,33,289
1502440768,2017-08-11T08:39:28Z,VDA7029,"31.717251,35.992378",0,19,289
1502440762,2017-08-11T08:39:22Z,VDA7029,"31.717026,35.993084",0,23,289
1502440753,2017-08-11T08:39:13Z,VDA7029,"31.716599,35.995632",0,23,264
1502440741,2017-08-11T08:39:01Z,VDA7029,"31.716614,35.995869",0,24,264
1502440735,2017-08-11T08:38:55Z,VDA7029,"31.716749,35.996868",0,34,258
1502440729,2017-08-11T08:38:49Z,VDA7029,"31.716888,35.997875",0,40,261
1502440723,2017-08-11T08:38:43Z,VDA7029,"31.717087,35.999218",0,46,261
1502440717,2017-08-11T08:38:37Z,VDA7029,"31.717297,36.000713",0,52,261
1502440711,2017-08-11T08:38:31Z,VDA7029,"31.717541,36.002495",0,63,261
1502440705,2017-08-11T08:38:25Z,VDA7029,"31.717941,36.005322",0,86,261
1502440699,2017-08-11T08:38:19Z,VDA7029,"31.71833,36.008026",0,105,258
1502440693,2017-08-11T08:38:13Z,VDA7029,"31.718857,36.011635",0,120,260
1502440687,2017-08-11T08:38:07Z,VDA7029,"31.719406,36.015717",2425,128,261
1502440681,2017-08-11T08:38:01Z,VDA7029,"31.720139,36.021046",2525,131,260
1502440675,2017-08-11T08:37:55Z,VDA7029,"31.720596,36.024223",2550,131,260
1502440669,2017-08-11T08:37:49Z,VDA7029,"31.721207,36.028675",2625,134,261
1502440662,2017-08-11T08:37:42Z,VDA7029,"31.721786,36.032841",2700,132,260
1502440656,2017-08-11T08:37:36Z,VDA7029,"31.722464,36.037243",2750,133,259
1502440650,2017-08-11T08:37:30Z,VDA7029,"31.723114,36.041351",2825,133,259
1502440644,2017-08-11T08:37:24Z,VDA7029,"31.723814,36.045704",2925,134,259
1502440638,2017-08-11T08:37:18Z,VDA7029,"31.724512,36.050152",2975,132,261
1502440632,2017-08-11T08:37:12Z,VDA7029,"31.725037,36.054489",3050,130,261
1502440626,2017-08-11T08:37:06Z,VDA7029,"31.725536,36.058556",3100,129,261
1502440620,2017-08-11T08:37:00Z,VDA7029,"31.726135,36.062836",3175,129,260
1502440614,2017-08-11T08:36:54Z,VDA7029,"31.726685,36.066986",3225,129,261
1502440608,2017-08-11T08:36:48Z,VDA7029,"31.727259,36.071136",3300,128,261
1502440602,2017-08-11T08:36:42Z,VDA7029,"31.72777,36.075256",3375,128,261
1502440596,2017-08-11T08:36:36Z,VDA7029,"31.728378,36.079803",3425,129,260
1502440587,2017-08-11T08:36:27Z,VDA7029,"31.729353,36.086132",3500,134,259
1502440581,2017-08-11T08:36:21Z,VDA7029,"31.72998,36.090302",3550,131,260
1502440575,2017-08-11T08:36:15Z,VDA7029,"31.73061,36.094372",3575,128,260
1502440569,2017-08-11T08:36:09Z,VDA7029,"31.731216,36.098824",3625,128,261
1502440563,2017-08-11T08:36:03Z,VDA7029,"31.731766,36.103065",3700,129,261
1502440557,2017-08-11T08:35:57Z,VDA7029,"31.732332,36.10717",3750,129,260
1502440551,2017-08-11T08:35:51Z,VDA7029,"31.733002,36.111416",3825,132,260
1502440545,2017-08-11T08:35:45Z,VDA7029,"31.733683,36.11618",3925,134,260
1502440539,2017-08-11T08:35:39Z,VDA7029,"31.734335,36.120247",4000,137,258
1502440533,2017-08-11T08:35:33Z,VDA7029,"31.735107,36.124607",4100,138,256
1502440526,2017-08-11T08:35:26Z,VDA7029,"31.736103,36.129036",4225,139,255
1502440520,2017-08-11T08:35:20Z,VDA7029,"31.737076,36.133331",4300,139,255
1502440511,2017-08-11T08:35:11Z,VDA7029,"31.738632,36.140171",4450,140,255
1502440505,2017-08-11T08:35:05Z,VDA7029,"31.739502,36.144695",4550,139,259
1502440499,2017-08-11T08:34:59Z,VDA7029,"31.740154,36.148975",4650,139,259
1502440493,2017-08-11T08:34:53Z,VDA7029,"31.741037,36.153698",4675,137,253
1502440487,2017-08-11T08:34:47Z,VDA7029,"31.742386,36.15773",4650,141,239
1502440481,2017-08-11T08:34:41Z,VDA7029,"31.744675,36.161606",4675,141,231
1502440475,2017-08-11T08:34:35Z,VDA7029,"31.747192,36.165161",4650,142,229
1502440469,2017-08-11T08:34:29Z,VDA7029,"31.74971,36.168663",4650,142,229
1502440463,2017-08-11T08:34:23Z,VDA7029,"31.752319,36.172215",4675,140,230
1502440457,2017-08-11T08:34:17Z,VDA7029,"31.754818,36.175671",4650,141,230
1502440451,2017-08-11T08:34:11Z,VDA7029,"31.757355,36.179325",4650,145,230
1502440445,2017-08-11T08:34:05Z,VDA7029,"31.760056,36.183147",4675,150,230
