Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502589082,2017-08-13T01:51:22Z,VDA7032,"31.826229,36.760479",3925,188,115
1502589076,2017-08-13T01:51:16Z,VDA7032,"31.827812,36.7565",4000,188,115
1502589070,2017-08-13T01:51:10Z,VDA7032,"31.830605,36.749378",4150,181,113
1502589064,2017-08-13T01:51:04Z,VDA7032,"31.832188,36.745121",4225,177,112
1502589055,2017-08-13T01:50:55Z,VDA7032,"31.834795,36.737049",4325,182,110
1502589049,2017-08-13T01:50:49Z,VDA7032,"31.836796,36.73077",4375,185,109
1502589043,2017-08-13T01:50:43Z,VDA7032,"31.838379,36.725594",4425,186,107
1502589037,2017-08-13T01:50:37Z,VDA7032,"31.839798,36.719715",4525,186,101
1502589031,2017-08-13T01:50:31Z,VDA7032,"31.840576,36.713615",4675,185,94
1502589025,2017-08-13T01:50:25Z,VDA7032,"31.841125,36.706219",4825,185,94
1502589018,2017-08-13T01:50:18Z,VDA7032,"31.841446,36.701256",4950,185,94
1502589007,2017-08-13T01:50:07Z,VDA7032,"31.842289,36.6889",5200,186,94
1502588994,2017-08-13T01:49:54Z,VDA7032,"31.843126,36.67651",5375,192,94
1502588982,2017-08-13T01:49:42Z,VDA7032,"31.844059,36.663338",5400,211,94
1502588970,2017-08-13T01:49:30Z,VDA7032,"31.845108,36.648579",5525,221,94
1502588958,2017-08-13T01:49:18Z,VDA7032,"31.846069,36.634132",5800,222,94
1502588946,2017-08-13T01:49:06Z,VDA7032,"31.847076,36.61919",6050,224,94
1502588933,2017-08-13T01:48:53Z,VDA7032,"31.848129,36.604469",6300,226,94
1502588784,2017-08-13T01:46:24Z,VDA7032,"31.86058,36.410175",9625,257,94
1502588774,2017-08-13T01:46:14Z,VDA7032,"31.860863,36.399105",9650,257,94
1502588757,2017-08-13T01:45:57Z,VDA7032,"31.862778,36.370239",9750,273,94
1502588710,2017-08-13T01:45:10Z,VDA7032,"31.869522,36.281116",10525,291,95
1502588681,2017-08-13T01:44:41Z,VDA7032,"31.871704,36.252136",10850,295,94
1502588666,2017-08-13T01:44:26Z,VDA7032,"31.873432,36.228035",11125,298,94
1502588652,2017-08-13T01:44:12Z,VDA7032,"31.875109,36.206116",11175,300,94
1502588640,2017-08-13T01:44:00Z,VDA7032,"31.87632,36.188293",11200,298,94
1502588627,2017-08-13T01:43:47Z,VDA7032,"31.877716,36.170189",11175,298,95
1502588615,2017-08-13T01:43:35Z,VDA7032,"31.879623,36.150791",11075,300,97
1502588603,2017-08-13T01:43:23Z,VDA7032,"31.881866,36.130409",11075,299,97
1502588591,2017-08-13T01:43:11Z,VDA7032,"31.883907,36.110603",11075,303,96
1502588578,2017-08-13T01:42:58Z,VDA7032,"31.886049,36.090199",11025,305,97
1502588566,2017-08-13T01:42:46Z,VDA7032,"31.888329,36.069683",11000,310,97
1502588554,2017-08-13T01:42:34Z,VDA7032,"31.890703,36.049393",11125,314,97
1502588542,2017-08-13T01:42:22Z,VDA7032,"31.893173,36.028015",11250,315,97
1502588529,2017-08-13T01:42:09Z,VDA7032,"31.895592,36.00713",11325,322,97
1502588517,2017-08-13T01:41:57Z,VDA7032,"31.898058,35.9851",11450,328,97
1502588504,2017-08-13T01:41:44Z,VDA7032,"31.900572,35.962849",11500,338,97
1502588492,2017-08-13T01:41:32Z,VDA7032,"31.903133,35.940258",11575,345,97
1502588480,2017-08-13T01:41:20Z,VDA7032,"31.905716,35.916943",11625,355,97
1502588468,2017-08-13T01:41:08Z,VDA7032,"31.908371,35.893105",11825,360,97
1502588436,2017-08-13T01:40:36Z,VDA7032,"31.915009,35.832512",12475,367,97
1502588397,2017-08-13T01:39:57Z,VDA7032,"31.923197,35.752651",13450,371,98
1502588360,2017-08-13T01:39:20Z,VDA7032,"31.925629,35.667442",14550,381,87
1502588327,2017-08-13T01:38:47Z,VDA7032,"31.923981,35.60894",15250,384,89
1502588291,2017-08-13T01:38:11Z,VDA7032,"31.931717,35.533905",16150,382,106
1502588281,2017-08-13T01:38:01Z,VDA7032,"31.937164,35.515556",16425,379,113
1502588270,2017-08-13T01:37:50Z,VDA7032,"31.946381,35.494751",16650,377,125
1502588233,2017-08-13T01:37:13Z,VDA7032,"31.987198,35.437447",17525,381,131
1502588161,2017-08-13T01:36:01Z,VDA7032,"32.07333,35.321716",19625,390,131
1502588098,2017-08-13T01:34:58Z,VDA7032,"32.14856,35.220631",21725,389,131
1502588035,2017-08-13T01:33:55Z,VDA7032,"32.225693,35.116734",23450,399,131
1502587968,2017-08-13T01:32:48Z,VDA7032,"32.306973,35.008438",25525,404,132
1502587962,2017-08-13T01:32:42Z,VDA7032,"32.314468,34.998741",25700,404,132
1502587956,2017-08-13T01:32:36Z,VDA7032,"32.322372,34.988762",25900,405,133
1502587950,2017-08-13T01:32:30Z,VDA7032,"32.331322,34.978283",26050,406,137
1502587889,2017-08-13T01:31:29Z,VDA7032,"32.427402,34.90704",26850,412,149
