Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502866157,2017-08-16T06:49:17Z,VDA7047,"29.621601,35.025089",0,13,16
1502866129,2017-08-16T06:48:49Z,VDA7047,"29.621098,35.025154",0,13,16
1502866114,2017-08-16T06:48:34Z,VDA7047,"29.620689,35.024994",0,17,16
1502866101,2017-08-16T06:48:21Z,VDA7047,"29.620434,35.024891",0,13,16
1502866065,2017-08-16T06:47:45Z,VDA7047,"29.620491,35.023991",0,19,16
1502866044,2017-08-16T06:47:24Z,VDA7047,"29.620731,35.023346",0,19,16
1502866031,2017-08-16T06:47:11Z,VDA7047,"29.621086,35.023319",0,20,16
1502865964,2017-08-16T06:46:04Z,VDA7047,"29.623178,35.02401",0,13,16
1502865934,2017-08-16T06:45:34Z,VDA7047,"29.623501,35.023701",0,9,16
1502865912,2017-08-16T06:45:12Z,VDA7047,"29.623569,35.023422",0,11,16
1502865897,2017-08-16T06:44:57Z,VDA7047,"29.62365,35.023132",0,13,16
1502865885,2017-08-16T06:44:45Z,VDA7047,"29.62373,35.022842",0,15,16
1502865873,2017-08-16T06:44:33Z,VDA7047,"29.623726,35.022503",0,15,16
1502865863,2017-08-16T06:44:23Z,VDA7047,"29.623592,35.022274",0,20,16
1502865857,2017-08-16T06:44:17Z,VDA7047,"29.623377,35.022152",0,21,16
1502865851,2017-08-16T06:44:11Z,VDA7047,"29.623085,35.02203",0,32,16
1502865845,2017-08-16T06:44:05Z,VDA7047,"29.622665,35.021904",0,17,16
1502865839,2017-08-16T06:43:59Z,VDA7047,"29.62215,35.021721",0,18,16
1502865823,2017-08-16T06:43:43Z,VDA7047,"29.620863,35.021278",0,16,16
1502865811,2017-08-16T06:43:31Z,VDA7047,"29.619976,35.020981",0,23,16
1502865799,2017-08-16T06:43:19Z,VDA7047,"29.618431,35.020454",0,37,16
1502865790,2017-08-16T06:43:10Z,VDA7047,"29.616634,35.019833",0,51,16
1502865784,2017-08-16T06:43:04Z,VDA7047,"29.614393,35.019016",0,72,16
1502865778,2017-08-16T06:42:58Z,VDA7047,"29.613384,35.018669",0,80,16
1502865768,2017-08-16T06:42:48Z,VDA7047,"29.609295,35.017197",0,110,16
1502865762,2017-08-16T06:42:42Z,VDA7047,"29.606106,35.016068",350,118,16
1502865756,2017-08-16T06:42:36Z,VDA7047,"29.603256,35.015118",375,124,17
1502865750,2017-08-16T06:42:30Z,VDA7047,"29.599503,35.013851",425,124,17
1502865744,2017-08-16T06:42:24Z,VDA7047,"29.596889,35.012943",500,123,17
1502865735,2017-08-16T06:42:15Z,VDA7047,"29.591396,35.011005",600,121,17
1502865729,2017-08-16T06:42:09Z,VDA7047,"29.587393,35.009605",675,121,17
1502865723,2017-08-16T06:42:03Z,VDA7047,"29.585251,35.008797",700,122,17
1502865717,2017-08-16T06:41:57Z,VDA7047,"29.580963,35.007248",775,120,17
1502865710,2017-08-16T06:41:50Z,VDA7047,"29.577988,35.006191",850,118,16
1502865704,2017-08-16T06:41:44Z,VDA7047,"29.575567,35.005348",900,119,17
1502865698,2017-08-16T06:41:38Z,VDA7047,"29.572083,35.004131",975,120,15
1502865692,2017-08-16T06:41:32Z,VDA7047,"29.568741,35.003021",1025,122,16
1502865686,2017-08-16T06:41:26Z,VDA7047,"29.565372,35.00185",1100,122,17
1502865680,2017-08-16T06:41:20Z,VDA7047,"29.561695,35.000504",1175,124,17
1502865674,2017-08-16T06:41:14Z,VDA7047,"29.558529,34.999424",1250,124,15
1502865668,2017-08-16T06:41:08Z,VDA7047,"29.555223,34.998402",1275,123,15
1502865661,2017-08-16T06:41:01Z,VDA7047,"29.551849,34.997211",1350,120,17
1502865655,2017-08-16T06:40:55Z,VDA7047,"29.548475,34.996033",1425,120,16
1502865649,2017-08-16T06:40:49Z,VDA7047,"29.54512,34.994888",1500,122,15
1502865643,2017-08-16T06:40:43Z,VDA7047,"29.54191,34.993824",1575,124,17
1502865637,2017-08-16T06:40:37Z,VDA7047,"29.538372,34.992584",1675,126,15
1502865631,2017-08-16T06:40:31Z,VDA7047,"29.534821,34.991455",1725,127,16
1502865625,2017-08-16T06:40:25Z,VDA7047,"29.531528,34.990269",1750,125,17
1502865619,2017-08-16T06:40:19Z,VDA7047,"29.52832,34.989185",1800,122,16
1502865613,2017-08-16T06:40:13Z,VDA7047,"29.524979,34.988022",1825,125,16
1502865607,2017-08-16T06:40:07Z,VDA7047,"29.521614,34.986824",1875,122,17
1502865601,2017-08-16T06:40:01Z,VDA7047,"29.518215,34.985584",1950,120,18
