Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503521128,2017-08-23T20:45:28Z,VDA7063,"36.996059,35.420536",0,22,236
1503521122,2017-08-23T20:45:22Z,VDA7063,"36.995934,35.420315",0,23,236
1503521115,2017-08-23T20:45:15Z,VDA7063,"36.995773,35.42004",0,24,236
1503521109,2017-08-23T20:45:09Z,VDA7063,"36.995621,35.419804",0,24,236
1503521098,2017-08-23T20:44:58Z,VDA7063,"36.995262,35.41922",0,25,236
1503521091,2017-08-23T20:44:51Z,VDA7063,"36.995098,35.418941",0,25,236
1503521085,2017-08-23T20:44:45Z,VDA7063,"36.994923,35.418652",0,25,236
1503521079,2017-08-23T20:44:39Z,VDA7063,"36.994751,35.418354",0,24,236
1503521067,2017-08-23T20:44:27Z,VDA7063,"36.994423,35.417816",0,24,236
1503521052,2017-08-23T20:44:12Z,VDA7063,"36.994076,35.417263",0,14,236
1503521036,2017-08-23T20:43:56Z,VDA7063,"36.993885,35.416897",0,17,236
1503521030,2017-08-23T20:43:50Z,VDA7063,"36.9939,35.416683",0,17,236
1503521018,2017-08-23T20:43:38Z,VDA7063,"36.994179,35.416386",0,20,236
1503521012,2017-08-23T20:43:32Z,VDA7063,"36.994389,35.416195",0,24,236
1503521006,2017-08-23T20:43:26Z,VDA7063,"36.99461,35.415981",0,24,236
1503520997,2017-08-23T20:43:17Z,VDA7063,"36.994923,35.415684",0,24,236
1503520988,2017-08-23T20:43:08Z,VDA7063,"36.995228,35.415413",0,24,236
1503520982,2017-08-23T20:43:02Z,VDA7063,"36.995464,35.415306",0,21,236
1503520976,2017-08-23T20:42:56Z,VDA7063,"36.995705,35.415413",0,26,236
1503520970,2017-08-23T20:42:50Z,VDA7063,"36.995892,35.415726",0,27,236
1503520962,2017-08-23T20:42:42Z,VDA7063,"36.996254,35.416344",0,20,233
1503520955,2017-08-23T20:42:35Z,VDA7063,"36.996624,35.416965",0,25,233
1503520949,2017-08-23T20:42:29Z,VDA7063,"36.997101,35.417744",0,31,233
1503520943,2017-08-23T20:42:23Z,VDA7063,"36.99773,35.418831",0,48,233
1503520931,2017-08-23T20:42:11Z,VDA7063,"36.99987,35.422348",0,78,233
1503520925,2017-08-23T20:42:05Z,VDA7063,"37.001495,35.425034",0,92,233
1503520919,2017-08-23T20:41:59Z,VDA7063,"37.002975,35.427475",0,105,233
1503520913,2017-08-23T20:41:53Z,VDA7063,"37.005013,35.430862",0,125,233
1503520907,2017-08-23T20:41:47Z,VDA7063,"37.007172,35.434414",325,134,232
1503520901,2017-08-23T20:41:41Z,VDA7063,"37.00946,35.438156",350,137,232
1503520895,2017-08-23T20:41:35Z,VDA7063,"37.011795,35.442013",450,139,232
1503520889,2017-08-23T20:41:29Z,VDA7063,"37.01413,35.445927",525,138,233
1503520883,2017-08-23T20:41:23Z,VDA7063,"37.016525,35.449894",600,138,233
1503520877,2017-08-23T20:41:17Z,VDA7063,"37.018753,35.453583",675,137,233
1503520870,2017-08-23T20:41:10Z,VDA7063,"37.021133,35.4576",750,137,232
1503520862,2017-08-23T20:41:02Z,VDA7063,"37.024578,35.463211",850,136,233
1503520855,2017-08-23T20:40:55Z,VDA7063,"37.026814,35.466911",925,135,233
1503520847,2017-08-23T20:40:47Z,VDA7063,"37.03038,35.472866",1025,134,232
1503520838,2017-08-23T20:40:38Z,VDA7063,"37.033794,35.478497",1125,134,233
1503520831,2017-08-23T20:40:31Z,VDA7063,"37.035889,35.482018",1200,133,233
1503520823,2017-08-23T20:40:23Z,VDA7063,"37.039242,35.48769",1275,134,232
1503520816,2017-08-23T20:40:16Z,VDA7063,"37.041523,35.491394",1350,136,232
1503520810,2017-08-23T20:40:10Z,VDA7063,"37.04385,35.495274",1425,138,233
1503520804,2017-08-23T20:40:04Z,VDA7063,"37.046131,35.499153",1525,139,234
1503520798,2017-08-23T20:39:58Z,VDA7063,"37.048412,35.503036",1625,136,233
1503520792,2017-08-23T20:39:52Z,VDA7063,"37.050694,35.506798",1725,135,233
1503520786,2017-08-23T20:39:46Z,VDA7063,"37.052883,35.51062",1825,135,235
1503520778,2017-08-23T20:39:38Z,VDA7063,"37.056419,35.516529",1950,138,230
1503520771,2017-08-23T20:39:31Z,VDA7063,"37.058887,35.520233",2025,139,229
1503520765,2017-08-23T20:39:25Z,VDA7063,"37.061325,35.523941",2075,139,232
1503520759,2017-08-23T20:39:19Z,VDA7063,"37.063774,35.527813",2125,139,229
1503520753,2017-08-23T20:39:13Z,VDA7063,"37.066544,35.531654",2175,142,224
1503520747,2017-08-23T20:39:07Z,VDA7063,"37.069313,35.53492",2250,139,224
1503520738,2017-08-23T20:38:58Z,VDA7063,"37.073273,35.54007",2400,135,230
1503520732,2017-08-23T20:38:52Z,VDA7063,"37.075691,35.543877",2425,133,233
1503520726,2017-08-23T20:38:46Z,VDA7063,"37.078033,35.547783",2425,136,233
1503520720,2017-08-23T20:38:40Z,VDA7063,"37.080322,35.551582",2425,136,232
1503520714,2017-08-23T20:38:34Z,VDA7063,"37.082722,35.555458",2425,137,232
1503520708,2017-08-23T20:38:28Z,VDA7063,"37.085037,35.559238",2425,143,233
1503520702,2017-08-23T20:38:22Z,VDA7063,"37.087563,35.563461",2450,149,232
1503520696,2017-08-23T20:38:16Z,VDA7063,"37.090031,35.567341",2500,154,230
1503520690,2017-08-23T20:38:10Z,VDA7063,"37.092823,35.57164",2475,164,232
1503520684,2017-08-23T20:38:04Z,VDA7063,"37.095711,35.576775",2450,175,238
1503520678,2017-08-23T20:37:58Z,VDA7063,"37.098175,35.582378",2450,183,244
1503520669,2017-08-23T20:37:49Z,VDA7063,"37.100967,35.591263",2475,188,253
1503520662,2017-08-23T20:37:42Z,VDA7063,"37.102459,35.597733",2475,189,254
1503520656,2017-08-23T20:37:36Z,VDA7063,"37.103806,35.603825",2475,191,254
1503520650,2017-08-23T20:37:30Z,VDA7063,"37.10527,35.610722",2475,194,256
1503520644,2017-08-23T20:37:24Z,VDA7063,"37.106461,35.617382",2500,193,258
1503520638,2017-08-23T20:37:18Z,VDA7063,"37.107578,35.623886",2475,195,256
1503520632,2017-08-23T20:37:12Z,VDA7063,"37.10907,35.630707",2475,196,253
1503520626,2017-08-23T20:37:06Z,VDA7063,"37.110443,35.636784",2475,195,254
1503520620,2017-08-23T20:37:00Z,VDA7063,"37.112,35.643681",2475,193,254
1503520614,2017-08-23T20:36:54Z,VDA7063,"37.113419,35.649757",2475,190,253
1503520603,2017-08-23T20:36:43Z,VDA7063,"37.116486,35.662788",2450,188,254
1503520596,2017-08-23T20:36:36Z,VDA7063,"37.117916,35.669384",2450,188,255
1503520590,2017-08-23T20:36:30Z,VDA7063,"37.119267,35.675774",2475,187,255
1503520584,2017-08-23T20:36:24Z,VDA7063,"37.120514,35.681782",2475,187,257
1503520578,2017-08-23T20:36:18Z,VDA7063,"37.121452,35.688072",2450,189,263
1503520572,2017-08-23T20:36:12Z,VDA7063,"37.121731,35.695057",2450,192,273
1503520566,2017-08-23T20:36:06Z,VDA7063,"37.121128,35.701687",2450,194,279
1503520560,2017-08-23T20:36:00Z,VDA7063,"37.120197,35.708492",2450,198,280
1503520554,2017-08-23T20:35:54Z,VDA7063,"37.119217,35.715298",2450,202,279
1503520546,2017-08-23T20:35:46Z,VDA7063,"37.117859,35.725784",2475,204,277
1503520539,2017-08-23T20:35:39Z,VDA7063,"37.117077,35.732674",2475,205,278
1503520533,2017-08-23T20:35:33Z,VDA7063,"37.116119,35.739929",2475,205,280
1503520527,2017-08-23T20:35:27Z,VDA7063,"37.114746,35.746941",2475,207,288
1503520521,2017-08-23T20:35:21Z,VDA7063,"37.111397,35.75584",2475,208,303
1503520515,2017-08-23T20:35:15Z,VDA7063,"37.108883,35.760139",2500,209,310
1503520509,2017-08-23T20:35:09Z,VDA7063,"37.104786,35.765217",2550,208,321
1503520503,2017-08-23T20:35:03Z,VDA7063,"37.100273,35.769035",2600,208,331
1503520497,2017-08-23T20:34:57Z,VDA7063,"37.094788,35.772068",2675,208,343
1503520491,2017-08-23T20:34:51Z,VDA7063,"37.088867,35.773754",2775,207,353
1503520484,2017-08-23T20:34:44Z,VDA7063,"37.082886,35.773998",2875,206,4
1503520478,2017-08-23T20:34:38Z,VDA7063,"37.077461,35.772976",2975,207,15
1503520472,2017-08-23T20:34:32Z,VDA7063,"37.071854,35.770432",3075,208,26
1503520466,2017-08-23T20:34:26Z,VDA7063,"37.06723,35.76675",3150,210,39
1503520460,2017-08-23T20:34:20Z,VDA7063,"37.062889,35.761574",3175,213,48
1503520454,2017-08-23T20:34:14Z,VDA7063,"37.059128,35.756058",3175,214,49
1503520446,2017-08-23T20:34:06Z,VDA7063,"37.053066,35.747185",3175,214,49
1503520439,2017-08-23T20:33:59Z,VDA7063,"37.049103,35.741272",3175,215,50
1503520430,2017-08-23T20:33:50Z,VDA7063,"37.043339,35.732674",3175,215,50
1503520424,2017-08-23T20:33:44Z,VDA7063,"37.03952,35.727001",3175,215,50
1503520418,2017-08-23T20:33:38Z,VDA7063,"37.035656,35.721149",3175,215,50
1503520412,2017-08-23T20:33:32Z,VDA7063,"37.031937,35.715618",3175,214,50
1503520406,2017-08-23T20:33:26Z,VDA7063,"37.028023,35.709747",3175,213,50
1503520400,2017-08-23T20:33:20Z,VDA7063,"37.024063,35.703754",3175,213,50
1503520394,2017-08-23T20:33:14Z,VDA7063,"37.02039,35.698223",3175,213,50
1503520388,2017-08-23T20:33:08Z,VDA7063,"37.01651,35.69236",3175,212,50
1503520382,2017-08-23T20:33:02Z,VDA7063,"37.012527,35.686283",3175,212,50
1503520376,2017-08-23T20:32:56Z,VDA7063,"37.009003,35.680965",3175,211,50
1503520370,2017-08-23T20:32:50Z,VDA7063,"37.005165,35.675114",3175,211,50
1503520362,2017-08-23T20:32:42Z,VDA7063,"36.999626,35.666695",3175,211,50
1503520354,2017-08-23T20:32:34Z,VDA7063,"36.995853,35.660904",3175,211,50
1503520228,2017-08-23T20:30:28Z,VDA7063,"36.921295,35.533642",3375,222,73
1503520222,2017-08-23T20:30:22Z,VDA7063,"36.919415,35.525906",3450,222,73
1503520214,2017-08-23T20:30:14Z,VDA7063,"36.916901,35.515408",3550,222,74
1503520207,2017-08-23T20:30:07Z,VDA7063,"36.915115,35.507404",3625,223,74
1503520198,2017-08-23T20:29:58Z,VDA7063,"36.912643,35.496532",3750,222,73
1503520192,2017-08-23T20:29:52Z,VDA7063,"36.910942,35.489361",3850,222,72
1503520186,2017-08-23T20:29:46Z,VDA7063,"36.908756,35.481003",3975,223,72
1503520180,2017-08-23T20:29:40Z,VDA7063,"36.907104,35.474327",4075,224,75
1503520174,2017-08-23T20:29:34Z,VDA7063,"36.905403,35.466076",4200,225,75
1503520168,2017-08-23T20:29:28Z,VDA7063,"36.903866,35.458492",4300,226,76
1503520162,2017-08-23T20:29:22Z,VDA7063,"36.902378,35.450851",4425,227,76
1503520156,2017-08-23T20:29:16Z,VDA7063,"36.901016,35.443882",4525,227,76
1503520150,2017-08-23T20:29:10Z,VDA7063,"36.89946,35.436226",4675,227,76
1503520142,2017-08-23T20:29:02Z,VDA7063,"36.897163,35.424641",4850,228,76
1503520130,2017-08-23T20:28:50Z,VDA7063,"36.893814,35.408279",5100,230,74
1503520118,2017-08-23T20:28:38Z,VDA7063,"36.89032,35.392097",5350,233,76
1503520093,2017-08-23T20:28:13Z,VDA7063,"36.884583,35.362419",6000,227,76
1503520082,2017-08-23T20:28:02Z,VDA7063,"36.881378,35.346233",6000,241,76
1503520069,2017-08-23T20:27:49Z,VDA7063,"36.87822,35.329636",6125,251,77
1503520057,2017-08-23T20:27:37Z,VDA7063,"36.875053,35.312626",6350,253,76
1503520045,2017-08-23T20:27:25Z,VDA7063,"36.871857,35.295448",6625,253,77
1503520024,2017-08-23T20:27:04Z,VDA7063,"36.866043,35.264244",6575,269,76
