Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503808126,2017-08-27T04:28:46Z,VDA7040,"51.411266,12.205105",0,34,267
1503808120,2017-08-27T04:28:40Z,VDA7040,"51.41156,12.205544",0,32,267
1503808114,2017-08-27T04:28:34Z,VDA7040,"51.41169,12.206144",0,34,267
1503808108,2017-08-27T04:28:28Z,VDA7040,"51.411736,12.207276",0,22,264
1503808096,2017-08-27T04:28:16Z,VDA7040,"51.411839,12.209244",0,32,264
1503808090,2017-08-27T04:28:10Z,VDA7040,"51.411919,12.21077",0,41,264
1503808084,2017-08-27T04:28:04Z,VDA7040,"51.412014,12.21323",0,53,267
1503808078,2017-08-27T04:27:58Z,VDA7040,"51.412094,12.215099",0,56,264
1503808072,2017-08-27T04:27:52Z,VDA7040,"51.41222,12.21777",0,56,267
1503808066,2017-08-27T04:27:46Z,VDA7040,"51.412354,12.220323",0,58,264
1503808060,2017-08-27T04:27:40Z,VDA7040,"51.412479,12.222691",0,59,267
1503808054,2017-08-27T04:27:34Z,VDA7040,"51.412724,12.228012",0,67,267
1503808048,2017-08-27T04:27:28Z,VDA7040,"51.412746,12.228603",0,69,267
1503808032,2017-08-27T04:27:12Z,VDA7040,"51.413212,12.238503",0,100,264
1503808026,2017-08-27T04:27:06Z,VDA7040,"51.413422,12.243328",0,115,267
1503808011,2017-08-27T04:26:51Z,VDA7040,"51.414108,12.258148",475,132,266
1503808005,2017-08-27T04:26:45Z,VDA7040,"51.414322,12.262969",525,130,266
1503807999,2017-08-27T04:26:39Z,VDA7040,"51.414597,12.268833",625,128,265
1503807993,2017-08-27T04:26:33Z,VDA7040,"51.414852,12.27417",675,126,265
1503807987,2017-08-27T04:26:27Z,VDA7040,"51.415131,12.279816",750,126,265
1503807981,2017-08-27T04:26:21Z,VDA7040,"51.415363,12.285461",825,126,266
1503807975,2017-08-27T04:26:15Z,VDA7040,"51.415596,12.291031",875,126,267
1503807969,2017-08-27T04:26:09Z,VDA7040,"51.415737,12.296677",925,126,266
1503807963,2017-08-27T04:26:03Z,VDA7040,"51.416016,12.302461",1000,126,265
1503807956,2017-08-27T04:25:56Z,VDA7040,"51.416294,12.30835",1075,125,265
1503807950,2017-08-27T04:25:50Z,VDA7040,"51.416565,12.313596",1150,124,265
1503807944,2017-08-27T04:25:44Z,VDA7040,"51.416855,12.318954",1200,126,265
1503807938,2017-08-27T04:25:38Z,VDA7040,"51.417088,12.324677",1275,126,266
1503807932,2017-08-27T04:25:32Z,VDA7040,"51.417343,12.330446",1350,126,266
1503807926,2017-08-27T04:25:26Z,VDA7040,"51.417599,12.336121",1425,125,266
1503807920,2017-08-27T04:25:20Z,VDA7040,"51.417877,12.342529",1500,125,265
1503807914,2017-08-27T04:25:14Z,VDA7040,"51.418064,12.347336",1550,125,265
1503807908,2017-08-27T04:25:08Z,VDA7040,"51.418343,12.352753",1625,124,265
1503807902,2017-08-27T04:25:02Z,VDA7040,"51.418621,12.358627",1700,124,266
1503807868,2017-08-27T04:24:28Z,VDA7040,"51.419971,12.389908",2025,123,264
1503807862,2017-08-27T04:24:22Z,VDA7040,"51.420319,12.395844",2100,123,264
1503807856,2017-08-27T04:24:16Z,VDA7040,"51.420639,12.401412",2150,124,265
1503807850,2017-08-27T04:24:10Z,VDA7040,"51.420902,12.406693",2225,124,265
1503807844,2017-08-27T04:24:04Z,VDA7040,"51.421234,12.414254",2300,123,267
1503807835,2017-08-27T04:23:55Z,VDA7040,"51.421417,12.419815",2375,122,267
1503807829,2017-08-27T04:23:49Z,VDA7040,"51.421555,12.425919",2450,121,267
1503807823,2017-08-27T04:23:43Z,VDA7040,"51.421696,12.430649",2525,121,267
1503807817,2017-08-27T04:23:37Z,VDA7040,"51.421928,12.436752",2625,122,266
1503807811,2017-08-27T04:23:31Z,VDA7040,"51.422253,12.443924",2750,120,265
1503807805,2017-08-27T04:23:25Z,VDA7040,"51.422516,12.449069",2825,121,265
1503807799,2017-08-27T04:23:19Z,VDA7040,"51.422745,12.452706",2875,122,264
1503807778,2017-08-27T04:22:58Z,VDA7040,"51.42379,12.471771",3100,121,265
1503807766,2017-08-27T04:22:46Z,VDA7040,"51.424301,12.482529",3100,123,267
1503807760,2017-08-27T04:22:40Z,VDA7040,"51.424488,12.490005",3100,124,268
1503807754,2017-08-27T04:22:34Z,VDA7040,"51.424534,12.494431",3100,125,270
1503807748,2017-08-27T04:22:28Z,VDA7040,"51.42453,12.499026",3100,125,270
1503807742,2017-08-27T04:22:22Z,VDA7040,"51.424488,12.505798",3100,124,270
1503807736,2017-08-27T04:22:16Z,VDA7040,"51.424442,12.509918",3100,124,270
1503807730,2017-08-27T04:22:10Z,VDA7040,"51.424442,12.517319",3075,121,270
1503807724,2017-08-27T04:22:04Z,VDA7040,"51.424397,12.520905",3075,122,270
1503807715,2017-08-27T04:21:55Z,VDA7040,"51.424347,12.529016",3050,122,270
1503807709,2017-08-27T04:21:49Z,VDA7040,"51.424301,12.5354",3050,124,270
1503807703,2017-08-27T04:21:43Z,VDA7040,"51.42421,12.541962",3050,126,272
1503807694,2017-08-27T04:21:34Z,VDA7040,"51.423889,12.548688",3100,133,277
1503807688,2017-08-27T04:21:28Z,VDA7040,"51.423203,12.554923",3125,137,285
1503807682,2017-08-27T04:21:22Z,VDA7040,"51.421974,12.561035",3100,148,292
1503807676,2017-08-27T04:21:16Z,VDA7040,"51.420254,12.567368",3075,157,293
1503807670,2017-08-27T04:21:10Z,VDA7040,"51.418671,12.573471",3075,162,291
1503807664,2017-08-27T04:21:04Z,VDA7040,"51.417023,12.580088",3075,171,289
1503807658,2017-08-27T04:20:58Z,VDA7040,"51.415421,12.587809",3100,176,286
1503807652,2017-08-27T04:20:52Z,VDA7040,"51.414154,12.595215",3125,176,283
1503807646,2017-08-27T04:20:46Z,VDA7040,"51.412994,12.602654",3175,174,283
1503807640,2017-08-27T04:20:40Z,VDA7040,"51.41185,12.610152",3250,173,283
1503807634,2017-08-27T04:20:34Z,VDA7040,"51.410709,12.617722",3325,173,283
1503807627,2017-08-27T04:20:27Z,VDA7040,"51.409515,12.625147",3400,174,284
1503807621,2017-08-27T04:20:21Z,VDA7040,"51.408279,12.632718",3475,174,284
1503807615,2017-08-27T04:20:15Z,VDA7040,"51.407043,12.640216",3575,171,284
1503807609,2017-08-27T04:20:09Z,VDA7040,"51.405807,12.647491",3675,171,285
1503807603,2017-08-27T04:20:03Z,VDA7040,"51.404518,12.655029",3800,171,285
1503807595,2017-08-27T04:19:55Z,VDA7040,"51.402557,12.666197",3950,174,285
1503807588,2017-08-27T04:19:48Z,VDA7040,"51.40123,12.67362",3975,177,285
1503807582,2017-08-27T04:19:42Z,VDA7040,"51.399857,12.681415",3975,184,285
1503807576,2017-08-27T04:19:36Z,VDA7040,"51.398346,12.689803",3975,188,285
1503807570,2017-08-27T04:19:30Z,VDA7040,"51.396976,12.697601",3975,191,285
1503807564,2017-08-27T04:19:24Z,VDA7040,"51.395462,12.706059",3975,192,285
1503807558,2017-08-27T04:19:18Z,VDA7040,"51.394089,12.713928",4000,191,285
1503807552,2017-08-27T04:19:12Z,VDA7040,"51.392551,12.722321",4050,191,285
1503807546,2017-08-27T04:19:06Z,VDA7040,"51.391022,12.730779",4075,192,286
1503807540,2017-08-27T04:19:00Z,VDA7040,"51.389435,12.739182",4125,193,286
1503807534,2017-08-27T04:18:54Z,VDA7040,"51.387955,12.747258",4150,194,286
1503807528,2017-08-27T04:18:48Z,VDA7040,"51.386398,12.755721",4175,194,286
1503807522,2017-08-27T04:18:42Z,VDA7040,"51.384888,12.763812",4200,195,286
1503807516,2017-08-27T04:18:36Z,VDA7040,"51.383381,12.771988",4250,193,286
1503807510,2017-08-27T04:18:30Z,VDA7040,"51.381775,12.78044",4300,193,286
1503807504,2017-08-27T04:18:24Z,VDA7040,"51.380219,12.788531",4375,192,287
1503807498,2017-08-27T04:18:18Z,VDA7040,"51.378662,12.796845",4425,192,287
1503807492,2017-08-27T04:18:12Z,VDA7040,"51.377144,12.804718",4500,191,287
1503807486,2017-08-27T04:18:06Z,VDA7040,"51.375504,12.813028",4575,191,287
1503807480,2017-08-27T04:18:00Z,VDA7040,"51.373932,12.820969",4650,192,287
1503807474,2017-08-27T04:17:54Z,VDA7040,"51.372253,12.829508",4700,194,287
1503807468,2017-08-27T04:17:48Z,VDA7040,"51.370533,12.837906",4775,195,287
1503807462,2017-08-27T04:17:42Z,VDA7040,"51.368912,12.845839",4850,196,287
1503807450,2017-08-27T04:17:30Z,VDA7040,"51.365479,12.862912",5025,195,287
1503807438,2017-08-27T04:17:18Z,VDA7040,"51.362228,12.879465",5225,193,287
1503807426,2017-08-27T04:17:06Z,VDA7040,"51.359081,12.895737",5475,191,287
1503807414,2017-08-27T04:16:54Z,VDA7040,"51.355865,12.912127",5750,191,287
1503807399,2017-08-27T04:16:39Z,VDA7040,"51.351746,12.93269",6075,191,286
1503807393,2017-08-27T04:16:33Z,VDA7040,"51.35033,12.940674",6200,192,285
1503807384,2017-08-27T04:16:24Z,VDA7040,"51.347763,12.952658",6425,192,293
1503807372,2017-08-27T04:16:12Z,VDA7040,"51.34314,12.968173",6625,195,296
1503807360,2017-08-27T04:16:00Z,VDA7040,"51.338242,12.98391",6750,204,296
1503807348,2017-08-27T04:15:48Z,VDA7040,"51.332966,13.000793",6825,213,296
1503807336,2017-08-27T04:15:36Z,VDA7040,"51.327713,13.017759",6975,219,296
1503807323,2017-08-27T04:15:23Z,VDA7040,"51.322037,13.035798",7075,224,296
1503807311,2017-08-27T04:15:11Z,VDA7040,"51.316441,13.053894",7175,233,296
1503807299,2017-08-27T04:14:59Z,VDA7040,"51.310623,13.072739",7275,242,296
1503807288,2017-08-27T04:14:48Z,VDA7040,"51.304337,13.092728",7400,251,296
1503807275,2017-08-27T04:14:35Z,VDA7040,"51.298004,13.113022",7525,260,295
1503807263,2017-08-27T04:14:23Z,VDA7040,"51.291687,13.133636",7800,263,296
1503807251,2017-08-27T04:14:11Z,VDA7040,"51.285202,13.154297",8050,263,296
1503807239,2017-08-27T04:13:59Z,VDA7040,"51.278549,13.175503",8275,266,296
1503807227,2017-08-27T04:13:47Z,VDA7040,"51.271889,13.196869",8500,267,295
1503807215,2017-08-27T04:13:35Z,VDA7040,"51.265278,13.218307",8750,267,296
1503807203,2017-08-27T04:13:23Z,VDA7040,"51.258671,13.239288",9025,266,296
1503807191,2017-08-27T04:13:11Z,VDA7040,"51.251862,13.261092",9275,267,295
1503807166,2017-08-27T04:12:46Z,VDA7040,"51.238174,13.305185",9750,270,296
1503807154,2017-08-27T04:12:34Z,VDA7040,"51.230209,13.330202",10000,272,296
1503807139,2017-08-27T04:12:19Z,VDA7040,"51.22197,13.356852",10300,274,296
1503807127,2017-08-27T04:12:07Z,VDA7040,"51.216064,13.37578",10525,274,296
1503807115,2017-08-27T04:11:55Z,VDA7040,"51.209244,13.397456",10775,275,296
1503807103,2017-08-27T04:11:43Z,VDA7040,"51.201508,13.421952",11025,276,296
1503807091,2017-08-27T04:11:31Z,VDA7040,"51.195404,13.441544",11200,279,296
1503807079,2017-08-27T04:11:19Z,VDA7040,"51.188599,13.463374",11450,280,296
1503807048,2017-08-27T04:10:48Z,VDA7040,"51.170746,13.519791",12000,284,296
1503807015,2017-08-27T04:10:15Z,VDA7040,"51.151474,13.58118",12875,281,296
1503806982,2017-08-27T04:09:42Z,VDA7040,"51.132202,13.643387",13550,286,296
1503806949,2017-08-27T04:09:09Z,VDA7040,"51.112061,13.70678",14275,288,296
1503806916,2017-08-27T04:08:36Z,VDA7040,"51.091873,13.770175",14950,293,296
1503806883,2017-08-27T04:08:03Z,VDA7040,"51.07132,13.834608",15700,298,296
1503806850,2017-08-27T04:07:30Z,VDA7040,"51.050442,13.899765",16375,304,296
1503806819,2017-08-27T04:06:59Z,VDA7040,"51.030704,13.961334",17025,309,296
1503806786,2017-08-27T04:06:26Z,VDA7040,"51.009567,14.027176",17875,309,297
1503806720,2017-08-27T04:05:20Z,VDA7040,"50.965485,14.163827",19450,320,297
1503806657,2017-08-27T04:04:17Z,VDA7040,"50.921814,14.298557",21000,330,297
1503806596,2017-08-27T04:03:16Z,VDA7040,"50.878738,14.4298",22525,343,297
1503806533,2017-08-27T04:02:13Z,VDA7040,"50.831226,14.573669",24100,360,297
1503806470,2017-08-27T04:01:10Z,VDA7040,"50.781696,14.7229",26175,368,297
1503806409,2017-08-27T04:00:09Z,VDA7040,"50.733444,14.867768",28100,379,297
1503806346,2017-08-27T03:59:06Z,VDA7040,"50.682312,15.022913",29850,387,299
1503806283,2017-08-27T03:58:03Z,VDA7040,"50.622482,15.180431",31325,388,300
1503806222,2017-08-27T03:57:02Z,VDA7040,"50.567554,15.323775",32025,389,300
1503806159,2017-08-27T03:55:59Z,VDA7040,"50.508224,15.477785",32050,389,301
1503806096,2017-08-27T03:54:56Z,VDA7040,"50.449963,15.628126",32050,384,301
1503806033,2017-08-27T03:53:53Z,VDA7040,"50.391495,15.778029",32050,381,301
1503805972,2017-08-27T03:52:52Z,VDA7040,"50.334915,15.922225",32025,377,301
1503805909,2017-08-27T03:51:49Z,VDA7040,"50.278473,16.065119",32000,374,301
1503805846,2017-08-27T03:50:46Z,VDA7040,"50.220463,16.211143",31975,376,301
1503805785,2017-08-27T03:49:45Z,VDA7040,"50.165203,16.349661",31975,378,302
1503805721,2017-08-27T03:48:41Z,VDA7040,"50.105663,16.498199",31975,380,302
1503805658,2017-08-27T03:47:38Z,VDA7040,"50.045975,16.645878",31975,381,302
1503805595,2017-08-27T03:46:35Z,VDA7040,"49.986145,16.793036",31975,384,302
1503805532,2017-08-27T03:45:32Z,VDA7040,"49.926346,16.939434",32000,387,302
1503805469,2017-08-27T03:44:29Z,VDA7040,"49.865295,17.088005",31975,390,302
1503805406,2017-08-27T03:43:26Z,VDA7040,"49.803818,17.236435",31975,393,302
