Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504212951,2017-08-31T20:55:51Z,VDA7015,"36.992886,35.415295",0,23,233
1504212945,2017-08-31T20:55:45Z,VDA7015,"36.992729,35.415043",0,21,233
1504212939,2017-08-31T20:55:39Z,VDA7015,"36.992603,35.414837",0,18,233
1504212921,2017-08-31T20:55:21Z,VDA7015,"36.992294,35.414368",0,18,233
1504212915,2017-08-31T20:55:15Z,VDA7015,"36.992237,35.414135",0,20,233
1504212903,2017-08-31T20:55:03Z,VDA7015,"36.992523,35.413654",0,27,233
1504212897,2017-08-31T20:54:57Z,VDA7015,"36.992798,35.413391",0,30,233
1504212890,2017-08-31T20:54:50Z,VDA7015,"36.993061,35.413132",0,29,233
1504212884,2017-08-31T20:54:44Z,VDA7015,"36.993324,35.41288",0,27,233
1504212878,2017-08-31T20:54:38Z,VDA7015,"36.993587,35.412663",0,25,233
1504212870,2017-08-31T20:54:30Z,VDA7015,"36.993958,35.412682",0,24,233
1504212860,2017-08-31T20:54:20Z,VDA7015,"36.994251,35.413086",0,25,233
1504212854,2017-08-31T20:54:14Z,VDA7015,"36.994423,35.413349",0,25,233
1504212848,2017-08-31T20:54:08Z,VDA7015,"36.99464,35.413727",0,32,233
1504212842,2017-08-31T20:54:02Z,VDA7015,"36.994846,35.414078",0,34,233
1504212834,2017-08-31T20:53:54Z,VDA7015,"36.995216,35.414669",0,33,233
1504212827,2017-08-31T20:53:47Z,VDA7015,"36.995464,35.4151",0,16,233
1504212815,2017-08-31T20:53:35Z,VDA7015,"36.996002,35.416008",0,15,233
1504212809,2017-08-31T20:53:29Z,VDA7015,"36.996284,35.416458",0,17,233
1504212802,2017-08-31T20:53:22Z,VDA7015,"36.996586,35.416969",0,21,233
1504212794,2017-08-31T20:53:14Z,VDA7015,"36.997238,35.418007",0,31,230
1504212784,2017-08-31T20:53:04Z,VDA7015,"36.998264,35.419682",0,53,233
1504212778,2017-08-31T20:52:58Z,VDA7015,"36.999367,35.421513",0,74,233
1504212772,2017-08-31T20:52:52Z,VDA7015,"37.000751,35.423794",0,90,233
1504212766,2017-08-31T20:52:46Z,VDA7015,"37.002594,35.426849",0,105,233
1504212760,2017-08-31T20:52:40Z,VDA7015,"37.004322,35.429695",0,120,233
1504212754,2017-08-31T20:52:34Z,VDA7015,"37.006561,35.433414",325,133,233
1504212748,2017-08-31T20:52:28Z,VDA7015,"37.008797,35.437119",350,135,233
1504212742,2017-08-31T20:52:22Z,VDA7015,"37.0112,35.441078",400,139,232
1504212734,2017-08-31T20:52:14Z,VDA7015,"37.014755,35.446968",525,142,232
1504212727,2017-08-31T20:52:07Z,VDA7015,"37.017223,35.45097",600,142,232
1504212721,2017-08-31T20:52:01Z,VDA7015,"37.019596,35.45491",700,140,233
1504212715,2017-08-31T20:51:55Z,VDA7015,"37.022003,35.458843",775,139,232
1504212709,2017-08-31T20:51:49Z,VDA7015,"37.024204,35.462612",850,138,234
1504212703,2017-08-31T20:51:43Z,VDA7015,"37.026485,35.466614",900,138,233
1504212696,2017-08-31T20:51:36Z,VDA7015,"37.02887,35.470589",975,138,233
1504212690,2017-08-31T20:51:30Z,VDA7015,"37.031158,35.474384",1075,137,232
1504212684,2017-08-31T20:51:24Z,VDA7015,"37.033493,35.478245",1125,138,232
1504212678,2017-08-31T20:51:18Z,VDA7015,"37.035828,35.481983",1200,138,232
1504212672,2017-08-31T20:51:12Z,VDA7015,"37.038265,35.485958",1275,139,232
1504212666,2017-08-31T20:51:06Z,VDA7015,"37.040684,35.489841",1325,139,232
1504212660,2017-08-31T20:51:00Z,VDA7015,"37.043152,35.493847",1400,137,233
1504212654,2017-08-31T20:50:54Z,VDA7015,"37.045349,35.497528",1450,135,233
1504212648,2017-08-31T20:50:48Z,VDA7015,"37.047714,35.501484",1525,137,233
1504212642,2017-08-31T20:50:42Z,VDA7015,"37.050041,35.505363",1600,135,233
1504212634,2017-08-31T20:50:34Z,VDA7015,"37.053543,35.511261",1725,137,233
1504212627,2017-08-31T20:50:27Z,VDA7015,"37.055649,35.514824",1800,136,233
1504212621,2017-08-31T20:50:21Z,VDA7015,"37.058121,35.518917",1900,137,232
1504212615,2017-08-31T20:50:15Z,VDA7015,"37.060516,35.522858",1975,138,233
1504212609,2017-08-31T20:50:09Z,VDA7015,"37.062702,35.526501",2050,140,232
1504212602,2017-08-31T20:50:02Z,VDA7015,"37.065079,35.530441",2125,140,233
1504212594,2017-08-31T20:49:54Z,VDA7015,"37.068787,35.536564",2225,140,233
1504212587,2017-08-31T20:49:47Z,VDA7015,"37.071121,35.540478",2300,139,233
1504212579,2017-08-31T20:49:39Z,VDA7015,"37.074574,35.546204",2400,139,233
1504212570,2017-08-31T20:49:30Z,VDA7015,"37.078079,35.552052",2500,139,232
1504212563,2017-08-31T20:49:23Z,VDA7015,"37.080322,35.55579",2575,141,233
1504212555,2017-08-31T20:49:15Z,VDA7015,"37.084076,35.562099",2675,143,233
1504212548,2017-08-31T20:49:08Z,VDA7015,"37.086456,35.566135",2725,144,233
1504212542,2017-08-31T20:49:02Z,VDA7015,"37.088928,35.570107",2800,144,232
1504212536,2017-08-31T20:48:56Z,VDA7015,"37.091286,35.573971",2875,145,232
1504212530,2017-08-31T20:48:50Z,VDA7015,"37.093872,35.578171",2975,144,232
1504212524,2017-08-31T20:48:44Z,VDA7015,"37.096455,35.582268",3050,146,231
1504212518,2017-08-31T20:48:38Z,VDA7015,"37.098907,35.586121",3125,148,232
1504212510,2017-08-31T20:48:30Z,VDA7015,"37.102737,35.5923",3250,149,232
1504212503,2017-08-31T20:48:23Z,VDA7015,"37.105438,35.596718",3325,150,232
1504212497,2017-08-31T20:48:17Z,VDA7015,"37.108063,35.601078",3400,150,233
1504212491,2017-08-31T20:48:11Z,VDA7015,"37.110512,35.605198",3475,150,233
1504212485,2017-08-31T20:48:05Z,VDA7015,"37.113167,35.609615",3550,150,233
1504212479,2017-08-31T20:47:59Z,VDA7015,"37.115681,35.613914",3625,150,233
1504212472,2017-08-31T20:47:52Z,VDA7015,"37.117962,35.617794",3700,148,233
1504212466,2017-08-31T20:47:46Z,VDA7015,"37.120522,35.622272",3825,149,234
1504212460,2017-08-31T20:47:40Z,VDA7015,"37.122849,35.626213",3900,149,234
1504212454,2017-08-31T20:47:34Z,VDA7015,"37.125408,35.630692",3975,150,234
1504212448,2017-08-31T20:47:28Z,VDA7015,"37.127876,35.63493",4075,148,234
1504212442,2017-08-31T20:47:22Z,VDA7015,"37.130356,35.63924",4175,149,234
1504212436,2017-08-31T20:47:16Z,VDA7015,"37.132874,35.643505",4275,150,234
1504212430,2017-08-31T20:47:10Z,VDA7015,"37.135345,35.647831",4350,151,234
1504212424,2017-08-31T20:47:04Z,VDA7015,"37.137745,35.651947",4450,153,234
1504212418,2017-08-31T20:46:58Z,VDA7015,"37.140381,35.656422",4550,154,234
1504212412,2017-08-31T20:46:52Z,VDA7015,"37.14296,35.660904",4625,156,233
1504212406,2017-08-31T20:46:46Z,VDA7015,"37.145508,35.665184",4725,158,233
1504212400,2017-08-31T20:46:40Z,VDA7015,"37.148174,35.669682",4825,159,233
1504212388,2017-08-31T20:46:28Z,VDA7015,"37.153572,35.67852",5050,160,231
1504212376,2017-08-31T20:46:16Z,VDA7015,"37.159378,35.687332",5075,160,229
1504212364,2017-08-31T20:46:04Z,VDA7015,"37.165283,35.69569",5100,158,228
1504212352,2017-08-31T20:45:52Z,VDA7015,"37.171265,35.704014",5150,170,228
1504212339,2017-08-31T20:45:39Z,VDA7015,"37.177921,35.713806",5150,186,230
