Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504223998,2017-08-31T23:59:58Z,VDA7078,"37.089935,35.022369",10275,290,335
1504223986,2017-08-31T23:59:46Z,VDA7078,"37.075367,35.030743",10050,288,335
1504223971,2017-08-31T23:59:31Z,VDA7078,"37.057388,35.041302",9775,285,334
1504223959,2017-08-31T23:59:19Z,VDA7078,"37.042511,35.050011",9500,284,335
1504223947,2017-08-31T23:59:07Z,VDA7078,"37.028275,35.058189",9250,282,334
1504223934,2017-08-31T23:58:54Z,VDA7078,"37.013779,35.066628",8950,281,334
1504223922,2017-08-31T23:58:42Z,VDA7078,"36.999756,35.074787",8625,282,335
1504223910,2017-08-31T23:58:30Z,VDA7078,"36.985008,35.083225",8300,283,335
1504223898,2017-08-31T23:58:18Z,VDA7078,"36.970718,35.091465",8025,282,334
1504223886,2017-08-31T23:58:06Z,VDA7078,"36.956516,35.099766",7775,280,334
1504223874,2017-08-31T23:57:54Z,VDA7078,"36.941574,35.108185",7575,274,336
1504223862,2017-08-31T23:57:42Z,VDA7078,"36.928074,35.11541",7375,270,335
1504223856,2017-08-31T23:57:36Z,VDA7078,"36.921696,35.119053",7300,268,334
1504223850,2017-08-31T23:57:30Z,VDA7078,"36.914795,35.123173",7200,265,333
1504223842,2017-08-31T23:57:22Z,VDA7078,"36.904312,35.129719",6975,264,332
1504223835,2017-08-31T23:57:15Z,VDA7078,"36.897858,35.13422",6800,265,328
1504223829,2017-08-31T23:57:09Z,VDA7078,"36.891724,35.139362",6650,268,321
1504223823,2017-08-31T23:57:03Z,VDA7078,"36.886223,35.145504",6500,270,312
1504223817,2017-08-31T23:56:57Z,VDA7078,"36.881424,35.15292",6350,272,303
1504223811,2017-08-31T23:56:51Z,VDA7078,"36.8778,35.161026",6225,273,293
1504223804,2017-08-31T23:56:44Z,VDA7078,"36.875107,35.170277",6100,273,284
1504223798,2017-08-31T23:56:38Z,VDA7078,"36.873653,35.18055",5975,274,273
1504223790,2017-08-31T23:56:30Z,VDA7078,"36.874008,35.194759",5750,276,258
1504223783,2017-08-31T23:56:23Z,VDA7078,"36.875656,35.203239",5625,277,250
1504223771,2017-08-31T23:56:11Z,VDA7078,"36.883301,35.221115",5325,279,235
1504223759,2017-08-31T23:55:59Z,VDA7078,"36.89209,35.236893",5025,277,235
1504223750,2017-08-31T23:55:50Z,VDA7078,"36.89859,35.248466",4875,274,234
1504223744,2017-08-31T23:55:44Z,VDA7078,"36.90303,35.256119",4750,272,233
1504223738,2017-08-31T23:55:38Z,VDA7078,"36.907684,35.264084",4575,272,233
1504223732,2017-08-31T23:55:32Z,VDA7078,"36.912434,35.272205",4375,273,233
1504223726,2017-08-31T23:55:26Z,VDA7078,"36.916672,35.279552",4275,270,234
1504223720,2017-08-31T23:55:20Z,VDA7078,"36.921185,35.287189",4125,264,233
1504223714,2017-08-31T23:55:14Z,VDA7078,"36.925507,35.294456",3950,259,232
1504223707,2017-08-31T23:55:07Z,VDA7078,"36.929764,35.301468",3775,253,232
1504223699,2017-08-31T23:54:59Z,VDA7078,"36.936264,35.311928",3400,247,232
1504223692,2017-08-31T23:54:52Z,VDA7078,"36.940273,35.318539",3125,247,232
1504223686,2017-08-31T23:54:46Z,VDA7078,"36.94455,35.325546",2825,245,232
1504223680,2017-08-31T23:54:40Z,VDA7078,"36.948807,35.332382",2550,246,232
1504223674,2017-08-31T23:54:34Z,VDA7078,"36.953018,35.339218",2375,240,232
1504223668,2017-08-31T23:54:28Z,VDA7078,"36.956909,35.345821",2225,232,234
1504223662,2017-08-31T23:54:22Z,VDA7078,"36.960571,35.35231",2100,225,235
1504223654,2017-08-31T23:54:14Z,VDA7078,"36.96579,35.36195",2000,210,236
1504223647,2017-08-31T23:54:07Z,VDA7078,"36.969177,35.368382",1900,198,237
1504223641,2017-08-31T23:54:01Z,VDA7078,"36.972206,35.374184",1825,190,236
1504223635,2017-08-31T23:53:55Z,VDA7078,"36.975037,35.379425",1775,179,235
1504223629,2017-08-31T23:53:49Z,VDA7078,"36.977886,35.384514",1650,171,235
1504223623,2017-08-31T23:53:43Z,VDA7078,"36.980492,35.389111",1550,167,234
1504223617,2017-08-31T23:53:37Z,VDA7078,"36.983147,35.39389",1375,165,235
1504223611,2017-08-31T23:53:31Z,VDA7078,"36.985886,35.398708",1200,163,234
1504223605,2017-08-31T23:53:25Z,VDA7078,"36.988453,35.403202",1075,161,234
1504223599,2017-08-31T23:53:19Z,VDA7078,"36.991196,35.407825",875,161,233
1504223593,2017-08-31T23:53:13Z,VDA7078,"36.993946,35.412518",650,164,233
1504223587,2017-08-31T23:53:07Z,VDA7078,"36.996647,35.417057",450,165,232
1504223581,2017-08-31T23:53:01Z,VDA7078,"36.999393,35.421593",325,157,233
1504223575,2017-08-31T23:52:55Z,VDA7078,"37.002617,35.426865",0,135,233
1504223569,2017-08-31T23:52:49Z,VDA7078,"37.004211,35.429504",0,120,233
1504223563,2017-08-31T23:52:43Z,VDA7078,"37.006142,35.432686",0,100,233
1504223557,2017-08-31T23:52:37Z,VDA7078,"37.007622,35.435116",0,76,233
1504223550,2017-08-31T23:52:30Z,VDA7078,"37.00882,35.437073",0,46,233
1504223544,2017-08-31T23:52:24Z,VDA7078,"37.009403,35.438042",0,28,233
