Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505804452,2017-09-19T07:00:52Z,VDA8303,"47.252815,39.80294",0,10,225
1505804439,2017-09-19T07:00:39Z,VDA8303,"47.25264,39.80315",0,12,225
1505804427,2017-09-19T07:00:27Z,VDA8303,"47.252407,39.803432",0,18,225
1505804399,2017-09-19T06:59:59Z,VDA8303,"47.251648,39.80455",0,26,225
1505804385,2017-09-19T06:59:45Z,VDA8303,"47.251099,39.805321",0,26,225
1505804379,2017-09-19T06:59:39Z,VDA8303,"47.25095,39.805527",0,24,225
1505804373,2017-09-19T06:59:33Z,VDA8303,"47.250755,39.805786",0,22,225
1505804361,2017-09-19T06:59:21Z,VDA8303,"47.250584,39.806473",0,22,225
1505804349,2017-09-19T06:59:09Z,VDA8303,"47.250813,39.806969",0,21,225
1505804340,2017-09-19T06:59:00Z,VDA8303,"47.251137,39.807499",0,34,225
1505804334,2017-09-19T06:58:54Z,VDA8303,"47.251476,39.807976",0,18,222
1505804327,2017-09-19T06:58:47Z,VDA8303,"47.251911,39.808563",0,17,225
1505804321,2017-09-19T06:58:41Z,VDA8303,"47.25235,39.809208",0,21,225
1505804315,2017-09-19T06:58:35Z,VDA8303,"47.252663,39.809666",0,22,225
1505804309,2017-09-19T06:58:29Z,VDA8303,"47.253117,39.810333",0,23,225
1505804300,2017-09-19T06:58:20Z,VDA8303,"47.253792,39.811337",0,20,227
1505804292,2017-09-19T06:58:12Z,VDA8303,"47.254421,39.812271",0,22,227
1505804284,2017-09-19T06:58:04Z,VDA8303,"47.254829,39.812859",0,21,225
1505804278,2017-09-19T06:57:58Z,VDA8303,"47.255245,39.813519",0,22,225
1505804272,2017-09-19T06:57:52Z,VDA8303,"47.255722,39.814213",0,22,225
1505804263,2017-09-19T06:57:43Z,VDA8303,"47.256409,39.815247",0,23,225
1505804257,2017-09-19T06:57:37Z,VDA8303,"47.256828,39.815861",0,22,225
1505804251,2017-09-19T06:57:31Z,VDA8303,"47.257278,39.816547",0,21,225
1505804242,2017-09-19T06:57:22Z,VDA8303,"47.257923,39.817516",0,22,225
1505804212,2017-09-19T06:56:52Z,VDA8303,"47.259983,39.820614",0,19,225
1505804202,2017-09-19T06:56:42Z,VDA8303,"47.260529,39.821423",0,16,225
1505804196,2017-09-19T06:56:36Z,VDA8303,"47.260826,39.821869",0,15,226
1505804185,2017-09-19T06:56:25Z,VDA8303,"47.261497,39.822887",0,30,230
1505804178,2017-09-19T06:56:18Z,VDA8303,"47.261646,39.823116",0,29,225
1505804172,2017-09-19T06:56:12Z,VDA8303,"47.261868,39.823448",0,27,226
1505804162,2017-09-19T06:56:02Z,VDA8303,"47.262245,39.824013",0,24,226
1505804156,2017-09-19T06:55:56Z,VDA8303,"47.262383,39.824238",0,23,227
1505804147,2017-09-19T06:55:47Z,VDA8303,"47.262646,39.824615",0,19,222
1505804141,2017-09-19T06:55:41Z,VDA8303,"47.26281,39.824821",0,20,143
1505804135,2017-09-19T06:55:35Z,VDA8303,"47.26302,39.824821",0,19,143
1505804125,2017-09-19T06:55:25Z,VDA8303,"47.263229,39.824547",0,21,137
1505804119,2017-09-19T06:55:19Z,VDA8303,"47.263504,39.82415",0,23,123
1505804107,2017-09-19T06:55:07Z,VDA8303,"47.263752,39.823574",0,22,130
1505804098,2017-09-19T06:54:58Z,VDA8303,"47.264,39.823311",0,19,194
1505804088,2017-09-19T06:54:48Z,VDA8303,"47.264244,39.823502",0,19,227
1505804082,2017-09-19T06:54:42Z,VDA8303,"47.264404,39.82375",0,23,222
1505804076,2017-09-19T06:54:36Z,VDA8303,"47.26458,39.824013",0,21,230
1505804064,2017-09-19T06:54:24Z,VDA8303,"47.264923,39.8246",0,21,227
1505804055,2017-09-19T06:54:15Z,VDA8303,"47.265129,39.824905",0,16,225
1505803682,2017-09-19T06:48:02Z,VDA8303,"47.265289,39.825157",0,14,223
1505803673,2017-09-19T06:47:53Z,VDA8303,"47.265495,39.825455",0,24,226
1505803667,2017-09-19T06:47:47Z,VDA8303,"47.26569,39.825748",0,22,223
1505803661,2017-09-19T06:47:41Z,VDA8303,"47.26585,39.825974",0,17,229
1505803655,2017-09-19T06:47:35Z,VDA8303,"47.265999,39.826229",0,22,219
1505803649,2017-09-19T06:47:29Z,VDA8303,"47.266186,39.826477",0,22,226
1505803643,2017-09-19T06:47:23Z,VDA8303,"47.266399,39.826797",0,26,222
1505803634,2017-09-19T06:47:14Z,VDA8303,"47.266697,39.827209",0,24,230
1505803627,2017-09-19T06:47:07Z,VDA8303,"47.26685,39.827518",0,21,249
1505803621,2017-09-19T06:47:01Z,VDA8303,"47.266914,39.827858",0,18,268
1505803612,2017-09-19T06:46:52Z,VDA8303,"47.266895,39.828293",0,18,294
1505803602,2017-09-19T06:46:42Z,VDA8303,"47.266754,39.828667",0,18,310
1505803593,2017-09-19T06:46:33Z,VDA8303,"47.266582,39.828926",0,15,315
1505803584,2017-09-19T06:46:24Z,VDA8303,"47.26643,39.829155",0,15,315
1505803575,2017-09-19T06:46:15Z,VDA8303,"47.266243,39.829365",0,16,348
1505803566,2017-09-19T06:46:06Z,VDA8303,"47.26601,39.829418",0,17,8
1505803557,2017-09-19T06:45:57Z,VDA8303,"47.265759,39.829319",0,17,41
1505803541,2017-09-19T06:45:41Z,VDA8303,"47.265266,39.828682",0,32,46
1505803532,2017-09-19T06:45:32Z,VDA8303,"47.264847,39.828045",0,20,46
1505803526,2017-09-19T06:45:26Z,VDA8303,"47.264351,39.827278",0,21,45
