Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499000630,2017-07-02T13:03:50Z,,"36.808899,-4.705401",4100,209,116
1499000622,2017-07-02T13:03:42Z,,"36.811111,-4.710131",4200,209,116
1499000616,2017-07-02T13:03:36Z,,"36.812141,-4.713611",4300,215,119
1499000607,2017-07-02T13:03:27Z,,"36.817451,-4.725881",4526,219,125
1499000598,2017-07-02T13:03:18Z,,"36.82214,-4.734262",4700,225,129
1499000591,2017-07-02T13:03:11Z,,"36.827049,-4.742093",4800,229,135
1499000585,2017-07-02T13:03:05Z,,"36.829357,-4.745858",4887,235,140
1499000579,2017-07-02T13:02:59Z,,"36.835789,-4.753093",4900,233,149
1499000573,2017-07-02T13:02:53Z,,"36.839184,-4.756473",4845,233,149
1499000567,2017-07-02T13:02:47Z,,"36.84631,-4.762308",4776,236,158
1499000561,2017-07-02T13:02:41Z,,"36.850235,-4.764767",4700,240,166
1499000536,2017-07-02T13:02:16Z,,"36.880424,-4.77067",5000,235,194
1499000526,2017-07-02T13:02:06Z,,"36.889351,-4.768661",5100,226,203
1499000517,2017-07-02T13:01:57Z,,"36.898102,-4.765096",5100,211,215
1499000505,2017-07-02T13:01:45Z,,"36.903545,-4.756651",5316,215,215
1499000499,2017-07-02T13:01:39Z,,"36.910122,-4.751329",5467,213,224
1499000492,2017-07-02T13:01:32Z,,"36.913322,-4.748182",5500,213,224
1499000484,2017-07-02T13:01:24Z,,"36.921421,-4.738149",5705,221,248
1499000474,2017-07-02T13:01:14Z,,"36.925915,-4.729403",5800,222,261
1499000468,2017-07-02T13:01:08Z,,"36.929142,-4.714286",5900,224,264
1499000443,2017-07-02T13:00:43Z,,"36.930416,-4.684101",6222,223,271
1499000426,2017-07-02T13:00:26Z,,"36.930252,-4.66882",6600,226,271
1499000414,2017-07-02T13:00:14Z,,"36.930157,-4.651843",6900,230,271
1499000402,2017-07-02T13:00:02Z,,"36.930031,-4.637645",7000,230,271
1499000389,2017-07-02T12:59:49Z,,"36.929867,-4.62228",7100,231,271
1499000375,2017-07-02T12:59:35Z,,"36.929623,-4.598479",7199,235,271
1499000362,2017-07-02T12:59:22Z,,"36.929424,-4.583137",7300,239,271
1499000350,2017-07-02T12:59:10Z,,"36.929203,-4.56722",7400,246,271
1499000338,2017-07-02T12:58:58Z,,"36.928825,-4.550354",7500,250,271
1499000327,2017-07-02T12:58:47Z,,"36.928555,-4.533097",7812,250,271
1499000311,2017-07-02T12:58:31Z,,"36.928116,-4.512052",8000,271,271
1499000284,2017-07-02T12:58:04Z,,"36.927925,-4.45226",8100,293,268
1499000259,2017-07-02T12:57:39Z,,"36.928394,-4.427382",8117,310,268
1499000247,2017-07-02T12:57:27Z,,"36.928894,-4.406691",8200,310,267
1499000235,2017-07-02T12:57:15Z,,"36.929684,-4.383174",8300,310,266
1499000223,2017-07-02T12:57:03Z,,"36.930714,-4.363093",8400,312,265
1499000208,2017-07-02T12:56:48Z,,"36.93285,-4.335039",8606,317,263
1499000192,2017-07-02T12:56:32Z,,"36.936092,-4.300168",8900,316,266
1499000178,2017-07-02T12:56:18Z,,"36.93745,-4.276579",9268,327,257
1499000165,2017-07-02T12:56:05Z,,"36.941452,-4.248893",9500,305,269
1499000143,2017-07-02T12:55:43Z,,"36.944489,-4.218971",9800,286,281
1499000131,2017-07-02T12:55:31Z,,"36.942898,-4.192001",10100,284,304
1499000119,2017-07-02T12:55:19Z,,"36.933823,-4.160944",10464,284,304
1499000095,2017-07-02T12:54:55Z,,"36.925068,-4.143029",10800,280,309
1499000083,2017-07-02T12:54:43Z,,"36.915928,-4.128571",11222,280,310
1499000068,2017-07-02T12:54:28Z,,"36.899277,-4.103356",11800,281,310
1499000034,2017-07-02T12:53:54Z,,"36.869171,-4.058362",12300,290,311
1498999994,2017-07-02T12:53:14Z,,"36.837612,-4.012969",12999,291,313
1498999963,2017-07-02T12:52:43Z,,"36.807274,-3.972177",13800,301,314
1498999927,2017-07-02T12:52:07Z,,"36.777004,-3.933832",14500,305,314
1498999921,2017-07-02T12:52:01Z,,"36.772663,-3.928054",14600,305,314
1498999915,2017-07-02T12:51:55Z,,"36.764935,-3.918249",14748,303,313
1498999908,2017-07-02T12:51:48Z,,"36.756908,-3.907531",14900,299,310
1498999898,2017-07-02T12:51:38Z,,"36.748749,-3.896348",15000,292,302
1498999892,2017-07-02T12:51:32Z,,"36.742893,-3.8843",15000,294,304
1498999882,2017-07-02T12:51:22Z,,"36.737171,-3.874496",15000,290,297
1498999873,2017-07-02T12:51:13Z,,"36.731277,-3.860828",15000,291,292
1498999847,2017-07-02T12:50:47Z,,"36.719841,-3.81566",15000,287,282
1498999814,2017-07-02T12:50:14Z,,"36.71104,-3.765111",15500,291,282
1498999781,2017-07-02T12:49:41Z,,"36.700253,-3.706189",16400,290,282
1498999746,2017-07-02T12:49:06Z,,"36.690586,-3.652538",17000,298,282
1498999714,2017-07-02T12:48:34Z,,"36.678066,-3.58422",16900,330,284
1498999674,2017-07-02T12:47:54Z,,"36.665825,-3.522003",17000,338,284
1498999642,2017-07-02T12:47:22Z,,"36.654888,-3.469256",17000,352,279
1498999575,2017-07-02T12:46:15Z,,"36.630318,-3.333549",18300,362,283
1498999514,2017-07-02T12:45:14Z,,"36.605366,-3.202901",20369,367,284
1498999451,2017-07-02T12:44:11Z,,"36.581608,-3.080677",22100,371,285
1498999389,2017-07-02T12:43:09Z,,"36.552135,-2.939126",24400,370,285
1498999326,2017-07-02T12:42:06Z,,"36.525681,-2.817955",26129,364,286
1498999264,2017-07-02T12:41:04Z,,"36.499756,-2.701654",27900,378,286
1498999201,2017-07-02T12:40:01Z,,"36.476181,-2.560258",29838,372,281
1498999137,2017-07-02T12:38:57Z,,"36.453453,-2.434946",31357,371,281
1498999075,2017-07-02T12:37:55Z,,"36.430504,-2.298668",31899,380,281
1498999010,2017-07-02T12:36:50Z,,"36.40786,-2.164036",31899,378,283
1498998947,2017-07-02T12:35:47Z,,"36.378159,-2.01913",32000,378,284
1498998883,2017-07-02T12:34:43Z,,"36.351879,-1.892544",32000,378,284
1498998820,2017-07-02T12:33:40Z,,"36.323647,-1.750548",31899,374,289
1498998758,2017-07-02T12:32:38Z,,"36.298332,-1.635869",31900,376,272
1498998752,2017-07-02T12:32:32Z,,"36.29826,-1.617851",31900,374,277
1498998696,2017-07-02T12:31:36Z,,"36.277428,-1.50116",31900,365,281
1498998690,2017-07-02T12:31:30Z,,"36.274094,-1.491895",31900,365,281
1498998638,2017-07-02T12:30:38Z,,"36.250359,-1.386514",31900,358,293
1498998629,2017-07-02T12:30:29Z,,"36.245731,-1.373176",31900,358,290
1498998602,2017-07-02T12:30:02Z,,"36.230274,-1.311149",31900,363,280
1498998596,2017-07-02T12:29:56Z,,"36.228252,-1.3006",31900,363,280
1498998555,2017-07-02T12:29:15Z,,"36.201565,-1.192246",31900,367,294
1498998487,2017-07-02T12:28:07Z,,"36.169895,-1.070821",31899,362,278
1498998425,2017-07-02T12:27:05Z,,"36.148273,-0.966784",31899,367,287
1498998362,2017-07-02T12:26:02Z,,"36.120369,-0.836417",31900,371,287
1498998356,2017-07-02T12:25:56Z,,"36.119072,-0.830345",31899,373,290
1498998341,2017-07-02T12:25:41Z,,"36.109592,-0.796283",31900,358,279
1498998279,2017-07-02T12:24:39Z,,"36.095573,-0.6678",31899,360,267
1498998267,2017-07-02T12:24:27Z,,"36.095413,-0.646275",31900,374,277
1498998233,2017-07-02T12:23:53Z,,"36.081585,-0.578642",32000,431,302
1498998214,2017-07-02T12:23:34Z,,"36.058907,-0.511673",32000,396,286
1498998197,2017-07-02T12:23:17Z,,"36.058784,-0.503957",32000,401,276
1498998191,2017-07-02T12:23:11Z,,"36.054443,-0.486084",32000,442,301
1498998185,2017-07-02T12:23:05Z,,"36.054317,-0.479221",31999,442,301
1498998170,2017-07-02T12:22:50Z,,"36.041107,-0.443382",31999,424,299
1498998128,2017-07-02T12:22:08Z,,"36.013588,-0.350196",31999,370,285
1498998029,2017-07-02T12:20:29Z,,"35.915146,0.046757",31986,364,282
1498997874,2017-07-02T12:17:54Z,,"35.861046,0.436592",32000,378,282
1498997742,2017-07-02T12:15:42Z,,"35.859146,0.445783",32000,371,282
1498997695,2017-07-02T12:14:55Z,,"35.84671,0.544163",31499,366,282
1498997689,2017-07-02T12:14:49Z,,"35.845013,0.553629",31400,366,282
1498997680,2017-07-02T12:14:40Z,,"35.84087,0.584722",31200,0,280
