Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499325433,2017-07-06T07:17:13Z,,"34.163509,-6.502516",27100,347,222
1499325257,2017-07-06T07:14:17Z,,"34.320244,-6.385502",27100,347,222
1499325157,2017-07-06T07:12:37Z,,"34.346458,-6.359401",27100,347,222
1499325129,2017-07-06T07:12:09Z,,"34.366066,-6.338205",27000,353,217
1499325120,2017-07-06T07:12:00Z,,"34.368408,-6.333952",27000,353,217
1499325114,2017-07-06T07:11:54Z,,"34.379215,-6.323464",27019,355,214
1499325099,2017-07-06T07:11:39Z,,"34.40028,-6.304283",26999,323,231
1499325093,2017-07-06T07:11:33Z,,"34.405941,-6.299338",27000,326,245
1499325087,2017-07-06T07:11:27Z,,"34.411278,-6.287581",27000,350,239
1499325080,2017-07-06T07:11:20Z,,"34.412205,-6.282541",27000,350,239
1499325071,2017-07-06T07:11:11Z,,"34.416382,-6.264545",27000,445,198
1499324982,2017-07-06T07:09:42Z,,"34.657875,-6.048168",26200,375,209
1499324878,2017-07-06T07:07:58Z,,"34.678776,-6.017013",26000,375,209
1499324842,2017-07-06T07:07:22Z,,"34.721096,-6.004149",25800,375,209
1499324751,2017-07-06T07:05:51Z,,"34.837757,-5.873256",25100,304,281
1499324725,2017-07-06T07:05:25Z,,"34.868877,-5.846406",25000,304,281
1499324627,2017-07-06T07:03:47Z,,"34.932697,-5.720061",24300,304,281
1499324602,2017-07-06T07:03:22Z,,"34.932098,-5.688462",24200,307,275
1499324560,2017-07-06T07:02:40Z,,"34.949726,-5.63748",23900,312,227
1499324467,2017-07-06T07:01:07Z,,"35.087658,-5.512537",23000,312,227
1499324432,2017-07-06T07:00:32Z,,"35.146378,-5.452688",22500,335,220
1499324369,2017-07-06T06:59:29Z,,"35.205948,-5.39514",22000,335,220
1499324304,2017-07-06T06:58:24Z,,"35.275921,-5.315413",21000,326,225
1499324239,2017-07-06T06:57:19Z,,"35.343861,-5.232541",20700,315,228
1499324231,2017-07-06T06:57:11Z,,"35.352104,-5.221588",20600,319,231
1499324222,2017-07-06T06:57:02Z,,"35.358845,-5.210884",20600,325,227
1499324186,2017-07-06T06:56:26Z,,"35.399952,-5.170092",20256,343,195
