Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1500233400,2017-07-16T19:30:00Z,VDA2143,"35.316666,-77.599998",500,182,39
1500233334,2017-07-16T19:28:54Z,VDA2143,"35.298836,-77.637108",1100,188,39
1500233287,2017-07-16T19:28:07Z,VDA2143,"35.264542,-77.665436",1700,185,58
1500233261,2017-07-16T19:27:41Z,VDA2143,"35.246677,-77.677574",2000,198,58
1500233222,2017-07-16T19:27:02Z,VDA2143,"35.215008,-77.707176",2900,194,39
1500233198,2017-07-16T19:26:38Z,VDA2143,"35.189167,-77.721725",3400,214,39
1500233099,2017-07-16T19:24:59Z,VDA2143,"35.048515,-77.840919",6300,314,37
1500233074,2017-07-16T19:24:34Z,VDA2143,"35.071869,-77.810692",6000,284,15
1500233040,2017-07-16T19:24:00Z,VDA2143,"35.022091,-77.837502",6400,293,58
1500233020,2017-07-16T19:23:40Z,VDA2143,"34.987705,-77.854607",6900,299,28
1500232946,2017-07-16T19:22:26Z,VDA2143,"34.927876,-77.947067",10300,314,37
1500232924,2017-07-16T19:22:04Z,VDA2143,"34.901058,-77.962784",10700,324,76
1500232901,2017-07-16T19:21:41Z,VDA2143,"34.85577,-78.023819",10800,324,76
1500232858,2017-07-16T19:20:58Z,VDA2143,"34.840874,-78.060188",11300,324,76
1500232827,2017-07-16T19:20:27Z,VDA2143,"34.833748,-78.10424",11900,328,79
1500232767,2017-07-16T19:19:27Z,VDA2143,"34.821548,-78.190491",13700,337,79
1500232744,2017-07-16T19:19:04Z,VDA2143,"34.812897,-78.251717",15000,352,78
1500232710,2017-07-16T19:18:30Z,VDA2143,"34.803993,-78.313026",16318,369,77
1500232643,2017-07-16T19:17:23Z,VDA2143,"34.783474,-78.439407",18937,384,77
1500232581,2017-07-16T19:16:21Z,VDA2143,"34.765873,-78.570816",21500,403,79
1500232520,2017-07-16T19:15:20Z,VDA2143,"34.74704,-78.704491",24000,430,81
1500232457,2017-07-16T19:14:17Z,VDA2143,"34.729481,-78.856216",25600,432,80
1500232394,2017-07-16T19:13:14Z,VDA2143,"34.709667,-79.013206",27100,440,85
1500232329,2017-07-16T19:12:09Z,VDA2143,"34.700222,-79.171432",27086,446,86
1500232268,2017-07-16T19:11:08Z,VDA2143,"34.693417,-79.323143",26999,461,81
1500232259,2017-07-16T19:10:59Z,VDA2143,"34.691692,-79.342186",26999,463,78
1500232253,2017-07-16T19:10:53Z,VDA2143,"34.68874,-79.362503",27099,459,76
1500232244,2017-07-16T19:10:44Z,VDA2143,"34.684959,-79.383591",27099,459,74
1500232192,2017-07-16T19:09:52Z,VDA2143,"34.644596,-79.509331",27700,467,64
1500232129,2017-07-16T19:08:49Z,VDA2143,"34.583923,-79.67086",28899,475,65
1500232060,2017-07-16T19:07:40Z,VDA2143,"34.521175,-79.823647",29000,538,56
1500232051,2017-07-16T19:07:31Z,VDA2143,"34.511597,-79.841675",29000,551,54
1500232021,2017-07-16T19:07:01Z,VDA2143,"34.458454,-79.922035",29000,565,43
1500232012,2017-07-16T19:06:52Z,VDA2143,"34.441761,-79.939857",29000,496,51
1500231941,2017-07-16T19:05:41Z,VDA2143,"34.402115,-80.100883",29000,464,51
1500231876,2017-07-16T19:04:36Z,VDA2143,"34.318909,-80.231026",29076,468,51
1500231814,2017-07-16T19:03:34Z,VDA2143,"34.233143,-80.365219",29028,453,49
1500231749,2017-07-16T19:02:29Z,VDA2143,"34.146679,-80.487694",29000,448,50
1500231685,2017-07-16T19:01:25Z,VDA2143,"34.059883,-80.623566",29000,466,50
1500231621,2017-07-16T19:00:21Z,VDA2143,"33.973076,-80.748001",29000,422,46
1500231612,2017-07-16T19:00:12Z,VDA2143,"33.961739,-80.762451",29000,418,48
1500231602,2017-07-16T19:00:02Z,VDA2143,"33.942574,-80.792618",29000,410,57
1500231593,2017-07-16T18:59:53Z,VDA2143,"33.937958,-80.800491",29000,410,57
1500231571,2017-07-16T18:59:31Z,VDA2143,"33.919979,-80.838539",28999,438,70
1500231507,2017-07-16T18:58:27Z,VDA2143,"33.870628,-81.016609",28999,456,74
1500231445,2017-07-16T18:57:25Z,VDA2143,"33.84552,-81.178818",29100,468,79
1500231383,2017-07-16T18:56:23Z,VDA2143,"33.824207,-81.332443",29100,468,80
1500231321,2017-07-16T18:55:21Z,VDA2143,"33.801796,-81.496025",29100,465,80
1500231256,2017-07-16T18:54:16Z,VDA2143,"33.779705,-81.657501",29036,442,79
1500231195,2017-07-16T18:53:15Z,VDA2143,"33.758839,-81.800949",29024,461,79
1500231133,2017-07-16T18:52:13Z,VDA2143,"33.73098,-81.986626",29015,456,78
1500231064,2017-07-16T18:51:04Z,VDA2143,"33.710625,-82.146599",29000,462,87
1500231001,2017-07-16T18:50:01Z,VDA2143,"33.705395,-82.310959",29038,458,87
1500230937,2017-07-16T18:48:57Z,VDA2143,"33.699814,-82.473167",29000,458,87
1500230874,2017-07-16T18:47:54Z,VDA2143,"33.694126,-82.637596",29000,458,86
1500230810,2017-07-16T18:46:50Z,VDA2143,"33.688454,-82.79734",29000,448,86
1500230746,2017-07-16T18:45:46Z,VDA2143,"33.682289,-82.959099",29000,448,86
1500230680,2017-07-16T18:44:40Z,VDA2143,"33.676395,-83.118515",29000,448,86
1500230617,2017-07-16T18:43:37Z,VDA2143,"33.670185,-83.277298",29000,447,86
1500230554,2017-07-16T18:42:34Z,VDA2143,"33.663498,-83.435524",29000,441,86
1500230493,2017-07-16T18:41:33Z,VDA2143,"33.65691,-83.583328",29000,448,86
1500230430,2017-07-16T18:40:30Z,VDA2143,"33.650352,-83.742455",29000,456,88
1500230367,2017-07-16T18:39:27Z,VDA2143,"33.650066,-83.895378",28999,474,92
1500230305,2017-07-16T18:38:25Z,VDA2143,"33.654163,-84.058533",28999,444,84
1500230296,2017-07-16T18:38:16Z,VDA2143,"33.652809,-84.079208",28999,447,82
1500230290,2017-07-16T18:38:10Z,VDA2143,"33.651089,-84.098946",28999,446,78
1500230283,2017-07-16T18:38:03Z,VDA2143,"33.649521,-84.108833",29000,451,71
1500230275,2017-07-16T18:37:55Z,VDA2143,"33.644203,-84.137398",28999,452,65
1500230207,2017-07-16T18:36:47Z,VDA2143,"33.569088,-84.272972",29000,458,51
1500230145,2017-07-16T18:35:45Z,VDA2143,"33.485767,-84.401978",29000,458,51
1500230080,2017-07-16T18:34:40Z,VDA2143,"33.402592,-84.530334",29000,458,51
1500230017,2017-07-16T18:33:37Z,VDA2143,"33.319054,-84.657608",29042,458,51
1500229954,2017-07-16T18:32:34Z,VDA2143,"33.235657,-84.784409",29100,456,51
1500229890,2017-07-16T18:31:30Z,VDA2143,"33.151806,-84.912117",29000,458,51
1500229826,2017-07-16T18:30:26Z,VDA2143,"33.068649,-85.04023",29000,450,50
1500229764,2017-07-16T18:29:24Z,VDA2143,"32.98613,-85.162872",29000,454,53
1500229699,2017-07-16T18:28:19Z,VDA2143,"32.910194,-85.280205",28999,444,50
1500229637,2017-07-16T18:27:17Z,VDA2143,"32.828079,-85.403961",29000,448,51
1500229575,2017-07-16T18:26:15Z,VDA2143,"32.751778,-85.519722",29000,441,51
1500229513,2017-07-16T18:25:13Z,VDA2143,"32.665302,-85.648033",29000,439,50
1500229451,2017-07-16T18:24:11Z,VDA2143,"32.592857,-85.753242",29000,437,49
1500229422,2017-07-16T18:23:42Z,VDA2143,"32.55164,-85.810539",29000,437,60
1500229364,2017-07-16T18:22:44Z,VDA2143,"32.482639,-85.917671",29000,440,52
1500229302,2017-07-16T18:21:42Z,VDA2143,"32.404972,-86.030952",29000,450,47
1500229241,2017-07-16T18:20:41Z,VDA2143,"32.294128,-86.186783",29000,450,53
1500229179,2017-07-16T18:19:39Z,VDA2143,"32.224266,-86.308495",29031,443,64
1500229108,2017-07-16T18:18:28Z,VDA2143,"32.166786,-86.461761",29052,440,67
1500229047,2017-07-16T18:17:27Z,VDA2143,"32.128387,-86.56823",28999,442,65
1500228980,2017-07-16T18:16:20Z,VDA2143,"32.076149,-86.709702",28999,435,66
1500228919,2017-07-16T18:15:19Z,VDA2143,"32.023815,-86.848862",28999,435,65
