Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1500612499,2017-07-21T04:48:19Z,,"32.048782,36.286999",11100,340,93
1500612163,2017-07-21T04:42:43Z,,"32.049477,36.222107",10700,340,93
1500612127,2017-07-21T04:42:07Z,,"32.049892,36.214058",10600,334,93
1500612100,2017-07-21T04:41:40Z,,"32.052811,36.110714",9900,317,92
1500612048,2017-07-21T04:40:48Z,,"32.053562,36.07114",9500,317,92
1500612027,2017-07-21T04:40:27Z,,"32.054771,36.03553",9171,297,84
1500612007,2017-07-21T04:40:07Z,,"32.053741,36.007969",8799,297,84
1500611995,2017-07-21T04:39:55Z,,"32.052902,35.988831",8500,297,84
1500611989,2017-07-21T04:39:49Z,,"32.051929,35.977806",8300,302,87
1500611961,2017-07-21T04:39:21Z,,"32.050713,35.935642",7800,290,74
1500611946,2017-07-21T04:39:06Z,,"32.04694,35.913067",7480,289,78
1500611937,2017-07-21T04:38:57Z,,"32.044605,35.89991",7300,296,79
1500611931,2017-07-21T04:38:51Z,,"32.042213,35.886292",7092,280,83
1500611918,2017-07-21T04:38:38Z,,"32.033581,35.85944",6600,0,47
