Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501130580,2017-07-27T04:43:00Z,,"39.52285,52.39463",29000,453,98
1501129842,2017-07-27T04:30:42Z,,"39.778862,50.793163",29000,460,101
1501129796,2017-07-27T04:29:56Z,,"39.801395,50.666229",29000,460,101
1501129777,2017-07-27T04:29:37Z,,"39.807838,50.624878",28999,460,101
1501129685,2017-07-27T04:28:05Z,,"39.850731,50.385101",29000,460,101
1501129624,2017-07-27T04:27:04Z,,"39.87867,50.227345",29000,460,101
1501129587,2017-07-27T04:26:27Z,,"39.898087,50.118725",29000,460,101
1501129498,2017-07-27T04:24:58Z,,"39.951233,49.811306",29000,468,101
1501129442,2017-07-27T04:24:02Z,,"39.966373,49.723114",29000,468,101
1501129381,2017-07-27T04:23:01Z,,"39.994282,49.558117",29100,464,101
1501129320,2017-07-27T04:22:00Z,,"40.023472,49.3839",29000,465,101
1501129258,2017-07-27T04:20:58Z,,"40.052845,49.207928",29000,458,101
1501129139,2017-07-27T04:18:59Z,,"40.136246,48.703369",29000,460,101
1501129064,2017-07-27T04:17:44Z,,"40.176048,48.455112",29000,460,101
1501128970,2017-07-27T04:16:10Z,,"40.17746,48.44651",29000,460,101
1501128931,2017-07-27T04:15:31Z,,"40.194801,48.337463",29000,461,101
1501128865,2017-07-27T04:14:25Z,,"40.22958,48.11768",29000,471,101
1501128775,2017-07-27T04:12:55Z,,"40.263489,47.896332",29100,471,101
1501128715,2017-07-27T04:11:55Z,,"40.293316,47.708096",29099,477,98
1501128648,2017-07-27T04:10:48Z,,"40.320274,47.523956",29000,474,101
1501128576,2017-07-27T04:09:36Z,,"40.348545,47.331295",28999,474,101
1501128512,2017-07-27T04:08:32Z,,"40.373905,47.162132",29000,473,100
1501128446,2017-07-27T04:07:26Z,,"40.401409,46.981495",29000,469,101
1501128384,2017-07-27T04:06:24Z,,"40.427597,46.812237",29000,469,101
1501128323,2017-07-27T04:05:23Z,,"40.45298,46.630783",28999,473,99
1501128261,2017-07-27T04:04:21Z,,"40.477432,46.458885",29000,470,101
