Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501164130,2017-07-27T14:02:10Z,,"40.822845,45.963253",32087,401,263
1501164099,2017-07-27T14:01:39Z,,"40.830376,46.041775",32077,408,262
1501164007,2017-07-27T14:00:07Z,,"40.8531,46.268326",32066,401,262
1501163923,2017-07-27T13:58:43Z,,"40.874355,46.482018",32100,406,261
1501163874,2017-07-27T13:57:54Z,,"40.887196,46.591438",32090,407,260
1501163810,2017-07-27T13:56:50Z,,"40.902008,46.746483",32100,398,269
1501163745,2017-07-27T13:55:45Z,,"40.896412,46.909222",32100,394,275
1501163680,2017-07-27T13:54:40Z,,"40.886337,47.06588",32100,392,275
1501163615,2017-07-27T13:53:35Z,,"40.876385,47.22105",32100,396,275
1501163550,2017-07-27T13:52:30Z,,"40.866623,47.373856",32099,398,274
1501163486,2017-07-27T13:51:26Z,,"40.856236,47.530125",32100,395,275
1501163425,2017-07-27T13:50:25Z,,"40.846413,47.670227",32100,398,275
1501163363,2017-07-27T13:49:23Z,,"40.834526,47.83614",32099,395,275
1501163302,2017-07-27T13:48:22Z,,"40.825542,47.96954",32100,388,275
1501163240,2017-07-27T13:47:20Z,,"40.814587,48.124149",32000,388,276
1501163178,2017-07-27T13:46:18Z,,"40.803787,48.265381",32100,388,277
1501163115,2017-07-27T13:45:15Z,,"40.791775,48.415569",32000,388,276
1501163052,2017-07-27T13:44:12Z,,"40.781124,48.566326",32000,388,275
1501162991,2017-07-27T13:43:11Z,,"40.769646,48.718964",31999,388,276
1501162925,2017-07-27T13:42:05Z,,"40.757668,48.868893",31999,390,276
1501162859,2017-07-27T13:40:59Z,,"40.746628,49.023567",32000,392,276
1501162795,2017-07-27T13:39:55Z,,"40.735004,49.176785",32000,398,278
1501162731,2017-07-27T13:38:51Z,,"40.717937,49.330109",32099,394,278
1501162641,2017-07-27T13:37:21Z,,"40.693161,49.541115",32100,406,279
1501162598,2017-07-27T13:36:38Z,,"40.679516,49.648937",32100,408,279
1501162510,2017-07-27T13:35:10Z,,"40.647655,49.905689",32100,405,280
1501162476,2017-07-27T13:34:36Z,,"40.642948,49.942299",32100,398,280
1501162414,2017-07-27T13:33:34Z,,"40.619717,50.105072",32100,398,283
1501162350,2017-07-27T13:32:30Z,,"40.598335,50.250072",32100,408,278
1501162232,2017-07-27T13:30:32Z,,"40.528595,50.777309",32000,395,276
1501162034,2017-07-27T13:27:14Z,,"40.485184,51.31741",32000,410,285
1501161903,2017-07-27T13:25:03Z,,"40.473656,51.405872",32000,410,285
1501161826,2017-07-27T13:23:46Z,,"40.418766,51.74197",32100,410,285
1501161726,2017-07-27T13:22:06Z,,"40.398323,51.850697",32100,410,285
1501161655,2017-07-27T13:20:55Z,,"40.252918,52.649101",32000,410,285
