Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503722733,2017-08-26T04:45:33Z,,"24.167789,55.858788",13800,345,287
1503722653,2017-08-26T04:44:13Z,,"24.08733,56.125046",16600,379,283
1503722572,2017-08-26T04:42:52Z,,"24.078577,56.154652",16900,379,283
1503722517,2017-08-26T04:41:57Z,,"24.058922,56.227581",18100,379,283
1503722467,2017-08-26T04:41:07Z,,"24.029238,56.349346",19800,393,283
1503722397,2017-08-26T04:39:57Z,,"23.999556,56.494068",22100,411,283
1503722334,2017-08-26T04:38:54Z,,"23.979631,56.590527",23400,411,283
1503722270,2017-08-26T04:37:50Z,,"23.952511,56.721436",25400,426,283
1503722206,2017-08-26T04:36:46Z,,"23.925318,56.8517",27199,448,283
1503722145,2017-08-26T04:35:45Z,,"23.897715,56.983807",29400,437,283
1503722057,2017-08-26T04:34:17Z,,"23.857969,57.171177",31699,425,283
1503722018,2017-08-26T04:33:38Z,,"23.834351,57.280415",32000,425,283
1503721956,2017-08-26T04:32:36Z,,"23.809017,57.398994",32000,424,284
1503721895,2017-08-26T04:31:35Z,,"23.783466,57.516022",31999,421,284
1503721834,2017-08-26T04:30:34Z,,"23.748655,57.674927",32000,430,284
1503721756,2017-08-26T04:29:16Z,,"23.674671,58.008141",32000,0,285
