Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504548479,2017-09-04T18:07:59Z,VDA2255,"45.599998,-122.599998",100,149,314
1504548423,2017-09-04T18:07:03Z,VDA2255,"45.566666,-122.550003",200,149,325
1504548359,2017-09-04T18:05:59Z,VDA2255,"45.505363,-122.465538",1000,149,325
1504548320,2017-09-04T18:05:20Z,VDA2255,"45.48209,-122.421127",1500,141,306
1504548267,2017-09-04T18:04:27Z,VDA2255,"45.467846,-122.362602",2200,159,325
1504548231,2017-09-04T18:03:51Z,VDA2255,"45.463417,-122.331535",2400,181,296
1504548191,2017-09-04T18:03:11Z,VDA2255,"45.476318,-122.305687",2500,211,216
1504548167,2017-09-04T18:02:47Z,VDA2255,"45.493469,-122.295837",2700,204,200
1504548150,2017-09-04T18:02:30Z,VDA2255,"45.504925,-122.286171",3100,208,200
1504548109,2017-09-04T18:01:49Z,VDA2255,"45.54314,-122.301056",3200,195,160
1504548077,2017-09-04T18:01:17Z,VDA2255,"45.576416,-122.33136",3400,190,145
1504548013,2017-09-04T18:00:13Z,VDA2255,"45.643593,-122.385056",3637,207,163
1504547973,2017-09-04T17:59:33Z,VDA2255,"45.6693,-122.401375",4200,207,163
1504547936,2017-09-04T17:58:56Z,VDA2255,"45.699448,-122.413895",4800,207,163
1504547901,2017-09-04T17:58:21Z,VDA2255,"45.71077,-122.417725",5000,207,163
1504547888,2017-09-04T17:58:08Z,VDA2255,"45.728485,-122.42289",5300,207,163
1504547871,2017-09-04T17:57:51Z,VDA2255,"45.742863,-122.427208",5600,207,163
1504547856,2017-09-04T17:57:36Z,VDA2255,"45.751202,-122.429482",5800,207,163
1504547838,2017-09-04T17:57:18Z,VDA2255,"45.773727,-122.437218",6200,206,159
1504547818,2017-09-04T17:56:58Z,VDA2255,"45.787594,-122.444252",6500,210,155
1504547802,2017-09-04T17:56:42Z,VDA2255,"45.827236,-122.461555",7300,217,168
1504547764,2017-09-04T17:56:04Z,VDA2255,"45.848858,-122.470581",7900,217,168
1504547708,2017-09-04T17:55:08Z,VDA2255,"45.888577,-122.479729",8600,223,165
1504547699,2017-09-04T17:54:59Z,VDA2255,"45.896595,-122.481339",8700,223,165
1504547687,2017-09-04T17:54:47Z,VDA2255,"45.904366,-122.484489",8800,226,168
1504547666,2017-09-04T17:54:26Z,VDA2255,"45.923359,-122.49102",9100,238,195
1504547648,2017-09-04T17:54:08Z,VDA2255,"45.944679,-122.485962",9400,244,201
1504547635,2017-09-04T17:53:55Z,VDA2255,"45.957523,-122.479118",9600,253,204
1504547623,2017-09-04T17:53:43Z,VDA2255,"45.970085,-122.471016",9800,256,204
1504547611,2017-09-04T17:53:31Z,VDA2255,"45.986858,-122.460472",10000,260,203
1504547599,2017-09-04T17:53:19Z,VDA2255,"45.999683,-122.452713",10200,260,203
1504547587,2017-09-04T17:53:07Z,VDA2255,"46.01701,-122.442284",10376,261,203
1504547570,2017-09-04T17:52:50Z,VDA2255,"46.030804,-122.43399",10500,255,203
1504547554,2017-09-04T17:52:34Z,VDA2255,"46.048008,-122.423607",10813,249,203
1504547543,2017-09-04T17:52:23Z,VDA2255,"46.058292,-122.417625",11000,235,209
1504547531,2017-09-04T17:52:11Z,VDA2255,"46.073601,-122.406761",11300,259,205
1504547515,2017-09-04T17:51:55Z,VDA2255,"46.090122,-122.396324",11499,266,204
1504547497,2017-09-04T17:51:37Z,VDA2255,"46.108604,-122.384995",11700,271,204
1504547465,2017-09-04T17:51:05Z,VDA2255,"46.149693,-122.358513",12182,278,205
1504547426,2017-09-04T17:50:26Z,VDA2255,"46.191998,-122.331268",12616,276,203
1504547411,2017-09-04T17:50:11Z,VDA2255,"46.205704,-122.323097",12800,280,198
1504547405,2017-09-04T17:50:05Z,VDA2255,"46.215645,-122.318184",12929,280,194
1504547398,2017-09-04T17:49:58Z,VDA2255,"46.219326,-122.315979",13000,280,194
1504547389,2017-09-04T17:49:49Z,VDA2255,"46.23502,-122.309967",13240,282,186
1504547356,2017-09-04T17:49:16Z,VDA2255,"46.27673,-122.305855",13700,288,178
1504547323,2017-09-04T17:48:43Z,VDA2255,"46.319099,-122.306267",14099,297,178
1504547288,2017-09-04T17:48:08Z,VDA2255,"46.379349,-122.306473",14800,303,178
1504547236,2017-09-04T17:47:16Z,VDA2255,"46.439335,-122.307106",15399,289,179
1504547204,2017-09-04T17:46:44Z,VDA2255,"46.484692,-122.307426",15899,257,180
