Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504737477,2017-09-06T22:37:57Z,,"63.952908,-22.584841",1100,202,324
1504737299,2017-09-06T22:34:59Z,,"63.9412,-22.582296",1300,202,324
1504737287,2017-09-06T22:34:47Z,,"63.939861,-22.578688",1300,202,324
1504737267,2017-09-06T22:34:27Z,,"63.911263,-22.556936",1900,244,58
1504737243,2017-09-06T22:34:03Z,,"63.879948,-22.554312",2200,244,58
1504737219,2017-09-06T22:33:39Z,,"63.844746,-22.54401",2500,244,58
1504737198,2017-09-06T22:33:18Z,,"63.800301,-22.595985",3100,244,58
1504737122,2017-09-06T22:32:02Z,,"63.78146,-22.630524",3000,244,58
1504737102,2017-09-06T22:31:42Z,,"63.775455,-22.648497",3100,241,77
1504737093,2017-09-06T22:31:33Z,,"63.771248,-22.67177",3153,241,77
1504737081,2017-09-06T22:31:21Z,,"63.770615,-22.703375",3200,241,77
1504737066,2017-09-06T22:31:06Z,,"63.769825,-22.719059",3299,276,60
1504737041,2017-09-06T22:30:41Z,,"63.759716,-22.791319",3499,209,105
1504737027,2017-09-06T22:30:27Z,,"63.760067,-22.810841",3600,209,145
1504737016,2017-09-06T22:30:16Z,,"63.767414,-22.837671",3700,209,145
1504737001,2017-09-06T22:30:01Z,,"63.789558,-22.869873",3900,209,145
1504736975,2017-09-06T22:29:35Z,,"63.792198,-22.875023",3899,229,167
1504736966,2017-09-06T22:29:26Z,,"63.807758,-22.884935",3900,229,167
1504736951,2017-09-06T22:29:11Z,,"63.818871,-22.887718",4000,202,151
1504736945,2017-09-06T22:29:05Z,,"63.825291,-22.895618",4200,204,152
1504736939,2017-09-06T22:28:59Z,,"63.835255,-22.906492",4200,204,152
1504736924,2017-09-06T22:28:44Z,,"63.847637,-22.92054",4500,204,152
1504736911,2017-09-06T22:28:31Z,,"63.85466,-22.929022",4500,200,155
1504736902,2017-09-06T22:28:22Z,,"63.86525,-22.939774",4500,200,155
1504736891,2017-09-06T22:28:11Z,,"63.868511,-22.943707",4600,200,147
1504736885,2017-09-06T22:28:05Z,,"63.871712,-22.945587",4600,200,147
1504736879,2017-09-06T22:27:59Z,,"63.878124,-22.95599",4621,200,157
1504736868,2017-09-06T22:27:48Z,,"63.896011,-22.962584",5000,220,171
1504736855,2017-09-06T22:27:35Z,,"63.911438,-22.978603",5300,220,171
1504736831,2017-09-06T22:27:11Z,,"63.949825,-23.009653",6100,241,158
1504736797,2017-09-06T22:26:37Z,,"63.95145,-23.02762",6200,241,158
1504736784,2017-09-06T22:26:24Z,,"63.989185,-23.075258",6640,262,154
1504736753,2017-09-06T22:25:53Z,,"64.007507,-23.096617",6800,262,154
1504736738,2017-09-06T22:25:38Z,,"64.010689,-23.101915",6800,262,154
1504736727,2017-09-06T22:25:27Z,,"64.033295,-23.123671",6900,264,152
1504736715,2017-09-06T22:25:15Z,,"64.036949,-23.125126",7000,264,152
1504736702,2017-09-06T22:25:02Z,,"64.058006,-23.153402",7100,260,160
