Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504828151,2017-09-07T23:49:11Z,,"39.375381,33.52969",27000,470,78
1504828080,2017-09-07T23:48:00Z,,"39.351952,33.362728",26999,471,78
1504827408,2017-09-07T23:36:48Z,,"39.045418,31.501181",27000,512,88
1504827341,2017-09-07T23:35:41Z,,"39.050442,31.2819",26999,547,89
1504827295,2017-09-07T23:34:55Z,,"39.103996,31.117193",26999,547,89
1504827205,2017-09-07T23:33:25Z,,"38.971478,30.960468",27000,485,59
1504827159,2017-09-07T23:32:39Z,,"38.924496,30.856932",27000,485,59
1504826895,2017-09-07T23:28:15Z,,"38.748749,30.122904",27000,462,79
1504826812,2017-09-07T23:26:52Z,,"38.716301,29.87159",27000,462,79
1504826782,2017-09-07T23:26:22Z,,"38.708893,29.818533",27000,462,79
1504826753,2017-09-07T23:25:53Z,,"38.700905,29.760975",27000,464,79
1504826689,2017-09-07T23:24:49Z,,"38.679226,29.59841",27000,464,78
1504826625,2017-09-07T23:23:45Z,,"38.660278,29.434889",27000,458,82
1504826563,2017-09-07T23:22:43Z,,"38.642998,29.263367",27000,458,82
1504826502,2017-09-07T23:21:42Z,,"38.62606,29.090183",27000,458,83
1504826435,2017-09-07T23:20:35Z,,"38.610435,28.908506",27000,448,84
1504826371,2017-09-07T23:19:31Z,,"38.596867,28.747015",27000,448,81
1504826310,2017-09-07T23:18:30Z,,"38.567059,28.572922",26900,443,73
1504826247,2017-09-07T23:17:27Z,,"38.534397,28.43001",26999,427,72
1504826183,2017-09-07T23:16:23Z,,"38.503357,28.279167",27000,422,79
1504826120,2017-09-07T23:15:20Z,,"38.482452,28.130074",26600,428,79
1504826058,2017-09-07T23:14:18Z,,"38.459869,27.972891",26200,418,78
1504825995,2017-09-07T23:13:15Z,,"38.437061,27.817621",25900,410,79
1504825931,2017-09-07T23:12:11Z,,"38.414963,27.663836",25500,408,79
1504825868,2017-09-07T23:11:08Z,,"38.393421,27.513975",25199,398,79
1504825803,2017-09-07T23:10:03Z,,"38.372982,27.367418",24700,389,79
1504825738,2017-09-07T23:08:58Z,,"38.346256,27.214338",24300,402,76
1504825674,2017-09-07T23:07:54Z,,"38.321548,27.06727",24000,385,81
1504825623,2017-09-07T23:07:03Z,,"38.318821,26.951777",23828,378,92
1504825562,2017-09-07T23:06:02Z,,"38.324543,26.817533",23499,368,92
1504825501,2017-09-07T23:05:01Z,,"38.33057,26.679705",22899,360,93
1504825437,2017-09-07T23:03:57Z,,"38.335609,26.547262",22371,370,93
1504825376,2017-09-07T23:02:56Z,,"38.344181,26.415152",21800,368,96
1504825313,2017-09-07T23:01:53Z,,"38.353516,26.278284",21200,361,86
1504825307,2017-09-07T23:01:47Z,,"38.353306,26.261265",21099,362,83
1504825301,2017-09-07T23:01:41Z,,"38.353092,26.252853",21100,362,83
1504825295,2017-09-07T23:01:35Z,,"38.351521,26.233397",21100,364,80
1504825247,2017-09-07T23:00:47Z,,"38.329659,26.134304",20572,368,70
1504825181,2017-09-07T22:59:41Z,,"38.293442,26.003624",19900,368,70
1504825118,2017-09-07T22:58:38Z,,"38.257645,25.874878",19300,360,70
1504825055,2017-09-07T22:57:35Z,,"38.217278,25.727734",18600,354,69
1504825015,2017-09-07T22:56:55Z,,"38.187851,25.626974",17900,354,69
1504824945,2017-09-07T22:55:45Z,,"38.160622,25.531164",17499,354,69
1504824933,2017-09-07T22:55:33Z,,"38.151775,25.499796",17300,352,69
1504824900,2017-09-07T22:55:00Z,,"38.12714,25.413639",16900,348,69
1504824860,2017-09-07T22:54:20Z,,"38.106659,25.342424",16500,348,69
1504824826,2017-09-07T22:53:46Z,,"38.094204,25.298122",16200,343,68
1504824793,2017-09-07T22:53:13Z,,"38.072025,25.220974",15800,344,69
1504824760,2017-09-07T22:52:40Z,,"38.059109,25.175867",15600,342,69
1504824727,2017-09-07T22:52:07Z,,"38.034698,25.091379",15000,338,69
1504824694,2017-09-07T22:51:34Z,,"38.019279,25.038393",14700,336,69
1504824661,2017-09-07T22:51:01Z,,"38.005062,24.988691",14400,335,69
1504824628,2017-09-07T22:50:28Z,,"37.985722,24.921907",14066,330,69
1504824594,2017-09-07T22:49:54Z,,"37.966347,24.854828",13567,333,69
1504824560,2017-09-07T22:49:20Z,,"37.945168,24.782309",13100,331,69
1504824521,2017-09-07T22:48:41Z,,"37.930279,24.731457",12643,327,69
1504824488,2017-09-07T22:48:08Z,,"37.912067,24.668076",12299,312,69
1504824456,2017-09-07T22:47:36Z,,"37.893593,24.604731",12000,308,69
1504824438,2017-09-07T22:47:18Z,,"37.88736,24.583",11844,308,69
1504824426,2017-09-07T22:47:06Z,,"37.88155,24.563131",11700,308,69
