Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505055847,2017-09-10T15:04:07Z,,"51.759884,-1.524394",1400,110,253
1505055838,2017-09-10T15:03:58Z,,"51.760979,-1.518254",1500,110,253
1505055829,2017-09-10T15:03:49Z,,"51.762135,-1.511734",1595,110,252
1505055823,2017-09-10T15:03:43Z,,"51.763287,-1.505749",1600,110,251
1505055817,2017-09-10T15:03:37Z,,"51.763935,-1.502576",1700,110,250
1505055811,2017-09-10T15:03:31Z,,"51.765213,-1.496471",1700,110,249
1505055805,2017-09-10T15:03:25Z,,"51.765873,-1.493407",1800,110,249
1505055794,2017-09-10T15:03:14Z,,"51.768768,-1.480808",1899,113,247
1505055787,2017-09-10T15:03:07Z,,"51.769409,-1.478092",1990,115,246
1505055780,2017-09-10T15:03:00Z,,"51.770973,-1.47222",2000,119,244
1505055771,2017-09-10T15:02:51Z,,"51.772686,-1.466163",2100,125,243
1505055764,2017-09-10T15:02:44Z,,"51.773651,-1.463035",2199,125,243
1505055756,2017-09-10T15:02:36Z,,"51.776608,-1.453964",2300,135,239
1505055743,2017-09-10T15:02:23Z,,"51.780178,-1.44376",2500,139,239
1505055736,2017-09-10T15:02:16Z,,"51.782761,-1.436787",2600,145,238
1505055726,2017-09-10T15:02:06Z,,"51.785343,-1.429981",2658,149,237
1505055720,2017-09-10T15:02:00Z,,"51.78672,-1.427007",2700,156,236
1505055714,2017-09-10T15:01:54Z,,"51.789742,-1.419764",2799,160,239
1505055708,2017-09-10T15:01:48Z,,"51.791256,-1.415523",2799,160,239
1505055702,2017-09-10T15:01:42Z,,"51.794239,-1.408061",2795,167,242
1505055696,2017-09-10T15:01:36Z,,"51.797138,-1.399646",2699,172,248
1505055686,2017-09-10T15:01:26Z,,"51.799587,-1.390893",2700,180,255
1505055662,2017-09-10T15:01:02Z,,"51.802818,-1.360507",2800,216,283
1505055653,2017-09-10T15:00:53Z,,"51.801762,-1.34924",2800,227,296
1505055647,2017-09-10T15:00:47Z,,"51.798721,-1.33728",2800,239,307
1505055638,2017-09-10T15:00:38Z,,"51.79398,-1.325702",2800,246,318
