Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505331204,2017-09-13T19:33:24Z,,"63.948887,-22.646387",600,202,65
1505330999,2017-09-13T19:29:59Z,,"63.937538,-22.655636",900,202,65
1505330967,2017-09-13T19:29:27Z,,"63.910088,-22.662415",1599,204,79
1505330918,2017-09-13T19:28:38Z,,"63.897781,-22.660561",1799,204,79
1505330887,2017-09-13T19:28:07Z,,"63.846104,-22.643389",2700,204,79
1505330785,2017-09-13T19:26:25Z,,"63.763908,-22.277506",4200,267,289
1505330584,2017-09-13T19:23:04Z,,"63.698299,-21.744537",7300,267,289
1505330368,2017-09-13T19:19:28Z,,"63.684074,-21.638515",7300,266,283
1505330332,2017-09-13T19:18:52Z,,"63.682571,-21.619287",7300,277,292
1505330317,2017-09-13T19:18:37Z,,"63.665874,-21.521467",8000,283,283
1505330289,2017-09-13T19:18:09Z,,"63.659966,-21.475882",8400,283,283
1505330272,2017-09-13T19:17:52Z,,"63.654243,-21.430567",8700,283,283
1505330256,2017-09-13T19:17:36Z,,"63.649189,-21.389055",9100,283,283
1505330243,2017-09-13T19:17:23Z,,"63.645164,-21.356756",9100,283,283
1505330230,2017-09-13T19:17:10Z,,"63.639748,-21.312561",9300,283,283
1505330211,2017-09-13T19:16:51Z,,"63.636223,-21.279179",9700,286,280
1505330196,2017-09-13T19:16:36Z,,"63.628902,-21.211012",10000,298,277
1505330171,2017-09-13T19:16:11Z,,"63.622314,-21.139362",10400,318,281
1505330155,2017-09-13T19:15:55Z,,"63.613876,-21.078447",10500,318,281
1505330126,2017-09-13T19:15:26Z,,"63.609154,-21.033709",10600,330,274
1505330099,2017-09-13T19:14:59Z,,"63.581688,-20.849396",11849,330,274
1505330030,2017-09-13T19:13:50Z,,"63.52309,-20.482363",14800,0,302
1505329937,2017-09-13T19:12:17Z,,"63.427483,-20.129282",17900,0,306
1505329806,2017-09-13T19:10:06Z,,"63.315529,-19.775913",20900,0,305
