Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505393854,2017-09-14T12:57:34Z,,"63.907291,-25.848824",23500,262,272
1505393571,2017-09-14T12:52:51Z,,"63.901314,-25.689535",21800,262,272
1505393507,2017-09-14T12:51:47Z,,"63.898129,-25.633881",21800,262,272
1505393444,2017-09-14T12:50:44Z,,"63.891609,-25.292223",20400,371,109
1505393390,2017-09-14T12:49:50Z,,"63.878643,-25.136665",20200,385,261
1505393335,2017-09-14T12:48:55Z,,"63.8857,-24.883741",19000,385,261
1505393263,2017-09-14T12:47:43Z,,"63.888931,-24.850542",18300,385,261
1505393233,2017-09-14T12:47:13Z,,"63.895126,-24.7799",18000,385,261
1505393207,2017-09-14T12:46:47Z,,"63.899574,-24.713434",17600,385,261
1505393175,2017-09-14T12:46:15Z,,"63.913128,-24.49408",16800,385,261
1505393126,2017-09-14T12:45:26Z,,"63.92094,-24.378736",16200,385,261
1505393065,2017-09-14T12:44:25Z,,"63.938637,-24.141603",14400,385,261
1505393037,2017-09-14T12:43:57Z,,"63.93988,-24.113844",14400,385,261
1505393020,2017-09-14T12:43:40Z,,"63.945702,-24.026865",14400,353,262
1505392981,2017-09-14T12:43:01Z,,"63.954468,-23.895075",13500,226,257
1505392946,2017-09-14T12:42:26Z,,"63.965389,-23.763847",12499,258,261
1505392911,2017-09-14T12:41:51Z,,"63.969166,-23.71809",12200,299,262
1505392895,2017-09-14T12:41:35Z,,"63.973667,-23.663879",11663,306,260
1505392883,2017-09-14T12:41:23Z,,"63.975376,-23.643089",11499,351,263
1505392868,2017-09-14T12:41:08Z,,"63.977367,-23.610931",11300,351,263
1505392855,2017-09-14T12:40:55Z,,"63.979588,-23.581503",10900,351,263
1505392842,2017-09-14T12:40:42Z,,"63.984024,-23.499413",10700,319,263
1505392830,2017-09-14T12:40:30Z,,"63.985115,-23.477938",10700,373,263
1505392815,2017-09-14T12:40:15Z,,"63.987583,-23.432081",10400,340,263
1505392803,2017-09-14T12:40:03Z,,"63.990078,-23.377316",10000,287,263
1505392788,2017-09-14T12:39:48Z,,"63.992878,-23.329504",9699,255,261
1505392775,2017-09-14T12:39:35Z,,"63.996822,-23.276768",9200,239,260
1505392759,2017-09-14T12:39:19Z,,"63.998169,-23.261789",8876,286,263
1505392745,2017-09-14T12:39:05Z,,"64.00106,-23.214836",8500,253,258
1505392733,2017-09-14T12:38:53Z,,"64.002975,-23.194408",8200,263,261
1505392722,2017-09-14T12:38:42Z,,"64.00856,-23.114662",7400,266,257
1505392695,2017-09-14T12:38:15Z,,"64.013397,-23.058949",6800,278,260
1505392680,2017-09-14T12:38:00Z,,"64.015373,-23.034517",6400,290,260
1505392661,2017-09-14T12:37:41Z,,"64.019211,-22.986242",5800,276,257
1505392646,2017-09-14T12:37:26Z,,"64.022583,-22.953144",5300,230,260
1505392640,2017-09-14T12:37:20Z,,"64.025909,-22.912462",4700,230,260
1505392631,2017-09-14T12:37:11Z,,"64.027359,-22.899853",4600,230,260
1505392625,2017-09-14T12:37:05Z,,"64.029228,-22.877232",4500,198,260
1505392619,2017-09-14T12:36:59Z,,"64.030861,-22.858099",4200,184,263
1505392610,2017-09-14T12:36:50Z,,"64.032478,-22.839594",4100,184,263
1505392603,2017-09-14T12:36:43Z,,"64.034081,-22.823378",3799,184,263
1505392579,2017-09-14T12:36:19Z,,"64.039574,-22.75144",3500,160,276
1505392550,2017-09-14T12:35:50Z,,"64.0429,-22.700747",3100,154,288
1505392543,2017-09-14T12:35:43Z,,"64.040665,-22.683332",2300,154,288
1505392531,2017-09-14T12:35:31Z,,"64.040039,-22.676281",2300,154,288
1505392522,2017-09-14T12:35:22Z,,"64.038475,-22.663567",2300,151,297
1505392515,2017-09-14T12:35:15Z,,"64.036179,-22.652283",2299,152,306
1505392508,2017-09-14T12:35:08Z,,"64.033073,-22.641222",2085,154,316
1505392499,2017-09-14T12:34:59Z,,"64.029106,-22.631563",1900,157,322
