Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505530965,2017-09-16T03:02:45Z,VDA2134,"63.850323,-53.726692",29000,460,81
1505530903,2017-09-16T03:01:43Z,VDA2134,"63.825203,-54.056717",29100,450,75
1505530817,2017-09-16T03:00:17Z,VDA2134,"63.784554,-54.539024",29000,440,81
1505530753,2017-09-16T02:59:13Z,VDA2134,"63.761707,-54.82716",29000,430,74
1505530698,2017-09-16T02:58:18Z,VDA2134,"63.738262,-55.086506",29000,430,83
1505530630,2017-09-16T02:57:10Z,VDA2134,"63.717133,-55.391964",29100,430,81
1505530573,2017-09-16T02:56:13Z,VDA2134,"63.696098,-55.638931",29000,430,74
1505530508,2017-09-16T02:55:08Z,VDA2134,"63.668682,-55.90379",29000,430,80
1505530388,2017-09-16T02:53:08Z,VDA2134,"63.627102,-56.404518",29000,430,74
1505530328,2017-09-16T02:52:08Z,VDA2134,"63.611111,-56.667324",29000,430,74
1505530268,2017-09-16T02:51:08Z,VDA2134,"63.582729,-56.926605",29000,440,81
1505530206,2017-09-16T02:50:06Z,VDA2134,"63.55801,-57.190083",29100,440,73
1505530150,2017-09-16T02:49:10Z,VDA2134,"63.531364,-57.427711",29100,440,72
1505530108,2017-09-16T02:48:28Z,VDA2134,"63.515198,-57.59803",29000,440,79
1505530028,2017-09-16T02:47:08Z,VDA2134,"63.486317,-57.975548",29100,440,81
1505529967,2017-09-16T02:46:07Z,VDA2134,"63.467308,-58.233562",29100,440,73
1505529902,2017-09-16T02:45:02Z,VDA2134,"63.444641,-58.505825",29000,440,74
1505529845,2017-09-16T02:44:05Z,VDA2134,"63.431114,-58.761017",29400,440,74
1505529781,2017-09-16T02:43:01Z,VDA2134,"63.403824,-59.038567",30100,440,81
1505529719,2017-09-16T02:41:59Z,VDA2134,"63.381569,-59.315434",31000,440,75
1505529665,2017-09-16T02:41:05Z,VDA2134,"63.358261,-59.57201",31000,440,81
1505529600,2017-09-16T02:40:00Z,VDA2134,"63.337078,-59.842014",31000,440,81
1505529538,2017-09-16T02:38:58Z,VDA2134,"63.311985,-60.104519",31000,440,74
1505529476,2017-09-16T02:37:56Z,VDA2134,"63.280781,-60.376766",31000,440,73
1505529418,2017-09-16T02:36:58Z,VDA2134,"63.25386,-60.633862",31000,440,82
1505529356,2017-09-16T02:35:56Z,VDA2134,"63.229759,-60.910049",31000,440,73
1505529294,2017-09-16T02:34:54Z,VDA2134,"63.200081,-61.167042",31000,440,81
1505529234,2017-09-16T02:33:54Z,VDA2134,"63.174442,-61.421597",31000,440,73
1505529172,2017-09-16T02:32:52Z,VDA2134,"63.142517,-61.677219",31000,450,73
1505529114,2017-09-16T02:31:54Z,VDA2134,"63.115383,-61.922237",31000,440,82
1505529050,2017-09-16T02:30:50Z,VDA2134,"63.091709,-62.191658",31000,440,81
1505528993,2017-09-16T02:29:53Z,VDA2134,"63.066666,-62.435368",31000,450,73
1505528931,2017-09-16T02:28:51Z,VDA2134,"63.036907,-62.699219",31000,440,76
1505528870,2017-09-16T02:27:50Z,VDA2134,"63.01421,-62.970982",31000,450,81
1505528809,2017-09-16T02:26:49Z,VDA2134,"63.001316,-63.226425",31000,450,81
1505528750,2017-09-16T02:25:50Z,VDA2134,"62.991619,-63.483269",31000,450,81
1505528685,2017-09-16T02:24:45Z,VDA2134,"62.984695,-63.777618",31100,450,81
1505528625,2017-09-16T02:23:45Z,VDA2134,"62.972645,-64.048004",31000,450,84
1505528543,2017-09-16T02:22:23Z,VDA2134,"62.95892,-64.442856",31000,450,84
1505528448,2017-09-16T02:20:48Z,VDA2134,"62.9422,-64.89743",31000,450,82
1505528350,2017-09-16T02:19:10Z,VDA2134,"62.919907,-65.43206",31000,450,82
1505528287,2017-09-16T02:18:07Z,VDA2134,"62.913139,-65.713188",31000,460,84
1505528185,2017-09-16T02:16:25Z,VDA2134,"62.8927,-66.16777",31000,460,84
1505528110,2017-09-16T02:15:10Z,VDA2134,"62.865643,-66.538322",31000,460,75
1505528048,2017-09-16T02:14:08Z,VDA2134,"62.831291,-66.815559",31000,460,75
1505527985,2017-09-16T02:13:05Z,VDA2134,"62.791157,-67.087181",31000,460,73
1505527925,2017-09-16T02:12:05Z,VDA2134,"62.745277,-67.335068",31000,460,57
1505527868,2017-09-16T02:11:08Z,VDA2134,"62.692501,-67.568497",31000,460,73
1505527804,2017-09-16T02:10:04Z,VDA2134,"62.643288,-67.830055",31000,460,58
1505527745,2017-09-16T02:09:05Z,VDA2134,"62.586376,-68.077675",31000,460,68
1505527685,2017-09-16T02:08:05Z,VDA2134,"62.536129,-68.334564",31000,450,64
1505527624,2017-09-16T02:07:04Z,VDA2134,"62.484074,-68.572327",31000,450,66
1505527565,2017-09-16T02:06:05Z,VDA2134,"62.431835,-68.80471",31000,450,58
1505527503,2017-09-16T02:05:03Z,VDA2134,"62.375351,-69.036392",31000,450,65
1505527438,2017-09-16T02:03:58Z,VDA2134,"62.322876,-69.282082",31000,450,65
1505527377,2017-09-16T02:02:57Z,VDA2134,"62.270004,-69.523468",31000,450,66
1505527317,2017-09-16T02:01:57Z,VDA2134,"62.214714,-69.766083",31000,450,58
1505527256,2017-09-16T02:00:56Z,VDA2134,"62.154373,-70.006416",31000,450,65
1505527194,2017-09-16T01:59:54Z,VDA2134,"62.097466,-70.25515",31000,450,61
1505527134,2017-09-16T01:58:54Z,VDA2134,"62.037067,-70.50396",31000,450,65
1505527075,2017-09-16T01:57:55Z,VDA2134,"61.982349,-70.732216",31000,450,58
1505527015,2017-09-16T01:56:55Z,VDA2134,"61.922451,-70.95977",31000,450,65
1505526951,2017-09-16T01:55:51Z,VDA2134,"61.864433,-71.198044",31000,450,56
1505526896,2017-09-16T01:54:56Z,VDA2134,"61.806149,-71.408241",31000,450,65
1505526831,2017-09-16T01:53:51Z,VDA2134,"61.749626,-71.648552",31000,450,58
1505526772,2017-09-16T01:52:52Z,VDA2134,"61.683334,-71.883331",31000,460,60
1505526711,2017-09-16T01:51:51Z,VDA2134,"61.616665,-72.133331",31000,460,65
1505522245,2017-09-16T00:37:25Z,VDA2134,"56.958294,-87.229897",29100,500,54
1505522188,2017-09-16T00:36:28Z,VDA2134,"56.874565,-87.383041",29100,510,39
1505522085,2017-09-16T00:34:45Z,VDA2134,"56.729324,-87.637024",29100,520,53
1505521963,2017-09-16T00:32:43Z,VDA2134,"56.552761,-88.047707",29000,520,54
1505521840,2017-09-16T00:30:40Z,VDA2134,"56.378071,-88.483421",29000,520,58
1505521719,2017-09-16T00:28:39Z,VDA2134,"56.216579,-88.944389",29000,520,57
1505521596,2017-09-16T00:26:36Z,VDA2134,"56.074417,-89.462128",29000,520,68
1505521518,2017-09-16T00:25:18Z,VDA2134,"56.007381,-89.858292",29000,550,75
1505521461,2017-09-16T00:24:21Z,VDA2134,"55.98418,-90.108917",29000,550,84
1505521396,2017-09-16T00:23:16Z,VDA2134,"55.967201,-90.408188",29000,560,83
1505521341,2017-09-16T00:22:21Z,VDA2134,"55.952522,-90.659653",29000,550,82
1505521272,2017-09-16T00:21:12Z,VDA2134,"55.93504,-90.952415",29000,560,84
1505521220,2017-09-16T00:20:20Z,VDA2134,"55.921139,-91.210251",29000,550,83
1505521160,2017-09-16T00:19:20Z,VDA2134,"55.906319,-91.471031",29000,550,84
1505521093,2017-09-16T00:18:13Z,VDA2134,"55.889305,-91.77124",29000,550,83
1505521032,2017-09-16T00:17:12Z,VDA2134,"55.87212,-92.043671",29100,550,83
1505520970,2017-09-16T00:16:10Z,VDA2134,"55.852646,-92.322731",29100,550,83
1505520911,2017-09-16T00:15:11Z,VDA2134,"55.831177,-92.583359",29000,540,77
1505520852,2017-09-16T00:14:12Z,VDA2134,"55.806129,-92.838844",29000,540,83
1505520787,2017-09-16T00:13:07Z,VDA2134,"55.784348,-93.113464",29000,540,76
1505520726,2017-09-16T00:12:06Z,VDA2134,"55.759304,-93.378754",29000,540,83
1505520673,2017-09-16T00:11:13Z,VDA2134,"55.742439,-93.618942",29000,540,83
1505520609,2017-09-16T00:10:09Z,VDA2134,"55.718525,-93.887909",29000,540,75
1505520546,2017-09-16T00:09:06Z,VDA2134,"55.687851,-94.158417",29000,540,83
1505520483,2017-09-16T00:08:03Z,VDA2134,"55.658001,-94.453606",29000,530,77
1505520426,2017-09-16T00:07:06Z,VDA2134,"55.623299,-94.720169",29000,530,77
1505520383,2017-09-16T00:06:23Z,VDA2134,"55.596527,-94.9207",29000,530,82
1505520335,2017-09-16T00:05:35Z,VDA2134,"55.571629,-95.098602",29000,530,66
1505520235,2017-09-16T00:03:55Z,VDA2134,"55.515697,-95.446831",29000,520,76
1505520106,2017-09-16T00:01:46Z,VDA2134,"55.462132,-96.034264",29000,520,83
1505519969,2017-09-15T23:59:29Z,VDA2134,"55.416668,-96.717735",29000,520,75
1505519904,2017-09-15T23:58:24Z,VDA2134,"55.385094,-96.976807",29000,520,77
1505519845,2017-09-15T23:57:25Z,VDA2134,"55.357479,-97.23069",29000,520,82
1505519787,2017-09-15T23:56:27Z,VDA2134,"55.333355,-97.470291",29000,520,77
1505519727,2017-09-15T23:55:27Z,VDA2134,"55.301884,-97.722664",29000,520,75
1505519663,2017-09-15T23:54:23Z,VDA2134,"55.26944,-97.98204",29000,520,76
1505519605,2017-09-15T23:53:25Z,VDA2134,"55.240189,-98.234962",29000,530,77
1505519542,2017-09-15T23:52:22Z,VDA2134,"55.209995,-98.506561",29000,530,77
1505519484,2017-09-15T23:51:24Z,VDA2134,"55.182701,-98.755852",29000,520,75
1505519420,2017-09-15T23:50:20Z,VDA2134,"55.152905,-99.012665",29000,520,77
1505519362,2017-09-15T23:49:22Z,VDA2134,"55.124855,-99.258438",29000,520,75
1505519300,2017-09-15T23:48:20Z,VDA2134,"55.092407,-99.49971",29000,520,76
1505519236,2017-09-15T23:47:16Z,VDA2134,"55.051735,-99.750969",29000,520,75
1505519178,2017-09-15T23:46:18Z,VDA2134,"55.005196,-99.976082",29000,510,69
1505519116,2017-09-15T23:45:16Z,VDA2134,"54.941887,-100.206406",29000,510,56
1505519054,2017-09-15T23:44:14Z,VDA2134,"54.869251,-100.432251",29000,510,69
1505519001,2017-09-15T23:43:21Z,VDA2134,"54.814651,-100.630058",29000,510,54
1505518935,2017-09-15T23:42:15Z,VDA2134,"54.742756,-100.847969",29000,510,69
1505518870,2017-09-15T23:41:10Z,VDA2134,"54.679474,-101.079529",29000,510,57
1505518813,2017-09-15T23:40:13Z,VDA2134,"54.614296,-101.281891",29000,510,65
1505518753,2017-09-15T23:39:13Z,VDA2134,"54.54763,-101.507622",29000,510,54
1505518687,2017-09-15T23:38:07Z,VDA2134,"54.475151,-101.735809",29000,510,69
1505518630,2017-09-15T23:37:10Z,VDA2134,"54.419434,-101.951294",29000,510,62
1505518570,2017-09-15T23:36:10Z,VDA2134,"54.355038,-102.162148",29000,510,57
1505518508,2017-09-15T23:35:08Z,VDA2134,"54.289112,-102.376091",29000,510,65
1505518447,2017-09-15T23:34:07Z,VDA2134,"54.223434,-102.606606",29000,500,60
1505518383,2017-09-15T23:33:03Z,VDA2134,"54.153309,-102.828308",29000,500,62
1505518324,2017-09-15T23:32:04Z,VDA2134,"54.085045,-103.044197",29000,500,60
1505518264,2017-09-15T23:31:04Z,VDA2134,"54.013763,-103.255501",29000,500,62
1505518202,2017-09-15T23:30:02Z,VDA2134,"53.936939,-103.471649",29000,490,62
1505518142,2017-09-15T23:29:02Z,VDA2134,"53.857864,-103.670189",29000,490,52
1505518113,2017-09-15T23:28:33Z,VDA2134,"53.808098,-103.764854",29100,490,47
1505518005,2017-09-15T23:26:45Z,VDA2134,"53.698814,-104.013733",29000,470,58
1505517949,2017-09-15T23:25:49Z,VDA2134,"53.635834,-104.188446",29000,470,60
1505517887,2017-09-15T23:24:47Z,VDA2134,"53.56871,-104.377594",29000,460,58
