Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505927319,2017-09-20T17:08:39Z,,"47.650734,41.164104",17800,368,211
1505926881,2017-09-20T17:01:21Z,,"47.7887,41.300381",20200,368,211
1505926782,2017-09-20T16:59:42Z,,"47.794132,41.305504",20200,368,211
1505926765,2017-09-20T16:59:25Z,,"47.825073,41.334213",20900,368,211
1505926674,2017-09-20T16:57:54Z,,"47.947586,41.446594",22900,381,211
1505926646,2017-09-20T16:57:26Z,,"47.991077,41.486153",23600,384,211
1505926584,2017-09-20T16:56:24Z,,"48.082024,41.56781",24900,384,210
1505926523,2017-09-20T16:55:23Z,,"48.182755,41.652924",27237,402,208
1505926458,2017-09-20T16:54:18Z,,"48.287945,41.741337",28999,400,216
1505926452,2017-09-20T16:54:12Z,,"48.294041,41.747547",29148,400,216
1505926445,2017-09-20T16:54:05Z,,"48.305538,41.759609",29500,400,219
1505926419,2017-09-20T16:53:39Z,,"48.34317,41.811771",30411,400,232
1505926358,2017-09-20T16:52:38Z,,"48.413467,41.946632",31700,403,233
1505926294,2017-09-20T16:51:34Z,,"48.486237,42.089699",31999,410,233
1505926226,2017-09-20T16:50:26Z,,"48.561371,42.247547",32000,411,235
1505926220,2017-09-20T16:50:20Z,,"48.569744,42.265476",32000,412,235
1505926205,2017-09-20T16:50:05Z,,"48.587788,42.304089",31999,417,243
1505926199,2017-09-20T16:49:59Z,,"48.592571,42.315788",32000,416,246
1505926193,2017-09-20T16:49:53Z,,"48.594898,42.323845",32000,416,246
1505926141,2017-09-20T16:49:01Z,,"48.672863,42.480534",32000,401,228
1505926068,2017-09-20T16:47:48Z,,"48.824757,42.714424",32000,406,219
1505925684,2017-09-20T16:41:24Z,,"49.313084,43.353024",31900,410,221
1505925651,2017-09-20T16:40:51Z,,"49.392727,43.459641",32000,411,221
1505925534,2017-09-20T16:38:54Z,,"49.671047,43.831062",32000,420,221
1505925422,2017-09-20T16:37:02Z,,"49.717373,43.893768",32000,420,221
1505925390,2017-09-20T16:36:30Z,,"49.741837,43.926956",32000,420,221
1505925374,2017-09-20T16:36:14Z,,"49.758682,43.949829",32000,420,221
1505925303,2017-09-20T16:35:03Z,,"49.873611,44.106064",32000,421,221
1505925242,2017-09-20T16:34:02Z,,"50.031311,44.322212",32000,422,224
1505925174,2017-09-20T16:32:54Z,,"50.139027,44.472984",32000,422,224
1505925073,2017-09-20T16:31:13Z,,"50.231667,44.605576",32000,424,226
1505924965,2017-09-20T16:29:25Z,,"50.425014,44.893681",32000,444,221
1505924876,2017-09-20T16:27:56Z,,"50.601021,45.141129",32000,444,221
1505924745,2017-09-20T16:25:45Z,,"50.752571,45.327515",32000,444,221
1505924672,2017-09-20T16:24:32Z,,"50.810993,45.396496",32000,444,221
