Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505981622,2017-09-21T08:13:42Z,,"39.498032,6.839331",33000,406,224
1505980762,2017-09-21T07:59:22Z,,"39.884289,7.313204",33000,406,224
1505980725,2017-09-21T07:58:45Z,,"39.891178,7.321716",33000,406,224
1505980687,2017-09-21T07:58:07Z,,"39.950512,7.395901",33000,404,224
1505980647,2017-09-21T07:57:27Z,,"39.99942,7.457251",33000,404,224
1505980585,2017-09-21T07:56:25Z,,"40.079437,7.557706",33000,400,224
1505980524,2017-09-21T07:55:24Z,,"40.176128,7.679593",33000,406,222
1505980462,2017-09-21T07:54:22Z,,"40.249977,7.766244",33000,420,219
1505980401,2017-09-21T07:53:21Z,,"40.341446,7.861832",33000,418,221
1505980395,2017-09-21T07:53:15Z,,"40.354446,7.876472",33000,417,222
1505980388,2017-09-21T07:53:08Z,,"40.366333,7.890288",33000,415,224
1505980379,2017-09-21T07:52:59Z,,"40.377583,7.904315",32999,412,226
1505980369,2017-09-21T07:52:49Z,,"40.387909,7.917797",33000,400,232
1505980363,2017-09-21T07:52:43Z,,"40.397774,7.933528",32999,394,238
1505980353,2017-09-21T07:52:33Z,,"40.406281,7.950541",33000,391,243
1505980338,2017-09-21T07:52:18Z,,"40.41864,7.984033",33000,384,256
1505980275,2017-09-21T07:51:15Z,,"40.416561,8.129828",32899,378,278
1505980213,2017-09-21T07:50:13Z,,"40.400871,8.269053",32900,394,277
1505980151,2017-09-21T07:49:11Z,,"40.380264,8.41718",32900,380,279
1505980085,2017-09-21T07:48:05Z,,"40.361126,8.562026",32900,378,280
1505980023,2017-09-21T07:47:03Z,,"40.341446,8.709402",32900,374,280
1505979960,2017-09-21T07:46:00Z,,"40.322334,8.853348",32900,370,281
1505979894,2017-09-21T07:44:54Z,,"40.301495,9.002869",32600,376,280
1505979825,2017-09-21T07:43:45Z,,"40.282604,9.146066",31900,380,280
1505979764,2017-09-21T07:42:44Z,,"40.26297,9.288879",31365,380,280
1505979700,2017-09-21T07:41:40Z,,"40.242905,9.433808",30700,380,280
1505979637,2017-09-21T07:40:37Z,,"40.222668,9.578702",29999,380,280
1505979575,2017-09-21T07:39:35Z,,"40.203609,9.716668",29199,388,281
1505979513,2017-09-21T07:38:33Z,,"40.184105,9.854184",29000,384,281
1505979452,2017-09-21T07:37:32Z,,"40.164421,9.991975",29000,380,281
1505979389,2017-09-21T07:36:29Z,,"40.143673,10.136362",28999,380,281
1505979326,2017-09-21T07:35:26Z,,"40.122669,10.283159",29000,382,281
1505979262,2017-09-21T07:34:22Z,,"40.10186,10.425961",29000,378,281
1505979200,2017-09-21T07:33:20Z,,"40.080212,10.573989",28999,378,281
1505979136,2017-09-21T07:32:16Z,,"40.06044,10.707463",28999,378,281
1505979074,2017-09-21T07:31:14Z,,"40.039124,10.849621",29000,375,278
1505979012,2017-09-21T07:30:12Z,,"40.020126,10.983062",29000,360,281
1505978950,2017-09-21T07:29:10Z,,"39.995163,11.137813",28400,364,285
1505978881,2017-09-21T07:28:01Z,,"39.97065,11.285371",27999,401,268
1505978810,2017-09-21T07:26:50Z,,"39.948154,11.455799",27999,372,281
