Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506098415,2017-09-22T16:40:15Z,,"51.451538,12.456602",2700,235,256
1506098403,2017-09-22T16:40:03Z,,"51.452354,12.462873",2732,235,256
1506098397,2017-09-22T16:39:57Z,,"51.453373,12.467652",2800,246,259
1506098391,2017-09-22T16:39:51Z,,"51.455109,12.480301",2900,264,256
1506098385,2017-09-22T16:39:45Z,,"51.455765,12.487816",2900,264,256
1506098379,2017-09-22T16:39:39Z,,"51.457901,12.500561",2899,267,260
1506098372,2017-09-22T16:39:32Z,,"51.459656,12.516334",2799,273,262
1506098351,2017-09-22T16:39:11Z,,"51.462559,12.557459",2799,231,333
1506098342,2017-09-22T16:39:02Z,,"51.455498,12.588272",2899,231,333
1506098322,2017-09-22T16:38:42Z,,"51.438087,12.608552",3400,231,333
1506098304,2017-09-22T16:38:24Z,,"51.434544,12.612457",3499,226,339
1506098298,2017-09-22T16:38:18Z,,"51.429745,12.615828",3600,226,339
1506098292,2017-09-22T16:38:12Z,,"51.421143,12.621946",3800,217,346
1506098270,2017-09-22T16:37:50Z,,"51.401451,12.629767",4000,203,70
1506098246,2017-09-22T16:37:26Z,,"51.37579,12.62665",4400,199,27
1506098239,2017-09-22T16:37:19Z,,"51.372082,12.624136",4500,206,37
1506098233,2017-09-22T16:37:13Z,,"51.368927,12.62162",4600,206,37
1506098227,2017-09-22T16:37:07Z,,"51.362934,12.614836",4800,210,46
1506098220,2017-09-22T16:37:00Z,,"51.357746,12.60658",4930,218,54
1506098207,2017-09-22T16:36:47Z,,"51.351303,12.591785",5200,222,57
1506098194,2017-09-22T16:36:34Z,,"51.344765,12.575271",5500,224,57
1506098182,2017-09-22T16:36:22Z,,"51.337997,12.557994",5800,234,57
1506098170,2017-09-22T16:36:10Z,,"51.331608,12.541615",6000,237,58
1506098159,2017-09-22T16:35:59Z,,"51.324726,12.523914",6000,246,58
1506098147,2017-09-22T16:35:47Z,,"51.317635,12.505168",6099,250,57
1506098136,2017-09-22T16:35:36Z,,"51.308056,12.480022",6299,250,57
1506098124,2017-09-22T16:35:24Z,,"51.303043,12.466763",6419,251,57
1506098113,2017-09-22T16:35:13Z,,"51.298252,12.454024",6600,252,57
1506098102,2017-09-22T16:35:02Z,,"51.291035,12.435174",6832,258,57
1506098090,2017-09-22T16:34:50Z,,"51.283752,12.416128",7000,258,57
