Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506193113,2017-09-23T18:58:33Z,,"35.865654,14.466876",368,150,134
1506193107,2017-09-23T18:58:27Z,,"35.867832,14.464131",399,150,134
1506193101,2017-09-23T18:58:21Z,,"35.869476,14.462118",600,150,134
1506193095,2017-09-23T18:58:15Z,,"35.875191,14.454974",616,150,134
1506193085,2017-09-23T18:58:05Z,,"35.877567,14.452013",700,150,134
1506193079,2017-09-23T18:57:59Z,,"35.881161,14.447441",899,150,134
1506193073,2017-09-23T18:57:53Z,,"35.883327,14.444753",899,150,134
1506193067,2017-09-23T18:57:47Z,,"35.886936,14.440216",1000,150,134
1506193061,2017-09-23T18:57:41Z,,"35.888615,14.43808",1000,151,134
1506193055,2017-09-23T18:57:35Z,,"35.893112,14.432491",1143,153,134
1506193046,2017-09-23T18:57:26Z,,"35.897209,14.427386",1228,156,135
1506193040,2017-09-23T18:57:20Z,,"35.901344,14.422337",1399,160,135
1506193033,2017-09-23T18:57:13Z,,"35.903263,14.420001",1400,160,135
1506193027,2017-09-23T18:57:07Z,,"35.907562,14.414799",1522,160,135
1506193020,2017-09-23T18:57:00Z,,"35.911228,14.410308",1623,160,136
1506193010,2017-09-23T18:56:50Z,,"35.915646,14.405102",1722,161,136
1506193002,2017-09-23T18:56:42Z,,"35.919716,14.40029",1800,163,138
1506192990,2017-09-23T18:56:30Z,,"35.944054,14.37328",2652,173,144
1506192956,2017-09-23T18:55:56Z,,"35.947044,14.37047",2700,173,144
1506192946,2017-09-23T18:55:46Z,,"35.951855,14.366225",2800,175,147
1506192940,2017-09-23T18:55:40Z,,"35.956959,14.362191",2899,179,149
1506192934,2017-09-23T18:55:34Z,,"35.959599,14.360439",2900,185,143
1506192927,2017-09-23T18:55:27Z,,"35.968105,14.353989",2900,196,138
1506192916,2017-09-23T18:55:16Z,,"35.975117,14.347126",2900,196,138
1506192909,2017-09-23T18:55:09Z,,"35.978634,14.345101",2900,200,132
1506192901,2017-09-23T18:55:01Z,,"35.98037,14.341822",2899,200,132
1506192895,2017-09-23T18:54:55Z,,"35.986034,14.33433",2999,188,132
1506192889,2017-09-23T18:54:49Z,,"35.990913,14.327333",3000,174,138
1506192883,2017-09-23T18:54:43Z,,"36.001579,14.31388",2900,174,138
1506192864,2017-09-23T18:54:24Z,,"36.006721,14.307771",2900,177,147
1506192851,2017-09-23T18:54:11Z,,"36.012352,14.303537",2900,175,146
1506192845,2017-09-23T18:54:05Z,,"36.015469,14.300773",2900,166,131
1506192839,2017-09-23T18:53:59Z,,"36.021893,14.294007",2900,170,140
1506192827,2017-09-23T18:53:47Z,,"36.026894,14.289474",2900,164,133
1506192821,2017-09-23T18:53:41Z,,"36.03199,14.284073",3000,161,118
1506192815,2017-09-23T18:53:35Z,,"36.034767,14.277152",2900,163,124
1506192806,2017-09-23T18:53:26Z,,"36.036518,14.274194",2900,165,124
1506192784,2017-09-23T18:53:04Z,,"36.044258,14.236631",2900,183,78
1506192758,2017-09-23T18:52:38Z,,"36.043041,14.228311",2900,185,76
1506192748,2017-09-23T18:52:28Z,,"36.041183,14.216068",2899,185,76
1506192736,2017-09-23T18:52:16Z,,"36.04044,14.211517",2900,185,76
1506192730,2017-09-23T18:52:10Z,,"36.03891,14.203295",2900,189,76
1506192721,2017-09-23T18:52:01Z,,"36.037441,14.195247",3000,196,75
1506192715,2017-09-23T18:51:55Z,,"36.035816,14.187152",3100,201,73
1506192706,2017-09-23T18:51:46Z,,"36.034019,14.179773",3100,215,73
1506192700,2017-09-23T18:51:40Z,,"36.032063,14.16646",3200,215,73
1506192691,2017-09-23T18:51:31Z,,"36.030987,14.161506",3299,225,72
1506192685,2017-09-23T18:51:25Z,,"36.030067,14.157519",3379,225,72
1506192678,2017-09-23T18:51:18Z,,"36.027851,14.148373",3600,235,71
1506192672,2017-09-23T18:51:12Z,,"36.025028,14.138109",3700,246,72
1506192665,2017-09-23T18:51:05Z,,"36.023174,14.129683",3900,270,66
1506192659,2017-09-23T18:50:59Z,,"36.021343,14.115571",4000,270,66
1506192644,2017-09-23T18:50:44Z,,"36.017681,14.099923",3900,270,66
1506192622,2017-09-23T18:50:22Z,,"36.008358,14.042085",3899,224,104
1506192579,2017-09-23T18:49:39Z,,"36.006775,14.010779",3900,224,104
1506192554,2017-09-23T18:49:14Z,,"36.00946,13.990949",4000,224,104
1506192543,2017-09-23T18:49:03Z,,"36.01096,13.977219",4200,204,130
1506192536,2017-09-23T18:48:56Z,,"36.016689,13.958914",4300,204,130
1506192524,2017-09-23T18:48:44Z,,"36.02243,13.950395",4400,207,135
1506192515,2017-09-23T18:48:35Z,,"36.028088,13.943664",4500,206,135
1506192503,2017-09-23T18:48:23Z,,"36.033295,13.9359",4666,198,155
1506192496,2017-09-23T18:48:16Z,,"36.039101,13.929904",4799,198,155
1506192484,2017-09-23T18:48:04Z,,"36.054272,13.917309",5100,198,155
