Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1496132031,2017-05-30T08:13:51Z,VDA3048,"35.749466,140.391586",0,10,149
1496132006,2017-05-30T08:13:26Z,VDA3048,"35.749187,140.391022",0,16,149
1496131760,2017-05-30T08:09:20Z,VDA3048,"35.782471,140.362564",500,135,148
1496131745,2017-05-30T08:09:05Z,VDA3048,"35.791458,140.356064",700,133,147
1496131725,2017-05-30T08:08:45Z,VDA3048,"35.802292,140.348053",900,136,149
1496131701,2017-05-30T08:08:21Z,VDA3048,"35.815979,140.338333",1225,137,149
1496131685,2017-05-30T08:08:05Z,VDA3048,"35.824539,140.331924",1375,136,150
1496131665,2017-05-30T08:07:45Z,VDA3048,"35.834656,140.324829",1600,137,148
1496131656,2017-05-30T08:07:36Z,VDA3048,"35.84066,140.320358",1725,137,148
1496131641,2017-05-30T08:07:21Z,VDA3048,"35.848389,140.314575",1875,136,150
1496131635,2017-05-30T08:07:15Z,VDA3048,"35.851879,140.31218",1925,134,150
1496131629,2017-05-30T08:07:09Z,VDA3048,"35.854385,140.310394",1975,133,149
1496131623,2017-05-30T08:07:03Z,VDA3048,"35.8577,140.307968",2050,134,149
1496131617,2017-05-30T08:06:57Z,VDA3048,"35.860958,140.305573",2100,137,149
1496131611,2017-05-30T08:06:51Z,VDA3048,"35.864262,140.303177",2200,138,149
1496131605,2017-05-30T08:06:45Z,VDA3048,"35.867615,140.300735",2300,139,149
1496131599,2017-05-30T08:06:39Z,VDA3048,"35.871231,140.298096",2400,140,149
1496131593,2017-05-30T08:06:33Z,VDA3048,"35.874599,140.2957",2500,140,150
1496131587,2017-05-30T08:06:27Z,VDA3048,"35.877594,140.293579",2575,142,150
1496131580,2017-05-30T08:06:20Z,VDA3048,"35.881302,140.291",2650,143,151
1496131574,2017-05-30T08:06:14Z,VDA3048,"35.884872,140.288605",2800,139,150
1496131561,2017-05-30T08:06:01Z,VDA3048,"35.893204,140.282303",2875,131,146
1496131554,2017-05-30T08:05:54Z,VDA3048,"35.895813,140.280075",2900,136,145
1496131548,2017-05-30T08:05:48Z,VDA3048,"35.898376,140.277893",2925,142,144
1496131540,2017-05-30T08:05:40Z,VDA3048,"35.903732,140.27327",2950,152,146
