Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1496400187,2017-06-02T10:43:07Z,VDA2118,"30.917038,28.471338",25,142,310
1496400181,2017-06-02T10:43:01Z,VDA2118,"30.914549,28.474751",25,146,310
1496400174,2017-06-02T10:42:54Z,VDA2118,"30.912594,28.477386",100,147,311
1496400168,2017-06-02T10:42:48Z,VDA2118,"30.909439,28.481625",200,147,310
1496400156,2017-06-02T10:42:36Z,VDA2118,"30.903625,28.48938",375,150,310
1496400150,2017-06-02T10:42:30Z,VDA2118,"30.901701,28.491999",425,149,310
1496400144,2017-06-02T10:42:24Z,VDA2118,"30.898815,28.495899",525,149,310
1496400138,2017-06-02T10:42:18Z,VDA2118,"30.895065,28.501013",625,150,309
1496400132,2017-06-02T10:42:12Z,VDA2118,"30.893089,28.503809",700,149,310
1496400126,2017-06-02T10:42:06Z,VDA2118,"30.890762,28.506882",750,150,311
1496400120,2017-06-02T10:42:00Z,VDA2118,"30.887968,28.510509",800,151,311
1496400112,2017-06-02T10:41:52Z,VDA2118,"30.883406,28.516718",875,150,310
1496400048,2017-06-02T10:40:48Z,VDA2118,"30.854078,28.556873",2000,160,310
1496399806,2017-06-02T10:36:46Z,VDA2118,"30.865019,28.78297",6250,264,248
1496399794,2017-06-02T10:36:34Z,VDA2118,"30.870651,28.798847",6450,265,246
1496399773,2017-06-02T10:36:13Z,VDA2118,"30.88092,28.826078",6725,269,246
1496399761,2017-06-02T10:36:01Z,VDA2118,"30.887177,28.842793",6950,267,246
1496399749,2017-06-02T10:35:49Z,VDA2118,"30.893276,28.859161",7200,266,246
1496399737,2017-06-02T10:35:37Z,VDA2118,"30.899139,28.874763",7425,265,246
1496399695,2017-06-02T10:34:55Z,VDA2118,"30.919809,28.929638",8100,267,246
1496399640,2017-06-02T10:34:00Z,VDA2118,"30.947433,29.002398",8975,272,246
1496399632,2017-06-02T10:33:52Z,VDA2118,"30.951691,29.013708",9125,272,246
1496399620,2017-06-02T10:33:40Z,VDA2118,"30.958261,29.031591",9375,271,247
1496399589,2017-06-02T10:33:09Z,VDA2118,"30.973022,29.070793",9775,276,246
1496399571,2017-06-02T10:32:51Z,VDA2118,"30.982098,29.095203",10125,276,246
1496399357,2017-06-02T10:29:17Z,VDA2118,"31.117081,29.457254",14275,377,246
1496399324,2017-06-02T10:28:44Z,VDA2118,"31.138641,29.515579",15350,380,246
1496399291,2017-06-02T10:28:11Z,VDA2118,"31.161509,29.577723",16950,381,246
1496399258,2017-06-02T10:27:38Z,VDA2118,"31.185904,29.642925",17975,392,246
1496399252,2017-06-02T10:27:32Z,VDA2118,"31.189819,29.653069",18075,392,244
1496399246,2017-06-02T10:27:26Z,VDA2118,"31.194468,29.664295",18150,394,244
1496399240,2017-06-02T10:27:20Z,VDA2118,"31.199295,29.676334",18200,393,246
1496399234,2017-06-02T10:27:14Z,VDA2118,"31.203407,29.688244",18325,390,251
1496399195,2017-06-02T10:26:35Z,VDA2118,"31.216068,29.769764",19300,392,261
1496399188,2017-06-02T10:26:28Z,VDA2118,"31.217651,29.782232",19475,393,261
1496399167,2017-06-02T10:26:07Z,VDA2118,"31.221313,29.826803",20225,394,271
1496399161,2017-06-02T10:26:01Z,VDA2118,"31.220673,29.839621",20475,396,276
1496399155,2017-06-02T10:25:55Z,VDA2118,"31.21907,29.852169",20675,398,281
1496399149,2017-06-02T10:25:49Z,VDA2118,"31.216003,29.86574",20925,400,288
1496399143,2017-06-02T10:25:43Z,VDA2118,"31.21188,29.877924",21125,400,295
1496399107,2017-06-02T10:25:07Z,VDA2118,"31.173195,29.940765",22325,404,307
1496399044,2017-06-02T10:24:04Z,VDA2118,"31.09758,30.052401",24325,418,308
1496398983,2017-06-02T10:23:03Z,VDA2118,"31.024796,30.159517",26150,428,308
1496398920,2017-06-02T10:22:00Z,VDA2118,"30.945786,30.275843",27375,439,308
1496398857,2017-06-02T10:20:57Z,VDA2118,"30.86553,30.393402",28000,442,308
1496398794,2017-06-02T10:19:54Z,VDA2118,"30.784653,30.511618",27975,443,308
1496398731,2017-06-02T10:18:51Z,VDA2118,"30.703812,30.629505",28000,443,308
1496398668,2017-06-02T10:17:48Z,VDA2118,"30.62248,30.747711",28000,444,308
1496398604,2017-06-02T10:16:44Z,VDA2118,"30.540802,30.866035",28025,444,308
1496398541,2017-06-02T10:15:41Z,VDA2118,"30.459688,30.983587",28025,445,307
1496398535,2017-06-02T10:15:35Z,VDA2118,"30.452454,30.99464",28050,445,306
1496398514,2017-06-02T10:15:14Z,VDA2118,"30.42347,31.032532",28025,445,317
1496398451,2017-06-02T10:14:11Z,VDA2118,"30.327621,31.135416",28050,447,316
1496398387,2017-06-02T10:13:07Z,VDA2118,"30.2314,31.238171",28000,447,317
1496398324,2017-06-02T10:12:04Z,VDA2118,"30.134474,31.341303",28025,444,318
1496398318,2017-06-02T10:11:58Z,VDA2118,"30.125723,31.349926",28050,444,320
1496398312,2017-06-02T10:11:52Z,VDA2118,"30.116226,31.358858",28025,445,320
1496398306,2017-06-02T10:11:46Z,VDA2118,"30.106171,31.368769",28000,446,316
1496398258,2017-06-02T10:10:58Z,VDA2118,"30.045364,31.458757",28025,446,306
1496398195,2017-06-02T10:09:55Z,VDA2118,"29.967041,31.580469",28025,445,306
1496398131,2017-06-02T10:08:51Z,VDA2118,"29.889284,31.70105",28025,443,306
1496398068,2017-06-02T10:07:48Z,VDA2118,"29.81282,31.821636",27975,444,304
1496398062,2017-06-02T10:07:42Z,VDA2118,"29.805815,31.833694",28000,444,303
1496398056,2017-06-02T10:07:36Z,VDA2118,"29.799158,31.845434",28050,443,302
1496398050,2017-06-02T10:07:30Z,VDA2118,"29.792725,31.857023",28050,442,302
1496398044,2017-06-02T10:07:24Z,VDA2118,"29.785538,31.870598",27975,444,298
1496398038,2017-06-02T10:07:18Z,VDA2118,"29.780258,31.882002",27950,445,294
1496398020,2017-06-02T10:07:00Z,VDA2118,"29.768526,31.922607",28000,447,284
1496397959,2017-06-02T10:05:59Z,VDA2118,"29.737383,32.061928",28000,446,284
1496397896,2017-06-02T10:04:56Z,VDA2118,"29.704611,32.206905",28000,446,284
1496397833,2017-06-02T10:03:53Z,VDA2118,"29.672241,32.352516",28025,446,284
1496397772,2017-06-02T10:02:52Z,VDA2118,"29.641346,32.492172",28050,448,284
1496397709,2017-06-02T10:01:49Z,VDA2118,"29.610168,32.638954",28050,451,282
1496397646,2017-06-02T10:00:46Z,VDA2118,"29.573751,32.783474",28050,449,287
1496397583,2017-06-02T09:59:43Z,VDA2118,"29.534317,32.927662",28025,446,287
1496397460,2017-06-02T09:57:40Z,VDA2118,"29.456347,33.209892",27975,443,287
1496397391,2017-06-02T09:56:31Z,VDA2118,"29.413519,33.363972",28025,440,287
1496397381,2017-06-02T09:56:21Z,VDA2118,"29.408661,33.381325",28025,439,287
1496397320,2017-06-02T09:55:20Z,VDA2118,"29.370987,33.515961",28000,441,287
1496397257,2017-06-02T09:54:17Z,VDA2118,"29.329865,33.66227",28050,444,287
1496397191,2017-06-02T09:53:11Z,VDA2118,"29.289412,33.805847",28025,445,287
1496397127,2017-06-02T09:52:07Z,VDA2118,"29.249144,33.948616",28025,446,287
1496397066,2017-06-02T09:51:06Z,VDA2118,"29.210178,34.086212",28050,445,287
1496397003,2017-06-02T09:50:03Z,VDA2118,"29.170258,34.226162",28025,443,288
1496396942,2017-06-02T09:49:02Z,VDA2118,"29.131413,34.36195",28000,440,288
1496396879,2017-06-02T09:47:59Z,VDA2118,"29.091156,34.502617",28000,443,287
1496396815,2017-06-02T09:46:55Z,VDA2118,"29.052795,34.644909",28025,443,285
1496396809,2017-06-02T09:46:49Z,VDA2118,"29.048876,34.661652",28025,444,283
1496396731,2017-06-02T09:45:31Z,VDA2118,"29.047073,34.84314",28050,447,267
1496396670,2017-06-02T09:44:30Z,VDA2118,"29.052521,34.987175",28050,450,267
1496396609,2017-06-02T09:43:29Z,VDA2118,"29.057907,35.131802",28050,448,267
1496396548,2017-06-02T09:42:28Z,VDA2118,"29.063187,35.2752",28050,448,267
1496396485,2017-06-02T09:41:25Z,VDA2118,"29.068314,35.425415",28025,446,267
1496396424,2017-06-02T09:40:24Z,VDA2118,"29.07312,35.567181",28025,445,267
1496396361,2017-06-02T09:39:21Z,VDA2118,"29.078018,35.716824",28025,444,268
1496396297,2017-06-02T09:38:17Z,VDA2118,"29.081406,35.866505",28025,440,268
1496396234,2017-06-02T09:37:14Z,VDA2118,"29.084518,36.01218",27975,437,268
1496396173,2017-06-02T09:36:13Z,VDA2118,"29.087095,36.151859",28000,431,268
1496396112,2017-06-02T09:35:12Z,VDA2118,"29.089691,36.289478",27975,428,268
1496396051,2017-06-02T09:34:11Z,VDA2118,"29.091984,36.426086",27950,423,269
1496395985,2017-06-02T09:33:05Z,VDA2118,"29.094498,36.57486",27950,420,268
1496395924,2017-06-02T09:32:04Z,VDA2118,"29.096498,36.707531",27975,414,268
1496395861,2017-06-02T09:31:01Z,VDA2118,"29.098526,36.846664",27950,410,269
1496395797,2017-06-02T09:29:57Z,VDA2118,"29.100266,36.983784",27950,407,269
1496395736,2017-06-02T09:28:56Z,VDA2118,"29.101946,37.113972",27975,405,269
1496395673,2017-06-02T09:27:53Z,VDA2118,"29.103653,37.253372",27975,402,269
1496395585,2017-06-02T09:26:25Z,VDA2118,"29.105484,37.439682",27975,398,269
1496394117,2017-06-02T09:01:57Z,VDA2118,"29.123932,40.516045",27950,391,267
1496394041,2017-06-02T09:00:41Z,VDA2118,"29.120407,40.672234",27975,391,273
1496393980,2017-06-02T08:59:40Z,VDA2118,"29.113495,40.798576",28000,390,273
1496393919,2017-06-02T08:58:39Z,VDA2118,"29.106926,40.924343",27975,390,273
1496393858,2017-06-02T08:57:38Z,VDA2118,"29.100311,41.049889",27975,389,273
1496393797,2017-06-02T08:56:37Z,VDA2118,"29.093628,41.173904",27975,389,273
1496393736,2017-06-02T08:55:36Z,VDA2118,"29.08667,41.299458",27975,390,273
1496393675,2017-06-02T08:54:35Z,VDA2118,"29.07962,41.42527",28025,389,273
1496393614,2017-06-02T08:53:34Z,VDA2118,"29.072384,41.551262",27975,386,273
1496393553,2017-06-02T08:52:33Z,VDA2118,"29.065168,41.67556",27950,384,273
1496393492,2017-06-02T08:51:32Z,VDA2118,"29.057859,41.798508",27975,381,273
1496393431,2017-06-02T08:50:31Z,VDA2118,"29.050552,41.919655",28000,380,273
1496393370,2017-06-02T08:49:30Z,VDA2118,"29.042862,42.043411",28000,377,273
1496393309,2017-06-02T08:48:29Z,VDA2118,"29.036633,42.163589",27950,374,273
1496393246,2017-06-02T08:47:26Z,VDA2118,"29.029266,42.288544",28025,366,273
1496393184,2017-06-02T08:46:24Z,VDA2118,"29.022295,42.40572",27975,363,273
1496393123,2017-06-02T08:45:23Z,VDA2118,"29.015171,42.522045",27975,361,274
1496393062,2017-06-02T08:44:22Z,VDA2118,"29.008049,42.637615",28000,354,273
1496392948,2017-06-02T08:42:28Z,VDA2118,"28.994503,42.852119",27975,344,273
1496392933,2017-06-02T08:42:13Z,VDA2118,"28.992966,42.876682",27950,344,274
1496392872,2017-06-02T08:41:12Z,VDA2118,"28.986053,42.984856",28075,333,273
1496392811,2017-06-02T08:40:11Z,VDA2118,"28.978954,43.094574",27775,337,274
1496392750,2017-06-02T08:39:10Z,VDA2118,"28.971725,43.203735",26900,355,274
1496392689,2017-06-02T08:38:09Z,VDA2118,"28.963852,43.320255",26150,371,274
1496392619,2017-06-02T08:36:59Z,VDA2118,"28.954514,43.45755",25950,376,274
1496392558,2017-06-02T08:35:58Z,VDA2118,"28.946136,43.577957",25925,377,274
1496392497,2017-06-02T08:34:57Z,VDA2118,"28.937662,43.69828",25925,378,274
1496392434,2017-06-02T08:33:54Z,VDA2118,"28.92865,43.825996",25950,379,274
