Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1497142714,2017-06-11T00:58:34Z,VDA1012,"45.67812,-74.025375",0,4,225
1497142690,2017-06-11T00:58:10Z,VDA1012,"45.678566,-74.025375",0,7,225
1497142666,2017-06-11T00:57:46Z,VDA1012,"45.678841,-74.025444",0,2,225
1497142647,2017-06-11T00:57:27Z,VDA1012,"45.679115,-74.025375",0,6,225
1497142635,2017-06-11T00:57:15Z,VDA1012,"45.678955,-74.024788",0,10,225
1497142628,2017-06-11T00:57:08Z,VDA1012,"45.678791,-74.02449",0,10,225
1497142622,2017-06-11T00:57:02Z,VDA1012,"45.678593,-74.024178",0,10,225
1497142615,2017-06-11T00:56:55Z,VDA1012,"45.678288,-74.024094",0,12,225
1497142605,2017-06-11T00:56:45Z,VDA1012,"45.677662,-74.024834",0,13,225
1497142593,2017-06-11T00:56:33Z,VDA1012,"45.677288,-74.025383",0,13,225
1497142581,2017-06-11T00:56:21Z,VDA1012,"45.676952,-74.025932",0,12,225
1497142575,2017-06-11T00:56:15Z,VDA1012,"45.676708,-74.026276",0,10,225
1497142563,2017-06-11T00:56:03Z,VDA1012,"45.676289,-74.026329",0,10,225
1497142556,2017-06-11T00:55:56Z,VDA1012,"45.676022,-74.026169",0,11,225
1497142539,2017-06-11T00:55:39Z,VDA1012,"45.675316,-74.025726",0,9,225
1497142527,2017-06-11T00:55:27Z,VDA1012,"45.674858,-74.025444",0,9,225
1497142510,2017-06-11T00:55:10Z,VDA1012,"45.674709,-74.024658",0,9,225
1497142503,2017-06-11T00:55:03Z,VDA1012,"45.674927,-74.024323",0,12,225
1497142497,2017-06-11T00:54:57Z,VDA1012,"45.675167,-74.023972",0,15,225
1497142485,2017-06-11T00:54:45Z,VDA1012,"45.675835,-74.023026",0,16,225
1497142473,2017-06-11T00:54:33Z,VDA1012,"45.676575,-74.02198",0,19,225
1497142461,2017-06-11T00:54:21Z,VDA1012,"45.677353,-74.020874",0,22,225
