Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1497565245,2017-06-15T22:20:45Z,VDA4910,"40.002151,53.024326",1475,104,347
1497565238,2017-06-15T22:20:38Z,VDA4910,"39.999081,53.025326",1575,108,346
1497565232,2017-06-15T22:20:32Z,VDA4910,"39.996334,53.026199",1650,110,345
1497565226,2017-06-15T22:20:26Z,VDA4910,"39.993073,53.027283",1750,112,345
1497565220,2017-06-15T22:20:20Z,VDA4910,"39.98996,53.02832",1825,113,346
1497565214,2017-06-15T22:20:14Z,VDA4910,"39.987022,53.029259",1950,108,346
1497565195,2017-06-15T22:19:55Z,VDA4910,"39.977234,53.032288",2075,112,346
1497565189,2017-06-15T22:19:49Z,VDA4910,"39.975105,53.03294",2075,115,347
1497565183,2017-06-15T22:19:43Z,VDA4910,"39.97197,53.033936",2100,119,345
1497565177,2017-06-15T22:19:37Z,VDA4910,"39.968636,53.035065",2100,119,344
1497565171,2017-06-15T22:19:31Z,VDA4910,"39.965149,53.036377",2075,118,343
1497565162,2017-06-15T22:19:22Z,VDA4910,"39.960442,53.038311",2075,119,340
1497565153,2017-06-15T22:19:13Z,VDA4910,"39.95549,53.040894",2100,127,334
1497565147,2017-06-15T22:19:07Z,VDA4910,"39.952713,53.042679",2125,133,334
1497565141,2017-06-15T22:19:01Z,VDA4910,"39.948479,53.044926",2150,142,347
1497565135,2017-06-15T22:18:55Z,VDA4910,"39.945099,53.045593",2175,151,358
1497565129,2017-06-15T22:18:49Z,VDA4910,"39.939606,53.044983",2125,173,15
1497565123,2017-06-15T22:18:43Z,VDA4910,"39.935581,53.043179",2125,183,25
1497565117,2017-06-15T22:18:37Z,VDA4910,"39.931549,53.040283",2100,195,35
1497565111,2017-06-15T22:18:31Z,VDA4910,"39.927338,53.035706",2125,203,46
1497565105,2017-06-15T22:18:25Z,VDA4910,"39.923676,53.029846",2150,206,57
1497565099,2017-06-15T22:18:19Z,VDA4910,"39.920731,53.021973",2250,209,71
1497565093,2017-06-15T22:18:13Z,VDA4910,"39.919327,53.015125",2350,213,80
1497565087,2017-06-15T22:18:07Z,VDA4910,"39.918732,53.007599",2450,217,89
1497565081,2017-06-15T22:18:01Z,VDA4910,"39.918869,52.997688",2575,219,91
1497565075,2017-06-15T22:17:55Z,VDA4910,"39.919006,52.991241",2625,220,92
1497565069,2017-06-15T22:17:49Z,VDA4910,"39.919613,52.983704",2700,223,101
1497565060,2017-06-15T22:17:40Z,VDA4910,"39.923294,52.969646",2775,230,116
1497565054,2017-06-15T22:17:34Z,VDA4910,"39.925232,52.964539",2800,231,116
1497564972,2017-06-15T22:16:12Z,VDA4910,"39.963776,52.865051",4400,235,116
1497564852,2017-06-15T22:14:12Z,VDA4910,"40.026127,52.702477",6250,277,116
1497564767,2017-06-15T22:12:47Z,VDA4910,"40.07785,52.567383",7325,300,115
1497564752,2017-06-15T22:12:32Z,VDA4910,"40.087646,52.541565",7625,302,117
1497564740,2017-06-15T22:12:20Z,VDA4910,"40.094463,52.524261",7775,305,116
1497564728,2017-06-15T22:12:08Z,VDA4910,"40.102287,52.503788",7950,308,115
1497564716,2017-06-15T22:11:56Z,VDA4910,"40.109802,52.483765",8125,311,116
1497564704,2017-06-15T22:11:44Z,VDA4910,"40.117928,52.462524",8300,314,116
1497564665,2017-06-15T22:11:05Z,VDA4910,"40.143669,52.394985",8875,321,116
1497564658,2017-06-15T22:10:58Z,VDA4910,"40.147476,52.385071",8975,322,116
1497564646,2017-06-15T22:10:46Z,VDA4910,"40.155495,52.364025",9150,325,116
1497564634,2017-06-15T22:10:34Z,VDA4910,"40.163818,52.342102",9450,324,115
1497564622,2017-06-15T22:10:22Z,VDA4910,"40.171875,52.320557",9700,326,116
1497564610,2017-06-15T22:10:10Z,VDA4910,"40.180073,52.299042",9925,326,116
1497564598,2017-06-15T22:09:58Z,VDA4910,"40.18808,52.278069",10175,327,116
1497564586,2017-06-15T22:09:46Z,VDA4910,"40.196045,52.256836",10250,333,115
1497564574,2017-06-15T22:09:34Z,VDA4910,"40.20433,52.234863",10225,343,116
1497564562,2017-06-15T22:09:22Z,VDA4910,"40.213264,52.211151",10400,349,115
1497564550,2017-06-15T22:09:10Z,VDA4910,"40.221645,52.188679",10525,356,115
1497564538,2017-06-15T22:08:58Z,VDA4910,"40.230396,52.165333",10650,362,116
1497564526,2017-06-15T22:08:46Z,VDA4910,"40.239384,52.141552",10800,369,116
1497564514,2017-06-15T22:08:34Z,VDA4910,"40.248413,52.117393",11200,368,115
1497564501,2017-06-15T22:08:21Z,VDA4910,"40.257351,52.093422",11550,369,116
