Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1500764539,2017-07-22T23:02:19Z,VDA4952,"34.852535,136.811752",0,9,163
1500764521,2017-07-22T23:02:01Z,VDA4952,"34.852718,136.811996",0,13,163
1500764509,2017-07-22T23:01:49Z,VDA4952,"34.852871,136.81221",0,12,163
1500764497,2017-07-22T23:01:37Z,VDA4952,"34.852951,136.812485",0,14,163
1500764483,2017-07-22T23:01:23Z,VDA4952,"34.853245,136.812668",0,17,163
1500764437,2017-07-22T23:00:37Z,VDA4952,"34.853241,136.811035",0,17,163
1500764363,2017-07-22T22:59:23Z,VDA4952,"34.850933,136.81076",0,22,163
1500764314,2017-07-22T22:58:34Z,VDA4952,"34.84956,136.810349",0,19,163
1500764308,2017-07-22T22:58:28Z,VDA4952,"34.849541,136.810089",0,19,163
1500764302,2017-07-22T22:58:22Z,VDA4952,"34.849571,136.809784",0,20,163
1500764236,2017-07-22T22:57:16Z,VDA4952,"34.850945,136.808228",0,25,163
1500764230,2017-07-22T22:57:10Z,VDA4952,"34.85117,136.808014",0,25,163
1500764223,2017-07-22T22:57:03Z,VDA4952,"34.851379,136.807831",0,24,163
1500764211,2017-07-22T22:56:51Z,VDA4952,"34.851753,136.807419",0,23,163
1500764205,2017-07-22T22:56:45Z,VDA4952,"34.851963,136.807098",0,26,163
1500764199,2017-07-22T22:56:39Z,VDA4952,"34.852295,136.806808",0,20,163
1500764193,2017-07-22T22:56:33Z,VDA4952,"34.853054,136.80661",0,46,171
1500764126,2017-07-22T22:55:26Z,VDA4952,"34.892902,136.797058",525,143,169
1500764120,2017-07-22T22:55:20Z,VDA4952,"34.897327,136.796036",575,143,169
1500764114,2017-07-22T22:55:14Z,VDA4952,"34.899857,136.795425",625,144,169
1500764086,2017-07-22T22:54:46Z,VDA4952,"34.918415,136.790894",1050,151,168
1500764080,2017-07-22T22:54:40Z,VDA4952,"34.922836,136.789856",1125,151,170
1500764074,2017-07-22T22:54:34Z,VDA4952,"34.926468,136.789062",1175,150,169
1500764068,2017-07-22T22:54:28Z,VDA4952,"34.930565,136.788193",1250,149,169
