Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1500877027,2017-07-24T06:17:07Z,VDA4952,"29.999886,-95.311661",0,9,90
1500876990,2017-07-24T06:16:30Z,VDA4952,"30.000135,-95.311668",0,2,90
1500876969,2017-07-24T06:16:09Z,VDA4952,"30.000389,-95.311676",0,16,90
1500876959,2017-07-24T06:15:59Z,VDA4952,"30.000687,-95.311699",0,19,90
1500876948,2017-07-24T06:15:48Z,VDA4952,"30.000858,-95.311981",0,17,90
1500876938,2017-07-24T06:15:38Z,VDA4952,"30.00087,-95.312363",0,17,90
1500876892,2017-07-24T06:14:52Z,VDA4952,"30.000893,-95.313965",0,17,90
1500876845,2017-07-24T06:14:05Z,VDA4952,"30.000893,-95.315872",0,24,90
1500876539,2017-07-24T06:08:59Z,VDA4952,"29.994282,-95.325226",0,24,90
1500876409,2017-07-24T06:06:49Z,VDA4952,"29.993422,-95.355942",150,153,90
1500876389,2017-07-24T06:06:29Z,VDA4952,"29.993422,-95.360123",225,155,90
1500876383,2017-07-24T06:06:23Z,VDA4952,"29.993467,-95.365067",300,157,90
1500876371,2017-07-24T06:06:11Z,VDA4952,"29.993467,-95.375282",425,161,90
1500876365,2017-07-24T06:06:05Z,VDA4952,"29.993454,-95.380341",500,162,89
1500876359,2017-07-24T06:05:59Z,VDA4952,"29.993362,-95.385941",600,164,89
1500876353,2017-07-24T06:05:53Z,VDA4952,"29.993317,-95.391052",675,164,89
1500876329,2017-07-24T06:05:29Z,VDA4952,"29.993179,-95.412277",1000,165,89
1500876307,2017-07-24T06:05:07Z,VDA4952,"29.993042,-95.431015",1300,167,90
1500876301,2017-07-24T06:05:01Z,VDA4952,"29.993088,-95.436241",1375,170,90
1500876295,2017-07-24T06:04:55Z,VDA4952,"29.993134,-95.441788",1450,172,91
1500876289,2017-07-24T06:04:49Z,VDA4952,"29.993235,-95.447296",1500,169,91
1500876283,2017-07-24T06:04:43Z,VDA4952,"29.993328,-95.452843",1575,166,90
1500876277,2017-07-24T06:04:37Z,VDA4952,"29.993362,-95.458374",1675,165,90
1500876271,2017-07-24T06:04:31Z,VDA4952,"29.993317,-95.4636",1750,168,89
1500876250,2017-07-24T06:04:10Z,VDA4952,"29.993042,-95.4832",2075,176,90
1500876244,2017-07-24T06:04:04Z,VDA4952,"29.993088,-95.488907",2150,175,90
