Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504081444,2017-08-30T08:24:04Z,VDA4899,"51.887821,0.23899",0,54,42
1504081395,2017-08-30T08:23:15Z,VDA4899,"51.869568,0.211784",600,132,42
1504081389,2017-08-30T08:23:09Z,VDA4899,"51.869061,0.211029",625,132,42
1504081383,2017-08-30T08:23:03Z,VDA4899,"51.865898,0.206299",700,127,42
1504081377,2017-08-30T08:22:57Z,VDA4899,"51.86385,0.203323",750,127,42
1504081371,2017-08-30T08:22:51Z,VDA4899,"51.860962,0.199016",825,125,43
1504081365,2017-08-30T08:22:45Z,VDA4899,"51.858444,0.195304",900,125,43
1504081359,2017-08-30T08:22:39Z,VDA4899,"51.855103,0.190182",975,128,43
1504081342,2017-08-30T08:22:22Z,VDA4899,"51.84819,0.179716",1150,120,43
1504081333,2017-08-30T08:22:13Z,VDA4899,"51.844994,0.174866",1225,118,42
1504081321,2017-08-30T08:22:01Z,VDA4899,"51.839401,0.166428",1350,119,43
1504081315,2017-08-30T08:21:55Z,VDA4899,"51.837082,0.162888",1400,119,43
1504081309,2017-08-30T08:21:49Z,VDA4899,"51.835171,0.159988",1450,121,43
1504081300,2017-08-30T08:21:40Z,VDA4899,"51.831402,0.154419",1550,123,42
1504081294,2017-08-30T08:21:34Z,VDA4899,"51.828979,0.150909",1600,123,42
1504081288,2017-08-30T08:21:28Z,VDA4899,"51.826218,0.146831",1675,122,42
1504081282,2017-08-30T08:21:22Z,VDA4899,"51.823517,0.142822",1750,122,42
1504081273,2017-08-30T08:21:13Z,VDA4899,"51.819717,0.137253",1850,123,42
1504081267,2017-08-30T08:21:07Z,VDA4899,"51.817528,0.134048",1900,122,43
1504081261,2017-08-30T08:21:01Z,VDA4899,"51.813992,0.128708",2000,121,43
1504081252,2017-08-30T08:20:52Z,VDA4899,"51.81134,0.124561",2100,121,44
1504081246,2017-08-30T08:20:46Z,VDA4899,"51.808357,0.119934",2250,118,46
1504081240,2017-08-30T08:20:40Z,VDA4899,"51.806496,0.116882",2325,118,44
1504081234,2017-08-30T08:20:34Z,VDA4899,"51.804123,0.112991",2375,124,43
1504081228,2017-08-30T08:20:28Z,VDA4899,"51.801514,0.108871",2425,127,44
1504081222,2017-08-30T08:20:22Z,VDA4899,"51.799072,0.105038",2525,128,43
1504081216,2017-08-30T08:20:16Z,VDA4899,"51.796555,0.101252",2525,129,42
1504081210,2017-08-30T08:20:10Z,VDA4899,"51.793789,0.097275",2500,131,40
1504081204,2017-08-30T08:20:04Z,VDA4899,"51.79118,0.093689",2500,127,39
1504081198,2017-08-30T08:19:58Z,VDA4899,"51.788433,0.090027",2500,125,37
1504081192,2017-08-30T08:19:52Z,VDA4899,"51.785454,0.086517",2500,128,35
1504081186,2017-08-30T08:19:46Z,VDA4899,"51.782501,0.083288",2525,134,32
1504081180,2017-08-30T08:19:40Z,VDA4899,"51.778797,0.079422",2550,141,31
1504081171,2017-08-30T08:19:31Z,VDA4899,"51.773987,0.0749",2575,146,29
1504081165,2017-08-30T08:19:25Z,VDA4899,"51.77037,0.071708",2550,149,27
1504081159,2017-08-30T08:19:19Z,VDA4899,"51.76646,0.068359",2475,166,29
1504081153,2017-08-30T08:19:13Z,VDA4899,"51.762726,0.064879",2400,178,32
1504081144,2017-08-30T08:19:04Z,VDA4899,"51.756405,0.056915",2425,193,46
1504081138,2017-08-30T08:18:58Z,VDA4899,"51.753067,0.050626",2425,204,55
1504081117,2017-08-30T08:18:37Z,VDA4899,"51.746677,0.019455",2475,206,90
1504081111,2017-08-30T08:18:31Z,VDA4899,"51.747189,0.010223",2400,204,102
1504081105,2017-08-30T08:18:25Z,VDA4899,"51.749237,0.000687",2475,202,117
1504081099,2017-08-30T08:18:19Z,VDA4899,"51.752106,-0.006532",2600,203,129
1504081093,2017-08-30T08:18:13Z,VDA4899,"51.756172,-0.013428",2750,208,140
