Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504377521,2017-09-02T18:38:41Z,VDA8298,"-23.005533,-47.141735",0,19,309
1504377509,2017-09-02T18:38:29Z,VDA8298,"-23.005615,-47.14138",0,19,309
1504377501,2017-09-02T18:38:21Z,VDA8298,"-23.005886,-47.140999",0,31,309
1504377494,2017-09-02T18:38:14Z,VDA8298,"-23.006128,-47.140667",0,33,309
1504377488,2017-09-02T18:38:08Z,VDA8298,"-23.006336,-47.140362",0,31,309
1504377482,2017-09-02T18:38:02Z,VDA8298,"-23.006584,-47.139938",0,15,309
1504377473,2017-09-02T18:37:53Z,VDA8298,"-23.006826,-47.139359",0,15,309
1504377467,2017-09-02T18:37:47Z,VDA8298,"-23.006943,-47.138912",0,33,309
1504377461,2017-09-02T18:37:41Z,VDA8298,"-23.007,-47.13847",0,30,309
1504377455,2017-09-02T18:37:35Z,VDA8298,"-23.007048,-47.138111",0,28,309
1504377449,2017-09-02T18:37:29Z,VDA8298,"-23.007093,-47.137756",0,28,309
1504377442,2017-09-02T18:37:22Z,VDA8298,"-23.007328,-47.13739",0,15,309
1504377436,2017-09-02T18:37:16Z,VDA8298,"-23.007582,-47.137043",0,17,306
1504377430,2017-09-02T18:37:10Z,VDA8298,"-23.007866,-47.136654",0,16,306
1504377424,2017-09-02T18:37:04Z,VDA8298,"-23.008152,-47.136242",0,17,306
1504377418,2017-09-02T18:36:58Z,VDA8298,"-23.008455,-47.135811",0,16,306
1504377412,2017-09-02T18:36:52Z,VDA8298,"-23.008793,-47.135353",0,15,306
1504377406,2017-09-02T18:36:46Z,VDA8298,"-23.009003,-47.135059",0,16,306
1504377394,2017-09-02T18:36:34Z,VDA8298,"-23.009628,-47.134182",0,18,306
1504377388,2017-09-02T18:36:28Z,VDA8298,"-23.00996,-47.133709",0,19,306
1504377382,2017-09-02T18:36:22Z,VDA8298,"-23.010281,-47.13327",0,18,309
1504377376,2017-09-02T18:36:16Z,VDA8298,"-23.01059,-47.132847",0,17,306
1504377370,2017-09-02T18:36:10Z,VDA8298,"-23.010864,-47.132446",0,16,306
1504377364,2017-09-02T18:36:04Z,VDA8298,"-23.011185,-47.132023",0,17,309
1504377358,2017-09-02T18:35:58Z,VDA8298,"-23.011469,-47.131603",0,17,306
1504377351,2017-09-02T18:35:51Z,VDA8298,"-23.01178,-47.131172",0,18,309
1504377345,2017-09-02T18:35:45Z,VDA8298,"-23.012087,-47.130764",0,17,306
