Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505115369,2017-09-11T07:36:09Z,VDA7162,"16.267424,-61.5215",0,15,101
1505115357,2017-09-11T07:35:57Z,VDA7162,"16.267056,-61.521572",0,20,101
1505115349,2017-09-11T07:35:49Z,VDA7162,"16.266691,-61.521648",0,25,101
1505115342,2017-09-11T07:35:42Z,VDA7162,"16.266422,-61.521698",0,25,101
1505115336,2017-09-11T07:35:36Z,VDA7162,"16.266096,-61.52177",0,29,101
1505115330,2017-09-11T07:35:30Z,VDA7162,"16.265759,-61.521832",0,30,101
1505115323,2017-09-11T07:35:23Z,VDA7162,"16.265398,-61.521904",0,32,101
1505115317,2017-09-11T07:35:17Z,VDA7162,"16.265026,-61.521965",0,30,101
1505115309,2017-09-11T07:35:09Z,VDA7162,"16.264479,-61.522076",0,27,101
1505115301,2017-09-11T07:35:01Z,VDA7162,"16.264194,-61.522137",0,24,101
1505115203,2017-09-11T07:33:23Z,VDA7162,"16.267309,-61.542568",400,149,100
1505115197,2017-09-11T07:33:17Z,VDA7162,"16.26763,-61.544331",450,150,100
1505115187,2017-09-11T07:33:07Z,VDA7162,"16.26903,-61.551491",200,149,100
1505115177,2017-09-11T07:32:57Z,VDA7162,"16.27029,-61.558552",350,147,100
1505115171,2017-09-11T07:32:51Z,VDA7162,"16.270981,-61.562031",425,146,101
1505115162,2017-09-11T07:32:42Z,VDA7162,"16.272261,-61.568642",550,145,100
1505115156,2017-09-11T07:32:36Z,VDA7162,"16.272949,-61.572639",1025,145,99
1505115147,2017-09-11T07:32:27Z,VDA7162,"16.27409,-61.579479",1150,145,99
1505115141,2017-09-11T07:32:21Z,VDA7162,"16.274691,-61.582851",1225,144,100
1505115132,2017-09-11T07:32:12Z,VDA7162,"16.276011,-61.589699",1350,142,101
1505115122,2017-09-11T07:32:02Z,VDA7162,"16.277161,-61.59581",1050,145,101
1505115116,2017-09-11T07:31:56Z,VDA7162,"16.277981,-61.599998",1125,143,100
1505115107,2017-09-11T07:31:47Z,VDA7162,"16.279169,-61.606701",1275,143,100
1505115101,2017-09-11T07:31:41Z,VDA7162,"16.279831,-61.610199",1350,143,100
1505115092,2017-09-11T07:31:32Z,VDA7162,"16.28105,-61.616821",1875,144,100
1505115082,2017-09-11T07:31:22Z,VDA7162,"16.28233,-61.62405",2000,145,99
1505115072,2017-09-11T07:31:12Z,VDA7162,"16.283409,-61.630112",2075,143,100
1505115066,2017-09-11T07:31:06Z,VDA7162,"16.284161,-61.634232",2175,141,101
1505115057,2017-09-11T07:30:57Z,VDA7162,"16.28545,-61.640869",1875,143,101
1505115047,2017-09-11T07:30:47Z,VDA7162,"16.28677,-61.64743",1975,144,101
1505115041,2017-09-11T07:30:41Z,VDA7162,"16.287371,-61.65086",2050,145,100
1505115032,2017-09-11T07:30:32Z,VDA7162,"16.288601,-61.657539",2600,147,99
1505115026,2017-09-11T07:30:26Z,VDA7162,"16.28919,-61.661362",2700,148,99
1505115016,2017-09-11T07:30:16Z,VDA7162,"16.29044,-61.66861",2875,147,100
1505115007,2017-09-11T07:30:07Z,VDA7162,"16.2917,-61.675529",2675,148,100
1505115001,2017-09-11T07:30:01Z,VDA7162,"16.29245,-61.679401",2775,148,100
1505114992,2017-09-11T07:29:52Z,VDA7162,"16.293751,-61.686119",2925,148,102
1505114986,2017-09-11T07:29:46Z,VDA7162,"16.294559,-61.689732",3425,148,102
1505114977,2017-09-11T07:29:37Z,VDA7162,"16.296021,-61.696659",3575,149,102
1505114967,2017-09-11T07:29:27Z,VDA7162,"16.297529,-61.70351",3725,148,102
1505114957,2017-09-11T07:29:17Z,VDA7162,"16.29892,-61.71035",3475,147,99
1505114951,2017-09-11T07:29:11Z,VDA7162,"16.2995,-61.714111",3550,145,97
1505114942,2017-09-11T07:29:02Z,VDA7162,"16.30031,-61.720852",3575,141,96
1505114936,2017-09-11T07:28:56Z,VDA7162,"16.30069,-61.724869",3550,140,95
1505114927,2017-09-11T07:28:47Z,VDA7162,"16.301331,-61.731022",3525,140,96
1505114921,2017-09-11T07:28:41Z,VDA7162,"16.30171,-61.734428",3550,139,98
1505114915,2017-09-11T07:28:35Z,VDA7162,"16.302311,-61.738361",3550,140,100
1505114906,2017-09-11T07:28:26Z,VDA7162,"16.303801,-61.745129",3575,145,105
1505114900,2017-09-11T07:28:20Z,VDA7162,"16.30481,-61.748798",3600,148,106
1505114891,2017-09-11T07:28:11Z,VDA7162,"16.30702,-61.755569",3650,153,111
1505114885,2017-09-11T07:28:05Z,VDA7162,"16.308331,-61.759022",3625,160,113
1505114876,2017-09-11T07:27:56Z,VDA7162,"16.31241,-61.766201",3575,183,132
1505114870,2017-09-11T07:27:50Z,VDA7162,"16.315611,-61.769379",3600,191,142
1505114861,2017-09-11T07:27:41Z,VDA7162,"16.32321,-61.774391",3600,195,149
1505114850,2017-09-11T07:27:30Z,VDA7162,"16.331039,-61.779018",3575,193,149
1505114841,2017-09-11T07:27:21Z,VDA7162,"16.33872,-61.78368",3550,191,150
1505114817,2017-09-11T07:26:57Z,VDA7162,"16.358322,-61.789135",3550,208,188
1505114809,2017-09-11T07:26:49Z,VDA7162,"16.366608,-61.786674",3575,214,204
1505114802,2017-09-11T07:26:42Z,VDA7162,"16.37233,-61.783447",3625,216,210
1505114796,2017-09-11T07:26:36Z,VDA7162,"16.377502,-61.78022",3700,217,211
1505114789,2017-09-11T07:26:29Z,VDA7162,"16.383133,-61.776798",3750,217,210
1505114783,2017-09-11T07:26:23Z,VDA7162,"16.388351,-61.773666",3825,216,209
1505114777,2017-09-11T07:26:17Z,VDA7162,"16.394161,-61.770287",3950,216,208
1505114771,2017-09-11T07:26:11Z,VDA7162,"16.399376,-61.767391",4100,215,207
1505114764,2017-09-11T07:26:04Z,VDA7162,"16.405289,-61.764076",4200,215,209
1505114758,2017-09-11T07:25:58Z,VDA7162,"16.410501,-61.760624",4325,218,217
1505114752,2017-09-11T07:25:52Z,VDA7162,"16.414902,-61.756512",4475,220,228
1505114746,2017-09-11T07:25:46Z,VDA7162,"16.418789,-61.751305",4575,222,236
1505114740,2017-09-11T07:25:40Z,VDA7162,"16.422279,-61.745716",4675,223,237
1505114734,2017-09-11T07:25:34Z,VDA7162,"16.425863,-61.73988",4800,224,237
1505114727,2017-09-11T07:25:27Z,VDA7162,"16.429367,-61.734203",4925,224,237
1505114715,2017-09-11T07:25:15Z,VDA7162,"16.436462,-61.723022",5175,224,236
1505114703,2017-09-11T07:25:03Z,VDA7162,"16.443321,-61.712414",5375,225,235
1505114690,2017-09-11T07:24:50Z,VDA7162,"16.450928,-61.70076",5725,221,235
1505114678,2017-09-11T07:24:38Z,VDA7162,"16.458124,-61.689606",5775,232,236
1505114665,2017-09-11T07:24:25Z,VDA7162,"16.465759,-61.677486",5825,243,236
1505114653,2017-09-11T07:24:13Z,VDA7162,"16.473816,-61.665249",5900,252,235
1505114640,2017-09-11T07:24:00Z,VDA7162,"16.482426,-61.652428",6050,258,234
1505114627,2017-09-11T07:23:47Z,VDA7162,"16.491302,-61.639614",6200,262,234
1505114615,2017-09-11T07:23:35Z,VDA7162,"16.500347,-61.626583",6275,269,234
1505114603,2017-09-11T07:23:23Z,VDA7162,"16.509333,-61.613731",6300,277,234
1505114590,2017-09-11T07:23:10Z,VDA7162,"16.51886,-61.599957",6350,286,234
1505114578,2017-09-11T07:22:58Z,VDA7162,"16.528885,-61.585163",6375,297,235
1505114565,2017-09-11T07:22:45Z,VDA7162,"16.538847,-61.569981",6375,309,235
1505114553,2017-09-11T07:22:33Z,VDA7162,"16.549042,-61.554531",6575,314,235
1505114540,2017-09-11T07:22:20Z,VDA7162,"16.559376,-61.539036",6925,314,235
1505114528,2017-09-11T07:22:08Z,VDA7162,"16.569803,-61.523388",7275,315,235
1505114516,2017-09-11T07:21:56Z,VDA7162,"16.580063,-61.508114",7550,317,235
