Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505209997,2017-09-12T09:53:17Z,VDA7096,"31.731262,36.8559",5875,215,95
1505209985,2017-09-12T09:53:05Z,VDA7096,"31.732473,36.839794",5925,217,94
1505209973,2017-09-12T09:52:53Z,VDA7096,"31.733404,36.825569",5925,219,94
1505209961,2017-09-12T09:52:41Z,VDA7096,"31.734287,36.813042",5950,223,94
1505209949,2017-09-12T09:52:29Z,VDA7096,"31.735474,36.795689",5925,226,94
1505209940,2017-09-12T09:52:20Z,VDA7096,"31.73616,36.784542",5925,228,93
1505209934,2017-09-12T09:52:14Z,VDA7096,"31.736435,36.779533",5900,226,93
1505209928,2017-09-12T09:52:08Z,VDA7096,"31.736938,36.771133",5900,221,95
1505209922,2017-09-12T09:52:02Z,VDA7096,"31.737671,36.764023",5900,216,99
1505209916,2017-09-12T09:51:56Z,VDA7096,"31.738991,36.757618",5850,218,109
1505209903,2017-09-12T09:51:43Z,VDA7096,"31.743942,36.743397",5875,229,113
1505209891,2017-09-12T09:51:31Z,VDA7096,"31.748766,36.730152",5950,233,112
1505209879,2017-09-12T09:51:19Z,VDA7096,"31.753933,36.715706",5825,250,113
1505209867,2017-09-12T09:51:07Z,VDA7096,"31.759474,36.700542",5875,257,112
1505209855,2017-09-12T09:50:55Z,VDA7096,"31.765245,36.684559",5975,256,112
1505209843,2017-09-12T09:50:43Z,VDA7096,"31.770996,36.668701",6000,264,113
1505209830,2017-09-12T09:50:30Z,VDA7096,"31.776764,36.652534",6125,269,111
1505209818,2017-09-12T09:50:18Z,VDA7096,"31.782284,36.635929",6325,271,110
1505209806,2017-09-12T09:50:06Z,VDA7096,"31.787638,36.619225",6475,273,110
1505209794,2017-09-12T09:49:54Z,VDA7096,"31.793243,36.602051",6600,276,111
1505209782,2017-09-12T09:49:42Z,VDA7096,"31.799011,36.584747",6750,280,111
1505209770,2017-09-12T09:49:30Z,VDA7096,"31.80455,36.567554",6875,282,108
1505209758,2017-09-12T09:49:18Z,VDA7096,"31.809128,36.549591",6900,288,104
1505209746,2017-09-12T09:49:06Z,VDA7096,"31.813148,36.531055",6925,293,104
1505209733,2017-09-12T09:48:53Z,VDA7096,"31.817385,36.511772",6950,292,104
1505209721,2017-09-12T09:48:41Z,VDA7096,"31.821396,36.49345",6925,293,104
1505209709,2017-09-12T09:48:29Z,VDA7096,"31.825424,36.474995",6925,293,104
1505209697,2017-09-12T09:48:17Z,VDA7096,"31.829544,36.455605",6950,293,103
1505209685,2017-09-12T09:48:05Z,VDA7096,"31.833389,36.437202",6950,292,103
1505209673,2017-09-12T09:47:53Z,VDA7096,"31.837234,36.418526",6950,292,103
1505209661,2017-09-12T09:47:41Z,VDA7096,"31.841171,36.399902",6900,295,103
1505209649,2017-09-12T09:47:29Z,VDA7096,"31.845222,36.380665",6875,298,103
1505209637,2017-09-12T09:47:17Z,VDA7096,"31.849319,36.36116",7075,299,103
1505209624,2017-09-12T09:47:04Z,VDA7096,"31.853302,36.342388",7225,300,103
1505209612,2017-09-12T09:46:52Z,VDA7096,"31.857418,36.322483",7425,301,103
1505209600,2017-09-12T09:46:40Z,VDA7096,"31.861313,36.303497",7625,302,103
1505209588,2017-09-12T09:46:28Z,VDA7096,"31.865524,36.283722",7850,303,103
1505209576,2017-09-12T09:46:16Z,VDA7096,"31.869095,36.264442",8000,307,98
1505209564,2017-09-12T09:46:04Z,VDA7096,"31.871105,36.243786",8175,312,95
1505209538,2017-09-12T09:45:38Z,VDA7096,"31.87532,36.194511",8725,315,95
1505209522,2017-09-12T09:45:22Z,VDA7096,"31.877018,36.172878",8975,317,95
1505209511,2017-09-12T09:45:11Z,VDA7096,"31.87846,36.155167",9200,316,95
1505209493,2017-09-12T09:44:53Z,VDA7096,"31.8813,36.123833",9600,315,95
1505209482,2017-09-12T09:44:42Z,VDA7096,"31.882782,36.105083",9850,314,94
1505209469,2017-09-12T09:44:29Z,VDA7096,"31.884418,36.084034",10100,313,95
1505209456,2017-09-12T09:44:16Z,VDA7096,"31.886374,36.061836",10400,311,96
1505209443,2017-09-12T09:44:03Z,VDA7096,"31.888412,36.038673",10625,313,94
1505209430,2017-09-12T09:43:50Z,VDA7096,"31.890053,36.01548",10825,316,95
1505209416,2017-09-12T09:43:36Z,VDA7096,"31.892029,35.99242",10875,317,95
1505209402,2017-09-12T09:43:22Z,VDA7096,"31.894148,35.968845",10900,315,95
1505209389,2017-09-12T09:43:09Z,VDA7096,"31.896011,35.945751",10900,315,95
1505209375,2017-09-12T09:42:55Z,VDA7096,"31.898012,35.921707",10900,316,95
1505209362,2017-09-12T09:42:42Z,VDA7096,"31.899994,35.898815",11000,314,95
