Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505335792,2017-09-13T20:49:52Z,VDA7099,"37.001732,35.431282",0,15,233
1505335783,2017-09-13T20:49:43Z,VDA7099,"37.001896,35.431549",0,16,233
1505335771,2017-09-13T20:49:31Z,VDA7099,"37.00209,35.431843",0,14,233
1505335757,2017-09-13T20:49:17Z,VDA7099,"37.002342,35.431976",0,15,233
1505335736,2017-09-13T20:48:56Z,VDA7099,"37.002686,35.431698",0,12,233
1505335720,2017-09-13T20:48:40Z,VDA7099,"37.00264,35.431347",0,14,233
1505335708,2017-09-13T20:48:28Z,VDA7099,"37.002419,35.430996",0,19,233
1505335693,2017-09-13T20:48:13Z,VDA7099,"37.00209,35.430439",0,21,233
1505335687,2017-09-13T20:48:07Z,VDA7099,"37.001953,35.430222",0,22,233
1505335679,2017-09-13T20:47:59Z,VDA7099,"37.001724,35.42984",0,23,233
1505335669,2017-09-13T20:47:49Z,VDA7099,"37.001499,35.429474",0,21,233
1505335663,2017-09-13T20:47:43Z,VDA7099,"37.001369,35.429272",0,18,233
1505335651,2017-09-13T20:47:31Z,VDA7099,"37.001198,35.428993",0,11,233
1505335564,2017-09-13T20:46:04Z,VDA7099,"37.001068,35.428772",0,20,233
1505335557,2017-09-13T20:45:57Z,VDA7099,"37.000912,35.428513",0,29,233
1505335551,2017-09-13T20:45:51Z,VDA7099,"37.000706,35.428162",0,28,233
1505335545,2017-09-13T20:45:45Z,VDA7099,"37.000523,35.427856",0,27,233
1505335539,2017-09-13T20:45:39Z,VDA7099,"37.000317,35.427532",0,26,233
1505335531,2017-09-13T20:45:31Z,VDA7099,"37.000046,35.427101",0,25,233
1505335524,2017-09-13T20:45:24Z,VDA7099,"36.999893,35.426834",0,24,233
1505335515,2017-09-13T20:45:15Z,VDA7099,"36.999649,35.42643",0,22,233
1505335509,2017-09-13T20:45:09Z,VDA7099,"36.999519,35.426205",0,20,233
1505335494,2017-09-13T20:44:54Z,VDA7099,"36.999229,35.425751",0,18,233
1505335485,2017-09-13T20:44:45Z,VDA7099,"36.999058,35.425457",0,18,233
1505335473,2017-09-13T20:44:33Z,VDA7099,"36.998821,35.425072",0,19,233
1505335463,2017-09-13T20:44:23Z,VDA7099,"36.998646,35.42477",0,20,233
1505335455,2017-09-13T20:44:15Z,VDA7099,"36.998451,35.424446",0,20,233
1505335439,2017-09-13T20:43:59Z,VDA7099,"36.998108,35.423897",0,21,233
1505335431,2017-09-13T20:43:51Z,VDA7099,"36.99789,35.423531",0,22,233
1505335424,2017-09-13T20:43:44Z,VDA7099,"36.997742,35.423294",0,22,233
1505335416,2017-09-13T20:43:36Z,VDA7099,"36.997513,35.422901",0,23,233
1505335409,2017-09-13T20:43:29Z,VDA7099,"36.997375,35.422699",0,23,233
1505335403,2017-09-13T20:43:23Z,VDA7099,"36.997227,35.422436",0,23,233
1505335371,2017-09-13T20:42:51Z,VDA7099,"36.996296,35.420906",0,26,233
1505335364,2017-09-13T20:42:44Z,VDA7099,"36.996124,35.420624",0,26,233
1505335358,2017-09-13T20:42:38Z,VDA7099,"36.995934,35.420315",0,26,233
1505335352,2017-09-13T20:42:32Z,VDA7099,"36.99575,35.42001",0,27,233
1505335346,2017-09-13T20:42:26Z,VDA7099,"36.995567,35.419704",0,26,233
1505335340,2017-09-13T20:42:20Z,VDA7099,"36.995396,35.419411",0,25,233
1505335331,2017-09-13T20:42:11Z,VDA7099,"36.995121,35.418972",0,23,233
1505335325,2017-09-13T20:42:05Z,VDA7099,"36.994972,35.418739",0,22,233
1505335319,2017-09-13T20:41:59Z,VDA7099,"36.994831,35.418503",0,21,233
1505335313,2017-09-13T20:41:53Z,VDA7099,"36.99469,35.418266",0,21,233
1505335304,2017-09-13T20:41:44Z,VDA7099,"36.99448,35.417934",0,21,233
1505335295,2017-09-13T20:41:35Z,VDA7099,"36.994274,35.417583",0,21,233
1505335288,2017-09-13T20:41:28Z,VDA7099,"36.994133,35.417355",0,21,233
1505335273,2017-09-13T20:41:13Z,VDA7099,"36.993912,35.417042",0,11,233
1505335261,2017-09-13T20:41:01Z,VDA7099,"36.993877,35.416771",0,14,233
1505335249,2017-09-13T20:40:49Z,VDA7099,"36.994034,35.416531",0,17,233
1505335237,2017-09-13T20:40:37Z,VDA7099,"36.994377,35.41621",0,23,233
1505335231,2017-09-13T20:40:31Z,VDA7099,"36.994583,35.416019",0,23,233
1505335225,2017-09-13T20:40:25Z,VDA7099,"36.994785,35.415833",0,23,233
1505335213,2017-09-13T20:40:13Z,VDA7099,"36.995132,35.415489",0,19,233
1505335201,2017-09-13T20:40:01Z,VDA7099,"36.995438,35.415249",0,16,233
1505335189,2017-09-13T20:39:49Z,VDA7099,"36.99575,35.415489",0,25,233
1505335177,2017-09-13T20:39:37Z,VDA7099,"36.996147,35.416176",0,17,233
1505335171,2017-09-13T20:39:31Z,VDA7099,"36.996449,35.416679",0,19,233
1505335165,2017-09-13T20:39:25Z,VDA7099,"36.996769,35.417217",0,17,233
1505335159,2017-09-13T20:39:19Z,VDA7099,"36.997078,35.417717",0,18,233
1505335153,2017-09-13T20:39:13Z,VDA7099,"36.997387,35.418243",0,21,233
1505335147,2017-09-13T20:39:07Z,VDA7099,"36.997833,35.419003",0,32,233
1505335132,2017-09-13T20:38:52Z,VDA7099,"37.000217,35.422909",0,82,233
1505335126,2017-09-13T20:38:46Z,VDA7099,"37.001778,35.425503",0,100,233
1505335119,2017-09-13T20:38:39Z,VDA7099,"37.003567,35.428425",0,120,233
1505335111,2017-09-13T20:38:31Z,VDA7099,"37.007355,35.434669",225,145,232
1505335104,2017-09-13T20:38:24Z,VDA7099,"37.009495,35.438194",275,149,232
1505335096,2017-09-13T20:38:16Z,VDA7099,"37.013451,35.444702",400,146,232
1505335087,2017-09-13T20:38:07Z,VDA7099,"37.017242,35.450779",525,144,232
1505335080,2017-09-13T20:38:00Z,VDA7099,"37.01944,35.454575",600,141,234
1505335072,2017-09-13T20:37:52Z,VDA7099,"37.023087,35.460644",725,139,232
1505335065,2017-09-13T20:37:45Z,VDA7099,"37.025509,35.464642",800,140,233
