Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505363831,2017-09-14T04:37:11Z,VDA7100,"51.408394,12.204641",0,16,264
1505363822,2017-09-14T04:37:02Z,VDA7100,"51.408611,12.204604",0,15,264
1505363810,2017-09-14T04:36:50Z,VDA7100,"51.408863,12.204586",0,15,264
1505363798,2017-09-14T04:36:38Z,VDA7100,"51.409172,12.204512",0,16,264
1505363789,2017-09-14T04:36:29Z,VDA7100,"51.409458,12.204363",0,20,264
1505363776,2017-09-14T04:36:16Z,VDA7100,"51.409824,12.204475",0,20,264
1505363764,2017-09-14T04:36:04Z,VDA7100,"51.410198,12.204647",0,17,264
1505363752,2017-09-14T04:35:52Z,VDA7100,"51.41058,12.204808",0,22,264
1505363746,2017-09-14T04:35:46Z,VDA7100,"51.410835,12.204933",0,28,264
1505363737,2017-09-14T04:35:37Z,VDA7100,"51.411335,12.205161",0,27,264
1505363731,2017-09-14T04:35:31Z,VDA7100,"51.411541,12.20542",0,24,264
1505363725,2017-09-14T04:35:25Z,VDA7100,"51.411667,12.205811",0,25,264
1505363719,2017-09-14T04:35:19Z,VDA7100,"51.411697,12.206345",0,31,264
1505363713,2017-09-14T04:35:13Z,VDA7100,"51.411732,12.207069",0,17,264
1505363707,2017-09-14T04:35:07Z,VDA7100,"51.411781,12.20787",0,18,267
1505363701,2017-09-14T04:35:01Z,VDA7100,"51.411827,12.208786",0,22,264
1505363695,2017-09-14T04:34:55Z,VDA7100,"51.411861,12.209597",0,24,267
1505363689,2017-09-14T04:34:49Z,VDA7100,"51.411919,12.21077",0,28,264
1505363683,2017-09-14T04:34:43Z,VDA7100,"51.411987,12.212315",0,36,264
1505363677,2017-09-14T04:34:37Z,VDA7100,"51.41206,12.21384",0,42,264
1505363671,2017-09-14T04:34:31Z,VDA7100,"51.412151,12.215614",0,43,267
1505363665,2017-09-14T04:34:25Z,VDA7100,"51.412247,12.217598",0,44,264
1505363659,2017-09-14T04:34:19Z,VDA7100,"51.412342,12.219785",0,45,264
1505363653,2017-09-14T04:34:13Z,VDA7100,"51.412457,12.222141",0,48,267
1505363647,2017-09-14T04:34:07Z,VDA7100,"51.412548,12.223969",0,52,267
1505363641,2017-09-14T04:34:01Z,VDA7100,"51.412663,12.226906",0,59,264
1505363635,2017-09-14T04:33:55Z,VDA7100,"51.4128,12.229639",0,67,264
1505363629,2017-09-14T04:33:49Z,VDA7100,"51.412971,12.233592",0,82,267
1505363623,2017-09-14T04:33:43Z,VDA7100,"51.413086,12.235874",0,90,264
1505363617,2017-09-14T04:33:37Z,VDA7100,"51.413349,12.241498",0,110,264
1505363611,2017-09-14T04:33:31Z,VDA7100,"51.413548,12.245636",850,127,265
1505363605,2017-09-14T04:33:25Z,VDA7100,"51.413826,12.251358",825,132,266
1505363599,2017-09-14T04:33:19Z,VDA7100,"51.414108,12.257309",900,134,266
1505363593,2017-09-14T04:33:13Z,VDA7100,"51.414387,12.263336",975,134,265
1505363587,2017-09-14T04:33:07Z,VDA7100,"51.414619,12.269669",1050,132,266
1505363581,2017-09-14T04:33:01Z,VDA7100,"51.414898,12.275925",1125,128,265
1505363575,2017-09-14T04:32:55Z,VDA7100,"51.415131,12.280807",1200,129,265
1505363569,2017-09-14T04:32:49Z,VDA7100,"51.415409,12.286606",1275,131,265
1505363563,2017-09-14T04:32:43Z,VDA7100,"51.415741,12.293107",1350,132,265
1505363557,2017-09-14T04:32:37Z,VDA7100,"51.416016,12.298898",1425,130,266
1505363551,2017-09-14T04:32:31Z,VDA7100,"51.41634,12.306595",1500,124,266
1505363545,2017-09-14T04:32:25Z,VDA7100,"51.416473,12.30981",1525,123,266
1505363539,2017-09-14T04:32:19Z,VDA7100,"51.416759,12.315445",1600,122,265
1505363533,2017-09-14T04:32:13Z,VDA7100,"51.417023,12.321167",1675,125,265
1505363527,2017-09-14T04:32:07Z,VDA7100,"51.41732,12.326431",1725,123,265
1505363521,2017-09-14T04:32:01Z,VDA7100,"51.417572,12.331634",1800,121,265
1505363515,2017-09-14T04:31:55Z,VDA7100,"51.417831,12.337112",1825,120,266
1505363509,2017-09-14T04:31:49Z,VDA7100,"51.418064,12.342529",1900,118,266
1505363503,2017-09-14T04:31:43Z,VDA7100,"51.418259,12.347891",1975,117,267
1505363497,2017-09-14T04:31:37Z,VDA7100,"51.418438,12.352905",2075,117,267
1505363491,2017-09-14T04:31:31Z,VDA7100,"51.418671,12.358283",2150,117,265
1505363485,2017-09-14T04:31:25Z,VDA7100,"51.418903,12.363281",2200,117,265
1505363479,2017-09-14T04:31:19Z,VDA7100,"51.419182,12.368546",2275,117,265
1505363473,2017-09-14T04:31:13Z,VDA7100,"51.41946,12.37381",2325,118,265
1505363467,2017-09-14T04:31:07Z,VDA7100,"51.419739,12.378998",2400,116,266
1505363461,2017-09-14T04:31:01Z,VDA7100,"51.419926,12.384109",2450,114,266
1505363455,2017-09-14T04:30:55Z,VDA7100,"51.420158,12.389069",2525,113,266
1505363449,2017-09-14T04:30:49Z,VDA7100,"51.420345,12.39418",2575,112,266
1505363442,2017-09-14T04:30:42Z,VDA7100,"51.420624,12.399445",2625,112,265
1505363436,2017-09-14T04:30:36Z,VDA7100,"51.420822,12.404233",2675,111,265
1505363430,2017-09-14T04:30:30Z,VDA7100,"51.421043,12.409286",2700,109,266
1505363424,2017-09-14T04:30:24Z,VDA7100,"51.42128,12.414254",2750,107,266
1505363418,2017-09-14T04:30:18Z,VDA7100,"51.421463,12.418708",2775,105,266
1505363412,2017-09-14T04:30:12Z,VDA7100,"51.42165,12.423553",2850,103,266
1505363406,2017-09-14T04:30:06Z,VDA7100,"51.421833,12.428055",2925,104,265
1505363400,2017-09-14T04:30:00Z,VDA7100,"51.422066,12.432785",3000,106,265
1505363394,2017-09-14T04:29:54Z,VDA7100,"51.422348,12.437897",3075,107,265
1505363388,2017-09-14T04:29:48Z,VDA7100,"51.422581,12.442245",3150,107,265
1505363382,2017-09-14T04:29:42Z,VDA7100,"51.422836,12.447213",3275,108,266
1505363376,2017-09-14T04:29:36Z,VDA7100,"51.423019,12.452038",3375,106,266
1505363370,2017-09-14T04:29:30Z,VDA7100,"51.423279,12.45697",3400,105,266
1505363364,2017-09-14T04:29:24Z,VDA7100,"51.423431,12.461539",3400,106,266
1505363358,2017-09-14T04:29:18Z,VDA7100,"51.423615,12.466439",3400,107,267
1505363352,2017-09-14T04:29:12Z,VDA7100,"51.423744,12.470856",3400,107,267
1505363346,2017-09-14T04:29:06Z,VDA7100,"51.423889,12.475718",3400,108,266
1505363340,2017-09-14T04:29:00Z,VDA7100,"51.424118,12.480765",3400,108,265
1505363334,2017-09-14T04:28:54Z,VDA7100,"51.424347,12.485665",3400,109,265
1505363328,2017-09-14T04:28:48Z,VDA7100,"51.42458,12.490463",3375,110,265
1505363322,2017-09-14T04:28:42Z,VDA7100,"51.424805,12.495463",3400,112,265
1505363316,2017-09-14T04:28:36Z,VDA7100,"51.425034,12.500586",3375,114,266
1505363307,2017-09-14T04:28:27Z,VDA7100,"51.4254,12.508306",3375,115,266
1505363301,2017-09-14T04:28:21Z,VDA7100,"51.425629,12.513502",3400,120,266
1505363295,2017-09-14T04:28:15Z,VDA7100,"51.425858,12.518995",3425,127,267
1505363289,2017-09-14T04:28:09Z,VDA7100,"51.426041,12.524785",3425,134,267
1505363283,2017-09-14T04:28:03Z,VDA7100,"51.426224,12.530576",3475,139,267
1505363276,2017-09-14T04:27:56Z,VDA7100,"51.426453,12.537182",3475,147,266
1505363270,2017-09-14T04:27:50Z,VDA7100,"51.426723,12.543716",3425,158,266
1505363264,2017-09-14T04:27:44Z,VDA7100,"51.427048,12.551138",3400,163,265
1505363258,2017-09-14T04:27:38Z,VDA7100,"51.427414,12.55856",3450,163,265
1505363252,2017-09-14T04:27:32Z,VDA7100,"51.427841,12.565918",3475,161,264
1505363246,2017-09-14T04:27:26Z,VDA7100,"51.428375,12.573258",3525,163,263
1505363240,2017-09-14T04:27:20Z,VDA7100,"51.428909,12.580185",3600,162,262
1505363231,2017-09-14T04:27:11Z,VDA7100,"51.429749,12.591446",3775,161,263
1505363225,2017-09-14T04:27:05Z,VDA7100,"51.430252,12.598052",3875,160,264
1505363201,2017-09-14T04:26:41Z,VDA7100,"51.43103,12.626928",4400,164,271
1505363195,2017-09-14T04:26:35Z,VDA7100,"51.430801,12.634797",4525,165,273
1505363186,2017-09-14T04:26:26Z,VDA7100,"51.430355,12.645187",4750,163,274
1505363180,2017-09-14T04:26:20Z,VDA7100,"51.429977,12.652687",4900,164,274
1505363174,2017-09-14T04:26:14Z,VDA7100,"51.429516,12.660217",5025,164,275
1505363168,2017-09-14T04:26:08Z,VDA7100,"51.428959,12.667694",5200,163,278
1505363162,2017-09-14T04:26:02Z,VDA7100,"51.428238,12.674511",5300,166,281
1505363154,2017-09-14T04:25:54Z,VDA7100,"51.42627,12.68572",5350,172,289
1505363141,2017-09-14T04:25:41Z,VDA7100,"51.422424,12.700121",5375,180,294
1505363129,2017-09-14T04:25:29Z,VDA7100,"51.418167,12.715264",5375,179,294
1505363117,2017-09-14T04:25:17Z,VDA7100,"51.414108,12.729645",5400,179,294
1505363105,2017-09-14T04:25:05Z,VDA7100,"51.409405,12.745972",5375,176,294
1505363093,2017-09-14T04:24:53Z,VDA7100,"51.405945,12.758097",5375,176,294
1505363081,2017-09-14T04:24:41Z,VDA7100,"51.401871,12.772497",5350,176,294
1505363069,2017-09-14T04:24:29Z,VDA7100,"51.39772,12.787323",5350,175,294
1505363057,2017-09-14T04:24:17Z,VDA7100,"51.393677,12.801299",5350,176,294
1505363044,2017-09-14T04:24:04Z,VDA7100,"51.389511,12.815552",5325,177,294
1505363032,2017-09-14T04:23:52Z,VDA7100,"51.385429,12.829895",5350,177,293
1505363020,2017-09-14T04:23:40Z,VDA7100,"51.38118,12.844873",5450,174,294
1505363008,2017-09-14T04:23:28Z,VDA7100,"51.376877,12.859571",5425,177,294
1505362996,2017-09-14T04:23:16Z,VDA7100,"51.373047,12.872925",5475,177,294
1505362984,2017-09-14T04:23:04Z,VDA7100,"51.36858,12.888412",5700,179,294
1505362972,2017-09-14T04:22:52Z,VDA7100,"51.364437,12.903061",5650,195,294
1505362960,2017-09-14T04:22:40Z,VDA7100,"51.359829,12.918549",5750,203,295
1505362948,2017-09-14T04:22:28Z,VDA7100,"51.354568,12.935944",5975,200,295
1505362936,2017-09-14T04:22:16Z,VDA7100,"51.350189,12.951508",6250,198,293
1505362924,2017-09-14T04:22:04Z,VDA7100,"51.344929,12.970047",6325,205,295
1505362912,2017-09-14T04:21:52Z,VDA7100,"51.340603,12.98439",6350,210,295
1505362900,2017-09-14T04:21:40Z,VDA7100,"51.335632,13.001205",6500,212,294
1505362888,2017-09-14T04:21:28Z,VDA7100,"51.330639,13.019104",6850,208,293
