Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506332467,2017-09-25T09:41:07Z,VDA7068,"46.896332,1.761383",875,134,209
1506332458,2017-09-25T09:40:58Z,VDA7068,"46.900959,1.766475",875,141,224
1506332449,2017-09-25T09:40:49Z,VDA7068,"46.904984,1.771957",975,138,217
1506332443,2017-09-25T09:40:43Z,VDA7068,"46.907711,1.774644",1025,137,206
1506332434,2017-09-25T09:40:34Z,VDA7068,"46.912598,1.77732",1075,146,194
1506332428,2017-09-25T09:40:28Z,VDA7068,"46.917023,1.778755",1125,149,190
1506332422,2017-09-25T09:40:22Z,VDA7068,"46.92065,1.779715",1200,149,189
1506332413,2017-09-25T09:40:13Z,VDA7068,"46.927139,1.78157",1300,150,195
1506332407,2017-09-25T09:40:07Z,VDA7068,"46.93066,1.783236",1375,152,202
1506332401,2017-09-25T09:40:01Z,VDA7068,"46.934601,1.785828",1475,149,206
1506332395,2017-09-25T09:39:55Z,VDA7068,"46.938389,1.7888",1575,144,209
1506332389,2017-09-25T09:39:49Z,VDA7068,"46.941971,1.79187",1675,145,212
1506332383,2017-09-25T09:39:43Z,VDA7068,"46.944904,1.794927",1725,146,218
1506332377,2017-09-25T09:39:37Z,VDA7068,"46.948349,1.799011",1800,149,218
1506332371,2017-09-25T09:39:31Z,VDA7068,"46.951328,1.802532",1875,144,219
1506332365,2017-09-25T09:39:25Z,VDA7068,"46.954403,1.806265",1975,142,221
1506332359,2017-09-25T09:39:19Z,VDA7068,"46.957195,1.81035",2075,141,228
1506332353,2017-09-25T09:39:13Z,VDA7068,"46.96027,1.815209",2175,144,224
1506332345,2017-09-25T09:39:05Z,VDA7068,"46.964363,1.820984",2250,146,225
1506332338,2017-09-25T09:38:58Z,VDA7068,"46.966919,1.82531",2325,142,233
1506332332,2017-09-25T09:38:52Z,VDA7068,"46.969299,1.830069",2450,142,232
1506332326,2017-09-25T09:38:46Z,VDA7068,"46.972137,1.834646",2575,145,221
1506332320,2017-09-25T09:38:40Z,VDA7068,"46.975071,1.838168",2650,147,214
1506332314,2017-09-25T09:38:34Z,VDA7068,"46.978657,1.841196",2750,152,206
1506332308,2017-09-25T09:38:28Z,VDA7068,"46.982475,1.844154",2775,151,213
1506332302,2017-09-25T09:38:22Z,VDA7068,"46.986153,1.847957",2775,152,216
1506332296,2017-09-25T09:38:16Z,VDA7068,"46.989807,1.851402",2775,158,204
1506332290,2017-09-25T09:38:10Z,VDA7068,"46.993599,1.853309",2800,162,190
1506332284,2017-09-25T09:38:04Z,VDA7068,"46.998161,1.854013",2800,166,181
1506332278,2017-09-25T09:37:58Z,VDA7068,"47.002991,1.85408",2800,164,181
1506332272,2017-09-25T09:37:52Z,VDA7068,"47.007286,1.854365",2775,163,182
1506332266,2017-09-25T09:37:46Z,VDA7068,"47.0121,1.854492",2825,165,175
1506332260,2017-09-25T09:37:40Z,VDA7068,"47.016735,1.853098",2950,167,158
1506332254,2017-09-25T09:37:34Z,VDA7068,"47.020798,1.84996",3075,170,143
1506332233,2017-09-25T09:37:13Z,VDA7068,"47.028095,1.829505",3575,166,86
1506332225,2017-09-25T09:37:05Z,VDA7068,"47.026566,1.819336",3800,163,64
1506332218,2017-09-25T09:36:58Z,VDA7068,"47.023453,1.812744",3950,161,41
1506332212,2017-09-25T09:36:52Z,VDA7068,"47.020844,1.809723",4050,160,31
1506332206,2017-09-25T09:36:46Z,VDA7068,"47.016781,1.806969",4175,156,11
1506332191,2017-09-25T09:36:31Z,VDA7068,"47.003933,1.807533",4550,156,350
1506332185,2017-09-25T09:36:25Z,VDA7068,"47.001709,1.808075",4600,157,350
1506332139,2017-09-25T09:35:39Z,VDA7068,"46.968521,1.816246",5550,158,349
1506332115,2017-09-25T09:35:15Z,VDA7068,"46.950493,1.817956",6075,164,13
1506332100,2017-09-25T09:35:00Z,VDA7068,"46.938343,1.813801",6475,161,11
1506332094,2017-09-25T09:34:54Z,VDA7068,"46.934292,1.812674",6600,161,9
1506332085,2017-09-25T09:34:45Z,VDA7068,"46.928101,1.811302",6750,162,7
1506332079,2017-09-25T09:34:39Z,VDA7068,"46.923294,1.810135",6825,168,14
1506332070,2017-09-25T09:34:30Z,VDA7068,"46.916325,1.806195",6850,182,26
1506332058,2017-09-25T09:34:18Z,VDA7068,"46.907089,1.799561",6850,199,25
1506332046,2017-09-25T09:34:06Z,VDA7068,"46.896446,1.792039",7000,207,26
