Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506512423,2017-09-27T11:40:23Z,VDA7072,"43.382538,-0.416522",0,9,126
1506512395,2017-09-27T11:39:55Z,VDA7072,"43.382763,-0.416728",0,9,126
1506512362,2017-09-27T11:39:22Z,VDA7072,"43.382698,-0.416969",0,2,126
1506512328,2017-09-27T11:38:48Z,VDA7072,"43.382473,-0.417104",0,9,126
1506512312,2017-09-27T11:38:32Z,VDA7072,"43.38232,-0.416827",0,15,126
1506512300,2017-09-27T11:38:20Z,VDA7072,"43.382195,-0.416522",0,13,126
1506512288,2017-09-27T11:38:08Z,VDA7072,"43.381943,-0.416347",0,13,126
1506512272,2017-09-27T11:37:52Z,VDA7072,"43.381657,-0.416602",0,14,126
1506512256,2017-09-27T11:37:36Z,VDA7072,"43.381332,-0.416925",0,16,126
1506512240,2017-09-27T11:37:20Z,VDA7072,"43.380981,-0.417273",0,17,126
1506512230,2017-09-27T11:37:10Z,VDA7072,"43.380707,-0.417544",0,22,126
1506512224,2017-09-27T11:37:04Z,VDA7072,"43.380501,-0.417736",0,24,126
1506512214,2017-09-27T11:36:54Z,VDA7072,"43.380169,-0.418069",0,22,126
1506512208,2017-09-27T11:36:48Z,VDA7072,"43.380066,-0.418311",0,22,126
1506512202,2017-09-27T11:36:42Z,VDA7072,"43.380077,-0.41863",0,22,126
1506512192,2017-09-27T11:36:32Z,VDA7072,"43.380322,-0.419132",0,21,126
1506512166,2017-09-27T11:36:06Z,VDA7072,"43.381096,-0.420642",0,34,126
1506512160,2017-09-27T11:36:00Z,VDA7072,"43.38129,-0.421041",0,15,126
1506512150,2017-09-27T11:35:50Z,VDA7072,"43.381805,-0.421984",0,18,126
1506512139,2017-09-27T11:35:39Z,VDA7072,"43.382427,-0.423104",0,22,129
1506512123,2017-09-27T11:35:23Z,VDA7072,"43.383419,-0.424954",0,24,126
1506512113,2017-09-27T11:35:13Z,VDA7072,"43.384071,-0.426215",0,24,126
1506512107,2017-09-27T11:35:07Z,VDA7072,"43.384441,-0.426897",0,24,126
1506512097,2017-09-27T11:34:57Z,VDA7072,"43.38509,-0.428173",0,23,126
1506512082,2017-09-27T11:34:42Z,VDA7072,"43.386059,-0.430004",0,22,126
1506512076,2017-09-27T11:34:36Z,VDA7072,"43.386395,-0.430641",0,22,126
1506512066,2017-09-27T11:34:26Z,VDA7072,"43.386951,-0.431688",0,17,126
1506512056,2017-09-27T11:34:16Z,VDA7072,"43.38728,-0.43226",0,14,300
1506512017,2017-09-27T11:33:37Z,VDA7072,"43.387608,-0.432667",0,9,300
1506511984,2017-09-27T11:33:04Z,VDA7072,"43.38736,-0.432799",0,12,300
1506511973,2017-09-27T11:32:53Z,VDA7072,"43.387173,-0.43244",0,21,300
1506511962,2017-09-27T11:32:42Z,VDA7072,"43.386929,-0.431965",0,26,300
1506511956,2017-09-27T11:32:36Z,VDA7072,"43.386761,-0.431629",0,29,300
1506511946,2017-09-27T11:32:26Z,VDA7072,"43.386383,-0.43083",0,16,303
1506511935,2017-09-27T11:32:15Z,VDA7072,"43.385872,-0.429726",0,19,303
1506511913,2017-09-27T11:31:53Z,VDA7072,"43.384556,-0.427192",0,28,306
1506511907,2017-09-27T11:31:47Z,VDA7072,"43.384014,-0.426199",0,36,306
1506511890,2017-09-27T11:31:30Z,VDA7072,"43.381226,-0.420914",0,88,306
1506511884,2017-09-27T11:31:24Z,VDA7072,"43.3797,-0.418007",0,110,306
1506511873,2017-09-27T11:31:13Z,VDA7072,"43.376118,-0.411203",425,132,306
1506511863,2017-09-27T11:31:03Z,VDA7072,"43.372147,-0.40362",575,134,305
1506511857,2017-09-27T11:30:57Z,VDA7072,"43.369766,-0.399021",675,133,305
1506511846,2017-09-27T11:30:46Z,VDA7072,"43.365875,-0.391739",800,133,306
1506511835,2017-09-27T11:30:35Z,VDA7072,"43.362526,-0.385568",900,134,305
1506511826,2017-09-27T11:30:26Z,VDA7072,"43.358662,-0.378244",1025,134,304
1506511815,2017-09-27T11:30:15Z,VDA7072,"43.354568,-0.370278",1150,136,305
1506511804,2017-09-27T11:30:04Z,VDA7072,"43.350861,-0.363315",1275,133,306
1506511793,2017-09-27T11:29:53Z,VDA7072,"43.34697,-0.356161",1425,134,305
1506511783,2017-09-27T11:29:43Z,VDA7072,"43.342834,-0.348293",1525,133,305
1506511772,2017-09-27T11:29:32Z,VDA7072,"43.339096,-0.340959",1600,131,305
1506511761,2017-09-27T11:29:21Z,VDA7072,"43.334965,-0.333187",1725,131,305
1506511750,2017-09-27T11:29:10Z,VDA7072,"43.331131,-0.325885",1850,133,306
1506511744,2017-09-27T11:29:04Z,VDA7072,"43.329071,-0.322117",1900,132,307
1506511723,2017-09-27T11:28:43Z,VDA7072,"43.321606,-0.308337",2150,134,304
1506511717,2017-09-27T11:28:37Z,VDA7072,"43.318817,-0.303082",2250,134,304
1506511711,2017-09-27T11:28:31Z,VDA7072,"43.316532,-0.298658",2350,134,304
1506511705,2017-09-27T11:28:25Z,VDA7072,"43.314156,-0.293884",2425,135,304
1506511699,2017-09-27T11:28:19Z,VDA7072,"43.312855,-0.291268",2500,136,303
1506511693,2017-09-27T11:28:13Z,VDA7072,"43.310577,-0.286475",2600,133,302
1506511687,2017-09-27T11:28:07Z,VDA7072,"43.308701,-0.282515",2700,130,302
1506511681,2017-09-27T11:28:01Z,VDA7072,"43.306057,-0.277143",2775,134,304
1506511675,2017-09-27T11:27:55Z,VDA7072,"43.30415,-0.273416",2775,134,306
1506511669,2017-09-27T11:27:49Z,VDA7072,"43.301971,-0.269484",2800,138,308
1506511663,2017-09-27T11:27:43Z,VDA7072,"43.299911,-0.265961",2800,139,310
1506511657,2017-09-27T11:27:37Z,VDA7072,"43.296562,-0.260598",2775,139,310
1506511651,2017-09-27T11:27:31Z,VDA7072,"43.293823,-0.256199",2775,136,310
1506511645,2017-09-27T11:27:25Z,VDA7072,"43.292416,-0.253863",2775,138,309
1506511639,2017-09-27T11:27:19Z,VDA7072,"43.289749,-0.249492",2800,139,309
1506511633,2017-09-27T11:27:13Z,VDA7072,"43.287251,-0.245296",2850,146,308
1506511627,2017-09-27T11:27:07Z,VDA7072,"43.284737,-0.241045",2850,152,307
1506511621,2017-09-27T11:27:01Z,VDA7072,"43.28157,-0.235094",2850,174,302
1506511615,2017-09-27T11:26:55Z,VDA7072,"43.278637,-0.229143",2875,174,302
1506511609,2017-09-27T11:26:49Z,VDA7072,"43.276566,-0.224645",2825,184,301
1506511600,2017-09-27T11:26:40Z,VDA7072,"43.272537,-0.215064",2850,192,298
1506511594,2017-09-27T11:26:34Z,VDA7072,"43.269516,-0.207143",2850,197,294
1506511582,2017-09-27T11:26:22Z,VDA7072,"43.265625,-0.195838",2850,197,292
1506511576,2017-09-27T11:26:16Z,VDA7072,"43.263474,-0.188556",2850,197,290
1506511570,2017-09-27T11:26:10Z,VDA7072,"43.26178,-0.181849",2825,197,285
1506511564,2017-09-27T11:26:04Z,VDA7072,"43.260109,-0.171204",2850,197,276
1506511558,2017-09-27T11:25:58Z,VDA7072,"43.259674,-0.1662",2825,196,275
1506511552,2017-09-27T11:25:52Z,VDA7072,"43.259216,-0.159685",2825,195,275
1506511546,2017-09-27T11:25:46Z,VDA7072,"43.258621,-0.15119",2825,193,274
1506511540,2017-09-27T11:25:40Z,VDA7072,"43.258301,-0.144802",2800,192,273
1506511534,2017-09-27T11:25:34Z,VDA7072,"43.257969,-0.136871",2800,190,272
1506511528,2017-09-27T11:25:28Z,VDA7072,"43.257736,-0.130136",2800,191,272
1506511522,2017-09-27T11:25:22Z,VDA7072,"43.257458,-0.122288",2800,192,272
