Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502088493,2017-08-07T06:48:13Z,ADB3865,"51.429226,12.213306",0,20,253
1502088484,2017-08-07T06:48:04Z,ADB3865,"51.429428,12.21366",0,20,253
1502088476,2017-08-07T06:47:56Z,ADB3865,"51.429634,12.214013",0,17,253
1502088454,2017-08-07T06:47:34Z,ADB3865,"51.429794,12.214273",0,10,253
1502088442,2017-08-07T06:47:22Z,ADB3865,"51.430012,12.21457",0,26,253
1502088427,2017-08-07T06:47:07Z,ADB3865,"51.430721,12.21572",0,15,253
1502088421,2017-08-07T06:47:01Z,ADB3865,"51.431042,12.216296",0,15,253
1502088415,2017-08-07T06:46:55Z,ADB3865,"51.431225,12.216835",0,15,253
1502088409,2017-08-07T06:46:49Z,ADB3865,"51.431366,12.217751",0,20,261
1502088403,2017-08-07T06:46:43Z,ADB3865,"51.431408,12.218449",0,23,267
1502088397,2017-08-07T06:46:37Z,ADB3865,"51.431454,12.219748",0,31,264
1502088391,2017-08-07T06:46:31Z,ADB3865,"51.43153,12.221127",0,38,267
1502088385,2017-08-07T06:46:25Z,ADB3865,"51.431599,12.223091",0,46,267
1502088379,2017-08-07T06:46:19Z,ADB3865,"51.43174,12.225872",0,57,264
1502088366,2017-08-07T06:46:06Z,ADB3865,"51.431961,12.230835",0,72,267
1502088360,2017-08-07T06:46:00Z,ADB3865,"51.432129,12.234632",0,82,264
1502088345,2017-08-07T06:45:45Z,ADB3865,"51.432636,12.245731",0,120,267
1502088339,2017-08-07T06:45:39Z,ADB3865,"51.432869,12.250977",200,137,265
1502088311,2017-08-07T06:45:11Z,ADB3865,"51.434372,12.283011",400,151,264
1502088305,2017-08-07T06:45:05Z,ADB3865,"51.434738,12.288802",475,149,265
1502088299,2017-08-07T06:44:59Z,ADB3865,"51.435009,12.295456",575,145,265
1502088293,2017-08-07T06:44:53Z,ADB3865,"51.435379,12.302461",675,146,265
1502088287,2017-08-07T06:44:47Z,ADB3865,"51.435661,12.308502",750,149,266
1502088281,2017-08-07T06:44:41Z,ADB3865,"51.435928,12.314338",825,151,266
1502088275,2017-08-07T06:44:35Z,ADB3865,"51.436157,12.320722",900,153,265
1502088269,2017-08-07T06:44:29Z,ADB3865,"51.436497,12.327805",1000,154,265
1502088263,2017-08-07T06:44:23Z,ADB3865,"51.436871,12.334518",1075,156,265
1502088257,2017-08-07T06:44:17Z,ADB3865,"51.437244,12.341614",1150,156,265
1502088249,2017-08-07T06:44:09Z,ADB3865,"51.43771,12.351685",1250,155,265
1502088242,2017-08-07T06:44:02Z,ADB3865,"51.438034,12.358803",1325,158,266
1502088236,2017-08-07T06:43:56Z,ADB3865,"51.438362,12.36618",1425,161,265
1502088230,2017-08-07T06:43:50Z,ADB3865,"51.438641,12.372971",1525,165,266
1502088224,2017-08-07T06:43:44Z,ADB3865,"51.439178,12.380701",1650,167,265
1502088218,2017-08-07T06:43:38Z,ADB3865,"51.439339,12.388382",1750,170,266
1502088212,2017-08-07T06:43:32Z,ADB3865,"51.439663,12.395859",1900,172,266
1502088206,2017-08-07T06:43:26Z,ADB3865,"51.440002,12.403341",2075,173,265
1502088199,2017-08-07T06:43:19Z,ADB3865,"51.440502,12.413101",2125,183,265
1502088147,2017-08-07T06:42:27Z,ADB3865,"51.443893,12.487372",3200,197,265
1502088137,2017-08-07T06:42:17Z,ADB3865,"51.444691,12.502289",3450,198,265
1502088127,2017-08-07T06:42:07Z,ADB3865,"51.445587,12.517881",3700,198,264
1502088117,2017-08-07T06:41:57Z,ADB3865,"51.446415,12.53273",3775,206,265
1502088111,2017-08-07T06:41:51Z,ADB3865,"51.446972,12.543793",3800,213,265
1502088101,2017-08-07T06:41:41Z,ADB3865,"51.447556,12.556705",3800,210,266
1502088091,2017-08-07T06:41:31Z,ADB3865,"51.447968,12.572665",3775,203,268
1502088080,2017-08-07T06:41:20Z,ADB3865,"51.448151,12.588327",3725,205,269
1502088070,2017-08-07T06:41:10Z,ADB3865,"51.448242,12.604362",3650,211,269
1502088060,2017-08-07T06:41:00Z,ADB3865,"51.448368,12.620316",3650,215,269
1502088050,2017-08-07T06:40:50Z,ADB3865,"51.448463,12.64061",3650,225,269
1502088029,2017-08-07T06:40:29Z,ADB3865,"51.4487,12.671764",3725,239,270
1502088020,2017-08-07T06:40:20Z,ADB3865,"51.4487,12.690471",3725,242,269
1502088014,2017-08-07T06:40:14Z,ADB3865,"51.448746,12.69975",3700,243,269
1502088003,2017-08-07T06:40:03Z,ADB3865,"51.448929,12.718753",3700,250,268
1502087972,2017-08-07T06:39:32Z,ADB3865,"51.449341,12.778139",4050,257,270
1502087962,2017-08-07T06:39:22Z,ADB3865,"51.449387,12.797885",4325,256,269
1502087956,2017-08-07T06:39:16Z,ADB3865,"51.449478,12.811618",4500,255,269
1502087946,2017-08-07T06:39:06Z,ADB3865,"51.449627,12.827835",4750,255,269
1502087924,2017-08-07T06:38:44Z,ADB3865,"51.449799,12.87189",5400,253,269
1502087904,2017-08-07T06:38:24Z,ADB3865,"51.450031,12.91005",5825,256,270
1502087883,2017-08-07T06:38:03Z,ADB3865,"51.450161,12.94724",6150,255,270
1502087853,2017-08-07T06:37:33Z,ADB3865,"51.450298,13.00321",6700,254,270
1502087838,2017-08-07T06:37:18Z,ADB3865,"51.450531,13.03372",6950,256,269
1502087823,2017-08-07T06:37:03Z,ADB3865,"51.450581,13.06475",6950,259,270
1502087808,2017-08-07T06:36:48Z,ADB3865,"51.450699,13.08975",7025,257,266
1502087793,2017-08-07T06:36:33Z,ADB3865,"51.451771,13.11812",6975,257,266
1502087778,2017-08-07T06:36:18Z,ADB3865,"51.45293,13.14796",6975,256,266
1502087763,2017-08-07T06:36:03Z,ADB3865,"51.454239,13.17757",6950,256,266
1502087748,2017-08-07T06:35:48Z,ADB3865,"51.455151,13.20393",6975,260,268
1502087733,2017-08-07T06:35:33Z,ADB3865,"51.456188,13.23181",7050,271,265
1502087718,2017-08-07T06:35:18Z,ADB3865,"51.457588,13.26248",7400,272,266
1502087698,2017-08-07T06:34:58Z,ADB3865,"51.4594,13.30872",7900,275,266
1502087672,2017-08-07T06:34:32Z,ADB3865,"51.461311,13.357925",8450,278,266
1502087657,2017-08-07T06:34:17Z,ADB3865,"51.462387,13.385579",8750,279,266
1502087645,2017-08-07T06:34:05Z,ADB3865,"51.463531,13.411263",9050,280,266
1502087633,2017-08-07T06:33:53Z,ADB3865,"51.464336,13.438263",9375,281,266
1502087621,2017-08-07T06:33:41Z,ADB3865,"51.465271,13.46137",9625,282,266
1502087605,2017-08-07T06:33:25Z,ADB3865,"51.466385,13.492584",10025,282,266
1502087593,2017-08-07T06:33:13Z,ADB3865,"51.467361,13.518372",10400,281,266
1502087581,2017-08-07T06:33:01Z,ADB3865,"51.468338,13.543173",10725,279,266
1502087569,2017-08-07T06:32:49Z,ADB3865,"51.469318,13.569946",11000,282,266
1502087557,2017-08-07T06:32:37Z,ADB3865,"51.470078,13.593205",11075,293,267
1502087545,2017-08-07T06:32:25Z,ADB3865,"51.471085,13.620004",11200,302,266
1502087513,2017-08-07T06:31:53Z,ADB3865,"51.473785,13.696536",12125,308,266
1502087476,2017-08-07T06:31:16Z,ADB3865,"51.476952,13.779678",12950,314,266
1502087443,2017-08-07T06:30:43Z,ADB3865,"51.47942,13.855667",14150,314,267
1502087410,2017-08-07T06:30:10Z,ADB3865,"51.481979,13.933792",15150,320,266
1502087377,2017-08-07T06:29:37Z,ADB3865,"51.484493,14.011993",16100,323,267
1502087371,2017-08-07T06:29:31Z,ADB3865,"51.484913,14.028244",16375,323,267
1502087365,2017-08-07T06:29:25Z,ADB3865,"51.485237,14.039917",16500,326,266
1502087308,2017-08-07T06:28:28Z,ADB3865,"51.502651,14.175873",18175,324,256
1502087245,2017-08-07T06:27:25Z,ADB3865,"51.524204,14.325104",19775,327,256
1502087184,2017-08-07T06:26:24Z,ADB3865,"51.544922,14.46788",21275,332,257
1502087121,2017-08-07T06:25:21Z,ADB3865,"51.567356,14.624023",22325,343,256
1502087058,2017-08-07T06:24:18Z,ADB3865,"51.589417,14.78151",23825,354,257
1502086995,2017-08-07T06:23:15Z,ADB3865,"51.613129,14.948755",24025,366,257
1502086932,2017-08-07T06:22:12Z,ADB3865,"51.637184,15.121231",24325,364,257
1502086866,2017-08-07T06:21:06Z,ADB3865,"51.661148,15.295864",26000,375,257
1502086803,2017-08-07T06:20:03Z,ADB3865,"51.684769,15.468527",27925,383,257
1502086732,2017-08-07T06:18:52Z,ADB3865,"51.711437,15.667877",30050,397,257
1502086671,2017-08-07T06:17:51Z,ADB3865,"51.735535,15.850228",32100,406,258
1502086608,2017-08-07T06:16:48Z,ADB3865,"51.760391,16.040707",33075,418,258
1502086545,2017-08-07T06:15:45Z,ADB3865,"51.784801,16.230164",34100,423,258
1502086482,2017-08-07T06:14:42Z,ADB3865,"51.80928,16.422333",34075,422,258
1502086419,2017-08-07T06:13:39Z,ADB3865,"51.833637,16.616745",34000,420,258
1502086356,2017-08-07T06:12:36Z,ADB3865,"51.857803,16.813166",34000,415,258
1502086293,2017-08-07T06:11:33Z,ADB3865,"51.880653,17.001495",34000,411,259
1502086232,2017-08-07T06:10:32Z,ADB3865,"51.902344,17.181778",33950,407,259
1502086171,2017-08-07T06:09:31Z,ADB3865,"51.924973,17.372524",33925,401,259
1502086108,2017-08-07T06:08:28Z,ADB3865,"51.946518,17.557678",33975,395,259
1502086045,2017-08-07T06:07:25Z,ADB3865,"51.967209,17.736816",33950,395,259
1502085984,2017-08-07T06:06:24Z,ADB3865,"51.986298,17.909012",33950,394,260
1502085978,2017-08-07T06:06:18Z,ADB3865,"51.988281,17.926863",33950,394,261
1502085972,2017-08-07T06:06:12Z,ADB3865,"51.989727,17.944597",33925,395,262
1502085966,2017-08-07T06:06:06Z,ADB3865,"51.991074,17.962097",33925,396,264
1502085960,2017-08-07T06:06:00Z,ADB3865,"51.991867,17.97999",33950,398,267
1502085954,2017-08-07T06:05:54Z,ADB3865,"51.992065,17.998657",33950,400,271
1502085903,2017-08-07T06:05:03Z,ADB3865,"51.973015,18.150591",34000,409,284
