Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502907300,2017-08-16T18:15:00Z,ADB234F,"51.130917,-114.035934",0,13,270
1502907284,2017-08-16T18:14:44Z,ADB234F,"51.130611,-114.036194",0,16,270
1502907227,2017-08-16T18:13:47Z,ADB234F,"51.129299,-114.034195",0,27,270
1502907215,2017-08-16T18:13:35Z,ADB234F,"51.129009,-114.033371",0,25,270
1502907203,2017-08-16T18:13:23Z,ADB234F,"51.128735,-114.032646",0,22,270
1502907197,2017-08-16T18:13:17Z,ADB234F,"51.12862,-114.032333",0,20,270
1502907191,2017-08-16T18:13:11Z,ADB234F,"51.128517,-114.032036",0,19,270
1502907185,2017-08-16T18:13:05Z,ADB234F,"51.128414,-114.031776",0,18,270
1502907173,2017-08-16T18:12:53Z,ADB234F,"51.128094,-114.031364",0,20,270
1502907167,2017-08-16T18:12:47Z,ADB234F,"51.127869,-114.031387",0,21,270
1502907161,2017-08-16T18:12:41Z,ADB234F,"51.127636,-114.031494",0,21,270
1502907097,2017-08-16T18:11:37Z,ADB234F,"51.126007,-114.024567",0,15,270
1502907091,2017-08-16T18:11:31Z,ADB234F,"51.126007,-114.023819",0,17,270
1502907070,2017-08-16T18:11:10Z,ADB234F,"51.125996,-114.021378",0,30,270
1502907063,2017-08-16T18:11:03Z,ADB234F,"51.126007,-114.020782",0,32,270
1502907051,2017-08-16T18:10:51Z,ADB234F,"51.126007,-114.019318",0,30,270
1502907045,2017-08-16T18:10:45Z,ADB234F,"51.126007,-114.018822",0,26,270
1502907001,2017-08-16T18:10:01Z,ADB234F,"51.126007,-114.018387",0,0,270
1502906985,2017-08-16T18:09:45Z,ADB234F,"51.126007,-114.018112",0,15,270
1502906977,2017-08-16T18:09:37Z,ADB234F,"51.126007,-114.017792",0,16,270
1502906967,2017-08-16T18:09:27Z,ADB234F,"51.125999,-114.017395",0,21,270
1502906961,2017-08-16T18:09:21Z,ADB234F,"51.125999,-114.01693",0,26,270
1502906955,2017-08-16T18:09:15Z,ADB234F,"51.126007,-114.016403",0,30,270
1502906943,2017-08-16T18:09:03Z,ADB234F,"51.126007,-114.01506",0,30,270
1502906937,2017-08-16T18:08:57Z,ADB234F,"51.125996,-114.014702",0,29,270
1502906931,2017-08-16T18:08:51Z,ADB234F,"51.125996,-114.014168",0,28,270
1502906919,2017-08-16T18:08:39Z,ADB234F,"51.126007,-114.012909",0,18,267
1502906909,2017-08-16T18:08:29Z,ADB234F,"51.126045,-114.011345",0,18,264
1502906877,2017-08-16T18:07:57Z,ADB234F,"51.12611,-114.007507",0,15,270
1502906870,2017-08-16T18:07:50Z,ADB234F,"51.12611,-114.00679",0,18,270
1502906864,2017-08-16T18:07:44Z,ADB234F,"51.126114,-114.005775",0,22,270
1502906858,2017-08-16T18:07:38Z,ADB234F,"51.12611,-114.004837",0,24,270
1502906849,2017-08-16T18:07:29Z,ADB234F,"51.12611,-114.002991",0,23,270
1502906837,2017-08-16T18:07:17Z,ADB234F,"51.126114,-114.00119",0,21,270
1502906822,2017-08-16T18:07:02Z,ADB234F,"51.12611,-113.998947",0,18,270
1502906815,2017-08-16T18:06:55Z,ADB234F,"51.12611,-113.998245",0,16,270
1502906809,2017-08-16T18:06:49Z,ADB234F,"51.12611,-113.997513",0,33,180
1502906801,2017-08-16T18:06:41Z,ADB234F,"51.126114,-113.996666",0,28,180
1502906794,2017-08-16T18:06:34Z,ADB234F,"51.126114,-113.996124",0,26,180
1502906788,2017-08-16T18:06:28Z,ADB234F,"51.126102,-113.995659",0,26,180
1502906777,2017-08-16T18:06:17Z,ADB234F,"51.126183,-113.994644",0,25,180
1502906770,2017-08-16T18:06:10Z,ADB234F,"51.126331,-113.9944",0,24,180
1502906755,2017-08-16T18:05:55Z,ADB234F,"51.127144,-113.994255",0,16,180
1502906703,2017-08-16T18:05:03Z,ADB234F,"51.131596,-113.99427",0,19,180
1502906697,2017-08-16T18:04:57Z,ADB234F,"51.132248,-113.99427",0,19,180
1502906569,2017-08-16T18:02:49Z,ADB234F,"51.13549,-113.991409",0,24,331
1502906561,2017-08-16T18:02:41Z,ADB234F,"51.135075,-113.991058",0,17,331
1502906554,2017-08-16T18:02:34Z,ADB234F,"51.134617,-113.990669",0,21,334
1502906532,2017-08-16T18:02:12Z,ADB234F,"51.130081,-113.990219",0,70,359
1502906513,2017-08-16T18:01:53Z,ADB234F,"51.119381,-113.99028",3575,129,359
1502906507,2017-08-16T18:01:47Z,ADB234F,"51.118359,-113.99025",3575,129,359
1502906493,2017-08-16T18:01:33Z,ADB234F,"51.1077,-113.990173",3700,132,359
1502906487,2017-08-16T18:01:27Z,ADB234F,"51.105839,-113.990173",3725,133,359
