Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503137818,2017-08-19T10:16:58Z,ADB2134,"51.408241,12.203121",0,12,264
1503137797,2017-08-19T10:16:37Z,ADB2134,"51.408649,12.203064",0,14,264
1503137776,2017-08-19T10:16:16Z,ADB2134,"51.408997,12.203007",0,12,264
1503137764,2017-08-19T10:16:04Z,ADB2134,"51.409206,12.20314",0,12,264
1503137755,2017-08-19T10:15:55Z,ADB2134,"51.409229,12.203465",0,17,264
1503137749,2017-08-19T10:15:49Z,ADB2134,"51.409229,12.203712",0,19,264
1503137743,2017-08-19T10:15:43Z,ADB2134,"51.409279,12.204037",0,19,264
1503137733,2017-08-19T10:15:33Z,ADB2134,"51.409492,12.204363",0,21,264
1503137727,2017-08-19T10:15:27Z,ADB2134,"51.409977,12.20459",0,29,264
1503137719,2017-08-19T10:15:19Z,ADB2134,"51.410282,12.204716",0,29,264
1503137709,2017-08-19T10:15:09Z,ADB2134,"51.410854,12.204957",0,32,264
1503137703,2017-08-19T10:15:03Z,ADB2134,"51.411221,12.205124",0,15,264
1503137697,2017-08-19T10:14:57Z,ADB2134,"51.41151,12.205448",0,32,264
1503137688,2017-08-19T10:14:48Z,ADB2134,"51.411713,12.20633",0,16,264
1503137682,2017-08-19T10:14:42Z,ADB2134,"51.411747,12.207129",0,20,264
1503137676,2017-08-19T10:14:36Z,ADB2134,"51.411793,12.208167",0,22,264
1503137667,2017-08-19T10:14:27Z,ADB2134,"51.411873,12.209856",0,32,264
1503137661,2017-08-19T10:14:21Z,ADB2134,"51.411942,12.211322",0,34,267
1503137655,2017-08-19T10:14:15Z,ADB2134,"51.41201,12.212863",0,35,264
1503137649,2017-08-19T10:14:09Z,ADB2134,"51.41209,12.214607",0,40,264
1503137643,2017-08-19T10:14:03Z,ADB2134,"51.41217,12.21637",0,43,264
1503137637,2017-08-19T10:13:57Z,ADB2134,"51.41227,12.218456",0,50,264
1503137631,2017-08-19T10:13:51Z,ADB2134,"51.412376,12.22075",0,58,264
1503137625,2017-08-19T10:13:45Z,ADB2134,"51.412502,12.223434",0,59,267
1503137619,2017-08-19T10:13:39Z,ADB2134,"51.412628,12.226505",0,63,267
1503137609,2017-08-19T10:13:29Z,ADB2134,"51.412849,12.231178",0,76,267
1503137596,2017-08-19T10:13:16Z,ADB2134,"51.413246,12.239742",0,105,267
1503137573,2017-08-19T10:12:53Z,ADB2134,"51.414413,12.264083",550,142,265
1503137567,2017-08-19T10:12:47Z,ADB2134,"51.414806,12.2715",625,141,265
1503137561,2017-08-19T10:12:41Z,ADB2134,"51.415009,12.276257",675,140,266
1503137552,2017-08-19T10:12:32Z,ADB2134,"51.415363,12.284698",775,138,265
1503137546,2017-08-19T10:12:26Z,ADB2134,"51.415695,12.290731",825,139,265
1503137537,2017-08-19T10:12:17Z,ADB2134,"51.416157,12.300034",925,142,265
1503137531,2017-08-19T10:12:11Z,ADB2134,"51.416428,12.306469",1025,147,266
1503137525,2017-08-19T10:12:05Z,ADB2134,"51.416748,12.312778",1100,149,265
1503137519,2017-08-19T10:11:59Z,ADB2134,"51.417206,12.319386",1200,151,265
1503137510,2017-08-19T10:11:50Z,ADB2134,"51.417526,12.330075",1325,151,265
1503137504,2017-08-19T10:11:44Z,ADB2134,"51.417847,12.337052",1400,152,265
1503137498,2017-08-19T10:11:38Z,ADB2134,"51.418167,12.343585",1475,150,266
1503137492,2017-08-19T10:11:32Z,ADB2134,"51.418442,12.349969",1575,147,266
1503137486,2017-08-19T10:11:26Z,ADB2134,"51.418716,12.356567",1650,148,266
1503137480,2017-08-19T10:11:20Z,ADB2134,"51.419037,12.363851",1750,148,265
1503137474,2017-08-19T10:11:14Z,ADB2134,"51.419319,12.369843",1825,149,265
1503137468,2017-08-19T10:11:08Z,ADB2134,"51.419632,12.376247",1900,147,266
1503137462,2017-08-19T10:11:02Z,ADB2134,"51.419926,12.382965",1975,145,265
1503137456,2017-08-19T10:10:56Z,ADB2134,"51.420227,12.389015",2000,145,266
1503137450,2017-08-19T10:10:50Z,ADB2134,"51.420486,12.395401",2050,144,266
1503137444,2017-08-19T10:10:44Z,ADB2134,"51.420731,12.401857",2150,140,265
1503137438,2017-08-19T10:10:38Z,ADB2134,"51.421097,12.408463",2225,139,265
1503137432,2017-08-19T10:10:32Z,ADB2134,"51.421371,12.414328",2300,140,265
1503137423,2017-08-19T10:10:23Z,ADB2134,"51.421741,12.42363",2425,140,267
1503137417,2017-08-19T10:10:17Z,ADB2134,"51.421928,12.42981",2525,140,267
1503137411,2017-08-19T10:10:11Z,ADB2134,"51.422161,12.436066",2600,140,266
1503137402,2017-08-19T10:10:02Z,ADB2134,"51.422516,12.445432",2725,140,266
1503137396,2017-08-19T10:09:56Z,ADB2134,"51.422718,12.451859",2825,140,267
1503137389,2017-08-19T10:09:49Z,ADB2134,"51.422859,12.458191",2900,140,269
1503137383,2017-08-19T10:09:43Z,ADB2134,"51.422905,12.464676",2925,140,270
1503137374,2017-08-19T10:09:34Z,ADB2134,"51.422905,12.473984",2950,142,270
1503137366,2017-08-19T10:09:26Z,ADB2134,"51.423,12.483139",3000,142,267
1503137357,2017-08-19T10:09:17Z,ADB2134,"51.423386,12.49294",2950,154,264
1503137350,2017-08-19T10:09:10Z,ADB2134,"51.424026,12.500066",2950,160,259
1503137344,2017-08-19T10:09:04Z,ADB2134,"51.425079,12.506969",2950,161,256
1503137338,2017-08-19T10:08:58Z,ADB2134,"51.426163,12.514267",2950,163,251
1503137332,2017-08-19T10:08:52Z,ADB2134,"51.427963,12.520702",2925,164,242
1503137326,2017-08-19T10:08:46Z,ADB2134,"51.430344,12.52679",2950,164,230
1503137320,2017-08-19T10:08:40Z,ADB2134,"51.433426,12.532501",2950,161,227
1503137314,2017-08-19T10:08:34Z,ADB2134,"51.436432,12.537553",2900,159,226
1503137293,2017-08-19T10:08:13Z,ADB2134,"51.451069,12.549286",2850,172,174
1503137287,2017-08-19T10:08:07Z,ADB2134,"51.454933,12.548218",2875,175,165
1503137281,2017-08-19T10:08:01Z,ADB2134,"51.459869,12.545941",2875,177,162
1503137275,2017-08-19T10:07:55Z,ADB2134,"51.46471,12.543488",2875,177,162
1503137269,2017-08-19T10:07:49Z,ADB2134,"51.468807,12.541351",2900,179,162
1503137263,2017-08-19T10:07:43Z,ADB2134,"51.473648,12.538834",2900,184,162
1503137254,2017-08-19T10:07:34Z,ADB2134,"51.481567,12.534881",2925,193,162
1503137246,2017-08-19T10:07:26Z,ADB2134,"51.489075,12.531095",3050,196,163
1503137236,2017-08-19T10:07:16Z,ADB2134,"51.497498,12.527086",3200,192,163
1503137230,2017-08-19T10:07:10Z,ADB2134,"51.502304,12.524859",3325,192,163
1503137224,2017-08-19T10:07:04Z,ADB2134,"51.507477,12.522484",3450,193,164
1503137218,2017-08-19T10:06:58Z,ADB2134,"51.51265,12.520035",3575,193,162
1503137212,2017-08-19T10:06:52Z,ADB2134,"51.517914,12.516916",3675,199,155
1503137206,2017-08-19T10:06:46Z,ADB2134,"51.522629,12.512686",3750,205,142
1503137200,2017-08-19T10:06:40Z,ADB2134,"51.526566,12.506375",3850,210,128
1503137194,2017-08-19T10:06:34Z,ADB2134,"51.530117,12.498322",3900,215,122
1503137186,2017-08-19T10:06:26Z,ADB2134,"51.535355,12.485293",3925,220,121
1503137179,2017-08-19T10:06:19Z,ADB2134,"51.539017,12.475347",3925,223,121
1503137173,2017-08-19T10:06:13Z,ADB2134,"51.541752,12.468262",3925,226,121
1503137167,2017-08-19T10:06:07Z,ADB2134,"51.544781,12.460709",3925,226,121
1503137161,2017-08-19T10:06:01Z,ADB2134,"51.548218,12.451741",3950,225,121
1503137155,2017-08-19T10:05:55Z,ADB2134,"51.551342,12.443619",3975,221,121
1503137149,2017-08-19T10:05:49Z,ADB2134,"51.554489,12.434964",4000,218,121
