Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503286012,2017-08-21T03:26:52Z,ADB2135,"40.108292,43.298679",26975,448,88
1503285949,2017-08-21T03:25:49Z,ADB2135,"40.104446,43.127747",26975,447,88
1503285888,2017-08-21T03:24:48Z,ADB2135,"40.100609,42.963348",27000,445,88
1503285827,2017-08-21T03:23:47Z,ADB2135,"40.096561,42.801861",26975,443,88
1503285664,2017-08-21T03:21:04Z,ADB2135,"40.084671,42.369934",26975,436,87
1503285601,2017-08-21T03:20:01Z,ADB2135,"40.079662,42.204418",26975,433,87
1503285538,2017-08-21T03:18:58Z,ADB2135,"40.074448,42.039997",26975,431,87
1503285475,2017-08-21T03:17:55Z,ADB2135,"40.069,41.875824",26975,427,87
1503285414,2017-08-21T03:16:54Z,ADB2135,"40.063694,41.720707",26975,424,87
1503285351,2017-08-21T03:15:51Z,ADB2135,"40.057983,41.559631",26950,422,87
1503285290,2017-08-21T03:14:50Z,ADB2135,"40.052334,41.406284",26950,418,87
1503285227,2017-08-21T03:13:47Z,ADB2135,"40.046265,41.247314",26925,416,87
1503285164,2017-08-21T03:12:44Z,ADB2135,"40.039951,41.087933",26750,417,87
1503285103,2017-08-21T03:11:43Z,ADB2135,"40.033714,40.935993",26375,424,86
1503285041,2017-08-21T03:10:41Z,ADB2135,"40.026779,40.773636",25950,434,86
1503284952,2017-08-21T03:09:12Z,ADB2135,"40.016418,40.540344",25475,442,86
1503284906,2017-08-21T03:08:26Z,ADB2135,"40.010742,40.416748",25175,449,86
1503284830,2017-08-21T03:07:10Z,ADB2135,"40.001034,40.210461",25025,452,86
1503284768,2017-08-21T03:06:08Z,ADB2135,"39.992561,40.037239",25025,451,86
1503284679,2017-08-21T03:04:39Z,ADB2135,"39.980553,39.79966",25025,450,86
1503284673,2017-08-21T03:04:33Z,ADB2135,"39.979622,39.782055",25050,449,86
1503284612,2017-08-21T03:03:32Z,ADB2135,"39.971149,39.619507",25025,449,86
1503284522,2017-08-21T03:02:02Z,ADB2135,"39.957695,39.372066",25025,445,85
1503284488,2017-08-21T03:01:28Z,ADB2135,"39.952927,39.287476",25025,444,85
1503284383,2017-08-21T02:59:43Z,ADB2135,"39.936794,39.005337",25000,440,85
1503284356,2017-08-21T02:59:16Z,ADB2135,"39.932648,38.934673",24975,439,85
1503284290,2017-08-21T02:58:10Z,ADB2135,"39.922127,38.760803",25025,434,85
1503284229,2017-08-21T02:57:09Z,ADB2135,"39.912491,38.606567",25025,430,85
1503284166,2017-08-21T02:56:06Z,ADB2135,"39.902435,38.44281",25000,427,85
1503284103,2017-08-21T02:55:03Z,ADB2135,"39.892147,38.281921",24950,423,85
1503284016,2017-08-21T02:53:36Z,ADB2135,"39.877438,38.057434",25025,414,85
1503284001,2017-08-21T02:53:21Z,ADB2135,"39.875389,38.02655",25025,413,84
1503283938,2017-08-21T02:52:18Z,ADB2135,"39.864822,37.871216",25025,407,84
1503283874,2017-08-21T02:51:14Z,ADB2135,"39.854347,37.717529",24950,404,85
1503283654,2017-08-21T02:47:34Z,ADB2135,"39.813522,37.192017",24100,389,83
1503283621,2017-08-21T02:47:01Z,ADB2135,"39.807587,37.118744",23900,387,83
1503283554,2017-08-21T02:45:54Z,ADB2135,"39.793076,36.965771",23350,386,81
1503283548,2017-08-21T02:45:48Z,ADB2135,"39.791748,36.95108",23300,386,83
1503283541,2017-08-21T02:45:41Z,ADB2135,"39.790833,36.938126",23250,385,86
1503283533,2017-08-21T02:45:33Z,ADB2135,"39.790237,36.91687",23175,385,89
1503283478,2017-08-21T02:44:38Z,ADB2135,"39.803608,36.793518",22825,378,100
1503283417,2017-08-21T02:43:37Z,ADB2135,"39.822876,36.65839",22450,371,100
1503283356,2017-08-21T02:42:36Z,ADB2135,"39.841686,36.525757",21925,370,99
1503283293,2017-08-21T02:41:33Z,ADB2135,"39.860867,36.387085",21425,366,100
1503283232,2017-08-21T02:40:32Z,ADB2135,"39.878906,36.256195",20950,362,99
1503283168,2017-08-21T02:39:28Z,ADB2135,"39.897457,36.1203",20550,358,99
1503283105,2017-08-21T02:38:25Z,ADB2135,"39.915611,35.985718",20275,355,99
1503283044,2017-08-21T02:37:24Z,ADB2135,"39.932697,35.858501",19975,352,99
