Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503292799,2017-08-21T05:19:59Z,ADB2134,"37.678452,61.131275",11675,341,98
1503292771,2017-08-21T05:19:31Z,ADB2134,"37.684547,61.080521",12150,346,98
1503292712,2017-08-21T05:18:32Z,ADB2134,"37.698978,60.960209",13575,352,98
1503292697,2017-08-21T05:18:17Z,ADB2134,"37.702606,60.929592",14050,356,98
1503292634,2017-08-21T05:17:14Z,ADB2134,"37.718491,60.797813",15550,370,98
1503292625,2017-08-21T05:17:05Z,ADB2134,"37.720951,60.778637",15750,371,98
1503292594,2017-08-21T05:16:34Z,ADB2134,"37.728493,60.71212",16475,376,97
1503292554,2017-08-21T05:15:54Z,ADB2134,"37.736595,60.622856",17350,385,94
1503292548,2017-08-21T05:15:48Z,ADB2134,"37.737293,60.609901",17475,386,92
1503292542,2017-08-21T05:15:42Z,ADB2134,"37.737717,60.59597",17600,388,91
1503292536,2017-08-21T05:15:36Z,ADB2134,"37.73827,60.581837",17725,390,94
1503292529,2017-08-21T05:15:29Z,ADB2134,"37.740326,60.564472",17925,392,104
1503292523,2017-08-21T05:15:23Z,ADB2134,"37.74321,60.553135",18050,395,110
1503292517,2017-08-21T05:15:17Z,ADB2134,"37.747581,60.540817",18225,396,120
1503292464,2017-08-21T05:14:24Z,ADB2134,"37.813404,60.446358",19525,409,132
1503292403,2017-08-21T05:13:23Z,ADB2134,"37.893661,60.335781",20900,425,132
1503292335,2017-08-21T05:12:15Z,ADB2134,"37.982529,60.20718",22800,436,126
1503292329,2017-08-21T05:12:09Z,ADB2134,"37.989532,60.194618",22975,437,124
1503292323,2017-08-21T05:12:03Z,ADB2134,"37.99649,60.181938",23125,439,122
1503292316,2017-08-21T05:11:56Z,ADB2134,"38.003448,60.167793",23275,440,120
1503292310,2017-08-21T05:11:50Z,ADB2134,"38.009171,60.154179",23425,443,116
1503292260,2017-08-21T05:11:00Z,ADB2134,"38.039185,60.031326",25175,441,104
1503292198,2017-08-21T05:09:58Z,ADB2134,"38.07312,59.872684",26775,457,104
1503292136,2017-08-21T05:08:56Z,ADB2134,"38.107635,59.710167",28350,465,104
1503292074,2017-08-21T05:07:54Z,ADB2134,"38.142426,59.545372",29000,473,104
1503292013,2017-08-21T05:06:53Z,ADB2134,"38.176979,59.380268",29000,474,104
1503291951,2017-08-21T05:05:51Z,ADB2134,"38.211334,59.215534",29000,473,104
1503291890,2017-08-21T05:04:50Z,ADB2134,"38.245548,59.049664",29000,473,104
1503291828,2017-08-21T05:03:48Z,ADB2134,"38.278927,58.885464",29000,471,104
1503291767,2017-08-21T05:02:47Z,ADB2134,"38.312214,58.721325",29000,470,104
1503291705,2017-08-21T05:01:45Z,ADB2134,"38.34573,58.554562",29025,471,104
1503291641,2017-08-21T05:00:41Z,ADB2134,"38.376129,58.380154",29000,471,100
1503291635,2017-08-21T05:00:35Z,ADB2134,"38.378643,58.364033",29000,471,102
1503291582,2017-08-21T04:59:42Z,ADB2134,"38.420307,58.226257",29025,471,114
1503291519,2017-08-21T04:58:39Z,ADB2134,"38.475403,58.07003",29025,470,114
1503291456,2017-08-21T04:57:36Z,ADB2134,"38.531567,57.910522",29000,470,114
1503291391,2017-08-21T04:56:31Z,ADB2134,"38.592411,57.746338",29000,469,117
1503291385,2017-08-21T04:56:25Z,ADB2134,"38.598324,57.731323",29000,470,115
1503291379,2017-08-21T04:56:19Z,ADB2134,"38.60405,57.715027",29025,470,112
1503291317,2017-08-21T04:55:17Z,ADB2134,"38.640079,57.548828",29000,471,103
1503291254,2017-08-21T04:54:14Z,ADB2134,"38.672947,57.379944",29025,470,103
1503291192,2017-08-21T04:53:12Z,ADB2134,"38.705486,57.211121",29000,470,103
1503291126,2017-08-21T04:52:06Z,ADB2134,"38.739563,57.034119",29000,470,103
1503291064,2017-08-21T04:51:04Z,ADB2134,"38.771496,56.865173",29000,471,103
1503291002,2017-08-21T04:50:02Z,ADB2134,"38.802841,56.697037",29000,470,103
1503290939,2017-08-21T04:48:59Z,ADB2134,"38.834244,56.529076",29000,470,103
1503290877,2017-08-21T04:47:57Z,ADB2134,"38.865952,56.356995",29025,470,103
1503290814,2017-08-21T04:46:54Z,ADB2134,"38.896774,56.188919",29000,470,103
1503290752,2017-08-21T04:45:52Z,ADB2134,"38.927586,56.019226",29000,470,103
1503290689,2017-08-21T04:44:49Z,ADB2134,"38.958939,55.845478",29025,469,102
1503290628,2017-08-21T04:43:48Z,ADB2134,"38.987545,55.684082",29000,469,102
1503290565,2017-08-21T04:42:45Z,ADB2134,"39.017853,55.512901",29000,469,102
1503290503,2017-08-21T04:41:43Z,ADB2134,"39.048946,55.335938",29000,469,102
1503290416,2017-08-21T04:40:16Z,ADB2134,"39.089401,55.102467",29000,469,102
1503290369,2017-08-21T04:39:29Z,ADB2134,"39.112072,54.970947",29025,469,102
1503290351,2017-08-21T04:39:11Z,ADB2134,"39.119614,54.927612",29025,469,102
1503290263,2017-08-21T04:37:43Z,ADB2134,"39.160393,54.686707",29000,468,102
1503290230,2017-08-21T04:37:10Z,ADB2134,"39.175323,54.597691",29000,468,102
1503290142,2017-08-21T04:35:42Z,ADB2134,"39.215187,54.358582",29000,469,101
1503290078,2017-08-21T04:34:38Z,ADB2134,"39.243851,54.184212",29025,468,101
1503290069,2017-08-21T04:34:29Z,ADB2134,"39.247959,54.159241",29000,468,101
1503290006,2017-08-21T04:33:26Z,ADB2134,"39.276627,53.982937",29000,468,101
1503289918,2017-08-21T04:31:58Z,ADB2134,"39.315582,53.740398",29000,467,101
1503289894,2017-08-21T04:31:34Z,ADB2134,"39.325237,53.679749",29025,467,101
1503289831,2017-08-21T04:30:31Z,ADB2134,"39.352386,53.508373",29000,467,101
1503289770,2017-08-21T04:29:30Z,ADB2134,"39.378342,53.343819",29000,466,101
1503289707,2017-08-21T04:28:27Z,ADB2134,"39.405121,53.170128",28975,465,101
1503289644,2017-08-21T04:27:24Z,ADB2134,"39.431488,52.997929",29000,464,101
1503289581,2017-08-21T04:26:21Z,ADB2134,"39.457809,52.825966",29000,463,100
1503289518,2017-08-21T04:25:18Z,ADB2134,"39.483608,52.65448",29000,462,100
1503289456,2017-08-21T04:24:16Z,ADB2134,"39.508392,52.486706",29000,462,100
1503289395,2017-08-21T04:23:15Z,ADB2134,"39.532764,52.320923",29000,462,100
1503289286,2017-08-21T04:21:26Z,ADB2134,"39.575779,52.024719",28975,461,100
1503289243,2017-08-21T04:20:43Z,ADB2134,"39.592167,51.910217",29000,461,100
1503289180,2017-08-21T04:19:40Z,ADB2134,"39.616653,51.737305",29025,459,100
1503289117,2017-08-21T04:18:37Z,ADB2134,"39.640488,51.566406",29025,458,99
1503289054,2017-08-21T04:17:34Z,ADB2134,"39.668839,51.397705",29000,458,103
1503288993,2017-08-21T04:16:33Z,ADB2134,"39.698444,51.236267",29000,458,103
1503288930,2017-08-21T04:15:30Z,ADB2134,"39.72908,51.066902",29000,457,103
1503288867,2017-08-21T04:14:27Z,ADB2134,"39.759567,50.898346",28975,456,103
1503288803,2017-08-21T04:13:23Z,ADB2134,"39.789597,50.72961",29000,454,102
1503288740,2017-08-21T04:12:20Z,ADB2134,"39.819435,50.559937",29025,454,102
1503288677,2017-08-21T04:11:17Z,ADB2134,"39.848808,50.391968",29000,454,102
1503288616,2017-08-21T04:10:16Z,ADB2134,"39.87632,50.233459",29000,452,102
1503288554,2017-08-21T04:09:14Z,ADB2134,"39.905411,50.064098",29025,451,102
1503288490,2017-08-21T04:08:10Z,ADB2134,"39.933952,49.896908",29000,451,102
1503288427,2017-08-21T04:07:07Z,ADB2134,"39.96207,49.729614",29000,449,102
1503288366,2017-08-21T04:06:06Z,ADB2134,"39.98877,49.570923",29000,446,102
1503288303,2017-08-21T04:05:03Z,ADB2134,"40.016418,49.404114",29025,444,102
1503288240,2017-08-21T04:04:00Z,ADB2134,"40.043427,49.238159",29000,444,101
1503288179,2017-08-21T04:02:59Z,ADB2134,"40.069233,49.079674",29000,441,101
