Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503685064,2017-08-25T18:17:44Z,ADB2135,"63.979454,-22.589369",0,11,157
1503685052,2017-08-25T18:17:32Z,ADB2135,"63.979671,-22.589159",0,19,157
1503685043,2017-08-25T18:17:23Z,ADB2135,"63.979977,-22.588852",0,21,157
1503685034,2017-08-25T18:17:14Z,ADB2135,"63.980312,-22.588577",0,23,157
1503685028,2017-08-25T18:17:08Z,ADB2135,"63.980579,-22.588715",0,25,157
1503685015,2017-08-25T18:16:55Z,ADB2135,"63.98122,-22.589319",0,15,157
1503685009,2017-08-25T18:16:49Z,ADB2135,"63.981651,-22.589739",0,16,157
1503685003,2017-08-25T18:16:43Z,ADB2135,"63.982063,-22.590109",0,16,157
1503684997,2017-08-25T18:16:37Z,ADB2135,"63.98259,-22.590611",0,15,180
1503684988,2017-08-25T18:16:28Z,ADB2135,"63.983105,-22.591112",0,15,180
1503684982,2017-08-25T18:16:22Z,ADB2135,"63.983513,-22.591488",0,15,180
1503684976,2017-08-25T18:16:16Z,ADB2135,"63.983929,-22.591879",0,15,180
1503684967,2017-08-25T18:16:07Z,ADB2135,"63.984478,-22.592434",0,34,180
1503684961,2017-08-25T18:16:01Z,ADB2135,"63.984867,-22.592724",0,31,180
1503684955,2017-08-25T18:15:55Z,ADB2135,"63.985249,-22.592808",0,30,180
1503684949,2017-08-25T18:15:49Z,ADB2135,"63.985573,-22.592808",0,30,180
1503684943,2017-08-25T18:15:43Z,ADB2135,"63.985947,-22.592779",0,32,180
1503684936,2017-08-25T18:15:36Z,ADB2135,"63.986343,-22.592808",0,15,180
1503684928,2017-08-25T18:15:28Z,ADB2135,"63.986996,-22.592777",0,16,180
1503684921,2017-08-25T18:15:21Z,ADB2135,"63.987499,-22.592882",0,17,168
1503684915,2017-08-25T18:15:15Z,ADB2135,"63.987972,-22.593164",0,17,163
1503684907,2017-08-25T18:15:07Z,ADB2135,"63.988644,-22.593596",0,15,135
1503684900,2017-08-25T18:15:00Z,ADB2135,"63.989021,-22.594044",0,34,135
1503684892,2017-08-25T18:14:52Z,ADB2135,"63.98946,-22.595058",0,15,135
1503684885,2017-08-25T18:14:45Z,ADB2135,"63.989777,-22.595787",0,16,135
1503684879,2017-08-25T18:14:39Z,ADB2135,"63.990097,-22.596527",0,16,135
1503684871,2017-08-25T18:14:31Z,ADB2135,"63.990555,-22.597557",0,15,154
1503684864,2017-08-25T18:14:24Z,ADB2135,"63.990845,-22.59819",0,32,134
1503684858,2017-08-25T18:14:18Z,ADB2135,"63.991138,-22.59885",0,30,133
1503684852,2017-08-25T18:14:12Z,ADB2135,"63.991371,-22.599344",0,27,133
1503684843,2017-08-25T18:14:03Z,ADB2135,"63.991688,-22.600224",0,29,112
1503684837,2017-08-25T18:13:57Z,ADB2135,"63.991753,-22.600937",0,30,89
1503684828,2017-08-25T18:13:48Z,ADB2135,"63.991764,-22.602283",0,34,88
1503684819,2017-08-25T18:13:39Z,ADB2135,"63.991753,-22.603601",0,30,89
1503684812,2017-08-25T18:13:32Z,ADB2135,"63.991753,-22.604343",0,25,89
1503684806,2017-08-25T18:13:26Z,ADB2135,"63.991753,-22.604893",0,21,89
1503684800,2017-08-25T18:13:20Z,ADB2135,"63.991753,-22.605387",0,20,89
1503684792,2017-08-25T18:13:12Z,ADB2135,"63.991756,-22.60614",0,18,89
1503684785,2017-08-25T18:13:05Z,ADB2135,"63.991753,-22.606541",0,17,89
1503684779,2017-08-25T18:12:59Z,ADB2135,"63.991753,-22.606897",0,16,89
1503684773,2017-08-25T18:12:53Z,ADB2135,"63.991753,-22.607254",0,15,89
1503684759,2017-08-25T18:12:39Z,ADB2135,"63.991745,-22.607883",0,10,110
1503684603,2017-08-25T18:10:03Z,ADB2135,"63.991741,-22.60816",0,2,89
1503684594,2017-08-25T18:09:54Z,ADB2135,"63.991745,-22.608385",0,12,76
1503684588,2017-08-25T18:09:48Z,ADB2135,"63.991722,-22.608648",0,15,59
1503684579,2017-08-25T18:09:39Z,ADB2135,"63.991604,-22.609095",0,15,33
1503684567,2017-08-25T18:09:27Z,ADB2135,"63.991356,-22.609257",0,15,1
1503684555,2017-08-25T18:09:15Z,ADB2135,"63.991047,-22.609257",0,14,1
