Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503811905,2017-08-27T05:31:45Z,ADB2135,"51.408211,12.204641",0,13,199
1503811893,2017-08-27T05:31:33Z,ADB2135,"51.408428,12.204609",0,13,199
1503811878,2017-08-27T05:31:18Z,ADB2135,"51.408695,12.20459",0,13,199
1503811866,2017-08-27T05:31:06Z,ADB2135,"51.408939,12.204552",0,15,199
1503811854,2017-08-27T05:30:54Z,ADB2135,"51.40929,12.204494",0,16,199
1503811842,2017-08-27T05:30:42Z,ADB2135,"51.409653,12.2044",0,22,199
1503811833,2017-08-27T05:30:33Z,ADB2135,"51.409988,12.204552",0,21,199
1503811827,2017-08-27T05:30:27Z,ADB2135,"51.410198,12.204647",0,22,199
1503811821,2017-08-27T05:30:21Z,ADB2135,"51.410454,12.204753",0,24,199
1503811815,2017-08-27T05:30:15Z,ADB2135,"51.410706,12.204883",0,27,199
1503811809,2017-08-27T05:30:09Z,ADB2135,"51.411243,12.205161",0,16,208
1503811803,2017-08-27T05:30:03Z,ADB2135,"51.411449,12.205402",0,16,225
1503811797,2017-08-27T05:29:57Z,ADB2135,"51.411686,12.206078",0,17,255
1503811791,2017-08-27T05:29:51Z,ADB2135,"51.411777,12.206917",0,24,264
1503811782,2017-08-27T05:29:42Z,ADB2135,"51.411873,12.209095",0,38,267
1503811776,2017-08-27T05:29:36Z,ADB2135,"51.411919,12.210846",0,43,267
1503811770,2017-08-27T05:29:30Z,ADB2135,"51.411999,12.212881",0,49,267
1503811764,2017-08-27T05:29:24Z,ADB2135,"51.412117,12.215195",0,52,264
1503811758,2017-08-27T05:29:18Z,ADB2135,"51.41222,12.217541",0,58,264
1503811752,2017-08-27T05:29:12Z,ADB2135,"51.41235,12.220325",0,67,264
1503811746,2017-08-27T05:29:06Z,ADB2135,"51.412491,12.223459",0,80,264
1503811740,2017-08-27T05:29:00Z,ADB2135,"51.412724,12.227898",0,98,264
1503811734,2017-08-27T05:28:54Z,ADB2135,"51.412926,12.232052",0,110,267
1503811728,2017-08-27T05:28:48Z,ADB2135,"51.413177,12.237804",350,132,266
1503811713,2017-08-27T05:28:33Z,ADB2135,"51.413876,12.253494",400,149,265
1503811707,2017-08-27T05:28:27Z,ADB2135,"51.4142,12.260132",500,150,266
1503811701,2017-08-27T05:28:21Z,ADB2135,"51.414524,12.26738",600,149,266
1503811695,2017-08-27T05:28:15Z,ADB2135,"51.41478,12.274179",700,148,266
1503811677,2017-08-27T05:27:57Z,ADB2135,"51.415649,12.293181",925,144,265
1503811671,2017-08-27T05:27:51Z,ADB2135,"51.416016,12.299269",1000,143,265
1503811665,2017-08-27T05:27:45Z,ADB2135,"51.41634,12.306595",1075,142,265
1503811659,2017-08-27T05:27:39Z,ADB2135,"51.416611,12.311888",1150,142,266
1503811653,2017-08-27T05:27:33Z,ADB2135,"51.41684,12.318717",1225,141,266
1503811647,2017-08-27T05:27:27Z,ADB2135,"51.417088,12.325058",1300,141,266
1503811641,2017-08-27T05:27:21Z,ADB2135,"51.417366,12.331085",1350,143,265
1503811635,2017-08-27T05:27:15Z,ADB2135,"51.417645,12.337494",1425,144,265
1503811629,2017-08-27T05:27:09Z,ADB2135,"51.417984,12.344105",1525,145,265
1503811620,2017-08-27T05:27:00Z,ADB2135,"51.418438,12.353668",1650,146,266
1503811614,2017-08-27T05:26:54Z,ADB2135,"51.418716,12.360065",1750,145,266
1503811608,2017-08-27T05:26:48Z,ADB2135,"51.418995,12.366333",1800,145,266
1503811602,2017-08-27T05:26:42Z,ADB2135,"51.419319,12.373962",1900,144,266
1503811596,2017-08-27T05:26:36Z,ADB2135,"51.41954,12.379736",1950,144,266
1503811590,2017-08-27T05:26:30Z,ADB2135,"51.419861,12.38612",2025,144,265
1503811584,2017-08-27T05:26:24Z,ADB2135,"51.420181,12.392504",2075,145,265
1503811578,2017-08-27T05:26:18Z,ADB2135,"51.420547,12.399036",2150,144,265
1503811553,2017-08-27T05:25:53Z,ADB2135,"51.421234,12.425017",2475,148,270
1503811547,2017-08-27T05:25:47Z,ADB2135,"51.421185,12.43187",2575,150,271
1503811541,2017-08-27T05:25:41Z,ADB2135,"51.421043,12.438202",2675,151,272
1503811532,2017-08-27T05:25:32Z,ADB2135,"51.420776,12.448252",2825,155,271
1503811523,2017-08-27T05:25:23Z,ADB2135,"51.420502,12.459832",3000,157,272
1503811514,2017-08-27T05:25:14Z,ADB2135,"51.420181,12.469259",3150,160,273
1503811506,2017-08-27T05:25:06Z,ADB2135,"51.419506,12.480698",3175,171,277
1503811499,2017-08-27T05:24:59Z,ADB2135,"51.418808,12.48848",3225,176,277
1503811493,2017-08-27T05:24:53Z,ADB2135,"51.418343,12.496262",3250,184,271
1503811487,2017-08-27T05:24:47Z,ADB2135,"51.418625,12.504891",3275,191,260
1503811481,2017-08-27T05:24:41Z,ADB2135,"51.419861,12.512759",3300,198,252
1503811475,2017-08-27T05:24:35Z,ADB2135,"51.4216,12.521297",3325,205,250
1503811464,2017-08-27T05:24:24Z,ADB2135,"51.425838,12.537003",3425,221,232
1503811458,2017-08-27T05:24:18Z,ADB2135,"51.429375,12.544785",3450,225,228
1503811452,2017-08-27T05:24:12Z,ADB2135,"51.434544,12.553101",3500,237,216
1503811428,2017-08-27T05:23:48Z,ADB2135,"51.459637,12.564087",3850,258,169
1503811422,2017-08-27T05:23:42Z,ADB2135,"51.46701,12.560714",4025,262,158
1503811403,2017-08-27T05:23:23Z,ADB2135,"51.488682,12.54158",4475,273,149
1503811393,2017-08-27T05:23:13Z,ADB2135,"51.499809,12.5312",4625,273,149
1503811379,2017-08-27T05:22:59Z,ADB2135,"51.518059,12.51366",4875,268,148
1503811368,2017-08-27T05:22:48Z,ADB2135,"51.525551,12.50648",4975,268,148
1503811354,2017-08-27T05:22:34Z,ADB2135,"51.54213,12.49056",5125,283,149
1503811339,2017-08-27T05:22:19Z,ADB2135,"51.55975,12.47357",5275,282,148
1503811318,2017-08-27T05:21:58Z,ADB2135,"51.586071,12.44796",5650,289,148
1503811290,2017-08-27T05:21:30Z,ADB2135,"51.615692,12.419228",6200,291,149
1503811278,2017-08-27T05:21:18Z,ADB2135,"51.627319,12.408018",6400,292,149
1503811266,2017-08-27T05:21:06Z,ADB2135,"51.643795,12.392349",6625,296,148
1503811254,2017-08-27T05:20:54Z,ADB2135,"51.655434,12.380829",6800,296,147
1503811242,2017-08-27T05:20:42Z,ADB2135,"51.669434,12.366226",7000,298,146
1503811236,2017-08-27T05:20:36Z,ADB2135,"51.677444,12.357838",7150,298,147
1503811230,2017-08-27T05:20:30Z,ADB2135,"51.684063,12.350922",7225,298,146
1503811218,2017-08-27T05:20:18Z,ADB2135,"51.69733,12.335663",7425,303,140
1503811206,2017-08-27T05:20:06Z,ADB2135,"51.711136,12.31508",7650,306,135
1503811194,2017-08-27T05:19:54Z,ADB2135,"51.721848,12.298378",7800,308,136
1503811182,2017-08-27T05:19:42Z,ADB2135,"51.734299,12.278707",8050,311,135
1503811170,2017-08-27T05:19:30Z,ADB2135,"51.747482,12.257847",8300,313,135
1503811158,2017-08-27T05:19:18Z,ADB2135,"51.759991,12.238388",8550,314,135
1503811146,2017-08-27T05:19:06Z,ADB2135,"51.77256,12.218781",8825,316,135
1503811134,2017-08-27T05:18:54Z,ADB2135,"51.784515,12.199872",9050,317,135
1503811118,2017-08-27T05:18:38Z,ADB2135,"51.801189,12.173538",9400,318,135
1503811106,2017-08-27T05:18:26Z,ADB2135,"51.81427,12.152735",9675,320,135
1503811094,2017-08-27T05:18:14Z,ADB2135,"51.827026,12.132797",9900,321,135
1503811082,2017-08-27T05:18:02Z,ADB2135,"51.839779,12.112656",10175,316,135
1503811066,2017-08-27T05:17:46Z,ADB2135,"51.855328,12.088242",10375,315,135
1503811054,2017-08-27T05:17:34Z,ADB2135,"51.868011,12.06811",10525,318,135
1503811042,2017-08-27T05:17:22Z,ADB2135,"51.88121,12.046814",10625,323,135
1503811030,2017-08-27T05:17:10Z,ADB2135,"51.893829,12.027047",10750,329,135
1503811018,2017-08-27T05:16:58Z,ADB2135,"51.907001,12.006173",11025,330,135
1503811006,2017-08-27T05:16:46Z,ADB2135,"51.920082,11.985456",11350,332,135
1503810994,2017-08-27T05:16:34Z,ADB2135,"51.932968,11.964722",11650,333,135
1503810961,2017-08-27T05:16:01Z,ADB2135,"51.970413,11.905441",12400,340,135
1503810928,2017-08-27T05:15:28Z,ADB2135,"52.007835,11.845695",13200,345,135
1503810895,2017-08-27T05:14:55Z,ADB2135,"52.045681,11.784877",13975,351,135
1503810862,2017-08-27T05:14:22Z,ADB2135,"52.084167,11.723404",14700,359,135
1503810829,2017-08-27T05:13:49Z,ADB2135,"52.123749,11.659319",15600,364,135
1503810796,2017-08-27T05:13:16Z,ADB2135,"52.163784,11.594813",16425,370,135
