Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503991451,2017-08-29T07:24:11Z,ADB235F,"50.593204,30.204739",0,0,335
1503991415,2017-08-29T07:23:35Z,ADB235F,"50.592182,30.2055",0,22,335
1503991403,2017-08-29T07:23:23Z,ADB235F,"50.591785,30.205814",0,20,336
1503991397,2017-08-29T07:23:17Z,ADB235F,"50.591572,30.205969",0,20,337
1503991389,2017-08-29T07:23:09Z,ADB235F,"50.591274,30.206186",0,22,349
1503991382,2017-08-29T07:23:02Z,ADB235F,"50.59103,30.206223",0,23,13
1503991376,2017-08-29T07:22:56Z,ADB235F,"50.590725,30.205933",0,29,59
1503991370,2017-08-29T07:22:50Z,ADB235F,"50.590565,30.205425",0,27,64
1503991352,2017-08-29T07:22:32Z,ADB235F,"50.590199,30.20418",0,26,147
1503991210,2017-08-29T07:20:10Z,ADB235F,"50.601433,30.192936",0,27,154
1503991204,2017-08-29T07:20:04Z,ADB235F,"50.602062,30.192453",0,27,154
1503991198,2017-08-29T07:19:58Z,ADB235F,"50.602772,30.191914",0,26,154
1503991189,2017-08-29T07:19:49Z,ADB235F,"50.603691,30.191242",0,25,154
1503991183,2017-08-29T07:19:43Z,ADB235F,"50.604332,30.190744",0,25,154
1503990945,2017-08-29T07:15:45Z,ADB235F,"50.604889,30.190336",0,31,334
1503990935,2017-08-29T07:15:35Z,ADB235F,"50.603931,30.191044",0,33,334
1503990868,2017-08-29T07:14:28Z,ADB235F,"50.578491,30.210016",700,119,334
1503990858,2017-08-29T07:14:18Z,ADB235F,"50.574051,30.213343",825,120,334
1503990847,2017-08-29T07:14:07Z,ADB235F,"50.568111,30.217672",1000,122,335
1503990837,2017-08-29T07:13:57Z,ADB235F,"50.56279,30.22151",1125,123,333
1503990831,2017-08-29T07:13:51Z,ADB235F,"50.560135,30.223679",1200,125,333
1503990820,2017-08-29T07:13:40Z,ADB235F,"50.554195,30.22814",1275,125,334
1503990814,2017-08-29T07:13:34Z,ADB235F,"50.551529,30.230328",1300,125,335
1503990804,2017-08-29T07:13:24Z,ADB235F,"50.546047,30.234301",1325,127,334
1503990794,2017-08-29T07:13:14Z,ADB235F,"50.5406,30.23831",1375,123,335
1503990784,2017-08-29T07:13:04Z,ADB235F,"50.535107,30.242168",1425,123,334
1503990778,2017-08-29T07:12:58Z,ADB235F,"50.532547,30.244099",1475,123,334
1503990768,2017-08-29T07:12:48Z,ADB235F,"50.52713,30.248468",1575,121,333
1503990757,2017-08-29T07:12:37Z,ADB235F,"50.521561,30.252636",1675,119,335
1503990751,2017-08-29T07:12:31Z,ADB235F,"50.518814,30.254566",1725,123,334
1503990739,2017-08-29T07:12:19Z,ADB235F,"50.512714,30.259911",1875,128,327
1503990729,2017-08-29T07:12:09Z,ADB235F,"50.508041,30.264877",2000,133,323
1503990706,2017-08-29T07:11:46Z,ADB235F,"50.495491,30.279509",2450,139,320
1503990694,2017-08-29T07:11:34Z,ADB235F,"50.48996,30.28685",2675,140,321
